firms,age,agr,bm,bm_ia,cashdebt,chatoia,chpmia,convind,egr,ep,grltnoa,herf,lev,lgr,mve_ia,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BABJ-L^I00,5.0,-0.0154847972106855,3.445468081146473e-07,0.3380070347866795,0.1338386738639408,1.485685605026806,0.0213297777628378,1.0,0.0816140222749679,5.973152801042248e-08,-0.0441298057048325,1.8655308887176288e-06,7.367276195793784e-07,-0.0584956146870819,2.673618997373941,0.1445043917358534,-0.051310960088339,0.1555350708120339,1.2138033053071149,0.0310262529832934,0.0244498777506114,0.0072115384615385,-0.0059311981020164,0.0035928143712575,0.0812903225806451,0.0854922279792747,0.077120822622108,0.050125313283208,0.1278600269179006,0.1671309192200558,0.1836158192090395,0.1448087431693989,0.1173333333333335,0.1687587168758717,0.2005730659025788,0.1370420624151969,0.2601503759398496,0.3134796238244515,0.3343949044585987,0.5319926873857406,0.5663551401869162,0.4155405405405408,0.3301587301587303,0.4155405405405408,0.5576208178438664,0.6022944550669216,0.6303501945525294,0.7829787234042553,0.5489833641404807,0.4911032028469753,0.462478184991274,0.406040268456376,0.4701754385964913,0.5634328358208955,0.5722326454033773,0.4779541446208115,0.4349315068493151,0.5071942446043167,0.6827309236947792,0.6496062992125986,0.7791932059447986,0.7905982905982909,0.7642105263157897,0.5722326454033773,0.2813455657492356,0.3259493670886075,0.3073322932917317,0.4911032028469753
BACQ-L^J02,3.0,-0.0259960809928151,1.0635022146426969e-06,1.0433160940525423,0.1307901907356948,1.3267889521154854,0.0303854296220308,1.0,0.7858488591166005,1.7328192220763666e-08,-0.0905962543842114,8.790711367720454e-07,7.954762198611003e-07,-0.2311121821906253,1.2473669787318988,0.1426813153699401,0.1419853010585053,0.0728210359288224,0.5493155001898544,0.0363636363636361,-0.0178571428571429,0.0,-0.0833333333333332,-0.2142857142857142,-0.1666666666666666,-0.2567567567567567,-0.2567567567567567,-0.2763157894736842,-0.3125,-0.3604651162790697,-0.3452380952380951,-0.3125,-0.3037974683544303,-0.2763157894736842,-0.236111111111111,-0.236111111111111,-0.140625,0.25,0.375,0.71875,0.4473684210526316,0.25,0.1458333333333334,0.170212765957447,0.5277777777777779,0.375,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.1956521739130434,0.25,0.25,0.6176470588235294,0.3095238095238097,-0.2666666666666666,-0.4329896907216494,-0.4387755102040815,-0.4387755102040815,-0.2666666666666666,-0.2857142857142857,-0.3820224719101123,-0.2028985507246375,-0.2465753424657533,-0.4554455445544554,-0.4811320754716981,-0.5299145299145298,-0.7074468085106382,-0.6308724832214765
BALZ-L^I10,6.0,-0.1022670079136459,5.632000471659406e-07,0.5525100608998642,0.0544973071166319,1.258025735693949,0.5454926883559367,1.0,-0.0356373315306941,-1.3521439874129174e-08,-0.0857371794871787,2.5222936617629793e-09,4.3980457123433486e-07,-0.1615945437441204,0.1260434588277139,0.1269110353010389,0.0630532158414783,0.0121269587783212,1.659888141878039,-0.0285714285714284,0.0606060606060605,0.09375,0.09375,0.4583333333333332,0.4583333333333332,0.4583333333333332,0.4583333333333332,0.5217391304347825,0.7499999999999998,1.0588235294117645,1.0588235294117645,1.692307692307692,1.4999999999999996,1.4999999999999996,1.692307692307692,1.692307692307692,3.999999999999999,2.5,2.888888888888889,2.5,2.1818181818181817,2.1818181818181817,1.9166666666666663,3.375,2.888888888888889,2.5,2.888888888888889,3.999999999999999,2.1818181818181817,1.4999999999999996,1.4999999999999996,1.692307692307692,1.692307692307692,1.4999999999999996,1.4999999999999996,1.3333333333333337,1.1875,1.0588235294117645,1.1875,1.0588235294117645,0.6666666666666665,0.4583333333333332,0.3999999999999999,0.2068965517241379,0.1666666666666667,0.0606060606060605,-0.0277777777777777,0.0294117647058822
BAMD-L^J98,5.0,0.1339936116089494,5.828374972826306e-07,0.5717747765448429,0.114341040289931,0.5632488091560455,0.6903974543393158,1.0,0.0326165258015047,4.7841804816386345e-08,-0.0357847362031329,5.283862386199358e-09,6.731387025869357e-07,0.2442997469861587,0.3862671611446595,-13.107455441960903,0.2264221237580037,0.3420321129439304,0.9370741790524874,-0.2413793103448275,-0.0558139534883721,-0.105726872246696,-0.1506276150627616,-0.1017699115044248,-0.0333333333333334,0.0,0.0357142857142855,0.1032608695652173,0.1032608695652173,0.025252525252525,0.0049504950495049,0.1215469613259667,0.1734104046242772,0.3096774193548386,0.3096774193548386,0.3716216216216215,0.6111111111111109,0.5615384615384613,0.9519230769230766,0.8796296296296293,0.6111111111111109,0.5037037037037035,0.3096774193548386,0.3716216216216215,0.6111111111111109,0.3355263157894734,0.2767295597484274,0.3904109589041096,0.4817518248175179,0.2767295597484274,0.1666666666666665,0.1534090909090908,0.0628272251308899,0.2530864197530862,-0.0287081339712919,-0.0772727272727273,-0.0730593607305937,-0.037914691943128,0.1666666666666665,0.2453987730061348,0.1215469613259667,-0.0937500000000002,-0.105726872246696,-0.2536764705882354,-0.3753846153846154,-0.4543010752688172,-0.4821428571428572,-0.3810975609756097
BAOH-L,30.0,0.145240188116116,3.459737908496732e-07,0.3394069322508213,1.376851743500242,0.6741569111265585,-0.1131659016143904,1.0,0.159716632452529,7.190320261437908e-08,0.143488064135135,3.565476466567461e-08,5.374542483660131e-08,0.0600593516183758,2.379162633760312,0.1269125583122745,0.0813857514095257,0.0813857514095257,0.907510551966742,-0.0384615384615384,0.0249671484888305,0.0583446404341927,-0.0201005025125627,-0.1284916201117317,0.0129870129870128,-0.0076335877862595,0.1206896551724137,0.1304347826086955,-0.0972222222222223,-0.0647482014388489,-0.0669856459330142,0.3356164383561644,0.3612565445026177,0.4913957934990438,0.6317991631799162,0.875,0.7067833698030632,0.6490486257928116,0.598360655737705,0.5175097276264593,0.4552238805970148,0.392857142857143,0.2913907284768211,0.29783693843594,0.1908396946564885,0.2621359223300972,-0.3729903536977491,-0.3181818181818181,-0.4139744552967693,-0.3378607809847198,-0.35,-0.2723880597014926,-0.3944099378881988,-0.3774940143655227,-0.3395427603725657,-0.2048929663608563,-0.1567567567567568,-0.2703461178671655,-0.2550143266475645,-0.2744186046511628,-0.2947558770343581,-0.2985611510791366,-0.3516209476309226,-0.3896713615023474,-0.3395427603725657,-0.2571428571428571,-0.2928377153218494,-0.3327630453378956
BBEK-L^L95,5.0,-0.231108553893364,5.186089420803798e-07,0.5087653305675593,0.0358006216185104,0.9874396079273,-1.3830293801215905,1.0,-0.0530346544131723,-2.3906760775237885e-08,-0.0273229968556868,4.302444273689729e-07,7.352377480524915e-07,-0.3232966608762787,1.4830193266719522,0.0403125442838882,-0.0564091301315478,0.0313035352748793,1.659888141878039,-0.1038961038961039,0.203125,0.2125984251968504,0.1079136690647482,0.1492537313432835,0.1159420289855073,-0.0314465408805031,-0.0722891566265059,-0.1396648044692737,-0.1098265895953757,-0.1299435028248587,-0.0493827160493827,-0.0609756097560975,-0.2376237623762376,-0.3275109170305676,-0.2968036529680364,-0.3714285714285714,-0.2968036529680364,-0.3185840707964601,-0.1851851851851851,-0.1098265895953757,-0.1538461538461538,-0.2803738317757009,-0.5757575757575757,-0.6051282051282051,-0.5276073619631901,-0.6081424936386768,-0.6020671834625323,-0.5276073619631901,-0.5968586387434555,-0.6637554585152838,-0.6695278969957081,-0.6913827655310621,-0.689516129032258,-0.6857142857142857,-0.6869918699186992,-0.6791666666666667,-0.6695278969957081,-0.642691415313225,-0.5915119363395225,-0.5826558265582655,-0.597911227154047,-0.5549132947976878,-0.5661971830985915,-0.543026706231454,-0.5936675461741425,-0.5837837837837838,-0.5893333333333333,-0.5290519877675841
BBIO-L^E18,5.0,-0.0262373634079354,3.2376793388952093e-07,0.3176225601735717,0.1345065996228787,1.1674743298851025,-0.0782711057559067,1.0,0.0015274171376202,1.90596953608899e-08,-0.0599224324244294,1.0031550724544629e-06,4.2153528315004425e-07,-0.0476349843819722,3.149227602936944,0.152276864619397,0.0144469525959367,0.0144469525959367,1.7802945355893989,-0.057877813504823,0.1561338289962826,0.1582867783985102,0.0298013245033113,0.1780303030303029,0.2693877551020407,0.3012552301255229,0.3463203463203461,0.2642276422764227,0.2693877551020407,0.3791574279379157,0.3405172413793103,0.2904564315352695,0.3463203463203461,0.329059829059829,0.329059829059829,0.388392857142857,0.5396039603960396,0.54726368159204,0.6155844155844155,0.8294117647058823,0.5826972010178115,0.7620396600566572,0.4498834498834498,0.5746835443037974,0.8402366863905326,0.8622754491017963,0.94375,1.101351351351351,1.174825174825175,0.8678678678678677,0.6675603217158177,0.6155844155844155,0.8134110787172011,0.8028985507246376,0.7822349570200571,0.6948228882833787,0.6586666666666665,0.7087912087912087,0.9746031746031744,0.8905775075987841,0.8963414634146343,1.1228668941979518,0.9872204472843452,0.8028985507246376,0.6542553191489362,0.5207823960880196,0.5989717223650384,0.6113989637305699
BBNH-L^L97,5.0,0.0584214461176973,4.18288102566999e-07,0.4103486606329912,0.1082509376065462,0.7991314124257389,-0.4220635403246223,1.0,-0.0117427275153456,4.6652170229589684e-08,0.0347636590048205,1.6172939735899506e-05,6.953771426957725e-07,0.1040172166427546,13.766099350340916,0.0551240028576519,0.0261594843927713,0.0261594843927713,0.8480300192161409,-0.1071428571428571,0.0530973451327434,0.017094017094017,-0.0062630480167015,0.0,0.1414868105515587,0.1666666666666665,0.1442307692307691,0.0461538461538462,0.1387559808612439,0.1069767441860465,0.1753086419753087,0.1609756097560977,0.1018518518518516,0.0484581497797356,0.0793650793650793,0.0236559139784944,0.0648769574944072,0.1553398058252426,0.1840796019900499,0.2268041237113403,0.1279620853080569,0.0461538461538462,-0.0703125000000001,-0.0185567010309277,-0.4633596392333708,-0.4803493449781659,-0.4919957310565634,-0.4603174603174603,-0.4202192448233862,-0.4413145539906103,-0.4278846153846154,-0.4333333333333333,-0.3944020356234097,-0.3567567567567568,-0.3802083333333333,-0.4137931034482758,-0.4072229140722291,-0.3497267759562842,-0.2809667673716012,-0.2948148148148148,-0.2093023255813952,-0.1376811594202898,-0.1201478743068392,-0.1469534050179212,-0.2765957446808511,-0.2699386503067484,-0.2503937007874015,-0.1282051282051282
BBOU-L,5.0,-0.0267022696929239,3.924701305918311e-07,0.3850207343657761,0.1302463503649635,0.4258740157268523,-0.5915503152482635,1.0,0.0442453094371324,4.5572423316241046e-08,-0.007627014392912,2.9009567995810552e-06,4.400422676332652e-07,-0.0885110093743187,14.77469325614698,0.0751568911311976,0.0817867253853413,0.0817867253853413,0.946864598253754,-0.0166666666666667,0.0278372591006423,-0.0769230769230769,-0.0909090909090909,0.0041841004184099,0.0105263157894737,0.1059907834101383,0.1347517730496452,-0.0569744597249508,0.0300429184549355,0.0084033613445377,0.0212765957446807,-0.002079002079002,-0.0361445783132531,0.06430155210643,0.0434782608695651,-0.0697674418604651,-0.1397849462365592,-0.101123595505618,-0.1061452513966481,-0.0804597701149425,-0.1176470588235295,-0.1192660550458716,-0.2039800995024876,-0.2092257001647447,-0.1304347826086955,-0.1864406779661017,-0.1608391608391608,-0.0551181102362204,-0.0303030303030303,-0.0839694656488549,-0.5353339787028073,-0.5330739299610895,-0.5116988809766023,-0.5046439628482973,-0.5046439628482973,-0.4713656387665198,-0.4636871508379888,-0.4037267080745342,-0.3650793650793651,-0.3692509855453351,-0.3513513513513514,-0.3210749646393211,-0.2909896602658789,-0.3258426966292135,-0.4052044609665428,-0.3954659949622167,-0.3814432989690721,-0.2825112107623319
BBQS-L^G99,5.0,-0.0744361882414288,5.687432394247054e-07,0.5579480389467081,0.1319426528581432,2.1417935647328528,-0.0143345676809148,1.0,0.0015847860538827,8.486153081922426e-08,-0.0297880983007211,5.1792496329779655e-06,1.1562946017987405e-06,-0.1004620554466536,1.7279593857597395,0.1755020154803306,-0.1300877093075514,0.0507889320832381,0.7815380010539228,-0.0473372781065087,0.0,-0.0342857142857143,-0.0558659217877095,0.0628930817610062,0.0974025974025973,0.0304878048780488,0.0696202531645568,0.0,0.1418918918918918,0.1736111111111111,0.1266666666666667,0.0764331210191082,0.0562499999999999,0.0496894409937886,0.1655172413793104,0.2706766917293233,0.4444444444444444,0.5943396226415094,0.9882352941176472,0.69,0.3307086614173227,0.0628930817610062,-0.0558659217877095,-0.1377551020408163,0.0368098159509202,0.0974025974025973,0.0180722891566265,0.0119760479041917,0.0119760479041917,-0.1421319796954314,-0.2211981566820277,-0.2899159663865546,-0.2869198312236287,-0.1952380952380953,-0.2987551867219917,-0.324,-0.324,-0.242152466367713,0.0059523809523809,-0.3102040816326531,-0.3185483870967742,-0.3372549019607843,-0.3130081300813008,-0.3474903474903474,-0.398576512455516,-0.400709219858156,-0.3598484848484848,-0.2808510638297873
