firms,absacc,acc,age,agr,bm,bm_ia,chpmia,convind,currat,egr,ep,herf,invest,mve_ia,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pchsale_pchxsga,pctacc,ps,quick,roic,salerec,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BABJ-L^I00,0.0384875324582933,-0.0384875324582933,2.0,0.4040533606977937,5.382036275445166e-07,0.4969577806258612,-0.0045591428998011,1.0,1.1029371770465053,-0.0580303806110257,9.449525549748807e-08,1.2207447533952178e-06,0.4485206088592441,2.106595526279025,0.7421648306845042,-0.1773507241730069,-0.1748476712829036,-0.3420575088326967,0.744984786630636,-0.558307533539732,2.0,0.7247756323089475,0.1146785928843201,4.288523773960668,0.1213304693093797,-0.0191972076788831,-0.0385906040268455,0.0052631578947368,0.0690298507462687,0.0750469043151971,0.0105820105820106,-0.018835616438356,0.0305755395683455,0.1506024096385543,0.1279527559055118,0.2165605095541403,0.2243589743589744,0.2063157894736842,0.0750469043151971,-0.1238532110091742,-0.0933544303797467,-0.1060842433697347,0.0195729537366549,-0.0288135593220338,-0.0418060200668896,-0.1032863849765257,-0.173160173160173,-0.1671511627906976,-0.1561119293078054,-0.0802568218298555,-0.1305007587253414,-0.0962145110410094,-0.0698051948051947,-0.0304568527918781,0.0141592920353983,0.0591497227356747,0.0670391061452515,0.0456204379562044,0.1937500000000001,0.1575757575757577,0.0494505494505495,0.0852272727272727,0.1213307240704502,0.0533088235294116,0.0611111111111111,0.0611111111111111,0.0232142857142858,0.119140625,0.155241935483871,0.1962421711899791,0.3202764976958527,0.4960835509138381,0.4921875000000002,-0.0120689655172412
BACQ-L^J02,0.0498582156991057,-0.0498582156991057,1.0,0.0051862034491376,9.549117253462154e-07,0.8817309795676088,-0.0474372110656104,1.0,0.8417645287563986,-0.3346440677966102,-2.60766601174634e-08,1.1350032770367111e-06,0.2118220444888777,1.055650641670548,0.246671355765873,-0.1485523936200248,-0.0715733601650049,-0.7883916826115575,-0.0119963774679931,-5.970149253731352,1.0,0.4929238181270702,0.031929990539262,12.063180827886711,-0.0778326764003775,0.0454545454545454,0.0,0.2941176470588234,0.0476190476190476,-0.4133333333333333,-0.5463917525773196,-0.5510204081632653,-0.5510204081632653,-0.4133333333333333,-0.4285714285714286,-0.5056179775280899,-0.3623188405797101,-0.3972602739726028,-0.5643564356435644,-0.5849056603773586,-0.6239316239316239,-0.7659574468085106,-0.7046979865771812,-0.7250000000000001,-0.7514124293785311,-0.7708333333333333,-0.7864077669902912,-0.7755102040816326,-0.7755102040816326,-0.8127659574468085,-0.8352059925093633,-0.8307692307692308,-0.8078602620087336,-0.7904761904761904,-0.7924528301886793,-0.7924528301886793,-0.7843137254901961,-0.7821782178217822,-0.7396449704142012,-0.7426900584795322,-0.7884615384615384,-0.7684210526315789,-0.7777777777777778,-0.8053097345132743,-0.8095238095238095,-0.8143459915611815,-0.8204081632653062,-0.8158995815899581,-0.8189300411522634,-0.8181818181818181,-0.8026905829596412,-0.8070175438596491,-0.819672131147541,-0.8482758620689655
BALZ-L^I10,0.057648401826484,-0.057648401826484,3.0,-0.3456090651558074,1.816804235082548e-06,1.6775713768737253,-0.0125116263268308,1.0,2.148373983739837,-0.0146571335716607,-6.591525639337718e-08,1.9120668496994222e-08,-0.3663833805476864,0.0685652587408326,4.242193955351551,0.5795129220205545,0.8485382703567967,0.2874065367159695,-0.0069539091509325,-4.59090909090909,5.0,1.6686991869918697,0.1367515993649695,6.056179775280898,-0.2784471218206158,0.0,0.0769230769230771,0.0769230769230771,0.0,0.0,-0.0666666666666665,-0.1249999999999998,-0.176470588235294,-0.1249999999999998,-0.176470588235294,-0.3333333333333332,-0.4166666666666666,-0.4399999999999999,-0.5172413793103448,-0.5333333333333332,-0.5757575757575757,-0.611111111111111,-0.588235294117647,-0.631578947368421,-0.611111111111111,-0.6216216216216216,-0.588235294117647,-0.5999999999999999,-0.5757575757575757,-0.6216216216216216,-0.5999999999999999,-0.631578947368421,-0.6499999999999999,-0.6499999999999999,-0.7021276595744681,-0.75,-0.7627118644067796,-0.78125,-0.7543859649122806,-0.7586206896551724,-0.7666666666666666,-0.7358490566037736,-0.7407407407407407,-0.7704918032786885,-0.7627118644067796,-0.7083333333333333,-0.7254901960784313,-0.7083333333333333,-0.7307692307692307,-0.7666666666666666,-0.7543859649122806,-0.7254901960784313,-0.7666666666666666,-0.8541666666666666
BBEK-L^L95,0.0715290147182902,0.0715290147182902,2.0,0.1881025641025642,1.3122587178026708e-07,0.1211692278964086,0.0147551716835993,1.0,1.2113502935420746,0.1189962223421477,5.657869755078794e-08,5.573288433517602e-07,0.1209230769230769,6.492051447997924,-0.9846581580646468,-0.1305661043733276,-0.1374161694793008,-0.1312287939240664,-0.2711312654696758,0.4267337807606272,5.0,0.8818304982688546,0.2149340825588934,3.533697632058288,0.1884827445374719,-0.0171673819742489,-0.0661322645290581,-0.0604838709677418,-0.0489795918367347,-0.0528455284552845,-0.0291666666666665,0.0,0.0812064965197216,0.2360742705570291,0.2628726287262872,0.2167101827676241,0.3468208092485549,0.3126760563380282,0.3827893175074184,0.2295514511873351,0.2594594594594595,0.2426666666666668,0.4250764525993884,0.3910447761194029,0.45625,0.4121212121212123,0.3625730994152047,0.3314285714285714,0.4250764525993884,0.4700315457413251,0.2802197802197801,0.3546511627906976,0.5379537953795381,0.5585284280936453,0.522875816993464,0.569023569023569,0.6350877192982456,0.7388059701492538,1.0173160173160172,1.0086206896551726,0.8203125,0.8790322580645162,1.034934497816594,0.827450980392157,0.7718631178707225,0.7923076923076924,0.7718631178707225,0.9497907949790794,0.8866396761133601,0.7518796992481203,0.8866396761133601,1.099099099099099,0.7007299270072991,0.3089887640449438
BBIO-L^E18,0.0188766916419817,0.0188766916419817,2.0,-0.0457434733257661,7.87150118522294e-07,0.7268259742226784,-0.0114844638148352,1.0,1.3150136487716106,0.02255299954894,1.0775426559980236e-07,1.7121864092314209e-06,-0.0199205448354143,1.7749355738843544,-0.7829786077205436,0.0520743925854686,0.0674068232221226,0.1444704701694206,-0.0352295833924432,0.3490870032223412,5.0,0.7175614194722475,0.0418392990558989,6.660790075089781,-0.0352295833924432,-0.1072386058981232,-0.0311688311688311,0.0874635568513118,0.0811594202898551,0.0687679083094554,0.0163487738419618,-0.0053333333333333,0.0247252747252746,0.1841269841269841,0.1337386018237081,0.1371951219512195,0.2730375426621159,0.1916932907348243,0.0811594202898551,-0.0079787234042553,-0.0880195599022004,-0.0411311053984576,-0.0336787564766839,-0.048469387755102,-0.0235602094240837,-0.1305361305361305,-0.1541950113378685,-0.0698254364089775,-0.0286458333333332,-0.1365740740740741,-0.182017543859649,-0.1425287356321838,-0.0556962025316456,-0.0435897435897435,-0.0311688311688311,0.0219178082191779,0.0477528089887639,0.0566572237960341,0.2558922558922558,0.2071197411003236,0.1234939759036144,0.2189542483660129,0.2189542483660129,0.1134328358208955,0.1916932907348243,0.1766561514195583,0.2071197411003236,0.2773972602739727,0.1547987616099071,0.1878980891719743,0.3369175627240144,0.4801587301587302,0.3814814814814813,-0.0946601941747573
BBNH-L^L97,0.0379427097328962,0.0379427097328962,3.0,-0.0247346072186836,3.966647589534565e-07,0.3662659041548303,0.005957610078473,1.0,1.356020942408377,0.006196518146946,7.654117636110686e-08,3.147915802313773e-05,-0.1126326963906581,17.660302778930067,12.83516739414155,0.103254829939021,0.1358179943496192,-0.020924161020593,-0.0687672982754949,0.5364741641337386,5.0,0.7949389179755671,0.0989641972528709,7.205930807248764,-0.0687672982754949,0.0240384615384614,-0.0095238095238094,0.0585241730279897,0.1243243243243243,0.0833333333333334,0.0246305418719212,0.0361145703611458,0.1366120218579234,0.2567975830815709,0.2325925925925926,0.382059800664452,0.5072463768115945,0.5378927911275415,0.4910394265232976,0.2644376899696048,0.276073619631902,0.3102362204724411,0.523809523809524,0.4246575342465755,0.4857142857142857,0.368421052631579,0.3248407643312101,0.4596491228070176,0.6155339805825242,0.439446366782007,0.3143759873617693,0.3983193277310923,0.5045207956600362,0.5522388059701493,0.4494773519163764,0.5182481751824817,0.6124031007751938,0.6281800391389432,0.9348837209302328,0.8530066815144766,0.848888888888889,0.7119341563786008,0.7049180327868854,0.6842105263157894,0.6345776031434185,0.6345776031434185,0.701431492842536,0.7739872068230276,0.7739872068230276,0.8325991189427313,0.8530066815144766,1.206896551724138,1.064516129032258,0.462214411247803
BBOU-L,0.0082929119073697,0.0082929119073697,2.0,0.0626109407777957,3.328690317355359e-07,0.3073592350261308,0.0051576866420719,1.0,1.5523809523809524,0.1128188358404185,5.4483705752775057e-08,2.5977092222140244e-06,0.0164595772147813,21.0017720540568,-1.0625372347735442,0.1863064098878988,0.3256023457090976,0.2128012157174904,0.1820319849482596,0.0951526032315978,5.0,0.746218487394958,0.1028215336679937,3.068376068376069,0.1820319849482596,-0.4927395934172314,0.0048638132295719,0.0508646998982706,0.066047471620227,0.066047471620227,0.1376651982378853,0.1541899441340783,0.2832298136645961,0.3664021164021165,0.3574244415243099,0.3959459459459458,0.461103253182461,0.5258493353028066,0.4508426966292134,0.2800495662949194,0.3010075566750629,0.3311855670103094,0.5440956651718982,0.5417910447761194,0.5795107033639144,0.5533834586466164,0.5058309037900874,0.5892307692307692,0.7303182579564489,0.8218694885361553,0.739057239057239,0.909426987060998,1.0496031746031744,1.1168032786885247,1.2215053763440855,1.358447488584475,1.602015113350126,1.6555269922879177,2.0928143712574854,2.149390243902439,2.038235294117648,2.2180685358255454,2.398026315789473,2.159021406727829,2.120845921450151,2.188271604938272,2.27936507936508,2.501694915254237,2.420529801324504,2.586805555555556,2.586805555555556,3.1991869918699187,3.03515625,1.7546666666666666
BBQS-L^G99,0.0908950855030041,0.0908950855030041,2.0,0.1978555304740406,3.973957830116462e-07,0.3669409053531677,-0.0062039414528025,1.0,1.3128398159765788,0.0400700252869092,1.015228426395939e-07,7.308730196782758e-06,0.1992099322799096,2.76410358325286,-0.7275106523697744,-0.0938294733828112,-0.1440016843354568,-0.0910158972965051,-0.0763696922633203,1.2957540263543186,3.0,0.6630071099958176,0.1253616200578592,8.237639241743208,0.1428881297109701,-0.0921658986175114,-0.088235294117647,-0.0843881856540085,0.0333333333333332,-0.0995850622406639,-0.132,-0.132,-0.0269058295964126,0.2916666666666667,-0.1142857142857143,-0.125,-0.1490196078431371,-0.1178861788617886,-0.1621621621621621,-0.2277580071174377,-0.2304964539007091,-0.1780303030303031,-0.0765957446808511,-0.0355555555555555,-0.1653846153846154,-0.1933085501858735,-0.2465277777777778,-0.1872659176029962,-0.2166064981949459,-0.2718120805369127,-0.3,-0.2304964539007091,-0.1992619926199261,-0.1992619926199261,-0.1933085501858735,-0.1992619926199261,-0.2137681159420289,-0.2109090909090909,-0.092050209205021,-0.15234375,-0.1842105263157895,-0.1749049429657794,-0.1621621621621621,-0.2222222222222222,-0.2517241379310344,-0.2080291970802921,-0.2194244604316546,-0.2022058823529412,-0.2439024390243903,-0.2693602693602694,-0.2332155477031802,-0.0482456140350876,-0.1490196078431371,-0.3728323699421966
BBTK-L^C11,0.078929135604024,0.078929135604024,2.0,0.2504053885493326,7.565990184374586e-07,0.6986161924285514,0.0001382189272746,1.0,2.7671353251318105,0.0462215700660309,7.206968209753725e-08,5.274899637891575e-08,0.1534863415242608,2.3231239731562727,-0.9599642988486572,0.0495322586491923,0.055220714303352,-0.2007955928805357,0.2549540697068504,1.7472392638036818,5.0,2.703280609256005,-0.0214343928280358,2.6624535315985134,0.3595292331055431,0.0465116279069768,-0.0766871165644171,-0.0851063829787235,-0.1147058823529412,-0.0652173913043479,-0.1350574712643678,-0.1497175141242939,-0.1908602150537635,-0.125,-0.2015915119363396,-0.2867298578199052,-0.315909090909091,-0.3355408388520972,-0.398,-0.3220720720720722,-0.2711864406779661,-0.2640586797066014,-0.1662049861495845,-0.4924114671163575,-0.509771986970684,-0.525984251968504,-0.4854700854700855,-0.4537205081669692,-0.4200385356454721,-0.403960396039604,-0.4299242424242425,-0.4189189189189189,-0.3844580777096115,-0.3484848484848485,-0.3554603854389722,-0.3311111111111111,-0.3143507972665148,-0.391919191919192,-0.378099173553719,-0.3512931034482759,-0.4003984063745019,-0.4615384615384615,-0.2120418848167539,-0.3554603854389722,-0.334070796460177,-0.2694174757281554,-0.2549504950495049,-0.1094674556213017,0.0273037542662115,-0.0352564102564103,0.1107011070110699,0.4471153846153843,0.2489626556016595,-0.2058047493403694
BBTU-L^C18,0.0138618936756444,0.0138618936756444,2.0,0.0044096241116532,9.232962962962964e-07,0.8525384348687483,0.0028239504943217,1.0,1.4236011477761834,0.0242409301943383,8.481481481481481e-08,5.9413759336040304e-06,0.0457444986728315,5.546654929939369,-1.0984446766117106,-0.0050267590210379,-0.0850543795483027,0.3305408730889111,0.0534552269394929,0.2834061135371173,3.0,1.090028694404591,0.0574990736502539,21.12562534741523,0.0385298538051646,-0.0347490347490346,-0.113013698630137,-0.0477941176470589,0.0791666666666666,-0.0263157894736842,-0.0880281690140845,-0.1068965517241379,-0.037174721189591,0.126086956521739,0.0528455284552844,-0.018939393939394,-0.0263157894736842,0.0702479338842974,-0.0815602836879432,-0.1931464174454829,-0.2245508982035928,-0.1880877742946708,-0.0152091254752851,-0.127946127946128,-0.1160409556313993,-0.1880877742946708,-0.2404692082111438,-0.1590909090909091,-0.0815602836879432,-0.2151515151515152,-0.2222222222222223,-0.2127659574468086,-0.1099656357388316,-0.5534482758620689,-0.5383244206773619,-0.526508226691042,-0.5149812734082397,-0.4799196787148595,-0.4032258064516129,-0.392018779342723,-0.4320175438596491,-0.4218750000000001,-0.392018779342723,-0.4073226544622426,-0.3976744186046511,-0.3713592233009709,-0.3620689655172413,-0.345959595959596,-0.2961956521739131,-0.2845303867403316,-0.1956521739130435,-0.113013698630137,-0.2642045454545455,-0.4307692307692308
