firms,absacc,acc,age,agr,bm,bm_ia,chpmia,convind,currat,egr,grltnoa,herf,invest,mve_ia,pctacc,ps,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BABJ-L^I00,0.0676604245790432,-0.0676604245790432,8.0,-0.0204684716005388,3.3907837445573297e-07,0.0365195672931716,-0.0255607359606066,1.0,1.4640008740303727,0.0557830814856658,-0.031964172026958,1.2703391021145605e-06,-0.0094737299552387,3.499057141820434,-0.993552546744036,7.0,1.148585163334426,0.0036083319665409,11.093023255813954,-0.9166666666666666,-0.9153543307086616,-0.9144278606965174,-0.9164237123420796,-0.0947368421052631,-0.92188919164396,-0.9176245210727968,0.0749999999999999,0.1025641025641024,0.0617283950617282,-0.9129554655870444,-0.9159335288367546,0.1025641025641024,0.036144578313253,0.0117647058823529,0.0749999999999999,-0.9122448979591836,0.0749999999999999,0.0886075949367088,0.0117647058823529,-0.9119754350051176,-0.909853249475891,-0.9106029106029104,-0.9058050383351588,-0.907725321888412,-0.9013761467889908,-0.9016018306636157,-0.8981042654028436,-0.8947368421052632,-0.894478527607362,-0.8948655256723717,-0.9,-0.8977407847800238,-0.9047619047619048,-0.9001161440185831,-0.8989424206815511,-0.900462962962963,-0.8973747016706444,-0.8948655256723717,-0.8966346153846154,-0.8979833926453143,-0.897005988023952,-0.8890322580645161,-0.8886010362694301,-0.8894601542416453,-0.8922305764411027,-0.8842530282637955,-0.8802228412256268
BACQ-L^J02,0.0902061855670103,-0.0902061855670103,6.0,0.1121119823731449,4.919779764371559e-07,0.0529872270565597,-0.0628916365285739,1.0,0.8989463601532568,0.0657572577824413,0.0843765341188,5.466007422510954e-07,0.1725746873177371,2.948695192341158,-1.3279132791327912,6.0,0.4781289910600255,0.0681818181818182,0.0762711864406779,-0.1060606060606061,-0.2287581699346406,-0.2185430463576159,-0.2531645569620254,-0.2027027027027027,-0.2484076433121019,-0.2185430463576159,-0.2027027027027027,-0.1862068965517241,-0.2287581699346406,-0.2133333333333333,-0.2387096774193549,-0.2133333333333333,-0.2337662337662338,-0.1805555555555555,-0.1194029850746269,-0.0923076923076924,-0.1194029850746269,-0.0708661417322835,0.1799999999999999,0.0727272727272725,0.1346153846153845,0.2040816326530612,0.388235294117647,0.3111111111111111,0.5324675324675323,0.5128205128205128,0.7352941176470587,0.6857142857142857,0.7352941176470587,0.7101449275362319,0.8153846153846152,1.0344827586206895,0.8437499999999998,1.1071428571428568,1.0701754385964914,1.0701754385964914,1.145454545454545,1.1071428571428568,1.145454545454545,0.9666666666666666,0.6857142857142857,0.7878787878787876,0.5945945945945945,0.5945945945945945,0.5526315789473684,0.4749999999999998,0.3720930232558139
BALZ-L^I10,0.0399728572919929,0.0399728572919929,9.0,-0.0781461604052766,5.432855620417497e-07,0.058513179067344,-0.1526129407134015,1.0,2.179195852407479,0.1988909892879648,-0.0649545881616034,2.15415582050991e-09,-0.1352058985805286,0.1389473609148897,0.3810708598726114,7.0,1.687110473774199,-0.0158417697787775,0.1999999999999999,0.0,-0.0625,-0.1176470588235295,-0.2682926829268293,-0.5454545454545454,-0.2105263157894736,-0.1666666666666666,-0.0909090909090909,-0.1176470588235295,-0.1666666666666666,-0.0625,0.0344827586206897,0.0344827586206897,0.0714285714285714,-0.0322580645161291,0.1111111111111109,0.1538461538461537,0.3043478260869563,0.3043478260869563,0.25,0.1999999999999999,0.1538461538461537,0.25,0.4999999999999998,0.4999999999999998,0.4999999999999998,0.4999999999999998,0.4285714285714286,0.3636363636363635,0.3043478260869563,0.3043478260869563,0.1538461538461537,0.1111111111111109,0.0344827586206897,0.0,-0.0625,-0.1176470588235295,-0.1428571428571428,-0.0909090909090909,-0.0625,-0.0625,0.25,0.25,0.25,0.25,0.3043478260869563,0.4999999999999998,0.7647058823529409
BAMD-L^J98,0.1365149081328005,-0.1365149081328005,8.0,0.0378543010413991,3.5864950453703133e-07,0.0386274256995198,-0.1044523456129541,1.0,1.3085600372435031,0.0024438432779111,-0.0260198251949045,6.990277780076866e-09,0.0250391312143517,0.7296664097464917,-2.5336746403036456,7.0,1.188055817506834,0.1828653032293035,-0.0986842105263157,-0.0129870129870129,0.0066225165562914,0.0519031141868511,-0.0440251572327043,0.0818505338078292,0.2991452991452992,0.2258064516129032,0.2258064516129032,0.2258064516129032,0.357142857142857,0.3755656108597285,0.4407582938388625,0.3818181818181816,0.4205607476635513,0.427230046948357,0.52,0.4615384615384614,0.4407582938388625,0.497536945812808,0.4757281553398058,0.4901960784313726,0.4829268292682929,0.504950495049505,0.8765432098765431,0.8313253012048194,0.9363057324840764,1.0965517241379312,1.054054054054054,0.8765432098765431,0.7175141242937852,0.8424242424242425,0.9240506329113924,0.8095238095238095,0.6703296703296704,0.7175141242937852,0.853658536585366,0.974025974025974,0.497536945812808,0.413953488372093,0.3392070484581497,0.2719665271966527,0.3451327433628319,0.4476190476190476,0.497536945812808,0.5510204081632653,0.6521739130434783,0.6521739130434783,0.5353535353535355
BBIO-L^E18,0.1267289946085657,-0.1267289946085657,8.0,0.0209345031626199,1.952843093958358e-07,0.0210325960472387,0.3165244175591709,1.0,1.6393342804952304,-0.2170157633340531,-0.1390868889202917,1.120185645545165e-06,-0.0560293817588247,5.89348632056363,-7.4714285714285715,4.0,1.3061700832149383,-0.0071191595244677,0.0313725490196079,-0.0413533834586467,0.0691823899371069,0.0303030303030302,0.0782241014799152,0.0292633703329969,0.0189810189810188,-0.0785907859078591,-0.1114982578397213,-0.112271540469974,-0.0304182509505703,0.0139165009940356,0.0323886639676112,0.0376398779247202,0.040816326530612,0.0548086866597723,0.2056737588652479,0.2186379928315411,0.3093709884467264,0.2608158220024721,0.2655086848635233,0.2333736396614267,0.3010204081632652,0.4127423822714682,0.5765069551777433,0.6164817749603804,0.571648690292758,0.6346153846153844,0.7832167832167831,0.8545454545454545,0.7346938775510203,0.6293929712460062,0.6887417218543046,0.6639477977161501,0.6242038216560508,0.639871382636656,0.8312387791741469,0.7406143344709895,0.639871382636656,0.8959107806691449,0.8994413407821227,0.6887417218543046,0.9318181818181815,1.081632653061224,1.1338912133891212,1.2077922077922074,1.0731707317073171,1.081632653061224,1.2616407982261642
BBNH-L^L97,0.0959706632082643,-0.0959706632082643,8.0,0.0067306829399623,2.5622172670536824e-07,0.027595704401405,0.2728446498834425,1.0,1.847747093023256,0.0349401488191523,-0.0160994588792987,1.092926311819692e-05,0.0015256214663914,19.814363276318865,-18.5,5.0,1.4269622093023255,0.1182554517133956,-0.0100334448160536,0.0528169014084507,0.16796875,4.920792079207921,0.3171806167400881,4.98,0.3028322440087148,9.678571428571429,0.3000000000000002,9.678571428571429,0.2777777777777779,0.3621867881548977,10.074074074074074,10.074074074074074,0.3778801843317974,9.678571428571429,9.678571428571429,0.368421052631579,0.288793103448276,9.872727272727271,0.371559633027523,0.3438202247191011,0.4621026894865527,0.5695538057742784,0.5452196382428942,0.4987468671679198,0.5025125628140705,0.5139240506329115,0.5778364116094987,0.6383561643835618,0.4692874692874693,0.5820105820105823,0.4340527577937652,0.4875621890547266,0.3438202247191011,0.4409638554216868,0.4514563106796116,0.4070588235294119,0.2563025210084035,0.3230088495575223,0.2777777777777779,0.2484342379958246,0.2563025210084035,0.4340527577937652,0.465686274509804,0.4375,0.3142857142857145,0.4306220095693782,0.3906976744186048
BBOU-L,0.0417289486796213,-0.0417289486796213,8.0,-0.0521654737352905,3.777636247839141e-07,0.0406860630329276,0.1031221498241065,1.0,1.3946345256609642,-0.0312645823611759,-0.018684603886395,3.0362745032476987e-06,-0.0093412592502729,17.44291411726614,-0.4890510948905109,7.0,0.6687402799377916,0.3568559954102123,-0.0317195325542571,0.0527240773286468,0.1932270916334661,0.1979999999999999,0.3107221006564551,0.3801843317972351,0.3078602620087336,0.349099099099099,0.3644646924829158,0.2965367965367966,0.2531380753138075,0.2937365010799138,0.2663847780126849,0.2937365010799138,0.2401656314699793,0.2881720430107526,0.3050108932461874,0.3050108932461874,0.2637130801687763,0.3021739130434784,0.1837944664031621,0.1563706563706564,0.2028112449799195,0.2076612903225807,0.2401656314699793,0.2505219206680584,0.27991452991453,0.3164835164835167,0.4228028503562946,0.4228028503562946,0.3311111111111111,0.3252212389380533,0.2771855010660979,0.3222958057395142,0.2299794661190966,0.3430493273542601,0.3675799086757991,0.2690677966101695,0.2479166666666667,0.2826552462526768,0.1519230769230768,0.134469696969697,0.2531380753138075,0.2610526315789474,0.3801843317972351,0.4160756501182032,0.1768172888015717,0.2854077253218885,0.258403361344538
BBQS-L^G99,0.0552963647180386,-0.0552963647180386,8.0,0.1036095376103279,4.872398420854078e-07,0.0524769184396198,-0.1711885988469075,1.0,1.708792060784618,-0.1617915904936013,-0.0152174593731401,1.3976075955382266e-06,0.0957713081280463,1.7920892178756291,-0.9255765199161424,6.0,0.9837184059544116,-0.0706880574539557,-0.0304878048780486,-0.0681818181818182,-0.098901098901099,-0.1458333333333333,-0.163265306122449,-0.1182795698924732,-0.18,-0.098901098901099,-0.0681818181818182,-0.0939226519337017,-0.1182795698924732,-0.0939226519337017,-0.0628571428571429,-0.098901098901099,-0.0837988826815643,-0.1135135135135135,-0.0465116279069768,-0.0786516853932585,-0.029585798816568,0.058064516129032,-0.0120481927710843,-0.0734463276836159,-0.1458333333333333,-0.16751269035533,-0.0837988826815643,-0.108695652173913,-0.1135135135135135,-0.1182795698924732,-0.0837988826815643,-0.0628571428571429,-0.0837988826815643,0.0123456790123455,-0.0179640718562874,-0.0520231213872832,-0.0837988826815643,-0.0352941176470588,0.0718954248366012,0.0186335403726707,-0.029585798816568,-0.029585798816568,-0.0628571428571429,-0.0837988826815643,0.0314465408805031,0.0649350649350648,0.0,0.0379746835443037,-0.029585798816568,0.1081081081081081,0.1388888888888888
BBTK-L^C11,0.1419922949917446,-0.1419922949917446,8.0,-0.1351351351351351,0.0004884195676662,52.60397775977386,-0.1438526497255423,1.0,2.2118959107806693,0.0324374420759962,-0.12841680425609,7.613465543565933e-08,-0.0195005131713992,0.0036197116086012,-5.776119402985074,6.0,2.159851301115242,0.1758241758241758,-0.0238095238095238,0.0,0.0,0.0,0.0,0.0,-0.0454545454545455,-0.0454545454545455,-0.0454545454545455,-0.16,-0.0232558139534884,0.024390243902439,0.024390243902439,0.024390243902439,0.024390243902439,0.024390243902439,0.0769230769230768,0.0769230769230768,0.0499999999999998,0.0499999999999998,-0.7254901960784315,-0.7469879518072289,-0.7613636363636364,-0.76,-0.7558139534883721,-0.7469879518072289,-0.7586206896551724,-0.7423312883435582,-0.7272727272727273,-0.7123287671232876,-0.7142857142857143,-0.7142857142857143,-0.7142857142857143,-0.72,-0.7181208053691275,-0.7218543046357616,-0.6911764705882353,-0.7103448275862069,-0.72,-0.6528925619834711,-0.6744186046511629,-0.671875,-0.6379310344827587,-0.631578947368421,-0.7062937062937062,-0.7123287671232876,-0.7142857142857143,-0.6865671641791045,-0.7358490566037736
BBTU-L^C18,0.0763284287565754,-0.0763284287565754,8.0,-0.1070511155366986,6.062593834626556e-07,0.065295613107204,0.0405988776381489,1.0,0.863081549619671,-0.0351699882766705,-0.0472974003201843,1.9851384103045355e-06,-0.0386469246976651,4.524207246741664,-12.150485436893202,5.0,0.8328321245356448,-0.0059777523651107,-0.0241935483870967,0.0376569037656904,0.0643776824034334,0.117117117117117,0.0829694323144105,0.0643776824034334,0.0735930735930736,0.2156862745098038,0.2525252525252526,0.1809523809523809,0.1923076923076923,0.3052631578947369,0.3701657458563536,0.2916666666666667,0.2849740932642488,0.3121693121693123,0.3333333333333332,0.4674556213017751,0.6986301369863015,0.7342657342657344,0.5214723926380369,0.4674556213017751,0.493975903614458,0.4502923976608186,0.4502923976608186,0.3701657458563536,0.3932584269662922,0.4502923976608186,0.4090909090909091,0.4761904761904763,0.4502923976608186,0.5796178343949043,0.6533333333333333,0.631578947368421,0.4850299401197606,0.4418604651162792,0.6103896103896103,0.5214723926380369,0.3333333333333332,0.2783505154639176,0.1698113207547169,0.2156862745098038,0.5308641975308641,0.6423841059602649,0.4418604651162792,0.3191489361702129,0.2277227722772277,0.3052631578947369,0.3121693121693123
