firms,age,agr,bm,bm_ia,cash,cashdebt,chatoia,che,chempia,chpmia,chtx,cinvest,convind,depr,egr,ep,grltnoa,herf,hire,invest,lev,lgr,ms,mve_ia,pchdepr,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,roaq,roeq,secured,securedind,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BAJS-L,23.0,-0.1475641344143491,9.598573472814183e-07,0.1617811386974553,0.0953619852139119,0.0732912928891331,0.5487449086845579,-877.9342000000001,-2.341700865623293,-0.0393925997867741,0.0022707010502613,-0.2808712765100009,1.0,0.0679800913309869,0.1113472289533512,1.422089933370341e-07,-0.0817664830712192,0.0001008153158273,-0.4397007185293284,-0.0023759914690222,2.4901782029779125e-06,-0.217036267481457,3.0,9.678028090238378,-0.1444572727654227,0.1271940378954363,0.0524404885064459,0.093767395858668,0.0080370405467064,0.0315913069647404,1.0,1.0,-0.1866006041606854,0.7570232573590511,0.0241907413853115,-0.2196115713703652,-0.2196115713703652,-0.1322863183328299,-0.0606506457413764,-0.1240853658536584,-0.120599938781757,-0.1492448919159017,-0.1099752168525403,-0.1033083645443195,0.0017433751743376,0.1135658914728681,0.1109822119102861,0.1124878993223621,0.3899371069182389,0.3497768381489312,0.5129015271195367,0.6337787887404036,0.786136151694125,0.9281879194630872,1.0,1.5526432696579295,0.772362739049969,0.6236224922294433,0.381914381914382,0.3444080486663545,0.2623022847100176,0.4258064516129034,0.4836044410018074,0.3469292076887014,0.3085857435663859,0.3906098741529527,0.1459912245712007,0.2364966645147408,0.2534904013961605,0.2356989247311829,0.3752991862134993,0.2418413658958287,0.2448006932409012,0.1813322368421053,0.1603392568659127,0.1079830312379483,0.1697882736156353,0.0587801732080339,-0.005366106975939,-0.0219574468085106,-0.0618775510204081,-0.0905349794238683,-0.0854687251313066
BAOH-L,8.0,-0.0084595872258579,8.117628617523974e-07,0.1368202478197045,0.071413021084495,0.4397516742997175,0.7922534741555081,-59.42860000000002,-0.1512375358870075,-0.0016727761709619,-0.0079336412456824,0.148418089467395,1.0,0.1404185768835982,0.0944742887129797,1.6107507798948525e-07,-0.0554002495181348,7.65149676331753e-08,-0.0283978428561677,0.0775135155163291,6.568508157217235e-07,-0.1095531704865485,4.0,0.5562699998915781,0.013103184156736,-0.0266196166981127,-0.1263818942936342,0.4554720724156222,0.0272658530729286,0.0503723911835315,1.0,1.0,0.0867909988491364,0.9124580921643785,-0.0097799511002445,-0.0072815533980583,0.0098765432098766,0.0199501246882793,0.0224999999999999,0.0174129353233831,0.0328282828282828,0.0276381909547738,0.0276381909547738,0.0541237113402062,0.0328282828282828,-0.0072815533980583,-0.0191846522781774,-0.0191846522781774,-0.039906103286385,-0.039906103286385,-0.0120772946859902,-0.0261904761904763,-0.0466200466200467,-0.0285035629453681,-0.0261904761904763,-0.0285035629453681,-0.009685230024213,0.0174129353233831,0.0407124681933841,0.4659498207885304,0.4555160142348753,0.3911564625850339,0.3678929765886285,0.3771043771043769,0.4250871080139371,0.4401408450704225,0.5148148148148146,0.4981684981684982,0.5092250922509225,0.4872727272727273,0.4250871080139371,0.4555160142348753,0.4872727272727273,0.4659498207885304,0.4250871080139371,0.4872727272727273,0.4927007299270072,0.5036764705882351,0.5148148148148146,0.3864406779661016,0.3279220779220779,0.3498349834983498,0.340983606557377
BBOU-L,33.0,-0.0406809174972979,7.935829206942036e-08,0.0133756072112577,0.0536791314837153,0.1284149617689605,0.5593245809462049,50.0,-0.0009582679328273,-0.062490295785348,0.0016386726751331,0.0608269448284529,1.0,0.0921839554547329,0.0184583579444772,3.0606503828426586e-08,-0.045141815172921,1.2924209963941046e-06,-0.0001799337843673,0.0058544493815299,2.7064894099708655e-07,-0.0541257841402605,4.0,13.359510001372978,-0.0539621571458032,-0.0077716256188471,0.0361778558681213,-0.0944724450878564,0.0307482865458642,0.1424532405393649,1.0,1.0,0.0834751531654186,0.5779548284139387,-0.0723488602576809,0.0494019760790431,0.1039387308533916,0.1430189747946757,0.1359414579228819,0.1207997778394891,0.1547925608011444,0.1846199002054593,0.241464164872347,0.3422015297638843,0.4043145441892832,0.3718558803535008,0.4023627519110493,0.3793574846206424,0.6098923015556441,0.5116104868913858,0.6540983606557378,0.4009024644220758,0.496477567667779,0.4156436338126972,0.4591467823571944,0.6386520503451076,0.4352773826458036,0.3027759845061328,0.260855982505467,0.2919334186939821,0.2796448953709576,0.2163954189270645,0.1239209133945977,0.1446398184912083,0.1969157769869514,0.2004759071980963,0.2491488703187867,0.3002577319587629,0.373723621511232,0.3907649896623018,0.4440071556350626,0.4291784702549575,0.5093492894540015,0.4687045123726345,0.4865561694290976,0.4388591800356505,0.4920517560073936,0.4860088365243005,0.5487336914811973,0.6733001658374791,0.6609053497942385,0.6015873015873017,0.4811009174311926
BBXK-L,33.0,-0.1518573434538831,5.396012423443868e-07,0.0909482056644006,0.1287142342800262,0.0328058002650658,1.0396746201901514,120.35,-0.4181255671905818,0.0168165148512565,0.0025466893039049,-0.04202408937271,1.0,0.0807337998655754,-0.3833896016205266,-4.679853087349478e-08,-0.2452540472760691,6.682294850222742e-07,-0.0785113568637838,-0.0224668349060771,1.501240144929745e-06,-0.0191185100534328,3.0,0.6503626417764444,-0.1251131297407405,-0.3153490853260535,-0.2080371776091703,0.2951026487163348,0.0080629160971738,0.0289210453485154,1.0,1.0,-0.1007866901069543,1.6949943148633706,-0.0649350649350648,-0.04149377593361,0.2222222222222223,0.2692307692307691,0.2554347826086955,0.6861313868613137,0.5197368421052633,0.4437499999999998,0.4620253164556962,0.5197368421052633,0.5931034482758621,0.6500000000000001,0.6985294117647058,0.7368421052631577,1.5384615384615383,1.31,1.1792452830188678,1.381443298969072,1.31,1.31,1.4838709677419355,1.31,0.4713375796178343,0.297752808988764,0.0845070422535212,0.2094240837696335,0.2833333333333334,0.2287234042553192,0.2157894736842105,0.1105769230769231,0.09478672985782,0.0176211453744492,-0.2034482758620689,-0.1808510638297872,-0.1720430107526881,-0.2061855670103093,-0.0647773279352227,-0.2061855670103093,-0.2299999999999999,-0.1866197183098591,-0.2401315789473683,-0.2248322147651006,-0.2248322147651006,-0.1894736842105263,-0.1894736842105263,-0.1444444444444445,-0.2061855670103093,-0.2325581395348837,-0.2666666666666666
BCIP-L,23.0,-0.1143768213111707,7.352930936209855e-06,1.2393149284036378,0.1340425221979993,-0.0880797034503814,0.2541965427990239,-12675.6024,-0.3737790371115448,0.7174713701797363,0.1306935482955081,-0.0325885419285496,1.0,0.2472739289240651,-0.3772899011785092,-3.653242103222589e-06,-0.176586689604173,1.3191721783734658e-06,-0.0701844174898066,-0.0527062946957976,1.9907889472856003e-05,-0.0044198530472354,3.0,0.3057699427016918,-0.0286355757161529,-0.052492028829492,-0.1839505126407548,-0.3004419462668665,-0.1158583177243048,-0.3246853501859291,1.0,1.0,-0.0915770747199113,1.6949943148633706,-0.0833333333333332,-0.027027027027027,0.2857142857142856,0.1999999999999999,0.0285714285714286,0.0588235294117645,-0.0526315789473684,-0.1219512195121951,-0.1627906976744186,-0.1219512195121951,-0.0526315789473684,0.0285714285714286,-0.0526315789473684,-0.0526315789473684,0.2857142857142856,0.161290322580645,0.0285714285714286,0.161290322580645,0.161290322580645,0.125,0.125,0.125,-0.1627906976744186,-0.1,-0.2173913043478261,-0.2340425531914893,-0.2,-0.2,-0.1428571428571429,-0.1818181818181818,-0.1219512195121951,-0.027027027027027,-0.1,-0.1428571428571429,-0.1219512195121951,-0.027027027027027,-0.0526315789473684,-0.1818181818181818,-0.1,-0.0769230769230769,-0.1627906976744186,-0.28,-0.2653061224489795,-0.3333333333333333,-0.4193548387096775,-0.3898305084745762,-0.3454545454545455,-0.3333333333333333,-0.3207547169811321
BCQF-L,33.0,0.0652867096866729,3.810044480230453e-07,0.0642171814640408,0.084475344312531,0.0888748731158761,0.668398315873993,179.42229999999995,-0.1189246374691223,-0.0068709713195794,0.0008910528138955,0.0136333999175423,1.0,0.262353589616733,0.1527993708372056,4.37820678756114e-08,0.1160255338378168,2.2774729166973867e-05,-0.0223304561712644,0.0030645023384347,7.756441031437231e-07,0.0157960614038635,4.0,15.368189841627997,-0.1006285076165877,0.015534883144034,-0.0414427702820711,0.0483974476296218,0.0116394315249886,0.0367348471345995,1.0,1.0,0.0302161436987974,0.6186280342153345,-0.0880756706466118,0.0247080320966075,0.0804154799798961,0.0820469798657717,0.0692199287076182,0.1170000866025806,0.1217603061401981,0.104469943483473,0.0562607485054458,0.0737595737595735,0.1399027839151567,0.1183560218503423,0.2286149742808152,0.2722430459656737,0.3824222936763128,0.3279110470503448,0.2400730698971251,0.2788023002181241,0.3725657124614236,0.4663483401546158,0.6550750673681507,0.9754939500689228,0.6120484939382576,0.3638574600824786,0.3141110545084054,0.2845334130066725,0.4242491166077737,0.4931697152118546,0.5675741370928535,0.4893764434180139,0.362992708443411,0.4192341549295775,0.4060830698789925,0.5400597014925372,0.5465227817745801,0.538590003578671,0.4554276686978107,0.3918204381137367,0.4449921577414293,0.3173322438974568,0.2836385350318469,0.2101707637455432,0.2962814070351758,0.3033548908649959,0.3879263962122026,0.4187658123418765,0.3614101752163816,0.2621587239455913,0.2501696229524086
BCYN-L,33.0,0.0652743705773186,5.564962876016559e-07,0.0937958159554584,0.1485772039280996,0.5598346195444808,1.0717925199963505,879.1581000000001,0.2136182822085651,-0.0794951210149984,0.0007244305073157,0.1212201171896895,1.0,0.0692469997697193,0.1020827823573306,2.2823791944589202e-07,-0.0226798557164648,1.752750526774663e-05,0.0401110635252321,0.0652024522537563,5.010327622982378e-07,0.0264252438954608,3.0,10.491631289378088,0.0533115083372803,0.1588830490545822,0.0358005430174692,-0.1372426922899675,0.0425464034016012,0.0851192783644088,1.0,1.0,0.4350760661021758,0.6635660856523763,0.1004226202455222,0.0538706256627783,0.0722917565817866,0.0077063475968361,-0.0879221732745961,-0.2106433677521844,-0.1745847176079734,-0.2240787008119926,-0.2033028699695366,-0.1159935954456502,-0.2216478696741856,-0.1296198984060256,-0.0986758570651189,0.0118102219507227,0.1316328854475064,0.0672250859106529,0.1938971648246035,0.1596266044340721,0.1081623550401424,0.1081623550401424,0.1146253925527143,0.10226264418811,0.1352524560201049,0.1561191251744997,0.1794445763114169,0.1496992133271633,0.1502314814814813,0.0889765505150119,0.0725232031081373,0.079044516829533,0.1247170665459482,0.122684139177587,0.1634277686724419,0.1661581788312602,0.1758163748225272,0.1645183970002341,0.127780299591466,0.1334397810218976,0.1537032737404224,0.1596266044340721,0.1454587367450437,0.1661581788312602,0.10226264418811,0.1196484903109507,0.2296461271962386,0.3914869784374124,0.2463004765487835,0.2595690747782,0.2605276509386096
BCZB-L,33.0,-0.0993306367899201,9.829160228369658e-07,0.1656676107849976,0.0234839476813317,0.0500490677134445,1.425489720686112,49.0,0.0274519065127966,0.010447772835403,-0.0005548197730608,0.0404321726383749,1.0,0.0936703164841757,-0.1503923838929628,-4.167421053821176e-08,-0.0932974255635699,6.72628087426806e-06,0.0051546391752576,-0.0092350646096574,2.762107139886192e-06,-0.0796468954572505,3.0,1.0327929525674282,0.0244817974069448,-0.0249956011723082,0.063675300616084,-0.1023929312053899,0.0056083502103131,0.0203504804974561,1.0,1.0,0.0018970096230124,1.6949943148633706,0.0434782608695651,-0.0142857142857143,-0.064406779661017,-0.0281690140845071,-0.0980392156862746,-0.0315789473684211,0.0147058823529411,0.0298507462686565,0.1596638655462183,0.1548117154811714,0.2321428571428569,0.140495867768595,0.2212389380530974,0.2777777777777777,0.3333333333333332,0.4526315789473683,0.541899441340782,0.4759358288770052,0.3596059113300494,0.4226804123711338,0.4153846153846152,0.295774647887324,0.3529411764705881,0.3731343283582089,0.1999999999999999,0.295774647887324,0.3463414634146342,0.2545454545454544,0.4010152284263959,0.4081632653061224,0.4010152284263959,0.3799999999999999,0.1948051948051947,0.1744680851063829,0.1896551724137931,-0.0383275261324043,0.0415094339622641,-0.0980392156862746,-0.1210191082802548,-0.1293375394321767,-0.1533742331288343,-0.1559633027522936,-0.1293375394321767,-0.1265822784810127,-0.1210191082802548,0.1548117154811714,0.078125,0.0866141732283463,0.1452282157676347
BCZN-L,33.0,0.1955533578654905,2.551589272717484e-07,0.043006288298736,0.0873537957080976,0.2950448313327539,0.847120958312963,44.664499999999975,-0.4408537921393141,-0.0312773607832735,0.003596608581668,0.0488771715109006,1.0,0.1928399332241684,0.0863456416216051,4.782907774022524e-08,0.1503938155278255,5.222944271527651e-07,-0.0827790312655669,0.0424300587150016,2.584145174554258e-07,0.3248442524316927,5.0,3.7985689477259386,0.000741245173756,0.0718124496746095,-0.2252125727512076,0.0437380266986627,0.0246710255340162,0.0462456049657471,1.0,1.0,0.0504288944008439,0.4646563686363663,-0.0528846153846154,0.0793980280228334,0.1081513052743741,0.238832638475283,0.1194833153928958,0.1081513052743741,0.1176786673831273,0.0855949895615866,0.1273712737127372,0.038442336495257,0.0617662072485962,0.131664853101197,0.1555555555555556,0.2256923983500296,0.4793741109530582,0.3488975356679638,0.4178595773687799,0.4140040788579198,0.3711272247857613,0.5533980582524272,0.6801292407108239,0.9585687382297554,0.6099071207430342,0.476224272533712,0.4149659863945578,0.4964028776978417,0.4996395097332373,0.6774193548387097,0.7582417582417582,0.6275430359937404,0.4188267394270122,0.6993464052287581,0.4783226723525231,0.625,0.6507936507936509,0.6951915240423798,0.8505338078291815,0.7537942664418213,0.7049180327868854,0.5373244641537325,0.5215801024140454,0.5039768618944325,0.584158415841584,0.5721844293272864,0.6733708769107001,0.6000000000000001,0.5441722345953972,0.5193571950328708,0.5963161933998467
BDAJ-L,33.0,-0.0744256283033114,4.731905704422502e-07,0.079754881830999,0.1725047478370964,-0.0264625271713448,-0.0555351710844502,20.800000000000004,-4.831948939667984,0.2173919310030692,0.0057109098070106,0.0035960443512136,1.0,0.3373983739837398,-0.0131111718109806,-1.2703981547992878e-07,-0.1580775263275763,8.65998087190954e-10,-0.9072941176470588,-0.0026965807356271,6.507843743502743e-07,-0.1145759087669281,4.0,0.1173692949881362,0.1485817737143294,-0.2168409789739133,-0.2242072820352086,0.5165334587055321,0.0471390280853047,0.1119568225851093,1.0,1.0,-0.4834665412944679,1.6949943148633706,0.0448717948717947,0.1142857142857143,-0.0658682634730538,-0.1186440677966101,-0.1136363636363636,-0.0429447852760734,-0.1186440677966101,-0.2277227722772277,-0.1999999999999999,-0.1958762886597937,-0.0823529411764705,0.248,0.1223021582733814,0.0196078431372548,0.752808988764045,0.6774193548387097,0.1223021582733814,0.1470588235294117,0.0540540540540541,-0.0063694267515923,-0.031055900621118,0.1908396946564885,-0.390625,-0.4507042253521126,-0.4368231046931408,-0.3809523809523809,-0.3658536585365853,-0.1746031746031745,-0.0487804878048779,0.0196078431372548,-0.0487804878048779,0.0331125827814569,-0.0188679245283018,-0.0188679245283018,-0.0714285714285714,-0.0487804878048779,0.1304347826086958,0.0,-0.031055900621118,-0.1136363636363636,-0.0877192982456139,-0.1702127659574467,-0.1789473684210525,-0.1657754010695187,-0.1034482758620689,-0.2427184466019417,-0.3004484304932735,-0.3157894736842104,-0.3553719008264462
