firms,absacc,acc,age,agr,bm,bm_ia,chpmia,convind,currat,egr,ep,herf,invest,mve_ia,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pchsale_pchxsga,pctacc,ps,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BABJ-L^I00,0.1507274028142141,0.1507274028142141,3.0,0.0429989646141664,4.313486210294693e-07,0.4289565652963847,0.0208150476333458,1.0,1.301546778795615,-0.1009240804493567,6.841422102986544e-08,1.9432091225368e-06,0.0239965893172543,2.635841418630506,-21.4945500701544,0.1800733585578785,0.2404996890889816,0.3095189035153451,-0.0012081490443203,3.2121982210927573,3.0,0.8990839465385194,0.3655308527311778,0.0641891891891892,0.1003717472118959,0.1319311663479923,0.151750972762646,0.2595744680851064,0.0942698706099813,0.0533807829181494,0.0331588132635252,-0.0067114093959731,0.03859649122807,0.1044776119402983,0.1106941838649155,0.0440917107583773,0.0136986301369863,0.0647482014388489,0.1887550200803212,0.1653543307086613,0.256900212314225,0.2649572649572651,0.2463157894736842,0.1106941838649155,-0.0948012232415902,-0.0632911392405063,-0.0764430577223089,0.0533807829181494,0.0033898305084745,-0.0100334448160536,-0.0735524256651016,-0.1457431457431457,-0.1395348837209302,-0.1281296023564064,-0.0497592295345105,-0.101669195751138,-0.0662460567823344,-0.0389610389610389,0.0016920473773265,0.047787610619469,0.0942698706099813,0.1024208566108006,0.0802919708029197,0.2333333333333334,0.1959595959595959,0.0842490842490841,0.1212121212121211,0.1585127201565557,0.0882352941176469,0.0962962962962961,0.0962962962962961,0.0571428571428571
BACQ-L^J02,0.0498582156991057,-0.0498582156991057,1.0,0.0051862034491376,9.151177600164692e-07,0.9100429491150908,0.0561872019113163,1.0,0.8417645287563986,-0.3346440677966102,-2.4989969399267757e-08,9.689218631877336e-07,0.2118220444888777,1.2286551521693607,4.755056700248707,-0.1485523936200248,-0.0715733601650049,-0.7883916826115575,-0.0119963774679931,-5.970149253731352,1.0,0.4929238181270702,-0.0778326764003775,0.0212765957446807,0.3055555555555556,0.1749999999999998,0.2368421052631577,0.2368421052631577,0.2368421052631577,0.0217391304347824,0.0681818181818181,0.0681818181818181,0.3823529411764703,0.119047619047619,-0.3733333333333334,-0.5154639175257731,-0.5204081632653061,-0.5204081632653061,-0.3733333333333334,-0.3896103896103896,-0.4719101123595506,-0.3188405797101449,-0.3561643835616438,-0.5346534653465347,-0.5566037735849056,-0.5982905982905983,-0.75,-0.6845637583892618,-0.70625,-0.7344632768361582,-0.7552083333333334,-0.7718446601941747,-0.7602040816326531,-0.7602040816326531,-0.8,-0.8239700374531835,-0.8192307692307692,-0.794759825327511,-0.7761904761904762,-0.7783018867924528,-0.7783018867924528,-0.7696078431372549,-0.7673267326732673,-0.7218934911242604,-0.7251461988304093,-0.7740384615384616,-0.7526315789473684,-0.7626262626262627,-0.7920353982300885,-0.7965367965367965,-0.8016877637130801,-0.8081632653061225
BALZ-L^I10,0.0537624942980385,-0.0537624942980385,4.0,-0.1968686868686869,1.8567428881608989e-06,1.846446269013516,0.0147039200425807,1.0,2.131091300646066,-0.124014644282463,-1.0122985436413201e-07,4.255914971185187e-09,-0.0338816738816738,0.0655512348894905,-24.99917532312988,-0.0080445412319163,-0.0675567182806562,-0.3205582539450917,-0.0862935925358285,-2.319751381215469,3.0,1.5559673461211,-0.4893784786641929,0.5,-0.111111111111111,-0.2,-0.111111111111111,0.1428571428571428,-0.2727272727272727,-0.4285714285714286,-0.4285714285714286,-0.3846153846153846,-0.3846153846153846,-0.4285714285714286,-0.4285714285714286,-0.4666666666666667,-0.5,-0.5294117647058824,-0.5,-0.5294117647058824,-0.6190476190476191,-0.6666666666666666,-0.6799999999999999,-0.7241379310344827,-0.7333333333333334,-0.7575757575757576,-0.7777777777777778,-0.7647058823529411,-0.7894736842105263,-0.7777777777777778,-0.7837837837837838,-0.7647058823529411,-0.7714285714285714,-0.7575757575757576,-0.7837837837837838,-0.7714285714285714,-0.7894736842105263,-0.8,-0.8,-0.8297872340425532,-0.8571428571428572,-0.864406779661017,-0.875,-0.8596491228070176,-0.8620689655172413,-0.8666666666666667,-0.8490566037735849,-0.8518518518518519,-0.8688524590163934,-0.864406779661017,-0.8333333333333333,-0.8431372549019608
BBEK-L^L95,0.0818751003371326,0.0818751003371326,3.0,0.1508977900552485,1.7776767809658217e-07,0.1767818625107268,0.033400634370314,1.0,1.1534737351730815,0.0752351097178683,5.7169511188719193e-08,5.272080903798253e-07,0.0776933701657458,5.747455329305099,-5.7074269514773945,-0.0477785481850653,-0.0264468769016489,-0.1300932967782724,-0.0482182584959831,0.7112970711297063,2.0,0.8585088356330185,0.0526632302405497,-0.0692307692307692,0.1963190184049079,-0.0076335877862595,0.0077519379844961,0.1963190184049079,0.0209424083769633,-0.148471615720524,-0.1630901287553648,-0.218436873747495,-0.2137096774193548,-0.2040816326530613,-0.2073170731707316,-0.1875,-0.1630901287553648,-0.0951276102088166,0.0344827586206897,0.056910569105691,0.0182767624020887,0.1271676300578035,0.0985915492957747,0.1572700296735905,0.029023746701847,0.0540540540540539,0.04,0.1926605504587155,0.1641791044776119,0.21875,0.1818181818181818,0.1403508771929824,0.1142857142857143,0.1926605504587155,0.2302839116719242,0.0714285714285714,0.1337209302325581,0.2871287128712871,0.3043478260869563,0.2745098039215685,0.3131313131313129,0.368421052631579,0.4552238805970148,0.6883116883116882,0.6810344827586208,0.5234375,0.5725806451612903,0.7030567685589519,0.5294117647058825,0.4828897338403042,0.5,0.4828897338403042
BBIO-L^E18,0.0180239324400942,0.0180239324400942,3.0,-0.0069584869751397,5.92410895325398e-07,0.589125664286238,0.0242651703465639,1.0,1.3763379204892965,-0.0258785472724599,3.2817328088214505e-08,1.301784613660684e-06,-0.0113001070536457,2.562440426922103,-35.83342231799999,0.046633943134332,0.1434944809870935,-0.0797753595434988,-0.0562689932359572,0.8228882833787451,3.0,0.8205275229357798,-0.0562689932359572,0.0860759493670886,0.1686390532544379,0.1826347305389222,0.234375,0.3344594594594594,0.3811188811188812,0.1861861861861862,0.0589812332439678,0.0259740259740259,0.151603498542274,0.144927536231884,0.1318051575931231,0.0762942779291553,0.0533333333333334,0.085164835164835,0.2539682539682539,0.2006079027355622,0.2042682926829269,0.348122866894198,0.2619808306709266,0.144927536231884,0.0505319148936171,-0.0342298288508556,0.0154241645244215,0.0233160621761658,0.0076530612244898,0.0340314136125654,-0.0792540792540792,-0.1043083900226757,-0.0149625935162094,0.0286458333333334,-0.0856481481481481,-0.1337719298245613,-0.0919540229885056,0.0,0.0128205128205129,0.0259740259740259,0.0821917808219179,0.1095505617977528,0.1189801699716714,0.32996632996633,0.2783171521035599,0.1897590361445784,0.2908496732026144,0.2908496732026144,0.1791044776119403,0.2619808306709266,0.2460567823343848,0.2783171521035599
BBNH-L^L97,0.0379427097328962,0.0379427097328962,3.0,-0.0247346072186836,3.259988374938816e-07,0.3241910019052456,-0.0070565160317936,1.0,1.356020942408377,0.006196518146946,6.290534752814489e-08,2.6872913109988452e-05,-0.1126326963906581,23.967860025349147,247.4221156600554,0.103254829939021,0.1358179943496192,-0.020924161020593,-0.0687672982754949,0.5364741641337386,5.0,0.7949389179755671,-0.0687672982754949,0.0556701030927835,-0.4532130777903044,-0.4705240174672489,-0.4823906083244397,-0.4501133786848073,-0.4092570036540804,-0.4307511737089202,-0.4170673076923077,-0.4226190476190476,-0.3829516539440204,-0.3445945945945946,-0.3684895833333333,-0.4027093596059113,-0.3960149439601494,-0.3374316939890711,-0.2673716012084592,-0.2814814814814815,-0.1943521594684385,-0.1213768115942028,-0.1035120147874307,-0.1308243727598567,-0.2629179331306991,-0.2561349693251533,-0.2362204724409449,-0.1117216117216117,-0.1695205479452055,-0.1339285714285714,-0.2023026315789474,-0.2277070063694268,-0.149122807017544,-0.0582524271844661,-0.1608996539792389,-0.2338072669826225,-0.184873949579832,-0.1229656419529838,-0.0951492537313434,-0.1550522648083624,-0.1149635036496351,-0.060077519379845,-0.050880626223092,0.127906976744186,0.0801781737193763,0.0777777777777777,-0.0020576131687244,-0.0061475409836065,-0.0182186234817814,-0.0471512770137525,-0.0471512770137525,-0.0081799591002045
BBOU-L,0.0362195812110922,-0.0362195812110922,3.0,0.1466970387243735,2.9482218536944906e-07,0.2931872407692545,0.0049933024641962,1.0,1.562439024390244,0.0202762268586541,5.400544639832074e-08,3.039362746069989e-06,0.1138952164009111,26.98425843351598,140.65278649911025,0.0064791261409546,0.008009228740936,-0.1320960067478173,0.1707122960604854,-0.4025157232704403,7.0,0.7521951219512195,0.1707122960604854,-0.0065897858319604,0.0996376811594204,0.0288135593220337,0.0611888111888112,0.1948818897637796,0.2262626262626261,0.1583969465648855,-0.4123910939012585,-0.4095330739299611,-0.3825025432349949,-0.3735810113519091,-0.3735810113519091,-0.3314977973568281,-0.3217877094972066,-0.2459627329192547,-0.1970899470899469,-0.202365308804205,-0.1797297297297297,-0.1414427157001414,-0.1033973412112259,-0.1474719101123595,-0.2478314745972738,-0.2355163727959698,-0.217783505154639,-0.0926756352765321,-0.0940298507462686,-0.0718654434250763,-0.0872180451127819,-0.1151603498542274,-0.0661538461538461,0.016750418760469,0.0705467372134038,0.0218855218855218,0.121996303142329,0.2043650793650793,0.2438524590163935,0.3053763440860215,0.3858447488584475,0.5289672544080604,0.5604113110539846,0.817365269461078,0.8506097560975612,0.7852941176470589,0.8909657320872275,0.9967105263157896,0.8562691131498472,0.8338368580060425,0.8734567901234567,0.926984126984127
BBQS-L^G99,0.0273847558192606,0.0273847558192606,3.0,0.0644492603410912,6.602484929288303e-07,0.6565870666119882,0.0053741664825064,1.0,1.9102374882597613,0.5096315691041705,1.0101671069959185e-07,7.614389118342493e-06,-0.0281729953830208,2.801332544740339,-27.02742758728744,0.4550423174351988,0.7559829327762504,0.1889453053993007,-0.016628473466662,0.4858299595141711,4.0,1.1642291694619618,0.1047162649459101,-0.0867346938775509,0.2024539877300615,0.2727272727272727,0.1807228915662651,0.1736526946107783,0.1736526946107783,-0.0050761421319797,-0.0967741935483871,-0.176470588235294,-0.1729957805907173,-0.0666666666666667,-0.1867219917012449,-0.2159999999999999,-0.2159999999999999,-0.1210762331838565,0.1666666666666667,-0.2,-0.2096774193548387,-0.2313725490196078,-0.2032520325203252,-0.2432432432432432,-0.302491103202847,-0.3049645390070922,-0.2575757575757575,-0.1659574468085106,-0.1288888888888889,-0.2461538461538461,-0.2713754646840148,-0.3194444444444444,-0.2659176029962546,-0.2924187725631769,-0.3422818791946309,-0.367741935483871,-0.3049645390070922,-0.2767527675276753,-0.2767527675276753,-0.2713754646840148,-0.2767527675276753,-0.289855072463768,-0.2872727272727272,-0.1799163179916318,-0.234375,-0.2631578947368421,-0.2547528517110266,-0.2432432432432432,-0.2974910394265233,-0.3241379310344827,-0.2846715328467154,-0.2949640287769783
BBTK-L^C11,0.1154611811546117,0.1154611811546117,3.0,0.9314679036360916,9.422660098522168e-07,0.9370406475789392,0.1495792467453815,1.0,1.6416831683168316,0.6767180925666197,1.1756978653530378e-08,2.764856097850481e-08,0.3823632101351688,3.488576359118223,106.46643368117932,-0.4067210398397732,-0.4026693086471938,-0.1874237118870867,-0.3406803494445538,18.955307262569832,2.0,1.6147524752475246,-0.2164199944149678,-0.0645161290322581,0.1729729729729729,0.0432692307692306,-0.125,-0.0269058295964126,-0.2137681159420289,-0.3111111111111111,-0.2790697674418604,-0.3343558282208588,-0.3404255319148936,-0.361764705882353,-0.3260869565217392,-0.3764367816091954,-0.3870056497175141,-0.4166666666666667,-0.3691860465116279,-0.4244031830238727,-0.485781990521327,-0.5068181818181818,-0.5209713024282561,-0.5660000000000001,-0.5112612612612613,-0.4745762711864406,-0.469437652811736,-0.3988919667590027,-0.6340640809443507,-0.6465798045602607,-0.6582677165354331,-0.629059829059829,-0.6061705989110708,-0.581888246628131,-0.5702970297029704,-0.5890151515151516,-0.5810810810810811,-0.556237218813906,-0.5303030303030303,-0.5353319057815846,-0.5177777777777778,-0.5056947608200455,-0.5616161616161617,-0.5516528925619835,-0.5323275862068966,-0.5677290836653386,-0.6118067978533095,-0.4319371727748691,-0.5353319057815846,-0.5199115044247787,-0.4733009708737864,-0.4628712871287128
BBTU-L^C18,0.0208163391741613,0.0208163391741613,3.0,0.0639998295042837,1.1230342275670676e-06,1.1168064101323194,0.017972987300795,1.0,1.7808687164470474,0.1444101247543022,6.046410927628083e-08,5.032567276118683e-06,0.0032181066450705,5.820824271846291,-26.685844426263333,0.2509604387640133,0.343948334361398,-0.1990026179961254,-0.0375642581141858,0.6562500000000003,3.0,1.4649422482511794,-0.0038942244441521,-0.0674603174603174,0.1886792452830188,0.0862068965517242,0.1999999999999999,0.0862068965517242,0.0677966101694915,0.008,-0.0270270270270269,-0.136986301369863,-0.0735294117647059,0.05,-0.0526315789473684,-0.1126760563380281,-0.1310344827586206,-0.0631970260223048,0.0956521739130435,0.024390243902439,-0.0454545454545455,-0.0526315789473684,0.0413223140495868,-0.1063829787234041,-0.2149532710280374,-0.245508982035928,-0.2100313479623824,-0.0418250950570341,-0.1515151515151516,-0.1399317406143345,-0.2100313479623824,-0.2609970674486803,-0.1818181818181818,-0.1063829787234041,-0.2363636363636363,-0.2432432432432432,-0.2340425531914893,-0.1340206185567011,-0.5655172413793104,-0.5508021390374331,-0.5393053016453382,-0.5280898876404494,-0.4939759036144578,-0.4193548387096774,-0.4084507042253521,-0.4473684210526315,-0.4375,-0.4084507042253521,-0.4233409610983981,-0.413953488372093,-0.3883495145631068,-0.3793103448275862
