firms,age,agr,bm,bm_ia,cash,cashdebt,chatoia,che,chpmia,chtx,cinvest,convind,depr,egr,ep,grltnoa,herf,invest,lev,lgr,ms,mve_ia,pchdepr,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,roaq,roeq,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ-L^I10,18.0,0.1577260650019519,1.4466108083716697e-07,0.0555482807152843,0.0980166824680859,0.1219189377761803,1.3428849381899584,4.266,-0.0819074889495785,0.0097055897648999,-0.0131820232112751,1.0,0.1780648865920183,0.1832710795419753,2.823501224164328e-08,0.0904865145621716,8.215482877242813e-10,-0.0340939140946696,3.141784548196285e-07,0.1385874480014469,3.0,0.2428798117272213,-0.3269567461384275,-0.0017587992599501,0.0890073389017905,0.0903779587473058,0.0241123206836911,0.0735149666546037,0.0862822338717008,0.581486005837111,0.0126582278481013,0.0533333333333334,0.1532846715328466,0.234375,0.3982300884955754,0.4905660377358489,0.5643564356435644,0.595959595959596,0.5643564356435644,0.5047619047619047,0.4363636363636363,0.5047619047619047,0.6288659793814435,0.6458333333333335,0.9506172839506172,0.7954545454545456,0.9036144578313254,1.0256410256410255,1.5483870967741935,1.393939393939394,1.6333333333333335,1.5483870967741935,1.8727272727272728,1.8214285714285712,2.16,2.0384615384615383,2.291666666666667,2.291666666666667,2.5909090909090917,2.4347826086956523,2.291666666666667,2.16,2.291666666666667,2.291666666666667,1.6779661016949157,1.724137931034483,2.0980392156862746,2.16,2.4347826086956523,2.3617021276595747,2.0384615384615383,2.853658536585366,2.7619047619047623,3.1578947368421053,3.6470588235294112,4.448275862068966,3.9375,4.448275862068966,4.096774193548387
BAOH-L,32.0,0.1536607348007417,1.3332897914990004e-06,0.51196876993042,0.0272352142811313,0.3013675258026748,0.7294947156279665,29.4698,-0.1231178826035481,0.0071469095046603,0.9543888057085976,1.0,0.0662800163622056,0.0579064577802326,1.010438252442746e-07,0.1099626070992389,3.1386052982496125e-08,0.1933014783124302,8.14142963471886e-07,0.3610436961319392,4.0,0.6318166384202358,-0.2566124941101855,0.4110676885228166,-0.0869590929911542,0.6894805111514767,0.0248810533672503,0.0389841723367783,0.1278647812946697,1.0533406260904383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBIO-L^E18,18.0,-0.1189839572192513,3.940571769888984e-07,0.1513136674949267,0.1204855842185129,0.1243781094527363,1.4646999415647517,36.5,-0.0518894246734526,-0.0017402945113788,0.0233781414377556,1.0,0.1093057607090103,0.0194285714285714,7.819296000788675e-08,0.0486140724946602,3.376940265025797e-07,-0.0280748663101604,1.0545005397673769e-06,-0.1592109897851356,5.0,1.3719252594613,0.0142384871230619,3.9053366486344334,-0.0102617021676246,-49.68565590111643,0.0108437314319667,0.0390792291220556,-0.0038377192982456,0.0440118356166788,0.1582733812949641,-0.0511945392491468,-0.0855263157894737,-0.0511945392491468,-0.1003236245954692,0.0373134328358206,-0.0106761565836299,0.0072463768115942,-0.1146496815286625,-0.1701492537313433,-0.1823529411764706,-0.0639730639730641,-0.0347222222222222,-0.0211267605633802,-0.0141843971631205,-0.0671140939597315,-0.0511945392491468,0.041198501872659,0.0775193798449611,0.0944881889763777,0.2086956521739129,0.0859375,0.0651340996168581,0.139344262295082,0.1729957805907171,0.2522522522522521,0.2870370370370367,0.2990654205607475,0.2410714285714283,0.2192982456140351,0.1300813008130081,0.2300884955752213,0.2139737991266375,0.1346938775510202,0.0530303030303029,0.0775193798449611,0.041198501872659,0.0373134328358206,0.0109090909090907,0.139344262295082,0.0451127819548871,0.1982758620689655,0.2870370370370367,0.3175355450236967,0.3899999999999999,0.7374999999999998,0.6257309941520468,0.4329896907216495,0.383084577114428
BBOU-L,18.0,0.0476154656235895,1.660146391351574e-07,0.0637478147139423,0.0676801332778009,0.2268790762322249,0.7730256303560862,447.5,-0.1023701889390568,0.0131815243157819,-0.0363003480855295,1.0,0.1089058524173028,0.2364734962922274,7.035893635492677e-08,0.0938246206972557,1.3478041022768342e-06,-0.0041372047540243,3.409532104495036e-07,-0.0226215644820295,4.0,16.43553874779983,0.0428108334204748,-0.2289961734393464,0.057070629443398,0.7420316604057324,0.0321318302577726,0.0994002665482008,0.0789121711992866,0.14779949451274,-0.0009980039920159,0.0266393442622949,0.0266393442622949,0.0648246546227417,0.0659574468085104,0.0809061488673139,0.0879478827361561,0.1283783783783783,0.1071823204419888,0.1010989010989011,0.1309255079006772,0.1843971631205672,0.188612099644128,0.1816037735849056,0.2028811524609843,0.2072289156626503,0.2447204968944096,0.2796934865900382,0.2160194174757281,0.2619647355163728,0.2945736434108525,0.3218997361477571,0.346774193548387,0.3744855967078189,0.3485868102288021,0.3651226158038148,0.3614130434782607,0.4396551724137931,0.4649122807017543,0.4627737226277373,0.3688524590163933,0.403361344537815,0.3253968253968253,0.4192634560906516,0.3289124668435013,0.3916666666666666,0.3632653061224489,0.3614130434782607,0.4355300859598852,0.5321100917431192,0.4822485207100591,0.5804416403785488,0.5559006211180122,0.5227963525835866,0.46705710102489,0.527439024390244,0.5804416403785488,0.5559006211180122,0.4844444444444444
BBTU-L^C18,18.0,-0.8431044314858079,-2.198338562600827e-07,-0.0844138083829464,0.0426779223824598,0.1100412017962131,-2.106775595339938,31.45,-0.2856265593762991,0.0016260162601626,0.110091743119266,1.0,0.174413821472645,-1.241794268523161,6.848548752208351e-08,-0.8655748131656942,2.38620518647072e-08,0.0104302717021394,5.189187119056793e-07,-0.4790170398535417,3.0,1.728337413409666,-0.0669798259931088,0.998730512715816,0.0839824732229795,-1.00569811645761,0.0385747577578805,-0.044109396914446,-0.9160175267770204,0.3805299814931467,0.0861244019138756,0.0295566502463053,0.0170316301703161,0.0690537084398976,0.0773195876288659,0.0773195876288659,0.0195121951219512,0.0609137055837563,-0.0047619047619048,0.0663265306122449,0.1358695652173911,0.1420765027322403,0.1483516483516482,0.244047619047619,0.2222222222222221,0.3144654088050314,0.3269841269841269,0.4266211604095562,0.4315068493150684,0.4364261168384877,0.5255474452554743,0.4026845637583891,0.3227848101265822,0.4074074074074072,0.471830985915493,0.6201550387596897,0.6015325670498084,0.4928571428571429,0.6076923076923075,0.6015325670498084,0.548148148148148,0.553903345724907,0.6854838709677418,0.8333333333333333,0.8253275109170304,0.8495575221238938,0.8577777777777778,0.944186046511628,1.1326530612244898,1.2967032967032963,1.1111111111111112,1.1111111111111112,1.2717391304347825,1.3093922651933698,1.714285714285714,2.028985507246377,1.75,1.5962732919254656,1.502994011976048
BCQE-L^A14,18.0,-0.1344211344211344,-2.758833214078686e-07,-0.1059361930212536,0.1157455683003128,0.0101608806096528,1.388978521627492,35.0,-0.2239337132650939,0.0008396305625524,-0.0144060999871521,1.0,0.2040229885057471,0.0248833592534992,-1.7164212712780897e-08,0.0420658059141933,1.5437033458221976e-07,-0.0889665889665889,1.1809815625062174e-06,-0.0852788586251621,2.0,1.447720780683822,-0.1071469215887105,0.0439490575566524,0.0435822707641495,0.028074751967157,0.0153688524590163,-0.0958466453674121,-0.1594252480328429,1.558018980830431,0.0909090909090908,0.0456273764258554,0.1956521739130436,0.2614678899082567,0.3613861386138615,13.473684210526317,12.75,10.956521739130434,10.458333333333334,10.458333333333334,12.75,11.5,14.27777777777778,14.27777777777778,18.642857142857142,17.333333333333336,17.333333333333336,20.153846153846157,26.5,21.916666666666668,20.153846153846157,16.1875,15.176470588235292,12.75,16.1875,13.473684210526317,16.1875,21.916666666666668,18.642857142857142,16.1875,14.27777777777778,16.1875,12.75,13.473684210526317,11.5,9.576923076923077,14.27777777777778,12.095238095238097,7.59375,8.821428571428571,6.857142857142858,9.576923076923077,12.75,14.27777777777778,18.642857142857142,26.5,17.333333333333336,4.288461538461538,4.188679245283018
BCYN-L,18.0,0.0150756247159593,3.324047794747518e-07,0.1276398178038617,0.037774687586896,0.5719711805424033,0.7943556747048887,41.98339999999996,-0.0880950356053227,0.0045166438566315,0.3145293760531977,1.0,0.0661503098279417,0.0697099756612868,1.3560919078655885e-07,0.0103403339737399,3.368272410369847e-06,0.0263008139714345,2.754664222767623e-07,-0.0578030734422786,4.0,16.982917735740642,-0.1262605343205272,0.1006402057196707,-0.0525481801215824,-0.1849736536368633,0.0503779410875905,0.0953124561698677,0.0351755284031996,0.4970662989610332,0.0117733627667402,0.002212389380531,-0.0851565129585998,0.0579992214869597,0.012290502793296,-0.0062157221206582,-0.063081695966908,-0.0532915360501567,-0.0988063660477454,-0.109728136259417,0.0066666666666665,-0.0682207747685978,0.0237288135593221,0.1315570358034972,0.2490808823529411,0.1776429809358752,0.3576423576423577,0.448827292110874,0.5765661252900234,0.6363636363636365,0.7191650853889942,0.5922671353251319,0.5033185840707965,0.5960070463887257,0.7729941291585127,0.7649350649350648,0.8822714681440444,0.7893350888742594,0.9539899352983464,0.9276595744680852,1.0622154779969653,1.0669201520912548,1.1972514147130155,1.0059040590405903,0.8514986376021798,0.9087078651685392,0.7615035644847699,0.8809688581314881,0.8693259972489684,1.1069767441860463,0.9469914040114612,1.100463678516229,1.3947136563876654,1.2187755102040816,1.2917369308600335,1.227868852459017,1.0939907550077042,1.3210930828351837,1.1919354838709677
BCZB-L,18.0,0.0971767946290239,5.08760164519286e-07,0.195358366410122,0.1177944862155388,0.0669970516278778,1.8323624003057235,99.0,-4.024411904916438e-05,0.0036581167154415,0.0133123863713925,1.0,0.0665722379603399,-0.1115683584819387,8.378963080091174e-09,-0.0475271906423147,6.596274142051212e-06,0.0246169736615596,1.1497508401462607e-06,0.2267076407319458,2.0,4.629291587999207,0.004763270819139,0.3941607047212191,0.0119014849835104,-1.4037512059420802,0.0078502894298628,0.0254760679361811,0.0423129339996106,1.1198261424718725,0.0880195599022006,0.0354430379746835,0.0380710659898477,0.0848806366047745,0.1424581005586591,0.1685714285714286,0.2208955223880595,0.2741433021806854,0.2245508982035928,0.2245508982035928,0.2781249999999999,0.3366013071895424,0.2984126984126984,0.4152249134948096,10.685714285714289,0.4555160142348753,0.4452296819787984,0.4607142857142858,0.43006993006993,0.43006993006993,0.450354609929078,10.685714285714289,0.4250871080139371,0.43006993006993,0.5148148148148146,0.5670498084291189,0.5318352059925093,0.610236220472441,10.685714285714289,10.685714285714289,0.5261194029850744,0.5092250922509225,0.4712230215827337,0.5551330798479088,0.3453947368421053,0.4607142857142858,0.3067092651757188,0.3724832214765099,0.3864406779661016,0.4872727272727273,0.4712230215827337,0.5492424242424241,0.610236220472441,0.5148148148148146,0.7041666666666666,0.8590909090909089,0.7553648068669527,0.6626016260162602,0.4659498207885304
BCZN-L,18.0,0.1277361240841914,1.2511648026584364e-06,0.4804336679703412,0.0264791195510005,0.2866656079954176,1.6364116164822322,37.42960000000002,-0.0177706958016474,0.0023056741834959,0.01120209259866,1.0,0.1570401940627763,0.1346031065059089,3.685160426224721e-07,-0.0148764689644128,7.446422668026506e-07,0.0690817158952943,1.852055089164104e-06,0.1253287642126924,5.0,0.9454540533307842,-0.0155787080790185,0.0125442109853926,0.0009823560643619,0.0633119767407509,0.0357075111465438,0.0884066059290059,0.1627149788581695,0.6081553243822659,-0.0223048327137547,0.0037313432835819,0.0267175572519082,0.0306513409961686,0.0386100386100387,0.0074906367041198,-0.007380073800738,-0.7981995498874719,-0.8088130774697939,-0.7532110091743119,-0.7459867799811142,-0.7511563367252544,-0.7490671641791045,-0.7442965779467681,-0.74282982791587,-0.7518450184501845,-0.7034178610804851,-0.704070407040704,-0.6789976133651552,-0.6827830188679245,-0.6612090680100755,-0.6662531017369727,-0.6707466340269278,-0.671951219512195,-0.6824085005903189,-0.6812796208530806,-0.6727493917274939,-0.6573248407643312,-0.6483660130718955,-0.6437086092715232,-0.6451187335092348,-0.6374663072776281,-0.6345108695652174,-0.6200564971751412,-0.6107091172214183,-0.6320109439124486,-0.6479057591623036,-0.6422872340425532,-0.6189801699716714,-0.5967016491754122,-0.6178977272727273,-0.6227208976157083,-0.571656050955414,-0.5743670886075949,-0.5796875,-0.5204991087344029,-0.5501672240802675,-0.48565965583174,-0.5238938053097346
BDAJ-L,12.0,-0.4247728930442278,6.036434384546491e-08,0.0231792510999982,0.0963688760806916,0.1328205609229903,0.5679655158388095,57.85,-0.2318501090977612,-0.007139110670785,-0.6981270657363203,1.0,0.1327514928801102,-0.5194639438417358,9.03461029400252e-08,-0.2279003199191531,7.724083866129305e-09,-0.3140375306677276,6.350681699120493e-07,-0.4088059701492537,3.0,0.7560305266310813,0.0482790299843188,0.1064622780220044,0.5479642781012644,0.6782673084042947,0.0568550368550368,1.2770419426048567,-0.3217326915957052,-0.2986087842585387,-0.0170940170940171,-0.1333333333333334,-0.0677290836653385,-0.0126582278481013,0.0308370044052863,0.2061855670103092,0.1818181818181816,0.1304347826086955,0.0263157894736842,-0.0168067226890756,-0.0677290836653385,-0.1268656716417912,-0.2352941176470588,-0.2571428571428571,-0.2225913621262458,-0.2225913621262458,-0.1702127659574468,-0.1136363636363637,-0.1428571428571429,-0.1333333333333334,-0.1,-0.158273381294964,-0.158273381294964,-0.1301115241635688,-0.1136363636363637,-0.2302631578947369,-0.1846689895470383,-0.176056338028169,-0.1789473684210527,-0.2067796610169492,-0.2225913621262458,-0.2427184466019417,-0.2641509433962264,-0.3014925373134329,-0.2641509433962264,-0.2571428571428571,-0.1612903225806452,-0.2013651877133107,-0.1789473684210527,-0.1136363636363637,-0.1789473684210527,-0.1931034482758621,-0.064,-0.0714285714285715,1.2718446601941746,-0.0168067226890756,-0.0042553191489362,-0.0084745762711864,-0.1203007518796993
