firms,absacc,acc,age,bm,bm_ia,cash,cashdebt,chatoia,che,chempia,chpmia,chtx,convind,currat,depr,ep,gma,herf,hire,lev,ms,mve_ia,operprof,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pctacc,ps,quick,roaq,roeq,roic,salerec,tb,agr,egr,grltnoa,invest,lgr,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BAOH-L,0.090696502687056,-0.090696502687056,25.0,4.028894205096794e-06,0.5911588061307391,0.0552994444333097,0.1175546662666476,0.0851298844231396,100.2152,0.0868290892425891,-0.0099817911554784,0.006373553594903,1.0,1.529054072905356,0.0521316589641583,-7.059920226863157e-09,0.1201352287613852,3.9848093437928376e-08,0.0456709845886027,2.3309646850762164e-06,3.0,0.5650829089179249,0.1744040751557426,-0.1667062484803175,0.7250957837212614,-0.430829080009588,0.0788951294827202,0.8296520467868422,-0.4873127714791171,-0.513548091392554,-0.4873701609311476,-79.48122231582379,4.0,1.2003433968559627,0.0241675702532256,0.0429051923277706,0.1018618815995552,8.17508386958794,1.8888234634764005,0.15988117301537,0.1270455241620236,0.0552732985629074,0.1817831609296,0.2146959085731699,-0.3598051814509835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBIO-L^E18,0.0650173299868531,0.0650173299868531,22.0,4.426092739165223e-07,0.0649439664163627,0.0306664045606447,0.1829011913104415,2.3094813216459493,79.5,0.0895847350384632,0.0058460737800926,0.0041814495691839,1.0,1.4382716049382716,0.131435493640218,1.0281479706362475e-07,0.7511403953370501,3.289550195712508e-07,0.0471204188481674,9.216250989244264e-07,4.0,1.6080152751052723,1.5738396624472577,0.0773829383822013,0.0331246739697444,-0.0400514839491216,0.0309169221316983,0.0633272161049939,0.0700767891639667,0.025503049241544,0.1201466890079584,0.8918032786885246,7.0,0.9467592592592592,0.0125478519778817,0.0404109589041095,0.0826629680998613,6.720529801324504,0.1238572762935344,0.1203750633552965,0.3850210970464135,0.0750567706465708,0.0582868727825646,-0.0806993947545393,0.201515510300734,0.0380434782608694,0.0952380952380953,-0.0845771144278605,-0.1929824561403508,-0.2136752136752135,-0.1598173515981734,-0.1748878923766815,-0.1024390243902437,-0.089108910891089,-0.0980392156862745,-0.1711711711711712,-0.0564102564102563,0.0337078651685394,0.0887573964497041,0.2185430463576159,0.3430656934306568,0.6880733944954127,0.5081967213114755,0.3430656934306568,0.3049645390070923,0.5862068965517244,0.5726495726495728,0.5726495726495728,0.6727272727272726,0.7037037037037037,0.6576576576576576,0.7358490566037736,0.7523809523809524,0.472,0.4153846153846154,0.546218487394958,1.628571428571429,1.5555555555555558,1.2439024390243905,0.8969072164948455,1.2716049382716048,0.5726495726495728,-0.065989847715736,-0.2550607287449393,-0.111111111111111,-0.111111111111111,-0.3333333333333332,-0.3846153846153846,-0.4083601286173632,-0.3543859649122807,-0.3566433566433565,-0.3475177304964538,-0.4045307443365695,-0.4917127071823204
BBOU-L,0.0097371976243277,-0.0097371976243277,23.0,1.5527671381840777e-07,0.0227837198218484,0.0499420832219549,0.1536191145467322,0.8286606027744222,-36.5,0.0403338459333308,0.0019021063007018,0.0135279730969122,1.0,1.4569684638860632,0.1120689655172413,5.6248952574828376e-08,0.3207052534183201,1.2614172265385202e-06,0.0212150843926703,4.08308186269491e-07,4.0,18.30986382843215,1.0099825305714998,0.0592504268118459,-0.1734344617999665,-0.0741794051427894,0.0207722435964091,-0.1938424754468016,-0.0425678240398801,0.037852937536465,-0.0352086977627867,-0.1005263157894736,6.0,0.7503560528992879,0.0240936441320726,0.0908484270734032,0.1576233312324528,5.855038302887449,0.3409823410381081,0.0166032692505397,0.3089593211879211,-0.0007137212918355,0.0298653233268222,-0.0597218434687755,0.0159509202453987,0.0424055512721663,0.0510534846029173,0.0334661354581673,0.0485044462409054,0.0117004680187207,0.0007716049382715,0.0648604269293924,0.0817347789824853,0.0701320132013203,0.0808333333333333,0.0945147679324895,0.131762652705061,0.1200345423143351,0.1748188405797102,0.1823154056517775,0.1508429458740019,0.2447216890595009,0.2258979206049149,0.1632286995515695,0.1549421193232414,0.1855575868372945,0.2293838862559241,0.1964944649446496,0.2471153846153846,0.2841584158415842,0.3581151832460731,0.3482328482328485,0.3946236559139784,0.4459308807134894,0.538552787663108,0.5914110429447852,0.6417721518987343,0.6131840796019903,0.4174863387978142,0.3496357960457859,0.4655367231638418,0.314083080040527,0.3524504692387904,0.2841584158415842,0.477220956719818,0.442714126807564,0.3261758691206544,0.2459173871277618,0.2258979206049149,0.2555663117134559,0.2567829457364341,0.2009259259259259,0.2020389249304912,0.1910009182736456
BBTU-L^C18,0.0924073813213128,0.0924073813213128,22.0,2.1575452431360154e-07,0.0316576163377985,0.0254359764909914,0.4437432103874605,1.637532481856786,10.7,0.0366295391806528,0.0201951836854143,-0.0012467676394532,1.0,0.3778105418356063,0.2579556412729026,3.156439923122603e-07,0.3115072035463613,1.2273724489289511e-08,0.0192666666666666,6.641640637385574e-07,4.0,0.6446777681966576,-3.5447019867549683,-0.069429742958633,-0.1127132533297941,0.1104146576663452,0.011443375171335,-0.1127132533297941,0.949525285797326,0.3889192251912655,-0.2091648905250919,0.2621204049014384,5.0,0.3778105418356063,0.0274862809280831,0.0976068376068376,0.1995916780089442,37.84169884169884,-1.148690454746037,-0.033154783893609,-5.248344370860929,-0.0402873644175203,-0.0146841521980051,-0.3090447865640308,-0.0504747142026739,-0.0367647058823529,0.1333333333333335,0.0708661417322835,-0.081081081081081,-0.111111111111111,-0.0872483221476508,-0.1052631578947368,0.0381679389312976,0.0149253731343284,0.0149253731343284,0.1056910569105691,0.0793650793650795,0.0149253731343284,0.0149253731343284,0.0149253731343284,-0.0354609929078012,0.088,-0.0215827338129495,-0.1282051282051282,-0.15,-0.0620689655172412,-0.1337579617834394,-0.0144927536231882,-0.0144927536231882,0.088,-0.2916666666666666,-0.2953367875647668,-0.2444444444444444,-0.2648648648648648,-0.3333333333333332,-0.4212765957446808,-0.2842105263157893,-0.1856287425149699,-0.2138728323699421,-0.2648648648648648,-0.2359550561797752,-0.1904761904761903,-0.2842105263157893,-0.4086956521739129,-0.4471544715447154,-0.4448979591836735,-0.5555555555555556,-0.5815384615384616,-0.5828220858895705,-0.5466666666666666,-0.5555555555555556,-0.5789473684210527,-0.5555555555555556,-0.6641975308641974
BBXK-L,0.0811047574375918,-0.0811047574375918,23.0,5.188789248385005e-07,0.0761349963833463,0.0717867546321544,0.2241228980693377,2.296529796971402,14.049999999999995,0.0432003007736512,0.0006400751642107,-0.0005840372644264,1.0,0.7427834585105421,0.1002959975977006,1.1877834374459037e-07,0.5718419728233517,1.2122166883773252e-06,0.0227228027849529,9.057236875047056e-07,3.0,2.7929303810643797,0.5208890528451531,-0.0345545197476307,-0.0762846149755428,0.1065366837765013,0.0178668318943832,-0.0980605406007247,-0.0962200949056922,-0.0615417406340385,-0.0176926122697563,-0.96062091503268,6.0,0.4327210207221066,0.0171838618755191,0.0472040396484009,0.1210815696316939,77.67384370015948,0.561708938484812,0.0266873567074876,0.2328230194595592,-0.0088430259427616,0.0733517866129844,-0.0605157731564432,0.0213598137701066,0.0416666666666667,-0.0188679245283018,-0.031055900621118,-0.079646017699115,-0.1521739130434782,-0.1917098445595854,-0.1958762886597937,-0.079646017699115,-0.0823529411764705,-0.1284916201117318,-0.1544715447154471,-0.1896103896103895,-0.2571428571428571,-0.2040816326530612,-0.1186440677966101,-0.1309192200557102,-0.0458715596330274,-0.1260504201680671,-0.1475409836065574,-0.1612903225806451,-0.0574018126888217,-0.1136363636363636,-0.2238805970149252,-0.210126582278481,-0.0823529411764705,-0.1260504201680671,-0.0769230769230768,-0.1060171919770773,-0.0188679245283018,0.0947368421052632,-0.0823529411764705,0.0097087378640776,0.2530120481927711,0.3805309734513276,0.4511627906976745,0.411764705882353,0.4054054054054052,0.4857142857142857,0.1999999999999999,0.1863117870722435,-0.0188679245283018,-0.1702127659574467,-0.1811023622047244,-0.231527093596059,-0.2160804020100502,-0.2811059907834101,-0.4428571428571428,-0.4702886247877759,-0.5125
BCOU-L^K14,0.0124167862942695,-0.0124167862942695,21.0,1.1978635003082547e-06,0.1757622614795871,0.9879424053246532,-1.7348047538200342,0.147293188173066,-0.797,3.802374309410334,0.0894228124037978,-0.0003184301991991,1.0,95.8,0.4818652849740932,-1.7584371844294837e-08,0.0412615656571307,5.1518476179369736e-14,2.0,1.262545729304906e-08,0.0,0.0160357561034939,0.003011414048754,-0.4757471466864931,-0.2293631063032393,0.0679176585912336,-0.4640858204492483,-0.2293631063032393,2.4178205900060203,1.6535139418493028,1.6924689750509,-0.7474048442906576,3.0,95.8,-0.0269836305451458,-0.0272681865513066,0.9358732553753288,4.05247225025227,1.8888234634764005,0.3355038169931716,0.3322593500458667,-0.0001564872758279,-0.0625002330845854,0.7331786542923434,1.4178205900060203,-0.0769230769230769,0.0833333333333334,-0.1333333333333333,-0.2777777777777777,-0.1875,-0.1875,-0.2777777777777777,-0.35,-0.3157894736842105,-0.409090909090909,-0.2777777777777777,-0.0714285714285715,-0.2352941176470588,0.0833333333333334,0.1818181818181818,0.1818181818181818,0.0833333333333334,0.1818181818181818,-0.1333333333333333,0.0833333333333334,0.3,0.4444444444444446,0.4444444444444446,0.625,0.625,0.857142857142857,1.6,2.25,1.6,0.857142857142857,1.6,3.333333333333334,3.333333333333334,3.333333333333334,3.333333333333334,2.25,2.25,0.3,-0.35,-0.409090909090909,-0.409090909090909,-0.35,-0.409090909090909,-0.4583333333333332,-0.5357142857142858,-0.5357142857142858,-0.48,-0.5357142857142858,-0.5185185185185186
BCQE-L^A14,0.0049627791563275,0.0049627791563275,23.0,3.102393494101198e-07,0.0455213550110227,0.0983772819472616,0.1450506370467167,2.2793548570877267,-10.5,0.0252302825359993,0.0005341106967077,0.0007832898172323,1.0,1.4699769053117784,0.1729957805907173,1.0924770864441965e-07,0.4412060301507537,7.896558199716973e-08,0.0132708042306923,8.999355446896668e-07,4.0,0.8980741403370924,1.1029411764705883,-0.0289668753302358,-0.050739669452573,0.1023452065548032,-0.0466683666125595,-0.0441106388667861,0.1210759020988155,-0.0347329961137581,0.0726976355977273,0.0552486187845303,6.0,1.2909930715935334,0.0137254901960784,0.0544747081712062,0.1600241545893719,3.241199478487614,0.3861130836940709,0.0251256281407035,0.5117647058823529,0.0605459057071894,-0.0276381909547738,-0.0503184713375796,0.1083370485956308,-0.0192307692307692,-0.037037037037037,-0.238095238095238,-0.3135313531353134,-0.3580246913580247,-0.3157894736842105,-0.3900293255131964,-0.409090909090909,-0.4140845070422535,-0.3809523809523809,-0.4124293785310734,-0.3580246913580247,-0.2901023890784983,-0.3157894736842105,-0.1260504201680671,-0.2408759124087591,-0.1297071129707113,-0.2436363636363636,-0.3864306784660767,-0.3988439306358381,-0.35,-0.3246753246753247,-0.3043478260869565,-0.2701754385964912,-0.2925170068027211,-0.2752613240418118,-0.2352941176470588,-0.209125475285171,-0.0796460176991149,-0.1223628691983123,0.0097087378640776,0.2023121387283237,0.4149659863945578,0.4444444444444446,0.1954022988505748,0.368421052631579,0.3,0.0097087378640776,-0.2571428571428571,-0.2624113475177304,-0.1811023622047244,-0.35,-0.2996632996632996,-0.1679999999999999,-0.1746031746031745,-0.1475409836065573,-0.0837004405286343,-0.1475409836065573,-0.3658536585365853
BCYN-L,0.0373123464247447,-0.0373123464247447,22.0,7.808364550343046e-07,0.1145719701345069,0.0837676189509371,0.3684271935296965,1.1310677465003334,-3233.3512,-0.4210666394836695,0.0106904897175314,0.0029403175808569,1.0,1.7030583770101473,0.0611523640462819,1.9303725967805516e-07,0.2411926591544685,1.667907733539741e-05,-0.2214756387563368,6.308480707370122e-07,4.0,25.860454899461867,0.5149989119845677,-0.0597119749841874,-0.062773649374038,-0.1819621026821944,0.7532531780979212,-0.0095730902292084,0.3917751239724957,0.1735840907303985,1.3950118605862332,-0.2673878450044136,7.0,1.3534039111167435,-0.0073345175631358,-0.0142738455430527,0.1794440483076561,9.774706299736364,0.6936557196507511,0.192143580919147,0.3725069205249723,0.0827167167831897,0.1674668307169631,-0.0527815639886194,0.3950118605862331,0.0159901599015988,0.1531914893617023,-0.1369426751592355,-0.240541802895843,-0.2824360105913504,-0.2357226792009399,-0.2541284403669724,-0.2640868974881194,-0.2426641825803445,-0.2513812154696131,-0.2750780205082478,-0.2270026146898026,-0.202941176470588,-0.1334932054356514,-0.0711225364181661,-0.057391304347826,0.1198347107438018,0.0317258883248732,-0.0375850843444804,-0.1882176734897653,-0.0622837370242214,0.0216776625824695,-0.0407079646017697,0.0130841121495328,0.1560611446853894,0.2624223602484472,-0.2647524304770516,0.245977011494253,-0.2532721010332949,0.0905432595573441,-0.3268474435934588,0.3850085178875639,0.9334126040428063,1.0249066002490663,1.18255033557047,1.282105263157895,0.1213793103448277,-0.0673931746486949,-0.3508982035928143,-0.3556568258371309,-0.862144976685036,-0.8686432120208426,-0.8616229096634186,-0.8407599647439036,-0.4254416961130741,-0.4192857142857142,-0.3883769042693248,-0.4025353665258129,-0.2619155696777121
BCZB-L,0.0192324975285341,-0.0192324975285341,23.0,9.534867320892214e-07,0.1399049092652513,0.0306836382028154,0.1891436277815239,3.1676975179734828,25.0,0.0390788726558102,8.591995236226026e-05,0.0001427212178877,1.0,0.5849762066621346,0.0548724954462659,1.1250580909607333e-07,0.1512666973744818,5.68961433778845e-06,0.0205549845837615,1.050347202107872e-06,4.0,3.0835498935967687,0.2178815948449456,0.0475325174337846,-0.0907965802964151,-0.060294195937955,-0.0051127904667864,-0.2119059813937028,-0.0996925520067174,-0.3441601860092352,0.0711870018515597,-0.334375,5.0,0.3089734874235214,0.0132467760329853,0.027839233038348,0.0674343620451404,87.56016597510373,0.5518906057345108,0.050115154306771,0.0922271445831655,0.01096432102094,0.0570244127130354,0.0146034980472066,0.0570026046884391,0.0448275862068965,0.0320284697508896,-0.0397350993377483,-0.0397350993377483,-0.1185410334346505,-0.1520467836257309,-0.1666666666666667,-0.1317365269461078,-0.2183288409703504,-0.2506459948320414,-0.2287234042553191,-0.1853932584269663,-0.2544987146529563,-0.2544987146529563,-0.2162162162162162,-0.1690544412607451,-0.085173501577287,-0.1131498470948012,-0.1420118343195265,-0.1185410334346505,-0.1420118343195265,-0.1104294478527606,-0.1049382716049384,-0.1049382716049384,-0.1131498470948012,-0.1021671826625387,-0.1076923076923077,-0.0764331210191083,-0.0793650793650794,-0.0614886731391585,-0.1265060240963855,-0.0793650793650794,-0.067524115755627,-0.1104294478527606,-0.1158536585365853,0.039426523297491,0.0357142857142858,-0.1445427728613569,-0.1690544412607451,-0.0965732087227414,-0.0645161290322581,-0.1470588235294118,-0.2368421052631578,-0.1714285714285714,-0.1666666666666667,-0.2676767676767677,-0.3176470588235294,-0.3378995433789954,-0.4669117647058823
BCZN-L,0.0635453697843904,-0.0635453697843904,22.0,3.2098878852739137e-07,0.0470986179699514,0.0364391849492046,0.1898545406865212,1.972995652463564,-89.91590000000001,0.3091542050819119,0.0098073196154565,-0.0017894575374977,1.0,1.8483741630903452,0.1599081196293561,6.536033356447153e-08,0.4015541206650177,7.881368967204921e-07,0.1626111371080955,5.535627916945182e-07,4.0,5.227888712840548,0.5972654580021111,-0.0983566956552376,-0.0065923750170263,0.1554776912163416,0.4943983462960706,-0.0626513028658878,0.0760946400119234,-0.0368910666686301,0.1558529134630023,-0.8313234778313074,7.0,0.9788089196936288,0.0063410552510829,0.0187989188501731,0.1313242024833497,4.276386665534116,0.7029702629055384,0.0768293624552606,0.231498656453734,-0.004648022708686,0.0564178366481585,-0.0009053120711407,0.2589186923685431,0.018796992481203,0.1145251396648046,-0.0208588957055214,-0.1798561151079136,-0.288135593220339,-0.3132530120481926,-0.3646496815286624,-0.3231552162849872,-0.3277169334456612,-0.3453650533223953,-0.3741176470588234,-0.2944297082228116,-0.1806981519507187,-0.1756198347107437,-0.0232558139534883,-0.0454545454545453,-0.0135970333745364,0.0063051702395966,-0.1608832807570976,-0.0720930232558139,0.0991735537190083,0.146551724137931,0.05,0.0871934604904633,0.164963503649635,0.2036199095022626,0.3233830845771144,0.3687821612349915,0.7051282051282053,0.483271375464684,0.7852348993288591,0.9703703703703704,1.1167108753315649,1.2800000000000002,0.8601398601398602,1.1336898395721926,0.9045346062052506,0.3594548551959113,0.1598837209302326,0.2276923076923078,0.1598837209302326,-0.0859106529209622,0.0323415265200517,-0.0952380952380952,-0.0731707317073169,0.0527704485488127,-0.0533807829181494,-0.0795847750865051,0.033678756476684
