firms,age,agr,bm,bm_ia,cash,cashdebt,chatoia,chpmia,convind,egr,ep,grltnoa,herf,lev,lgr,ms,mve_ia,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ-L^I10,14.0,-0.1812127992406081,7.901429495502763e-07,0.062503404158002,0.1425760091281466,-0.1180840664711632,0.6238012496452954,-0.1249873983713158,1.0,-0.2502783995680588,-2.2607351799558554e-07,-0.0500978577800263,1.1818500052147424e-09,1.213529924993084e-06,-0.129401258717469,4.0,0.0748047992745893,-0.1642644008841205,-0.3555716397075974,-0.2264079107949389,1.080153574063925,0.3076923076923077,-0.2352941176470588,-0.2121212121212121,-0.2777777777777777,-0.4468085106382978,-0.48,-0.48,-0.4901960784313726,-0.5357142857142858,-0.6338028169014085,-0.6578947368421053,-0.5272727272727273,-0.5094339622641509,-0.6388888888888888,-0.6388888888888888,-0.7450980392156863,-0.7450980392156863,-0.7739130434782608,-0.7475728155339806,-0.8289473684210527,-0.8602150537634409,-0.8414634146341463,-0.8586956521739131,-0.8712871287128713,-0.8631578947368421,-0.8712871287128713,-0.8617021276595744,-0.8638743455497382,-0.8375,-0.7984496124031008,-0.7952755905511811,-0.8311688311688312,-0.7678571428571429,-0.7346938775510203,-0.7346938775510203,-0.6790123456790124,-0.675,-0.6941176470588235,-0.6666666666666667,-0.6708860759493671,-0.6486486486486487,-0.6060606060606061,-0.6176470588235294,-0.5517241379310345,-0.559322033898305,-0.5666666666666667,-0.48,-0.4347826086956522,-0.3809523809523809
BBIO-L^E18,13.0,-0.1343742001535705,6.580379875984323e-07,0.0520533839017266,0.0456316082359488,0.1026288117770767,0.931285694414495,-0.0357111922645958,1.0,-0.2889498970487302,2.2231013094541632e-08,-0.0740842365207599,6.327271845003299e-07,1.4761392694775644e-06,-0.044014808720691,3.0,1.3961666224025455,-0.0033464268796865,-0.1677982541222114,-0.1677982541222114,2.931845415316368,-0.100418410041841,-0.118081180811808,-0.0590551181102362,-0.2364217252396165,-0.2844311377245508,-0.271341463414634,-0.3072463768115941,-0.1952861952861952,-0.1277372262773722,-0.0981132075471697,-0.1643356643356642,-0.1277372262773722,-0.0736434108527132,-0.2138157894736841,-0.6600284495021337,-0.6556195965417868,-0.6879895561357703,-0.6846965699208443,-0.6689750692520775,-0.7027363184079601,-0.7123947051744886,-0.6619519094766619,-0.6838624338624338,-0.7031055900621118,-0.6389728096676737,-0.7308558558558559,-0.7181603773584906,-0.7236994219653179,-0.7416216216216216,-0.7308558558558559,-0.6963151207115629,-0.7060270602706027,-0.6879895561357703,-0.7548717948717949,-0.7588294651866802,-0.7576064908722109,-0.7546201232032854,-0.7588294651866802,-0.7787037037037037,-0.7839059674502713,-0.7631318136769079,-0.7749529190207156,-0.7460148777895855,-0.7151370679380215,-0.6879895561357703,-0.7005012531328321,-0.6306027820710973,-0.6680555555555556,-0.5879310344827586
BBOU-L,14.0,0.04883166969147,2.583517707478723e-07,0.0204366376377598,0.0863029254312442,0.1612550471063257,0.6079266331242753,0.0253666353700835,1.0,0.1569307885097358,6.961419984990993e-08,-0.056636678200692,6.837449414617546e-06,5.139051970367191e-07,0.0082777261593039,4.0,20.598739512414145,-0.1576718471794846,-0.120037438577334,-0.120037438577334,0.4221750518295612,-0.0852130325814537,0.017857142857143,0.0827679782903663,-0.062279670975323,-0.0720930232558139,-0.1182320441988951,-0.130718954248366,-0.082758620689655,-0.0589622641509434,0.0165605095541401,0.0711409395973154,0.1400000000000001,0.1400000000000001,0.1615720524017467,0.0827679782903663,0.0,0.0404172099087354,0.1006896551724139,0.1145251396648046,0.1145251396648046,0.2201834862385321,0.064,0.1037344398340249,0.2127659574468086,0.314662273476112,0.3830155979202774,0.3711340206185567,0.3255813953488373,0.3878260869565217,0.5346153846153847,0.5801980198019803,0.6694560669456067,0.7733333333333334,0.6024096385542168,0.4123893805309735,0.3168316831683169,0.3211920529801324,0.2566929133858269,0.2768000000000001,0.1666666666666667,0.1875,0.1114206128133705,0.1804733727810652,0.1565217391304347,0.1351351351351351,0.1666666666666667,0.2586750788643535,0.1822222222222222,0.4805194805194808
BBTK-L^C11,11.0,0.1364296081277213,0.0006082670980504,48.11631146883308,0.1020806241872561,0.1818181818181818,0.2878700438784517,0.5807757805319915,1.0,0.8411764705882353,7.190377836379356e-05,0.1253396739130146,1.89537359262303e-08,0.0008084316702523,-0.108730583824317,3.0,0.0018253176983066,-0.4155844155844156,0.3563049853372434,0.2272727272727272,0.4160050927138089,-0.075,0.5384615384615385,0.5384615384615385,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,0.0,0.0,0.6666666666666667,0.0,0.0,0.0526315789473683,0.142857142857143,0.3333333333333335,0.6000000000000001,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.6000000000000001,0.6000000000000001,1.0,0.4814814814814814,0.8181818181818183,0.25,1.5,1.5,0.8181818181818183,0.0,0.0,0.0,0.1111111111111111,0.1764705882352941,0.3793103448275863,0.3793103448275863,0.4285714285714286,0.3793103448275863,0.5384615384615385,0.8181818181818183,0.8181818181818183,0.7391304347826086,0.7391304347826086,0.5384615384615385
BBTU-L^C18,13.0,0.0745087220406604,9.74006685468715e-07,0.0770477462959041,0.0114483440434997,0.1377533193570929,1.0624587493648932,-0.0004213590641822,1.0,0.0755260420833665,5.1841239563554685e-08,0.0276405298961602,9.304313760622688e-07,8.586952490390893e-07,0.0730680429172891,4.0,2.4478946203033374,0.062030868777317,-0.1057039092888807,0.0532202960900924,0.428740202703221,0.1075949367088606,-0.1855670103092782,-0.1684210526315789,-0.2818181818181818,-0.3577235772357723,-0.3779527559055118,-0.3654618473895582,-0.2946428571428572,-0.2476190476190476,-0.2511848341232227,-0.233009708737864,-0.1123595505617977,-0.1413043478260869,-0.3416666666666665,-0.3603238866396762,-0.3577235772357723,-0.3471074380165289,-0.2882882882882883,-0.233009708737864,-0.3130434782608695,-0.3443983402489626,-0.2440191387559808,-0.1855670103092782,-0.1770833333333332,-0.1855670103092782,-0.2718894009216589,-0.2850678733031674,-0.2914798206278026,-0.368,-0.4148148148148148,-0.4377224199288256,-0.3923076923076922,-0.0705882352941176,-0.202020202020202,-0.2403846153846154,-0.1813471502590673,-0.2476190476190476,-0.3471074380165289,-0.3603238866396762,-0.373015873015873,-0.4212454212454212,-0.4785478547854784,-0.4397163120567375,-0.4456140350877192,-0.2818181818181818,-0.3471074380165289,-0.3247863247863247,-0.3008849557522123,-0.2403846153846154
BBXK-L,14.0,-0.065146749161619,1.1328293579894364e-05,0.8961124217429768,0.0586361768332061,0.1127210112972995,1.4370329726824929,0.0099154388799553,1.0,-0.3366986696516983,5.62499243086956e-07,-0.1122292685547688,3.555328692827993e-06,1.511358260396188e-05,0.3556588840522356,2.0,0.2412114669347058,0.3189269395488051,1.0073925480144137,0.0073925480144135,1.2884184788670998,0.0,-0.0142857142857143,0.0,0.0,-0.8179419525065963,-0.8235294117647058,-0.8207792207792208,-0.8212435233160622,-0.8155080213903744,-0.8088642659279779,-0.7994186046511628,-0.7653061224489797,-0.7294117647058824,-0.7463235294117647,-0.7217741935483871,-0.7346153846153847,-0.7228915662650603,-0.7386363636363636,-0.7444444444444445,-0.7063829787234043,-0.6919642857142858,-0.6290322580645162,-0.6479591836734694,-0.6443298969072165,-0.6567164179104478,-0.6729857819905214,-0.6863636363636364,-0.7112970711297071,-0.735632183908046,-0.7063829787234043,-0.735632183908046,-0.7346153846153847,-0.7561837455830389,-0.7661016949152543,-0.7195121951219512,-0.7561837455830389,-0.780952380952381,-0.8292079207920793,-0.8193717277486912,-0.8114754098360656,-0.823076923076923,-0.8372641509433962,-0.8300492610837438,-0.832116788321168,-0.8083333333333333,-0.8325242718446602,-0.8337349397590361,-0.846325167037862,-0.846325167037862
BCPS-L^C06,13.0,-0.0099882949668357,5.546114991269643e-06,0.4387194329878952,0.0244872388527224,0.1109114127607245,0.6467879714809524,0.0164274265733495,1.0,-0.017326888065792,4.226994943195991e-07,-0.0191357540585025,3.29323874490373e-07,7.504421868976621e-06,0.0035061120060646,2.0,0.2502863568637996,-0.2816279001455417,0.0263958006576339,-0.3722427868769332,0.4056234712327228,-0.0220162224797217,-0.0051873198847262,0.052054126539071,0.0643808584114453,0.1172967374417399,0.1111111111111111,0.1096823968111098,0.0416415208207605,37.1858407079646,35.260504201680675,0.0081775700934578,50.36904761904762,0.0048905449464369,-0.0532089961601756,-0.0199863729275494,61.536231884057976,0.0290961125685667,0.0160113020955969,68.03999999999999,-0.082110189321421,-0.0824029771398192,26.22397476340694,-0.0845443937625968,57.31081081081081,-0.0187606594656055,-0.0454595730560778,-0.0574486675404106,-0.0613443550141397,63.402985074626855,72.76068376068376,-0.0449313855688358,66.421875,55.03896103896104,48.03409090909091,53.62025316455696,54.67741935483871,52.93749999999999,48.59770114942528,48.884393063583815,49.76470588235294,51.30303030303031,8.54646017699115,8.631696428571427,62.45588235294117,67.4920634920635,11.154929577464788,63.887218045112775,71.52100840336135,72.13559322033899
BCQE-L^A14,14.0,-0.1943405634505111,6.637841226525551e-08,0.0052507925705635,0.071364046973803,-0.0745637635483127,1.1099188233146278,-0.0715571380546672,1.0,-0.8254545454545454,-4.005752795729656e-07,-0.1373835001724995,2.611179289049781e-06,2.7994173450478937e-06,-0.1244232987312572,4.0,1.923818485301501,0.2073769695147286,-0.1192414543501914,-0.1133155284242655,1.080153574063925,0.0333333333333334,-0.1891891891891892,-0.1044776119402985,-0.3333333333333333,-0.4339622641509434,-0.4444444444444445,-0.5161290322580645,-0.4,-0.4827586206896551,-0.4957983193277311,-0.4174757281553398,-0.0625,0.5384615384615383,-0.3181818181818182,-0.3258426966292135,-0.5588235294117647,-0.5918367346938775,-0.5945945945945946,-0.5588235294117647,-0.6226415094339623,-0.6721311475409837,-0.6153846153846154,-0.6470588235294117,-0.6296296296296297,-0.5918367346938775,-0.7709923664122138,-0.7560975609756098,-0.76,-0.7457627118644068,-0.8051948051948052,-0.7727272727272727,-0.7864768683274022,-0.7909407665505227,-0.8219584569732938,-0.7986577181208054,-0.7986577181208054,-0.7864768683274022,-0.8208955223880597,-0.8181818181818181,-0.8026315789473684,-0.7894736842105263,-0.8107255520504733,-0.7841726618705036,-0.7701149425287357,-0.7391304347826086,-0.7468354430379747,-0.7142857142857143,-0.7628458498023716,-0.6774193548387097
BCYN-L,13.0,0.0392066420664206,4.0540628452782e-07,0.0320692260361983,0.0420076772651553,0.1798969072164948,0.4913338302107721,-0.0312586876288256,1.0,0.0065133319763891,6.156928608299147e-08,-0.0632586895875744,1.722113080962988e-06,6.56110514676672e-07,0.0646534521750698,5.0,10.816936509377436,0.0246144241729292,0.0892651019622931,0.0892651019622931,0.7177052376270286,0.1040462427745665,-0.0854625550660792,0.0028985507246377,-0.1463815789473683,-0.2027649769585252,-0.7938840349483717,-0.8092963439279809,-0.8182136602451839,-0.8165429480381761,-0.8020594965675056,-0.8027740832224967,-0.7683035714285714,-0.7527982853060252,-0.7861116834947455,-0.7800847457627118,-0.7994977786362758,-0.8100292825768667,-0.8174142480211082,-0.7806424344885883,-0.7965104881395805,-0.7854928704277744,-0.7770139634801289,-0.7500601974476282,-0.7629054362722705,-0.7375474083438684,-0.7760034527406129,-0.7584923220102373,-0.7596665894883075,-0.7391304347826086,-0.7426871591472484,-0.7571929824561403,-0.7345947328049092,-0.7698447893569844,-0.8249873545776429,-0.7932270916334662,-0.751793400286944,-0.7514962892027771,-0.7677852348993288,-0.7805960684844642,-0.7627428571428572,-0.7155385036996438,-0.7632839224629419,-0.6993047508690614,-0.669110615237488,-0.648135593220339,-0.6282234957020058,-0.6315228966986155,-0.6506226859643218,-0.6332155477031802
BCZB-L,14.0,0.0679077843156168,9.087126196340408e-07,0.0718827297779352,0.2437391304347826,0.1279723303069606,1.9279506479780475,0.0031991722911096,1.0,-0.0128283445326817,6.822842276130174e-08,0.0303199925366172,1.5821867048736183e-05,1.1550097281734652e-06,0.1404775124930594,3.0,4.7311259878182765,0.0109721146763149,0.0068149707360183,-0.0047552771978659,0.5934909747603984,0.0259259259259259,-0.1401273885350318,-0.1059602649006622,-0.2602739726027396,-0.2838196286472147,-0.3266832917705735,-0.3249999999999999,-0.3462469733656174,-0.309462915601023,-0.2622950819672131,-0.2541436464088398,-0.2838196286472147,-0.25,-0.2819148936170211,-0.3316831683168316,-0.3863636363636363,-0.3807339449541285,-0.3181818181818181,-0.3181818181818181,-0.2913385826771653,-0.2602739726027396,-0.3198992443324937,-0.3112244897959183,-0.314720812182741,-0.2761394101876675,-0.2541436464088398,-0.1614906832298136,-0.1428571428571428,-0.0073529411764705,-0.1964285714285714,-0.0999999999999999,0.0112359550561798,-0.1818181818181817,-0.2263610315186246,-0.1793313069908814,-0.2622950819672131,-0.2722371967654986,-0.3720930232558138,-0.2780748663101604,-0.3430656934306569,-0.2894736842105262,-0.3164556962025316,-0.2987012987012987,-0.2541436464088398,-0.3691588785046729,-0.4398340248962655,-0.4567404426559355,-0.4981412639405204,-0.5246478873239436
