firms,currat,pchcurrat,secured,securedind,age,agr,cashdebt,chatoia,chcsho,chempia,convind,egr,grltnoa,herf,hire,invest,lgr,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
0BVH.L^E08,3.007506931295546,0.4095721693976279,1.0,1.0,9.0,0.4567416978077565,1.3422925556881078,1.4603808806776837,-0.0345197382165662,0.9294116874370808,2.0,0.6157737626866367,0.0717713748443746,8.862471511431043e-05,0.301274421906202,0.1711991471989834,0.206589068983958,0.2331094833614209,0.2456965815179004,1.4829098157500695,0.4829098157500698,0.0406212837463182,0.0926302171639601,-0.037149528222941,-0.1193430199001229,-0.1193430199001229,-0.2081622246089696,-0.1033239560417098,-0.2583817801812768,-0.2246870539994786,-0.2246870539994786,-0.2267796826767785,-0.3019176065723777,-0.2124766615202327,-0.2124766615202327,-0.1788947357337894,-0.0931659203022323,-0.1315302339624136,-0.1157794216950041,-0.149879846125522,-0.0972970331157172,0.0226631619438388,0.0748659989586204,0.1435996702154354,0.1662545778415851,0.1018858090202332,0.1953613848401962,0.4586532106888568,0.4586532106888568,0.5852995252228199,0.8159440313374833,0.9332595138934796,1.323521038169961,1.3365003062664784,1.5657873572462604,0.9918664116288178,0.9918664116288178,0.6512318376872692,0.6557114077177486,0.8013191664100194,0.9693099365323428,0.9264144832545602,0.9264144832545602,0.8629587947381272,1.18490570736597,0.7947874739808418,0.8024664091712208,0.7893880756071567,0.7674347158218127,0.8278902848094671,0.5789016664867006
0C1B.L^E09,2.3709851294308564,-0.0329970414849309,1.0,1.0,23.0,0.2301821644492668,0.454979989545465,1.1070766425121177,0.0002633888982056,-0.0193711589565572,2.0,0.2938794306306326,0.0447760362180395,9.363534334587508e-08,-0.0062792783813416,0.1699111926099418,0.1267303482939417,-0.0485689811163326,-0.1421343162984616,0.206620191748819,0.256466464282001,0.2019116101709617,0.0649526387009473,0.1213960546282244,0.0350140056022409,0.0350140056022409,0.0335664335664334,0.0819912152269399,-0.1085645355850422,-0.047680412371134,-0.047680412371134,0.069464544138929,-0.0819875776397516,-0.0093833780160857,-0.0093833780160857,0.0867647058823528,0.0710144927536231,-0.0365058670143416,-0.071608040201005,-0.0224867724867724,-0.0921375921375922,-0.1798002219755826,-0.0819875776397516,-0.0865265760197775,-0.0621827411167512,-0.0427461139896373,0.0335664335664334,0.1334355828220859,0.1334355828220859,0.2255389718076283,0.2194719471947195,0.3411978221415608,0.2741379310344827,0.3315315315315315,0.683371298405467,0.579059829059829,0.579059829059829,0.4604743083003952,0.443359375,0.3969754253308128,0.5756929637526651,1.0191256830601092,1.0191256830601092,0.7388235294117647,1.0081521739130437,0.7066974595842954,0.514344262295082,0.3534798534798533,0.3267504488330339,0.5926724137931034,0.2964912280701752
0DFN.L^E09,1.5611566428283652,-0.1083561473389957,1.0,1.0,22.0,0.1281147930149708,0.1591958692697082,0.791083653831978,0.0052606906609719,0.0880715253761976,2.0,0.3199036609951267,-0.0015541849842469,1.1455240795928425e-08,0.0285489178291698,0.0173389948076962,0.0069643784581604,0.0304638156109715,-0.004333577780679,0.04752184906874,0.0433294757424077,0.4394217455591195,-0.0068965517241379,0.1462450592885376,0.2608695652173913,0.2608695652173913,0.1693548387096775,0.0104529616724737,-0.1470588235294118,-0.085173501577287,-0.085173501577287,-0.0822784810126583,0.0139860139860139,-0.0365448504983387,-0.0365448504983387,-0.0460526315789474,-0.085173501577287,-0.0937500000000001,-0.0429042904290428,-0.1104294478527606,-0.1714285714285714,-0.1876750700280112,-0.0365448504983387,-0.0333333333333333,-0.0202702702702702,0.1196911196911196,0.070110701107011,0.4285714285714286,0.4285714285714286,0.4720812182741116,0.3875598086124403,0.3679245283018866,0.3551401869158876,0.3942307692307691,0.3242009132420091,0.1240310077519379,0.1240310077519379,-0.0068493150684931,-0.1420118343195265,-0.1049382716049384,-0.085173501577287,-0.0764331210191083,-0.0764331210191083,-0.2506459948320414,-0.2225201072386059,-0.2909535452322738,-0.1876750700280112,-0.2676767676767677,-0.2307692307692308,-0.2639593908629442,-0.3584070796460177
0DKE.L^E08,0.5612666091800732,-0.2306050730079342,1.0,1.0,22.0,0.0741355554039721,0.1677710591639613,0.8881423301475612,6.62621377879631e-05,0.3302910252875602,2.0,0.185421572120972,0.0128247349902217,6.838960882653013e-08,0.1070658342792283,0.0624700977538844,0.0344739939779242,-0.004644129515497,-0.1383001455932523,-0.1852395859412871,0.148785536942383,0.4742265523966017,0.0139949109414758,0.0737704918032786,0.0737704918032786,0.0737704918032786,-0.1250463821892393,-0.102398172820708,-0.1191632424355622,-0.3325785451457684,-0.3325785451457684,-0.2608150470219436,-0.2549763033175355,-0.3567921440261865,-0.3567921440261865,-0.3775079197465681,-0.3243553008595988,-0.382560879811469,-0.3480785181089301,-0.3383838383838384,-0.293588975434392,-0.2311705249429411,-0.1447225244831339,-0.1979591836734694,-0.2039162727886564,-0.2220389310458594,-0.1888544891640867,-0.1599572497328109,-0.1599572497328109,-0.0441832184839887,-0.1071563801590307,0.0962343096234308,0.0723055934515688,0.2927631578947369,0.459158415841584,0.0626408292023432,0.0626408292023432,0.0936920222634507,0.0796703296703296,0.1861167002012071,0.1702233250620346,0.1708043694141012,0.1708043694141012,0.2794357026587086,0.337492909812819,0.60081466395112,0.5636604774535807,0.6535764375876576,0.7136627906976742,0.8450704225352113,0.7363770250368187
0DKM.L^D10,1.1795668572028737,-0.0313714802314379,1.0,1.0,23.0,0.1687825699189655,0.1037262873119988,1.4166587145782,1.0,0.4512776139665439,2.0,0.2398254401707641,-0.0110299157028692,8.675266343987221e-07,0.1462843690312263,0.0796486227953968,0.1514675249152867,-0.021444430590298,-0.0921094591039939,0.0740421280028671,0.2329227824775755,0.4400758034088947,0.0644075403949731,0.0934969325153374,0.167714884696017,0.167714884696017,0.1637503264559938,0.359365466748017,0.2020501753439438,0.2666287663445139,0.2666287663445139,0.3885945777500779,0.1212883744338197,0.2231677189129839,0.2231677189129839,0.0549242424242424,0.1201608848667672,0.0745116952013504,0.1018793273986153,0.0833941162168734,0.0862993661628472,0.1411011523687582,0.3503030303030303,0.2797242963813899,0.2815645671555937,0.334931096464949,0.3552311435523114,0.8382838283828384,0.8382838283828384,0.821749795584628,0.6707911511061118,0.5171944160708206,0.4794156706507304,0.671417854463616,0.8172920065252856,0.4808906613492856,0.4808906613492856,0.3778602350030922,0.4823685961410513,0.281196089706728,0.3539957459738683,0.5286449399656947,0.5286449399656947,0.5161619598502893,0.6005747126436782,0.2171537831193664,0.3474448140308437,0.1604166666666668,0.18384697130712,0.2261970280682443,0.1520165460186142
0E16.L^G09,1.137014458628004,-0.0886632333436372,1.0,1.0,23.0,0.1175197553220135,0.1001431733256457,1.7674104324004467,0.0174546347294916,0.3122624328777303,2.0,0.1486204028546155,-0.007402202978287,2.3651854301919467e-05,0.1012217569672333,0.1419346890551917,0.1013140518160743,-0.1147276253844074,-0.1905894926794052,0.0812411218907956,0.2325735221733754,8.700824376148452,0.0697769592797217,0.0614682884448305,0.0014344262295082,0.0014344262295082,-0.1544982698961937,-0.1512678013199028,-0.2039420100993647,-0.1262292150902915,-0.1262292150902915,-0.1515625,-0.3240663900414937,-0.4137476007677543,-0.4137476007677543,-0.4365271532341751,-0.3883604505632041,-0.4946748009512977,-0.5063636363636363,-0.5469546676555113,-0.5494606803724532,-0.5013774104683196,-0.4963932399010717,-0.5227539062500001,-0.5239625949736997,-0.5488367799113737,-0.5419439497609898,-0.4249235114144505,-0.4249235114144505,-0.3942736737729302,-0.3649948024948024,-0.374023312411938,-0.3822525597269625,-0.3208727070594774,-0.0843170320404721,-0.4382112886538682,-0.4382112886538682,-0.4965488822499228,-0.5201767304860088,-0.5393533792063343,-0.5347043701799485,-0.5692375495813133,-0.5692375495813133,-0.5752650790891709,-0.5483364140480591,-0.614102969046115,-0.5951453897771519,-0.6113099498926271,-0.5886017341527066,-0.5535355380961082,-0.598207679026556
0E3T.L^E09,1.066594429344936,-0.3861020493781453,1.0,1.0,23.0,0.1970553116047249,0.2140881821393966,3.149239661380646,-0.0273451571948485,0.4713912420368013,2.0,0.3468365458455563,0.15824710481057,4.172340535473357e-07,0.1528043232680976,0.3269017099974058,0.1372898947669998,-0.063443137098447,0.1065042923758102,-0.0458112351380096,0.495539054317526,0.4766932273748869,0.1376146788990824,0.1150895140664962,-0.0683760683760682,-0.0683760683760682,-0.1615384615384615,-0.0954356846473029,-0.3133858267716535,-0.459727385377943,-0.459727385377943,-0.4263157894736841,-0.542016806722689,-0.4603960396039603,-0.4603960396039603,-0.4924330616996507,-0.4772182254196642,-0.486454652532391,-0.4240422721268163,-0.4225165562913906,-0.4139784946236559,-0.2922077922077921,-0.3001605136436597,-0.2521440823327615,-0.1120162932790224,-0.1773584905660377,0.3753943217665616,0.8956521739130439,0.8956521739130439,0.9728506787330318,0.9551569506726458,0.9377777777777778,0.7580645161290325,0.9292035398230092,1.1477832512315276,0.4982817869415807,0.4982817869415807,0.4201954397394138,0.5970695970695972,0.5460992907801421,0.5244755244755246,0.4342105263157896,0.4342105263157896,0.4437086092715232,0.6029411764705883,0.3053892215568863,0.379746835443038,0.3292682926829269,0.2281690140845071,0.1945205479452056,0.2711370262390671
0E4K.L^A08,1.2198756869748189,0.0013138165199053,1.0,1.0,23.0,0.2077422131796956,0.2134525714003682,2.1653484816877,6.619135591693591e-07,0.4635506704338311,2.0,0.2003597295533064,0.0233783639567847,5.8111077395786294e-08,0.150262754543464,0.1629434998878247,0.2139326840148925,0.057058810747656,0.0047642507838897,0.054617104465295,0.275523455806934,-0.0715064956166344,-0.032,0.1227544910179641,0.1980830670926519,0.1980830670926519,0.1061946902654866,0.1645962732919255,-0.0234375,-0.0554156171284635,-0.0554156171284635,-0.0985576923076922,-0.2632612966601179,-0.2718446601941748,-0.2718446601941748,-0.4047619047619047,-0.4047619047619047,-0.4360902255639097,-0.3862520458265139,-0.3697478991596639,-0.3951612903225806,-0.3622448979591837,-0.3055555555555556,-0.2990654205607476,-0.2121848739495797,-0.1794310722100657,-0.1457858769931662,-0.1794310722100657,-0.1794310722100657,-0.0530303030303029,-0.0433673469387755,-0.0157480314960629,0.171875,0.2175324675324674,0.2842465753424659,-0.0853658536585365,-0.0853658536585365,-0.2038216560509553,-0.2038216560509553,-0.1685144124168514,-0.1685144124168514,-0.3016759776536313,-0.3016759776536313,-0.5247148288973384,-0.4292237442922374,-0.5033112582781456,-0.4274809160305343,-0.3194192377495463,-0.3231046931407942,-0.2021276595744681,-0.3686868686868687
0E8F.L^E08,1.3487676803699136,0.0381729016092004,1.0,1.0,22.0,0.110493190519553,0.2716514841788396,2.253909795209625,-0.0432999350102049,-0.0414290361507888,2.0,0.1487207657453881,0.0219302636844231,1.5997098955200086e-08,-0.0134294727354663,0.1134764154344868,0.0769871522343947,-0.0019594247714185,0.1928456168088975,0.2247293105474622,0.3528521764830098,0.3194394559515757,0.0451388888888888,0.0359712230215827,0.1206225680933852,0.1206225680933852,-0.0495049504950494,-0.09717868338558,-0.0170648464163823,0.1206225680933852,0.1206225680933852,0.0588235294117645,0.1707317073170731,0.161290322580645,0.161290322580645,-0.0367892976588629,-0.0335570469798658,-0.0136986301369863,-0.0463576158940397,0.0034843205574912,-0.0679611650485436,0.2360515021459226,0.3395348837209302,0.3090909090909088,0.5238095238095237,0.4845360824742268,0.3980582524271843,0.6744186046511627,0.6744186046511627,0.5652173913043477,0.846153846153846,0.7777777777777777,0.6744186046511627,0.2743362831858407,0.4117647058823528,0.3150684931506848,0.3150684931506848,0.3150684931506848,0.4117647058823528,0.4472361809045226,0.5911602209944751,0.7999999999999998,0.7999999999999998,0.5567567567567566,0.5,0.0992366412213738,0.0666666666666666,-0.0335570469798658,-0.0769230769230769,0.0212765957446807,-0.1219512195121951
0E8P.L^G09,0.8816157550953103,-0.2610849293069648,1.0,1.0,22.0,0.2180524610641234,0.0549050619484536,0.6139632107793691,0.084545359871941,0.4309277969628979,2.0,0.0062888798312493,0.0970111158760405,6.494546303634754e-06,0.1396878527225313,0.1633133405010848,0.2833004118054648,-0.1886691481154552,-0.8483950887360614,0.2267325485900652,0.4555523506892076,0.7649136013896279,0.0427135678391961,0.0337662337662336,-0.0316301703163017,-0.0316301703163017,-0.038647342995169,-0.0074812967581047,0.0050505050505049,0.0756756756756755,0.0756756756756755,0.1404011461318051,0.0585106382978724,-0.0292682926829267,-0.0292682926829267,-0.0635294117647058,0.0257731958762887,-0.0363196125907989,0.0585106382978724,0.0127226463104326,-0.0148514851485148,-0.0221130221130222,-0.0455635491606714,-0.0455635491606714,-0.1385281385281385,-0.1477516059957173,0.0050505050505049,0.0231362467866322,0.0231362467866322,0.0418848167539267,0.0127226463104326,0.028423772609819,0.0501319261213719,0.1775147928994083,0.2634920634920634,0.0364583333333332,0.0364583333333332,0.2283950617283949,0.2922077922077921,0.2398753894080996,0.2476489028213166,0.3049180327868852,0.3049180327868852,0.3311036789297659,0.3676975945017182,0.3724137931034483,0.3222591362126246,0.4265232974910393,0.4163701067615657,0.4368231046931408,0.431654676258993
0EBT.L^E09,1.1791227339543184,-0.2558682834185619,1.0,1.0,21.0,0.1656179030006852,0.3637943890623153,1.033242378138646,-0.015982578988902,0.2162306571722609,2.0,0.4438021726488516,0.0457985439278234,1.5514714844304504e-08,0.0700924758301807,0.1889147541852435,0.0290175691672774,0.1103938388164963,-0.3522912681801935,0.1226027075813263,0.2929882353756746,0.024583902623191,-0.0342205323193915,-0.1084745762711865,-0.1204013377926422,-0.1204013377926422,-0.0075471698113207,-0.0573476702508961,-0.1461038961038961,-0.0401459854014599,-0.0401459854014599,0.0604838709677419,0.301980198019802,0.3842105263157895,0.3842105263157895,0.3697916666666667,0.2766990291262134,0.1954545454545453,0.1688888888888888,-0.1233333333333334,-0.1320132013201319,-0.1703470031545741,-0.2612359550561798,-0.2986666666666667,-0.1054421768707483,-0.1348684210526316,-0.0223048327137547,0.2829268292682927,0.2829268292682927,0.0912863070539418,0.1793721973094169,0.0154440154440154,0.0436507936507934,0.0313725490196079,0.1535087719298247,-0.1570512820512821,-0.1570512820512821,-0.1543408360128617,-0.0993150684931507,-0.1781250000000001,-0.1144781144781146,-0.1348684210526316,-0.1348684210526316,-0.2833787465940054,-0.198170731707317,-0.3538083538083538,-0.3967889908256882,-0.5295169946332737,-0.5564924114671164,-0.469758064516129,-0.4833005893909626
0EF4.L^E09,3.316929986998148,-0.1043715174576934,1.0,1.0,21.0,0.1941300758015804,0.9807000646672231,0.8979184732106464,0.0449354435282956,0.4329937700514367,2.0,0.1831091431301532,0.0893687919725517,2.9316944416029757e-09,0.1403575503993915,0.0319420762312446,0.2566107100908983,0.0155326529176283,0.0323170362537127,0.2613264979979824,0.1625681733791261,0.1734759685987832,-0.003174603174603,-0.0337423312883434,-0.0762463343108504,-0.0762463343108504,-0.0625,-0.0568862275449101,-0.0762463343108504,0.0161290322580645,0.0161290322580645,0.125,0.0975609756097559,0.1130742049469963,0.1130742049469963,0.0535117056856186,0.0975609756097559,0.09375,0.1209964412811388,0.0824742268041236,0.0750853242320819,0.0535117056856186,0.0128617363344052,-0.0156250000000001,-0.0277777777777779,0.0128617363344052,-0.0568862275449101,0.0194174757281553,0.0194174757281553,0.0677966101694913,-0.0277777777777779,-0.0277777777777779,-0.0396341463414633,-0.1076487252124646,0.0361842105263157,-0.2482100238663485,-0.2482100238663485,-0.2570754716981133,-0.3015521064301552,-0.2984409799554566,-0.2354368932038835,-0.2446043165467626,-0.2446043165467626,-0.150943396226415,-0.0895953757225433,-0.0948275862068965,-0.0568862275449101,0.0430463576158939,0.09375,0.1623616236162361,0.0063897763578275
0EK1.L^E09,0.7117740633709658,-0.1056544284291111,1.0,1.0,23.0,0.09233563453175,0.042438380402493,1.6186339349076568,0.0029939990393277,0.1614950398846034,2.0,0.1518856071569169,0.0311909882772621,1.720849143091727e-05,0.0523495943074706,0.096628236629234,0.0961226508454188,-0.0513485151004186,-0.0340400092137527,0.0483936083436937,0.1618195368361431,1.3033629008225092,-0.0965250965250965,0.1310043668122269,-0.0226415094339622,-0.0226415094339622,0.036,0.0156862745098038,-0.2198795180722891,-0.1099656357388316,-0.1099656357388316,0.0156862745098038,-0.3037634408602151,-0.3573200992555831,-0.3573200992555831,-0.4570230607966457,-0.4670781893004115,-0.4951267056530214,-0.4746450304259635,-0.5869218500797448,-0.5542168674698795,-0.5856,-0.581583198707593,-0.580226904376013,-0.5526770293609672,-0.5009633911368017,-0.4332603938730854,-0.1725239616613418,-0.1725239616613418,-0.2884615384615385,-0.5167910447761195,-0.589540412044374,-0.6890756302521008,-0.6140089418777943,-0.5366726296958855,-0.6523489932885906,-0.6523489932885906,-0.6905615292712066,-0.5487804878048781,-0.6352112676056338,-0.5914826498422713,-0.330749354005168,-0.330749354005168,-0.5882352941176471,-0.2724719101123596,-0.7066817667044167,-0.7147577092511013,-0.7590697674418605,-0.7134955752212389,-0.6879518072289157,-0.697076023391813
0EK6.L^F09,1.080323340570003,-0.1144621927839098,1.0,1.0,20.0,0.1621408678201951,0.103931738293885,1.6685753239578678,1.928994998119828e-05,0.1437258659306256,2.0,-0.0827242493166919,-0.0559621217133638,8.238762790365444e-09,0.0465896090575565,0.9225029228870052,0.2135272612336932,-0.0299893782938647,0.0005311923125816,0.2023863026769019,0.2756275768161532,1.3033629008225092,0.0140845070422535,0.0289855072463769,0.0757575757575756,0.0757575757575756,0.0289855072463769,0.0923076923076922,0.0142857142857142,-0.0405405405405405,-0.0405405405405405,0.0757575757575756,-0.1744186046511627,-0.2197802197802199,-0.2197802197802199,-0.2446808510638297,-0.2282608695652175,-0.2604166666666666,-0.29,-0.2526315789473684,-0.3173076923076924,-0.0779220779220779,0.0289855072463769,0.0289855072463769,0.0289855072463769,0.0,0.0289855072463769,0.3148148148148146,0.3148148148148146,0.2241379310344828,0.2241379310344828,0.109375,0.1639344262295081,0.109375,0.1451612903225805,-0.2446808510638297,-0.2446808510638297,-0.29,-0.297029702970297,-0.3425925925925926,-0.3603603603603604,-0.3826086956521739,-0.3826086956521739,-0.3879310344827585,-0.3486238532110093,-0.5069444444444444,-0.5034965034965035,-0.5477707006369428,-0.3716814159292035,-0.3364485981308411,-0.3771929824561403
