firms,absacc,acc,age,agr,cashdebt,chpmia,currat,egr,grltnoa,herf,invest,lgr,mve_ia,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,0.0481325730343349,-0.0481325730343349,16.0,-0.1126112171305359,0.0988162853654652,-0.0232585602443322,1.3925693126303016,-0.2276462205512265,-0.1112807230062656,1.8165057579756322e-08,0.0177947408857716,-0.030361642288833,0.1015832139324538,3.0388963090307426,0.1563639333504896,0.1767272043078105,0.0378124690246668,-2.462546187437017,0.986853159909139,0.0713731140752759,0.0909090909090908,-0.0434782608695653,-0.0833333333333332,-0.12,-0.0833333333333332,-0.0833333333333332,-0.2542372881355932,-0.2413793103448275,-0.1372549019607842,-0.12,-0.0434782608695653,-0.0638297872340425,-0.1538461538461538,0.0731707317073171,0.0476190476190476,0.1578947368421053,0.2941176470588234,0.517241379310345,0.375,0.517241379310345,0.4193548387096775,0.1282051282051282,0.2941176470588234,0.6923076923076923,0.2941176470588234,0.3333333333333332,0.2222222222222223,-0.0638297872340425,-0.12,-0.12,-0.1372549019607842,-0.2142857142857143,-0.380281690140845,-0.4210526315789473,-0.2,-0.169811320754717,-0.3888888888888888,-0.3888888888888888,-0.5686274509803921,-0.5686274509803921,-0.6173913043478261,-0.5728155339805825,-0.7105263157894737,-0.7634408602150538,-0.7317073170731707,-0.7608695652173914,-0.7821782178217822,-0.7684210526315789,-0.7821782178217822
BBOU_00-L,0.0481394657773962,-0.0481394657773962,16.0,-0.1300858183614249,0.1569274041026138,-0.7129338258359427,1.0087597053553654,-0.2547436415018167,-0.0924561032786344,6.120471836718502e-05,0.0004321787985429,-0.0753220085868956,18.100073366012072,-0.1898381541172705,0.0700292753118734,-0.0752799502013805,0.2769020438683948,-0.5237068965517241,0.5755524586900259,-0.0581567796610169,0.0175438596491228,-0.0014598540145984,-0.0655737704918033,-0.042016806722689,-0.0952380952380952,-0.0311614730878186,-0.0928381962864721,-0.05,-0.0693877551020407,-0.0706521739130435,-0.0200573065902579,0.0458715596330274,0.0118343195266272,0.0788643533123027,0.0621118012422359,0.0395136778115501,0.0014641288433381,0.0426829268292683,0.0788643533123027,0.0621118012422359,0.0133333333333334,0.0410958904109588,-0.0630136986301369,-0.1428571428571429,-0.1275510204081632,-0.0719131614654002,-0.1962397179788484,-0.2046511627906976,-0.2441988950276243,-0.2549019607843137,-0.2137931034482758,-0.1933962264150943,-0.1286624203821655,-0.0818791946308725,-0.0228571428571429,-0.0228571428571429,-0.0043668122270742,-0.0719131614654002,-0.1428571428571429,-0.1082138200782268,-0.056551724137931,-0.0446927374301676,-0.0446927374301676,0.0458715596330274,-0.0879999999999999,-0.0539419087136929,0.0395136778115501,0.1268533772652387,0.1854419410745234
BBTU_63-L^C18,0.0753488192324044,-0.0753488192324044,15.0,0.0400149809781001,0.1179786665684125,0.0250463184261691,0.8406364110589463,-0.0107679229243413,-0.0330073822131131,6.174975417300793e-05,0.0389505430604562,0.0882930019620667,3.78180050241478,0.0112035030943345,0.0594574036851867,0.0676162918768708,0.7366897530466435,-3.48125,0.825943314206225,0.6299507209344771,0.0764331210191082,-0.003174603174603,-0.0382848392036753,-0.0308641975308642,0.0466666666666666,0.1438979963570128,0.13768115942029,0.1501831501831503,0.1586715867158672,0.2076923076923076,0.3276955602536997,0.4305239179954443,0.3138075313807531,0.3193277310924372,0.4144144144144144,0.437070938215103,0.692722371967655,0.885885885885886,0.715846994535519,0.6185567010309279,0.5583126550868487,0.4436781609195404,0.4881516587677725,0.6526315789473687,0.341880341880342,0.3741794310722099,0.1804511278195488,0.0608108108108109,0.0261437908496733,0.0449251247920134,0.1608133086876155,0.2386587771203154,0.2337917485265226,0.2635814889336016,0.4672897196261683,0.4144144144144144,0.0827586206896553,0.0519262981574539,0.0590219224283306,0.0753424657534247,0.171641791044776,0.2635814889336016,0.1315315315315315,0.0808950086058521,0.246031746031746,0.3447537473233406,0.3593073593073592,0.3447537473233406,0.1984732824427482
BCPS_48-L^C06,0.0538839778252993,-0.0538839778252993,15.0,0.0501815135437028,0.0781949707199449,-0.4271232983437152,1.4671602906897026,0.0153945875871009,0.0147377310432137,4.063814370627517e-06,0.0907846970120078,0.0711673949879603,1.6331313568371566,1.4710393968120608,0.1686803050028537,0.1714184670817185,-0.052994350666336,-3.956,1.3847525023995613,-0.1439034415754269,0.0655737704918033,0.1090909090909089,0.0655021834061135,0.1401869158878503,0.1296296296296295,0.0892857142857141,0.0562770562770562,0.0427350427350428,0.0608695652173914,-0.0161290322580645,-0.1347517730496453,-0.0278884462151394,-0.0579150579150579,0.0655021834061135,0.0427350427350428,0.0252100840336135,0.2199999999999999,0.4104046242774566,0.5345911949685533,0.4878048780487805,0.4878048780487805,0.3189189189189187,0.326086956521739,0.4269005847953215,0.0796460176991151,0.1563981042654028,0.0,-0.0929368029739776,-0.1254480286738352,-0.0161290322580645,0.1730769230769229,0.0796460176991151,0.0252100840336135,-0.008130081300813,0.1730769230769229,0.3555555555555554,0.0608695652173914,-0.0687022900763358,-0.0615384615384615,-0.1812080536912751,-0.0615384615384615,-0.046875,-0.1784511784511785,-0.1866666666666666,-0.2302839116719243,-0.2229299363057325,-0.137809187279152,-0.5946843853820598,-0.5885328836424958
BCQE_67-L^A14,0.033033033033033,-0.033033033033033,16.0,-0.2252906976744186,-0.0463760434609778,-0.974832696263706,1.819234194122885,3.5533980582524274,-0.2705432705431982,1.172211951486297e-05,-0.1087693798449612,-0.1342398022249691,0.5678936058454391,-0.1233140972330105,0.1934117343131892,0.2143864090312484,-0.1265341164038877,-0.3689024390243902,1.4844167408726625,-0.2245914707054603,-0.1893491124260353,-0.0815217391304348,-0.1715686274509804,-0.0962566844919786,-0.2587719298245613,-0.2488888888888889,-0.3424124513618677,-0.4328859060402684,-0.2065727699530516,-0.3102040816326531,-0.5407608695652174,-0.4735202492211838,-0.5898058252427185,-0.4548387096774193,-0.2777777777777778,-0.2175925925925926,0.0304878048780488,0.4444444444444444,-0.050561797752809,-0.7243066884176182,-0.7256493506493507,-0.7816537467700259,-0.7684931506849315,-0.7568345323741007,-0.8057471264367816,-0.7833333333333333,-0.8392007611798287,-0.8634894991922456,-0.866403162055336,-0.883367839889579,-0.8549356223175966,-0.8752767527675277,-0.8786791098348887,-0.8598673300165838,-0.7731543624161074,-0.6293859649122806,-0.8346379647749511,-0.8375,-0.8932406822488945,-0.9015725101921956,-0.9022556390977444,-0.8934426229508197,-0.908992999461497,-0.9209541627689428,-0.9075492341356676,-0.9149043303121852,-0.910958904109589,-0.9015725101921956,-0.9447892845475336
BDAJ_H9-L,0.0995056109236443,-0.0995056109236443,9.0,0.1080231596360629,0.1565847636493967,0.1945628481101129,1.388252929953666,-0.2505688282138794,-0.0093123021789724,2.8717798882501065e-06,0.0343534601599117,0.4034264931087289,1.443805143292417,-0.0726915161806126,-0.327538855636287,-0.3183366820050096,0.2577405495858088,-1.870206489675516,1.2925865358408286,0.3149665437662162,-0.005050505050505,-0.0341463414634145,-0.0526315789473683,-0.0790697674418604,-0.1040723981900452,-0.1483870967741936,-0.1040723981900452,-0.095890410958904,0.0206185567010308,-0.027027027027027,0.0,0.0790190735694822,0.0,-0.0173697270471464,0.1379310344827586,0.1282051282051282,0.1785714285714286,0.1963746223564955,0.2147239263803682,0.2073170731707316,0.0702702702702702,0.0179948586118252,-0.0457831325301205,0.168141592920354,0.0790190735694822,0.233644859813084,0.076086956521739,-0.0025188916876575,0.0366492146596859,-0.027027027027027,0.1379310344827586,0.1314285714285714,0.2413793103448276,0.2611464968152865,0.4943396226415095,0.5652173913043479,0.2692307692307691,0.2036474164133739,0.3515358361774743,0.2941176470588236,0.528957528957529,0.5,0.546875,0.6851063829787234,0.6296296296296295,0.5652173913043479,0.6500000000000001,0.6923076923076923,0.6995708154506437
BLNT_37-L^D19,0.0135785896561866,-0.0135785896561866,7.0,0.042168209718145,0.0367000066080464,0.0196140757607297,1.0447513582828762,0.2141545992249644,0.0267450367480353,1.425264431347089e-07,0.0040371153490854,0.0302403693469479,0.735663182629203,-0.3423302187801448,-0.0201998044690984,-0.0201998044690984,0.1315471152540642,-0.4638481402120762,1.0447513582828762,0.1053835689847067,0.009433962264151,-0.0598669623059866,0.0167865707434053,-0.0901287553648068,-0.1587301587301587,-0.171875,-0.211895910780669,-0.2885906040268455,-0.196969696969697,-0.2148148148148148,-0.2522045855379188,-0.2455516014234875,-0.2600349040139617,-0.2482269503546098,-0.2885906040268455,-0.3116883116883117,-0.256140350877193,-0.2455516014234875,-0.3026315789473683,-0.2956810631229235,-0.3652694610778443,-0.3595166163141994,-0.3755522827687776,-0.2933333333333333,-0.3116883116883117,-0.3094462540716611,-0.3333333333333333,-0.3727810650887573,-0.3633633633633634,-0.296849087893864,-0.2909698996655518,-0.3205128205128205,-0.3116883116883117,-0.3269841269841269,-0.2873949579831932,-0.1311475409836064,-0.1092436974789915,-0.1503006012024048,-0.1275720164609053,-0.1054852320675105,-0.168627450980392,-0.1185031185031183,-0.0782608695652172,-0.004694835680751,-0.1239669421487602,-0.0802603036876355,0.145945945945946,0.1216931216931218,0.2254335260115607
BPVK_29-L,0.0500351223265826,-0.0500351223265826,8.0,-0.0175290242870172,0.3964131549512891,-0.0101283970311472,1.680701742793256,0.0607044363945084,-0.0585209781501425,8.5814400486754e-05,0.037430448052047,-0.1037136337942827,32.367303249196986,-0.184172330829036,0.1386248496484348,0.1099076008806018,-0.0640711058855196,-0.3919630738855483,1.2879791940398737,-0.04995336089642,-0.1037181996086106,0.0360908353609084,0.0415817366490012,0.0070949940875049,-0.031095942358741,0.0027472527472527,-0.016551193225558,-0.0288863549980995,-0.0466417910447761,-0.0401953418482343,-0.076950867052023,-0.0085370585952657,0.0211830535571542,0.0514403292181069,0.0780590717299578,0.0159045725646123,0.0386178861788617,0.1529783393501804,0.2242453282223286,0.2230732407850646,0.150900900900901,0.0514403292181069,0.1310314298362107,0.2775000000000001,0.3532838983050848,0.1375779162956367,-0.0466417910447761,-0.1500332667997338,-0.1995614035087719,-0.267278462862059,-0.2951724137931034,-0.2329630741519063,-0.1752743705616526,-0.1680234451318788,-0.1967934611757308,-0.1797752808988764,-0.2271627344222625,-0.2658045977011494,-0.2210365853658535,-0.2440828402366863,-0.2126348228043143,-0.2325022529288074,-0.2013129102844638,-0.1520079654829074,-0.2429629629629629,-0.2615606936416185,-0.1965408805031446,-0.2540145985401459,-0.1978021978021977
BUBP_92-L^K18,0.2551950419248997,-0.2551950419248997,8.0,0.1675227182931647,0.2465660120331479,-0.1360673567841085,1.3128205128205128,-1.8514664143803217,-0.1590411957710362,1.0348944490898936e-05,0.0669695772421967,0.0673550809669091,8.002189088648736,0.450223702092755,0.2130065330297485,0.4287794809953388,0.2285735767705964,-1.7391304347826086,0.9923076923076924,0.1475204017576899,-0.002061855670103,-0.1970198675496689,-0.215210355987055,-0.1916666666666667,-0.2717717717717718,-0.2771982116244411,-0.3319559228650138,-0.356763925729443,-0.310099573257468,-0.2804154302670624,-0.269578313253012,-0.2100977198697068,-0.2782738095238095,-0.3110795454545455,-0.2595419847328244,-0.2761194029850746,-0.2433697347893916,-0.2338072669826225,-0.2468944099378882,-0.2036124794745485,-0.2410015649452269,-0.2457231726283049,-0.1565217391304348,-0.0708812260536398,-0.1916666666666667,-0.1261261261261261,-0.2538461538461539,-0.3401360544217687,-0.3725743855109962,-0.4170673076923077,-0.3245125348189415,-0.2445482866043614,-0.3584656084656085,-0.4412442396313364,-0.3507362784471218,-0.1889632107023412,-0.3651832460732984,-0.399008674101611,-0.3091168091168091,-0.3226256983240224,-0.4513574660633485,-0.4092570036540804,-0.4812834224598931,-0.5822566752799311,-0.5673505798394292,-0.5259042033235581,-0.5336538461538463,-0.529126213592233,-0.5931208053691275
BWQW_65-L^I10,0.0708489043185989,-0.0708489043185989,2.0,-0.059764887592243,0.2341518275538894,0.0078602365753537,2.336651403543699,0.2873417721518987,0.0098180129580078,7.684490552002649e-06,0.0140295177621417,0.1283810739647332,1.7629160402091657,0.4399195004313019,-0.1617194686642848,-0.1919943415567891,0.5127318180461019,-0.9324796274738066,1.5922755325502689,0.502193400724776,0.0268199233716475,0.0357142857142855,-0.0404411764705883,0.0,-0.0333333333333334,-0.0150943396226415,-0.0261194029850747,-0.0038167938931298,-0.0261194029850747,-0.0474452554744526,-0.0645161290322581,0.044,-0.0224719101123596,0.0357142857142855,0.1548672566371682,0.0785123966942149,0.2428571428571426,0.4745762711864405,0.359375,0.359375,0.3736842105263158,0.1972477064220181,0.3181818181818181,0.1548672566371682,0.0740740740740739,0.1756756756756754,0.044,-0.0038167938931298,-0.0113636363636364,0.0077220077220077,0.069672131147541,0.2985074626865671,0.2311320754716979,0.3248730964467003,0.544378698224852,0.74,0.4184782608695652,0.2794117647058822,0.4184782608695652,0.3523316062176165,0.662420382165605,0.7516778523489933,0.5263157894736841,0.5,0.7755102040816326,0.74,0.6012269938650308,0.5263157894736841,0.2027649769585253
