firms,age,agr,bm,bm_ia,cashdebt,chatoia,chpmia,convind,depr,egr,ep,grltnoa,herf,lev,lgr,mve_ia,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BABJ-L^I00,7.0,0.0647325559874144,5.9008333333333336e-05,3.1281908650328174,0.1391695478500218,1.1739051439412276,0.0258319700487258,1.0,0.1156429942418426,0.1461638070573002,1.125e-05,-0.0312843152634279,1.3465900732724446e-06,0.000126025,0.0310199072811562,0.0163059509855242,-0.0037237254092889,-0.0012672325541054,0.0388835877862595,1.053919796744237,0.0256410256410257,-0.037037037037037,-0.9210526315789472,-0.9237536656891496,0.0,-0.0602409638554216,-0.0823529411764705,-0.025,-0.9204081632653062,-0.025,-0.0126582278481012,-0.0823529411764705,-0.9201637666325486,-0.9182389937106918,-0.9189189189189187,-0.9145673603504928,-0.9163090128755365,-0.9105504587155964,-0.9107551487414188,-0.9075829383886256,-0.9045287637698898,-0.9042944785276074,-0.904645476772616,-0.9093023255813952,-0.9072532699167656,-0.9136212624584718,-0.9094076655052264,-0.90834312573443,-0.9097222222222222,-0.9069212410501192,-0.904645476772616,-0.90625,-0.9074733096085408,-0.9065868263473054,-0.8993548387096775,-0.8989637305699482,-0.8997429305912596,-0.9022556390977444,-0.8950201884253028,-0.8913649025069638,-0.8898305084745762,-0.8934426229508197,-0.896,-0.891213389121339,-0.8882521489971347,-0.8941655359565808,-0.8827067669172932,-0.877742946708464,-0.8757961783439491
BACQ-L^J02,6.0,0.1121119823731449,4.256617058133254e-07,0.0225654748151876,0.2601855586930213,1.126652033036117,-0.1484702994887897,1.0,0.0727272727272727,0.0657572577824413,5.1548792072568794e-08,0.0843765341188,5.835989150487098e-07,3.734609868310764e-07,0.1701196381674934,2.9180586351994644,0.0628423826364329,-0.128355860025921,0.0681818181818182,0.5374996220115629,0.0206896551724138,-0.0522875816993464,-0.0333333333333333,-0.0645161290322581,-0.0333333333333333,-0.0584415584415585,0.0069444444444444,0.0820895522388058,0.1153846153846154,0.0820895522388058,0.1417322834645669,0.4499999999999999,0.3181818181818181,0.3942307692307691,0.4795918367346938,0.7058823529411764,0.6111111111111109,0.883116883116883,0.8589743589743588,1.1323529411764706,1.0714285714285716,1.1323529411764706,1.1014492753623188,1.2307692307692308,1.5,1.265625,1.589285714285714,1.5438596491228074,1.5438596491228074,1.6363636363636362,1.589285714285714,1.6363636363636362,1.4166666666666663,1.0714285714285716,1.1969696969696968,0.9594594594594594,0.9594594594594594,0.9078947368421052,0.8124999999999998,0.6860465116279069,0.7261904761904763,0.8124999999999998,0.8354430379746833,0.9078947368421052,1.0138888888888888,1.0138888888888888,1.265625,2.2954545454545454,2.625
BALZ-L^I10,8.0,0.1136246844069085,4.954733476284369e-07,0.0262663781937891,0.1521336811981475,1.296921379919619,-0.5641437397180646,1.0,0.2252258764004336,0.1625351617440224,6.631287903987397e-08,-0.03279087098769,2.3746057552228157e-09,7.197882126593627e-07,0.0847479956336808,0.1088081744536511,-0.0395994973073312,-0.0318795647906797,0.157416030016726,0.3698637115536862,-0.0294117647058823,-0.0555555555555554,0.0625,0.1724137931034484,0.1724137931034484,0.2142857142857142,0.0967741935483872,0.2592592592592593,0.3076923076923077,0.4782608695652175,0.4782608695652175,0.4166666666666667,0.3600000000000001,0.3076923076923077,0.4166666666666667,0.7,0.7,0.7,0.7,0.6190476190476193,0.5454545454545456,0.4782608695652175,0.4782608695652175,0.3076923076923077,0.2592592592592593,0.1724137931034484,0.1333333333333335,0.0625,0.0,-0.0285714285714284,0.0303030303030302,0.0625,0.0625,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4782608695652175,0.7,1.0,1.0,1.6153846153846154,1.4285714285714284,1.4285714285714284,1.6153846153846154,1.6153846153846154,3.8571428571428568,2.4,2.777777777777778
BAMD-L^J98,7.0,0.1803260872673818,3.995700544111932e-07,0.0211822860186373,0.0891417070187868,0.4539328987237766,-0.1139051268990308,1.0,0.0560997506234413,0.0918002973503957,3.4320345899727945e-08,-0.0087201180521396,5.33418540833495e-09,5.978842790516907e-07,0.2491410591489254,0.5594028251433846,-0.1856084474472362,0.126160324838273,0.1428945847902358,0.7314657635867876,0.0,0.1071428571428569,0.1221719457013574,0.1753554502369669,0.1272727272727272,0.1588785046728971,0.1643192488262912,0.24,0.1923076923076923,0.1753554502369669,0.2216748768472907,0.2038834951456309,0.2156862745098038,0.2097560975609758,0.2277227722772277,0.5308641975308641,0.493975903614458,0.5796178343949043,0.710344827586207,0.6756756756756757,0.5308641975308641,0.4011299435028248,0.5030303030303032,0.5696202531645569,0.4761904761904763,0.3626373626373627,0.4011299435028248,0.5121951219512195,0.6103896103896103,0.2216748768472907,0.1534883720930233,0.092511013215859,0.0376569037656904,0.0973451327433629,0.1809523809523809,0.2216748768472907,0.2653061224489796,0.3478260869565217,0.3478260869565217,0.2525252525252526,0.2277227722772277,0.3701657458563536,0.4335260115606936,0.5999999999999999,0.5999999999999999,0.6756756756756757,0.968253968253968,0.9076923076923076,1.3846153846153846
BBIO-L^E18,7.0,0.0453905550104518,2.292029616724739e-07,0.0121506670404005,0.1880347730850845,1.0718871403304664,-0.2579001509230722,1.0,0.123462028001697,0.1580395098774694,4.6375118783655376e-08,-0.0396279147374084,1.2132212301573722e-06,3.594937836553691e-07,-0.0111632972568238,5.490974641205333,0.0067006245344186,0.171403125253016,0.171403125253016,0.9346723092823782,-0.000870322019147,0.0922053231939163,0.1421471172962225,0.1629554655870444,0.1688708036622583,0.1724489795918367,0.1882109617373319,0.3581560283687941,0.3727598566308245,0.4749679075738127,0.4202719406674908,0.4255583126550868,0.3893591293833132,0.465561224489796,0.5914127423822715,0.7758887171561053,0.8209191759112522,0.7704160246533127,0.8413461538461537,1.0087412587412588,1.089090909090909,0.9540816326530612,0.8354632587859425,0.902317880794702,0.8743882544861339,0.8296178343949043,0.847266881028939,1.0628366247755836,0.9607508532423208,0.847266881028939,1.1356877323420074,1.1396648044692737,0.902317880794702,1.1761363636363638,1.3448979591836734,1.4037656903765692,1.487012987012987,1.3353658536585369,1.3448979591836734,1.5476718403547671,1.4762931034482762,1.383817427385892,1.487012987012987,1.4551282051282053,1.4551282051282053,1.5647321428571428,1.844059405940594,1.8582089552238807,1.984415584415584
BBNH-L^L97,8.0,0.0067306829399623,3.3084433045133e-07,0.0175389500737028,0.0320630749014454,0.7599609677730933,0.6441130986264585,1.0,0.1083916083916083,0.0349401488191523,5.9984279981797875e-09,-0.0160994588792987,1.1669040315959833e-05,7.83001696107227e-07,-0.0101974114263302,13.138791772435908,0.1596461801902168,0.1182554517133956,0.1182554517133956,7.324151750168857,7.2142857142857135,-0.8803418803418803,-0.8724373576309795,0.0370370370370369,0.0370370370370369,-0.8709677419354839,0.0,0.0,-0.8718535469107551,-0.8793103448275862,0.0181818181818183,-0.8715596330275229,-0.8741573033707866,-0.863080684596577,-0.8530183727034121,-0.8552971576227391,-0.8596491228070176,-0.8592964824120602,-0.8582278481012658,-0.8522427440633246,-0.8465753424657534,-0.8624078624078624,-0.8518518518518519,-0.8657074340527577,-0.8606965174129353,-0.8741573033707866,-0.8650602409638555,-0.8640776699029126,-0.868235294117647,-0.8823529411764706,-0.8761061946902655,-0.8803418803418803,-0.8830897703549061,-0.8823529411764706,-0.8657074340527577,-0.8627450980392157,-0.8653846153846154,-0.8769230769230769,-0.8660287081339713,-0.8697674418604651,-0.8617283950617284,-0.8634146341463415,-0.8703703703703703,-0.8766519823788546,-0.873015873015873,-0.8795698924731182,-0.8747203579418344,-0.8640776699029126,-0.8606965174129353
BBOU-L,7.0,0.0522083226959407,5.058599974034252e-07,0.0268170025057972,0.1949875344442986,0.390621194073186,0.1372172939720879,1.0,0.0817228050800662,0.0858880162148467,7.022554793631311e-08,-0.0171673819742382,1.760831405272635e-06,4.539284997698491e-07,0.0188079470198675,11.51295257625426,-0.0145522875613656,0.007514450867052,0.007514450867052,0.6137043926496962,-0.0497835497835499,-0.0334728033472803,-0.0021598272138227,-0.0232558139534884,-0.0021598272138227,-0.0434782608695651,-0.0064516129032258,0.0065359477124182,0.0065359477124182,-0.0253164556962025,0.0043478260869567,-0.0869565217391303,-0.108108108108108,-0.072289156626506,-0.0685483870967741,-0.0434782608695651,-0.0354906054279748,-0.0128205128205127,0.0153846153846155,0.0973871733966746,0.0973871733966746,0.0266666666666666,0.0221238938053098,-0.0149253731343284,0.019867549668874,-0.0513347022587269,0.0358744394618835,0.0547945205479452,-0.021186440677966,-0.0374999999999999,-0.0107066381156316,-0.1115384615384615,-0.125,-0.0334728033472803,-0.0273684210526315,0.0645161290322582,0.0921985815602837,-0.0923379174852652,-0.0085836909871245,-0.0294117647058822,-0.0170212765957447,-0.0395010395010394,-0.072289156626506,0.024390243902439,0.0043478260869567,-0.1046511627906976,-0.1720430107526881,-0.1348314606741573,-0.1396648044692737
BBQS-L^G99,7.0,-0.2845765986522783,5.274424345277124e-07,0.0279611456944543,0.0124675324675324,1.6229454154683312,0.348272750261831,1.0,0.1149784904184591,0.0032095369096744,-3.6641339144521154e-08,-0.146141801499869,1.727851738862634e-06,6.884714776102133e-07,-0.3203775680177679,1.6910575648067467,-0.0700995568488356,0.0339282746827213,-0.1896940116388212,1.454797265444499,-0.0276243093922652,-0.0268817204301075,0.0,0.0342857142857142,-0.0054945054945054,0.0111731843575419,-0.0216216216216216,0.0523255813953489,0.0168539325842695,0.0710059171597634,0.1677419354838709,0.0903614457831325,0.0225988700564971,-0.0572916666666666,-0.081218274111675,0.0111731843575419,-0.0163043478260869,-0.0216216216216216,-0.0268817204301075,0.0111731843575419,0.0342857142857142,0.0111731843575419,0.1172839506172838,0.0838323353293413,0.0462427745664739,0.0111731843575419,0.0647058823529411,0.1830065359477124,0.124223602484472,0.0710059171597634,0.0710059171597634,0.0342857142857142,0.0111731843575419,0.1383647798742138,0.1753246753246753,0.1036585365853659,0.1455696202531644,0.0710059171597634,0.222972972972973,0.2569444444444444,0.2066666666666667,0.1528662420382165,0.1312499999999998,0.124223602484472,0.2482758620689655,0.3609022556390977,0.5470085470085471,0.7075471698113207,1.1294117647058823
BBTK-L^C11,7.0,0.0234593837535014,0.0004408191866734,23.369013747490868,0.1626884422110552,0.1982816155488256,-0.5460009058587593,1.0,0.1245157719977863,0.0037209302325581,1.389050263846012e-05,-0.0342619830420417,5.8795200347827815e-08,0.0006630672288888,0.039718129404228,0.0033260275500085,0.1030246913580247,-0.698793490460157,-0.0169753086419753,4.706697035261615,-0.12,0.1627906976744186,0.2195121951219512,0.2195121951219512,0.2195121951219512,0.2195121951219512,0.2195121951219512,0.2820512820512819,0.2820512820512819,0.25,0.25,-0.673202614379085,-0.6987951807228916,-0.7159090909090908,-0.7142857142857143,-0.7093023255813953,-0.6987951807228916,-0.7126436781609196,-0.6932515337423313,-0.6753246753246753,-0.6575342465753424,-0.6598639455782314,-0.6598639455782314,-0.6598639455782314,-0.6666666666666667,-0.6644295302013423,-0.6688741721854304,-0.6323529411764706,-0.6551724137931034,-0.6666666666666667,-0.5867768595041323,-0.6124031007751938,-0.609375,-0.5689655172413792,-0.5614035087719298,-0.6503496503496503,-0.6575342465753424,-0.6598639455782314,-0.6268656716417911,-0.6855345911949686,-0.6774193548387097,-0.6710526315789473,-0.6835443037974684,-0.7222222222222222,-0.6951219512195121,-0.6835443037974684,-0.7109826589595376,-0.7126436781609196,-0.691358024691358
BBTU-L^C18,7.0,-0.1368675419147505,7.725849442331082e-07,0.0409568111568179,0.0604902897166507,0.8958534468705561,-0.8027590484598004,1.0,0.0276443536024527,-0.0593393898020269,2.583477818319833e-08,-0.0595817510830496,2.145076781404208e-06,7.19060804457901e-07,-0.2068506184586108,3.150554319668064,0.7950298353729649,0.0069966514786573,-0.1176645951338087,0.8233326761029802,-0.0571428571428571,0.0096153846153845,0.1052631578947369,0.160220994475138,0.09375,0.0880829015544042,0.1111111111111111,0.129032258064516,0.2426035502958581,0.4383561643835618,0.4685314685314687,0.2883435582822087,0.2426035502958581,0.2650602409638556,0.2280701754385965,0.2280701754385965,0.160220994475138,0.1797752808988764,0.2280701754385965,0.1931818181818181,0.25,0.2280701754385965,0.3375796178343948,0.4000000000000001,0.381578947368421,0.2574850299401199,0.2209302325581397,0.3636363636363637,0.2883435582822087,0.129032258064516,0.0824742268041238,-0.0094339622641509,0.0294117647058824,0.2962962962962963,0.390728476821192,0.2209302325581397,0.1170212765957448,0.0396039603960396,0.1052631578947369,0.1111111111111111,0.1731843575418994,0.2883435582822087,0.1931818181818181,0.0769230769230771,0.0047846889952154,0.1475409836065573,0.0824742268041238,0.2068965517241379,0.2209302325581397
