firms,age,bm,bm_ia,cash,cashdebt,chatoia,che,chempia,chpmia,chtx,convind,depr,ep,herf,hire,invest,lev,ms,mve_ia,pchdepr,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,roaq,roeq,tb,agr,egr,grltnoa,lgr,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BAOH-L,10.0,3.5855819018500847e-06,0.5701933003526368,0.0616576021867263,0.3802799676924624,1.4197994031451138,-70.4295,0.1237162515532478,0.0118332818766345,0.0086686855294466,1.0,0.0902305010057825,5.373528042712653e-07,1.2884558932445846e-07,0.0456709845886027,-0.0296829645976721,2.769890222216581e-06,4.0,0.5220050299411243,0.7308196746207135,0.2287954140116399,0.5681732000598916,0.9404809411831424,0.0046262949392357,0.0083160410204232,1.0546649839405016,-0.0300361986598528,-0.1100332450243772,-0.1024621863734239,0.1883020965313394,0.8904354452777741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBIO-L^E18,23.0,3.816572277793486e-07,0.0606926296115724,0.0402353387739609,0.1607229304502178,2.426474984069245,29.0,0.2708858866688883,-0.0007951274230486,0.0042873696407879,1.0,0.1208609271523178,8.50498135386887e-08,3.81685042567161e-07,0.1,0.0721556209002488,1.0556541372203549e-06,5.0,1.6426283210647554,-0.0804544206060976,-0.0737354361921297,-0.0433842861907505,0.0775875689583198,0.0211322980145468,0.0858626198083067,0.2757243323467372,0.1506446505315539,-0.0464584920030464,0.0225073622212767,0.2666422823701536,0.1324398896334253,-0.0495495495495497,0.0325581395348839,0.2131147540983606,0.1623036649214662,0.2065217391304348,0.3214285714285716,0.1044776119402988,-0.026315789473684,-0.0512820512820511,0.0136986301369863,-0.0044843049327353,0.0829268292682929,0.0990099009900991,0.0882352941176471,0.0,0.1384615384615386,0.2471910112359552,0.3136094674556213,0.4701986754966889,0.6204379562043796,1.0366972477064222,0.8196721311475412,0.6204379562043796,0.5744680851063833,0.9137931034482762,0.8974358974358978,0.8974358974358978,1.018181818181818,1.0555555555555558,1.0,1.0943396226415096,1.1142857142857143,0.7760000000000002,0.7076923076923078,0.8655462184873952,2.171428571428572,2.083333333333334,1.707317073170732,1.2886597938144333,1.740740740740741,0.8974358974358978,0.1269035532994924,-0.1012145748987853,0.0724637681159421,0.0724637681159421,-0.1956521739130433,-0.2575250836120401,-0.2861736334405144,-0.2210526315789472
BBTU-L^C18,23.0,2.0549054081671538e-07,0.0326779119448015,0.0230885692657077,0.2216816777332194,1.918625137167975,-117.0,-0.0122252117078638,-0.0180523305869327,0.1101766190075694,1.0,0.2524850894632207,7.910714283728453e-08,1.1014442585208431e-08,-0.0045130485970304,0.0110803324099723,4.910283772718375e-07,4.0,0.7456552161129513,-0.0212073354266921,-0.0516555166763148,0.9959187837975716,0.0187448707540933,0.0547258888139512,0.1856209150326797,0.2437983570223781,-0.0085968096284267,0.1925175370226031,-0.0626438986953159,-0.0743132042030636,-0.0040812162024283,0.0649350649350648,0.0694444444444444,0.1846153846153846,0.1755725190839694,0.1323529411764705,0.2833333333333334,0.2125984251968504,0.0405405405405405,0.0065359477124182,0.0335570469798658,0.013157894736842,0.1755725190839694,0.1492537313432835,0.1492537313432835,0.2520325203252034,0.2222222222222223,0.1492537313432835,0.1492537313432835,0.1492537313432835,0.0921985815602837,0.2319999999999999,0.1079136690647482,-0.0128205128205128,-0.0374999999999999,0.0620689655172415,-0.019108280254777,0.1159420289855073,0.1159420289855073,0.2319999999999999,-0.1979166666666666,-0.2020725388601035,-0.1444444444444445,-0.1675675675675676,-0.2450980392156863,-0.3446808510638298,-0.1894736842105262,-0.0778443113772454,-0.1098265895953757,-0.1675675675675676,-0.1348314606741573,-0.0833333333333332,-0.1894736842105262,-0.3304347826086956,-0.3739837398373983,-0.3714285714285714,-0.4967320261437908,-0.5261538461538462,-0.5276073619631901,-0.4866666666666667
BBXK-L,24.0,4.5257637442287286e-07,0.0719704705282724,0.0701607248429186,0.213923940095184,2.769500277999972,-20.65000000000001,0.104186879488034,-0.0007694982138944,-0.0002166862383269,1.0,0.0974550616923109,8.322591130255036e-08,1.1409022578412646e-06,0.0384615384615384,0.0687490638744024,7.290174592658597e-07,4.0,3.0871087186133748,-0.0283255162063902,-0.1266768158540692,0.0248785818127232,0.1635544527248254,0.0173381572471768,0.0461432263088958,0.5610568328134504,-0.0096403916068681,0.0436506452216195,-0.0533610628428929,-0.036899736430454,0.0199172510086958,0.0637119113573407,0.0840840840840839,0.1607717041800642,0.1107692307692307,0.1570512820512819,0.1352201257861633,0.12111801242236,0.0648967551622419,-0.0190217391304348,-0.0647668393782383,-0.0695876288659793,0.0648967551622419,0.0617647058823529,0.0083798882681562,-0.021680216802168,-0.0623376623376623,-0.1404761904761905,-0.0790816326530612,0.0197740112994349,0.0055710306406684,0.1039755351681956,0.011204481792717,-0.0136612021857924,-0.0295698924731183,0.0906344410876132,0.0255681818181818,-0.1019900497512437,-0.0860759493670887,0.0617647058823529,0.011204481792717,0.0680473372781065,0.0343839541547277,0.1352201257861633,0.2666666666666666,0.0617647058823529,0.1682847896440129,0.4497991967871484,0.597345132743363,0.6790697674418604,0.6334841628959276,0.626126126126126,0.7190476190476189,0.3884615384615384,0.3726235741444867,0.1352201257861633,-0.0398936170212765,-0.05249343832021,-0.1108374384236452,-0.092964824120603
BCIP-L,13.0,2.288711435957407e-06,0.3639598712136571,0.0759415722288295,0.0135657586898786,0.754757555468922,18.113,-0.0686477217860167,-0.0186331325368445,0.0003710978831239,1.0,0.3444946044290463,-4.732875761635972e-07,7.239518388557029e-06,-0.0253419336939937,-0.0082203301447728,5.740507250830669e-06,4.0,4.1653392513010985,0.0278322826057589,-0.0182778518035623,-0.0667763806193741,0.0432352199689077,0.0071958573370852,0.0264770041323139,1.7094908605497707,-0.0828057458365989,-0.2290523327886186,-0.1620608753914979,-0.0140538423254595,0.059220130442249,0.0508474576271187,0.0925925925925925,0.0535714285714283,-0.0483870967741936,-0.0483870967741936,-0.0634920634920636,-0.1194029850746269,-0.0781250000000001,-0.1917808219178082,-0.2133333333333333,-0.2337662337662338,-0.2891566265060241,-0.2804878048780488,-0.2133333333333333,-0.1690140845070422,-0.1323529411764706,-0.2236842105263158,-0.1805555555555555,-0.1917808219178082,-0.1323529411764706,-0.0327868852459016,-0.0483870967741936,-0.1917808219178082,-0.2027027027027027,-0.1690140845070422,-0.1917808219178082,-0.144927536231884,-0.1571428571428571,-0.1690140845070422,-0.2027027027027027,-0.144927536231884,-0.1194029850746269,-0.0483870967741936,-0.0483870967741936,-0.0327868852459016,-0.1805555555555555,-0.0923076923076924,-0.144927536231884,-0.2236842105263158,0.0350877192982457,0.1132075471698113,-0.0781250000000001,-0.1571428571428571,-0.144927536231884,-0.2804878048780488,-0.3370786516853933,-0.271604938271605,-0.3370786516853933,-0.3979591836734694
BCOU-L^K14,21.0,1.1057201541306964e-06,0.175835956675511,0.983853596420241,-1.7348047538200342,0.1762384972564382,-0.0307,5.417717733377767,0.0734904214464296,0.0006177936107438,1.0,0.4818652849740932,-1.6231727856272156e-08,4.661238391941529e-14,2.0,-0.0625002330845854,1.1654268270506825e-08,0.0,0.0160477468242236,0.0679176585912336,-0.4640858204492483,2.4178205900060203,1.6924689750509,-0.0030033047837534,-0.0031674797338832,1.7094908605497707,0.3355038169931716,0.3322593500458667,-0.0001564872758279,0.7331786542923434,1.4178205900060203,-0.1333333333333333,0.1538461538461537,0.25,0.25,0.1538461538461537,0.25,0.0,-0.1666666666666666,-0.0625,-0.0625,-0.1666666666666666,-0.2500000000000001,-0.2105263157894736,-0.3181818181818182,-0.1666666666666666,0.0714285714285714,-0.1176470588235295,0.25,0.3636363636363635,0.3636363636363635,0.25,0.3636363636363635,0.0,0.25,0.4999999999999998,0.6666666666666667,0.6666666666666667,0.875,0.875,1.1428571428571428,2.0,2.75,2.0,1.1428571428571428,2.0,4.0,4.0,4.0,4.0,2.75,2.75,0.4999999999999998,-0.2500000000000001,-0.3181818181818182,-0.3181818181818182,-0.2500000000000001,-0.3181818181818182,-0.375,-0.4642857142857143
BCQE-L^A14,24.0,3.3706375242604696e-07,0.0536012002196589,0.1318295739348371,0.1003436426116838,2.5851348485768604,-8.0,0.0865607781625351,-0.002191477785167,0.0025125628140703,1.0,0.185022026431718,6.30478961372462e-08,7.452453924257476e-08,0.0319547021171837,-0.0735294117647058,8.602400444110803e-07,5.0,0.8259831905265299,0.0695175674223702,-0.0930733749085997,0.0858355176082838,0.0739509675233941,0.0116632860040567,0.0352760736196319,0.5753094242234805,-0.0220588235294117,0.0817120622568093,0.0203221809169745,-0.0482897384305835,0.0213193885760257,-0.0145631067961166,0.0098039215686274,-0.0236966824644548,0.0098039215686274,-0.0096153846153845,-0.0462962962962962,-0.2454212454212454,-0.3201320132013201,-0.3641975308641976,-0.3223684210526315,-0.3958944281524926,-0.4147727272727273,-0.4197183098591549,-0.3869047619047618,-0.4180790960451978,-0.3641975308641976,-0.2969283276450511,-0.3223684210526315,-0.134453781512605,-0.2481751824817518,-0.1380753138075313,-0.2509090909090908,-0.3923303834808259,-0.4046242774566474,-0.35625,-0.3311688311688311,-0.3110367892976589,-0.2771929824561403,-0.2993197278911564,-0.2822299651567944,-0.2426470588235294,-0.2167300380228136,-0.0884955752212388,-0.1308016877637131,0.0,0.1907514450867051,0.4013605442176871,0.4305555555555556,0.1839080459770115,0.3552631578947369,0.2874999999999998,0.0,-0.2642857142857142,-0.2695035460992907,-0.1889763779527559,-0.35625,-0.3063973063973064,-0.1759999999999999,-0.1825396825396825
BCYN-L,23.0,6.738594204186334e-07,0.1071597686010075,0.0640696776872365,0.1793112178732867,1.0079860803997926,-523.4160000000002,-0.3009365752943289,-0.0109063735338268,-0.0095433706146503,1.0,0.0579832827955204,7.485189242714261e-08,1.7541138054906178e-05,-0.1110934862627865,0.1217180497206308,7.738757100662823e-07,4.0,25.121293999197647,-0.0518227103757264,0.1007484959373722,-0.0461897124090321,1.0781364254448222,0.0239216946802362,0.0544304039948903,1.8861226182556177,0.0716240238354491,-0.0924876301134438,-0.0187603729667847,0.2900001675281742,0.0781364254448222,-0.0105731775180856,-0.0812883435582821,0.15008,0.0877723970944308,0.1051660516605164,0.274468085106383,-0.0461783439490446,-0.1606725829051846,-0.206972639011474,-0.1553466509988249,-0.1756880733944954,-0.186693822131704,-0.1630181648812296,-0.1726519337016574,-0.1988408381631743,-0.1457095317328263,-0.1191176470588235,-0.0423661071143086,0.0265638389031706,0.0417391304347825,0.2376033057851239,0.140228426395939,0.0636282923941995,-0.1028457314028957,0.0363321799307958,0.1291234684260132,0.0601769911504423,0.1196261682242989,0.2776395307500887,0.3951863354037266,-0.1874293465973321,0.3770114942528735,-0.1747416762342135,0.2052313883299799,-0.2560546470709999,0.5306643952299828,1.1367419738406657,1.2378580323785804,1.4120805369127516,1.5221052631578944,0.2393103448275861,0.0306854029251506,-0.2826347305389222,-0.2878937982960174,-0.8476473081814329,-0.854828937270267,-0.8470703374324497,-0.8240133189697385,-0.365017667844523
BCZB-L,24.0,9.545272970687146e-07,0.151792675412452,0.0651539708265802,0.1729465552577644,3.74717212961659,-18.5,0.0709268182617434,-0.0002412263035586,0.0023030861354214,1.0,0.0534891199485475,1.0140474749459787e-07,5.745791883113714e-06,0.0261832829808661,0.0718484077550662,1.1380054522345257e-06,3.0,2.952917848926772,-0.0252107269127768,-0.0150746256423327,-0.0986848770667268,0.0924587597479593,0.0124757649835623,0.0262132483173928,0.5745947541312775,0.0825511009737696,0.0377949852507374,-0.0077509583385989,0.1231799163179916,0.0564875367263766,0.0572390572390573,0.0102040816326531,-0.0198019801980197,-0.0198019801980197,0.0241379310344829,0.0569395017793594,-0.0165562913907284,-0.0165562913907284,-0.0972644376899695,-0.131578947368421,-0.1465517241379309,-0.1107784431137723,-0.1994609164420484,-0.2325581395348837,-0.2101063829787233,-0.1657303370786516,-0.2365038560411311,-0.2365038560411311,-0.1972972972972972,-0.1489971346704871,-0.0630914826498422,-0.0917431192660549,-0.1213017751479289,-0.0972644376899695,-0.1213017751479289,-0.0889570552147238,-0.0833333333333333,-0.0833333333333333,-0.0917431192660549,-0.0804953560371516,-0.0861538461538461,-0.054140127388535,-0.057142857142857,-0.0388349514563105,-0.1054216867469878,-0.057142857142857,-0.0450160771704178,-0.0889570552147238,-0.094512195121951,0.0645161290322582,0.0607142857142859,-0.1238938053097344,-0.1489971346704871,-0.0747663551401868,-0.0419354838709676,-0.126470588235294,-0.2184210526315788,-0.1514285714285713,-0.1465517241379309
BCZN-L,23.0,2.683603891824257e-07,0.0426757218717808,0.067379057279375,0.1504238713464828,2.075011261029931,35.30279999999999,0.1358033491897871,-0.0015018610549543,0.0010620613465722,1.0,0.1422846552739831,4.5412298094936974e-08,9.016990040204032e-07,0.050133047114331,0.1161629457910688,5.356304935138989e-07,5.0,5.690728132143418,-0.110209940534737,-0.044037530925438,-0.0781681495380523,0.0068156135567777,0.0254338797551968,0.0772950403284416,0.7207347482403433,0.0838269650888378,-0.0148382584285433,-0.0762651743490848,0.1401904288465415,0.1245035019605269,-0.0483193277310923,0.0106157112526539,0.2252252252252251,0.170971709717097,0.1929824561403508,0.3296089385474858,0.1680981595092023,-0.0215827338129497,-0.1507582515611062,-0.1807228915662651,-0.2420382165605096,-0.1925360474978795,-0.197978096040438,-0.2190319934372436,-0.2533333333333334,-0.1582670203359859,-0.0225872689938398,-0.0165289256198347,0.1652386780905752,0.1387559808612439,0.176761433868974,0.2005044136191676,0.0010515247108306,0.1069767441860465,0.3112947658402203,0.367816091954023,0.2526315789473683,0.2970027247956404,0.3897810218978101,0.4358974358974359,0.5787728026533996,0.6329331046312177,1.034188034188034,0.7695167286245352,1.1297539149888145,1.3506172839506174,1.5251989389920424,1.7199999999999998,1.219114219114219,1.5454545454545454,1.2720763723150357,0.6218057921635434,0.3837209302325581,0.4646153846153846,0.3837209302325581,0.09049255441008,0.2315653298835704,0.0793650793650793,0.1056910569105691
