firms,absacc,acc,age,bm,bm_ia,cash,cashdebt,chatoia,che,chempia,chpmia,chtx,convind,currat,depr,ep,gma,herf,hire,lev,ms,mve_ia,operprof,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pctacc,ps,quick,roaq,roeq,roic,tb,agr,egr,grltnoa,invest,lgr,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BAOH-L,0.090696502687056,-0.090696502687056,25.0,4.028894205096794e-06,0.7150013051181061,0.05882998715643,0.1175546662666476,0.0843091805369921,37.7547,0.0875805118967953,-0.010017082129688,0.0039089092912224,1.0,1.529054072905356,0.0521316589641583,-7.059920226863157e-09,0.1201352287613852,3.983194376221192e-08,0.0456709845886027,2.3309646850762164e-06,3.0,0.5447446245053721,0.1744040751557426,-0.1714492813319746,0.7250957837212614,-0.430829080009588,0.0788951294827202,0.8296520467868422,-0.4873127714791171,-0.513548091392554,-0.4873701609311476,-79.48122231582379,4.0,1.2003433968559627,0.0168525173582996,0.0288500373534535,0.1018618815995552,1.900415352433936,0.15988117301537,0.1270455241620236,0.0552732985629074,0.1817831609296,0.2146959085731699,-0.3598051814509835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBIO-L^E18,0.0650173299868531,0.0650173299868531,22.0,4.205904861902932e-07,0.0746415098629013,0.1029349213100808,0.1829011913104415,2.287216516419166,32.0,0.0903600051693164,0.005866742779853,0.0010869565217391,1.0,1.4382716049382716,0.131435493640218,9.76999986961458e-08,0.7511403953370501,3.288217003473423e-07,0.0471204188481674,8.757763817549593e-07,4.0,1.6312931625674434,1.5738396624472577,0.0795845944223939,0.0331246739697444,-0.0400514839491216,0.0309169221316983,0.0633272161049939,0.0700767891639667,0.025503049241544,0.1201466890079584,0.8918032786885246,7.0,0.9467592592592592,0.0182085501017869,0.0613099771515613,0.0826629680998613,0.1246174001596023,0.1203750633552965,0.3850210970464135,0.0750567706465708,0.0582868727825646,-0.0806993947545393,0.201515510300734,-0.1184210526315789,-0.0256410256410256,0.0410958904109588,0.0224215246636769,0.1121951219512196,0.1287128712871286,0.1176470588235292,0.0270270270270267,0.169230769230769,0.2808988764044942,0.3491124260355029,0.509933774834437,0.6642335766423355,1.0917431192660545,0.8688524590163933,0.6642335766423355,0.6170212765957446,0.9655172413793104,0.9487179487179488,0.9487179487179488,1.0727272727272723,1.1111111111111107,1.0540540540540535,1.1509433962264146,1.1714285714285713,0.8239999999999998,0.7538461538461536,0.9159663865546216,2.257142857142857,2.1666666666666665,1.7804878048780486,1.3505154639175254,1.8148148148148144,0.9487179487179488,0.1573604060913704,-0.0769230769230771,0.1014492753623188,0.1014492753623188,-0.1739130434782608,-0.2374581939799332,-0.2668810289389067,-0.2,-0.2027972027972028,-0.1914893617021277,-0.2621359223300971,-0.3701657458563536,-0.368421052631579,-0.3837837837837838,-0.4031413612565445
BBOU-L,0.0097371976243277,-0.0097371976243277,23.0,1.6690363515829918e-07,0.0296201168092655,0.080093037366638,0.1536191145467322,0.8206718103356367,-213.5,0.0406828967621481,0.001908831264524,-0.0060510610079575,1.0,1.4569684638860632,0.1120689655172413,6.04608020592504e-08,0.3207052534183201,1.2609059980858095e-06,0.0212150843926703,4.388817800006219e-07,4.0,16.42125825639592,1.0099825305714998,0.0609361867842831,-0.1734344617999665,-0.0741794051427894,0.0207722435964091,-0.1938424754468016,-0.0425678240398801,0.037852937536465,-0.0352086977627867,-0.1005263157894736,6.0,0.7503560528992879,0.0176508825441272,0.0722472370036839,0.1576233312324528,0.3430749820446526,0.0166032692505397,0.3089593211879211,-0.0007137212918355,0.0298653233268222,-0.0597218434687755,0.0159509202453987,0.0145513338722718,-0.0351014040561623,-0.0455246913580248,0.0155993431855501,0.0316930775646371,0.0206270627062705,0.0308333333333332,0.0438818565400842,0.0794066317626525,0.0682210708117443,0.1204710144927536,0.1276207839562442,0.0976042590949421,0.1871401151631477,0.1691871455576559,0.1094170403587442,0.1015138023152268,0.1307129798903108,0.172511848341232,0.1411439114391144,0.1894230769230769,0.2247524752475247,0.295287958115183,0.2858627858627858,0.3301075268817202,0.3790412486064658,0.4673784104389087,0.5177914110429447,0.5658227848101265,0.5385572139303483,0.3519125683060107,0.287200832466181,0.3977401129943503,0.2532928064842958,0.2898852971845671,0.2247524752475247,0.4088838268792711,0.3759733036707451,0.2648261758691206,0.1882804995196925,0.1691871455576559,0.1974830590513068,0.1986434108527131,0.1453703703703701,0.1464318813716403,0.1359044995408631,0.1359044995408631,0.181470869149952,0.2394789579158316
BBTU-L^C18,0.0924073813213128,0.0924073813213128,22.0,2.225608839678963e-07,0.0394975182778377,0.0153075960335034,0.4437432103874605,1.6217456723167598,-25.0,0.0369465327803044,0.0202665844686503,-0.0035117773019271,1.0,0.3778105418356063,0.2579556412729026,3.256015426404842e-07,0.3115072035463613,1.2268750181782328e-08,0.0192666666666666,6.851162986993034e-07,4.0,0.6024687831504975,-3.5447019867549683,-0.0714051191352122,-0.1127132533297941,0.1104146576663452,0.011443375171335,-0.1127132533297941,0.949525285797326,0.3889192251912655,-0.2091648905250919,0.2621204049014384,5.0,0.3778105418356063,0.0289903524691947,0.1182774746687451,0.1995916780089442,-1.1557400771461577,-0.033154783893609,-5.248344370860929,-0.0402873644175203,-0.0146841521980051,-0.3090447865640308,-0.0504747142026739,-0.1418918918918918,-0.0326797385620915,-0.0067114093959731,-0.0263157894736841,0.1297709923664121,0.1044776119402983,0.1044776119402983,0.2032520325203253,0.1746031746031746,0.1044776119402983,0.1044776119402983,0.1044776119402983,0.0496453900709219,0.1839999999999999,0.0647482014388489,-0.0512820512820513,-0.075,0.0206896551724138,-0.0573248407643313,0.0724637681159421,0.0724637681159421,0.1839999999999999,-0.2291666666666666,-0.2331606217616579,-0.1777777777777778,-0.2,-0.2745098039215686,-0.3702127659574468,-0.2210526315789474,-0.1137724550898203,-0.1445086705202312,-0.2,-0.1685393258426966,-0.119047619047619,-0.2210526315789474,-0.3565217391304347,-0.3983739837398373,-0.3959183673469388,-0.5163398692810457,-0.5446153846153846,-0.5460122699386503,-0.5066666666666666,-0.5163398692810457,-0.541795665634675,-0.5163398692810457,-0.634567901234568,-0.6621004566210046,-0.6542056074766356,-0.6272040302267003
BBXK-L,0.0811047574375918,-0.0811047574375918,23.0,5.237277818713623e-07,0.0929451180651288,0.0717867546321544,0.2241228980693377,2.274389852323297,14.049999999999995,0.0435741580253282,0.0006423381724985,-0.0005840372644264,1.0,0.7427834585105421,0.1002959975977006,1.198883121396199e-07,0.5718419728233517,1.211725399968612e-06,0.0227228027849529,9.141875592515752e-07,3.0,2.667480852093726,0.5208890528451531,-0.0355376455982229,-0.0762846149755428,0.1065366837765013,0.0178668318943832,-0.0980605406007247,-0.0962200949056922,-0.0615417406340385,-0.0176926122697563,-0.96062091503268,6.0,0.4327210207221066,0.0171838618755191,0.0472040396484009,0.1210815696316939,0.5651561995800266,0.0266873567074876,0.2328230194595592,-0.0088430259427616,0.0733517866129844,-0.0605157731564432,0.0213598137701066,-0.0501474926253686,-0.0788043478260869,-0.121761658031088,-0.1262886597938144,0.0,-0.0029411764705882,-0.053072625698324,-0.08130081300813,-0.1194805194805195,-0.1928571428571428,-0.1352040816326529,-0.0423728813559322,-0.0557103064066851,0.036697247706422,-0.0504201680672268,-0.0737704918032786,-0.0887096774193548,0.0241691842900302,-0.0369318181818181,-0.1567164179104476,-0.1417721518987341,-0.0029411764705882,-0.0504201680672268,0.0029585798816569,-0.0286532951289398,0.0660377358490567,0.1894736842105262,-0.0029411764705882,0.0970873786407768,0.3614457831325299,0.5000000000000002,0.5767441860465117,0.5339366515837105,0.527027027027027,0.6142857142857143,0.3038461538461539,0.2889733840304183,0.0660377358490567,-0.0984042553191488,-0.1102362204724409,-0.1650246305418717,-0.1482412060301506,-0.2188940092165898,-0.3946428571428571,-0.4244482173174871,-0.4703125,-0.4584664536741214,-0.4567307692307693,-0.4478827361563517
BCOU-L^K14,0.0124167862942695,-0.0124167862942695,21.0,9.582908002466036e-07,0.1700663105008324,0.98517198818227,-1.7348047538200342,0.1458731922132944,0.1358,3.835280219408769,0.0897389699067083,-0.0001118818527634,1.0,95.8,0.4818652849740932,-1.4067497475435868e-08,0.0412615656571307,5.1497596719101486e-14,2.0,1.0100365834439248e-08,0.0,0.0193232528346701,0.003011414048754,-0.4892828381580854,-0.2293631063032393,0.0679176585912336,-0.4640858204492483,-0.2293631063032393,2.4178205900060203,1.6535139418493028,1.6924689750509,-0.7474048442906576,3.0,95.8,-0.0022055809280761,-0.0022288413234182,0.9358732553753288,1.900415352433936,0.3355038169931716,0.3322593500458667,-0.0001564872758279,-0.0625002330845854,0.7331786542923434,1.4178205900060203,-0.1666666666666666,0.125,0.125,0.0,-0.1,-0.0526315789473684,-0.1818181818181818,0.0,0.2857142857142856,0.0588235294117645,0.5,0.6363636363636362,0.6363636363636362,0.5,0.6363636363636362,0.1999999999999999,0.5,0.7999999999999998,1.0,1.0,1.25,1.25,1.5714285714285712,2.6,3.5,2.6,1.5714285714285712,2.6,5.0,5.0,5.0,5.0,3.5,3.5,0.7999999999999998,-0.1,-0.1818181818181818,-0.1818181818181818,-0.1,-0.1818181818181818,-0.25,-0.3571428571428572,-0.3571428571428572,-0.28,-0.3571428571428572,-0.3333333333333333,-0.3793103448275862,-0.1428571428571429,-0.3076923076923077
BCQE-L^A14,0.0049627791563275,0.0049627791563275,23.0,2.318823708527861e-07,0.0411517874020818,0.0983772819472616,0.1450506370467167,2.2573804893108043,-10.5,0.0254486264808103,0.0005359990638884,0.0007832898172323,1.0,1.4699769053117784,0.1729957805907173,8.16550761174208e-08,0.4412060301507537,7.893357874602293e-08,0.0132708042306923,6.72639328679969e-07,4.0,1.1583028404380316,1.1029411764705883,-0.029791024650094,-0.050739669452573,0.1023452065548032,-0.0466683666125595,-0.0441106388667861,0.1210759020988155,-0.0347329961137581,0.0726976355977273,0.0552486187845303,6.0,1.2909930715935334,0.0137254901960784,0.0544747081712062,0.1600241545893719,0.3884826963538985,0.0251256281407035,0.5117647058823529,0.0605459057071894,-0.0276381909547738,-0.0503184713375796,0.1083370485956308,-0.0990099009900989,-0.0648148148148149,-0.0032894736842106,-0.1114369501466276,-0.1392045454545455,-0.1464788732394366,-0.0982142857142857,-0.1440677966101695,-0.0648148148148149,0.0341296928327643,-0.0032894736842106,0.2731092436974789,0.1058394160583939,0.2677824267782425,0.1018181818181818,-0.1061946902654867,-0.1242774566473988,-0.053125,-0.0162337662337662,0.0133779264214044,0.063157894736842,0.0306122448979591,0.0557491289198606,0.1139705882352939,0.1520912547528516,0.3407079646017699,0.2784810126582278,0.4708737864077668,0.7514450867052023,1.0612244897959182,1.1041666666666663,0.7413793103448274,0.9934210526315788,0.8937499999999998,0.4708737864077668,0.082142857142857,0.074468085106383,0.1929133858267715,-0.053125,0.0202020202020201,0.2119999999999999,0.2023809523809523,0.2418032786885244,0.3348017621145374,0.2418032786885244,-0.0762195121951219,-0.0162337662337662,-0.1061946902654867,-0.2026315789473683
BCYN-L,0.0373123464247447,-0.0373123464247447,22.0,6.716167019858473e-07,0.1191907243063142,0.0640536228270318,0.3684271935296965,1.1201635651856392,386.8103999999999,-0.4247105682015504,0.010728286320469,0.0017437439615886,1.0,1.7030583770101473,0.0611523640462819,1.6603611021166418e-07,0.2411926591544685,1.667231762202151e-05,-0.2214756387563368,5.426079917130824e-07,4.0,28.9838140415879,0.5149989119845677,-0.0614108666668275,-0.062773649374038,-0.1819621026821944,0.7532531780979212,-0.0095730902292084,0.3917751239724957,0.1735840907303985,1.3950118605862332,-0.2673878450044136,7.0,1.3534039111167435,0.0309161668153353,0.0601665463104089,0.1794440483076561,0.6979127506716128,0.192143580919147,0.3725069205249723,0.0827167167831897,0.1674668307169631,-0.0527815639886194,0.3950118605862331,-0.1200373657169546,-0.055163283318623,0.0063454759106933,-0.0178899082568807,-0.0310024892509617,-0.0027945971122496,-0.0142725598526702,-0.0454748105216228,0.017827430473021,0.0495098039215686,0.1409539035438316,0.2230791202513569,0.241159420289855,0.4745179063360882,0.358502538071066,0.2672388280556377,0.0688966550174736,0.2347174163783161,0.3452717562048382,0.2631268436578171,0.3339563862928347,0.5222182723071456,0.6622670807453415,-0.031878815283744,0.6406130268199233,-0.0167623421354763,0.4359490274983233,-0.1136410681018422,0.823679727427598,1.5457788347205708,1.666251556662516,1.8738255033557047,2.0049122807017543,0.4765517241379311,0.2279896759392028,-0.145309381237525,-0.1515751931840697,-0.8184824077999152,-0.8270388173041968,-0.8177949874473427,-0.7903241602193712,-0.2434628975265017,-0.2353571428571428,-0.1946586420914049,-0.2133014881499173,-0.0281434407625964,-0.0108570108570108,0.2365001443834824,0.2429608127721334
BCZB-L,0.0192324975285341,-0.0192324975285341,23.0,9.568576311747262e-07,0.169811968315438,0.0306836382028154,0.1891436277815239,3.137158986401909,25.0,0.0394170628921764,8.622372538011596e-05,0.0001427212178877,1.0,0.5849762066621346,0.0548724954462659,1.1290355530085265e-07,0.1512666973744818,5.68730844512008e-06,0.0205549845837615,1.054060535816554e-06,4.0,2.9620957327565254,0.2178815948449456,0.0488848860088415,-0.0907965802964151,-0.060294195937955,-0.0051127904667864,-0.2119059813937028,-0.0996925520067174,-0.3441601860092352,0.0711870018515597,-0.334375,5.0,0.3089734874235214,0.0132467760329853,0.027839233038348,0.0674343620451404,0.5552776107892906,0.050115154306771,0.0922271445831655,0.01096432102094,0.0570244127130354,0.0146034980472066,0.0570026046884391,0.0,-0.0820668693009119,-0.1169590643274853,-0.132183908045977,-0.0958083832335329,-0.1859838274932614,-0.2196382428940568,-0.1968085106382978,-0.151685393258427,-0.2236503856041131,-0.2236503856041131,-0.1837837837837838,-0.1346704871060172,-0.0473186119873816,-0.0764525993883792,-0.1065088757396449,-0.0820668693009119,-0.1065088757396449,-0.0736196319018404,-0.0679012345679013,-0.0679012345679013,-0.0764525993883792,-0.0650154798761609,-0.0707692307692308,-0.0382165605095541,-0.0412698412698412,-0.0226537216828478,-0.0903614457831324,-0.0412698412698412,-0.0289389067524115,-0.0736196319018404,-0.0792682926829267,0.082437275985663,0.0785714285714287,-0.1091445427728613,-0.1346704871060172,-0.0591900311526479,-0.0258064516129032,-0.1117647058823528,-0.2052631578947368,-0.1371428571428571,-0.132183908045977,-0.2373737373737373,-0.2894117647058823,-0.3105022831050228,-0.4448529411764707,-0.4784110535405872,-0.4578096947935368,-0.4683098591549295
BCZN-L,0.0635453697843904,-0.0635453697843904,22.0,3.202010859788579e-07,0.0568255662026295,0.0301159669576272,0.1898545406865212,1.9539747738343811,44.83930000000001,0.311829638803123,0.0098419937393911,8.012293545085509e-05,1.0,1.8483741630903452,0.1599081196293561,6.51999401078716e-08,0.4015541206650177,7.878174797997794e-07,0.1626111371080955,5.522043553958814e-07,4.0,5.052126059644531,0.5972654580021111,-0.1011550852952535,-0.0065923750170263,0.1554776912163416,0.4943983462960706,-0.0626513028658878,0.0760946400119234,-0.0368910666686301,0.1558529134630023,-0.8313234778313074,7.0,0.9788089196936288,0.0231472732943242,0.0627152972289694,0.1313242024833497,0.7072844581628615,0.0768293624552606,0.231498656453734,-0.004648022708686,0.0564178366481585,-0.0009053120711407,0.2589186923685431,-0.1623843782117163,-0.1320249776984835,-0.1626506024096384,-0.2253184713375796,-0.1747243426632738,-0.1802864363942712,-0.2018047579983592,-0.2368627450980391,-0.1396993810786914,-0.0010266940451745,0.0051652892561984,0.1909424724602204,0.1638755980861246,0.2027194066749074,0.226986128625473,0.0231335436382755,0.1313953488372095,0.3402203856749313,0.3979885057471264,0.280263157894737,0.3256130790190736,0.4204379562043796,0.4675716440422324,0.6135986733001659,0.6689536878216125,1.0790598290598292,0.8085501858736062,1.1767337807606264,1.4024691358024692,1.580901856763926,1.7800000000000002,1.2680652680652682,1.6016042780748665,1.322195704057279,0.657580919931857,0.4142441860465118,0.496923076923077,0.4142441860465118,0.1145475372279496,0.2587322121604138,0.1031746031746032,0.1300813008130081,0.2836411609498681,0.1542111506524319,0.1222606689734717,0.2603626943005181,-0.0608108108108107,-0.0413793103448275,-0.0688995215311003
