firms,age,agr,bm,bm_ia,cashdebt,chatoia,chpmia,convind,egr,ep,grltnoa,herf,invest,lev,lgr,mve_ia,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BABJ-L^I00,5.0,-0.0154847972106855,3.603735133984244e-07,0.3276242882939388,0.1338386738639408,1.4883431578795625,0.0477082289678943,1.0,0.0816140222749679,6.247528667457495e-08,-0.0441298057048325,1.9027130972798408e-06,0.0149207814182433,7.705690908537884e-07,-0.0584956146870819,2.2720193072104724,0.1445043917358534,-0.051310960088339,0.1555350708120339,1.1676715561908255,0.0095808383233533,0.0774193548387096,0.0816062176165803,0.0732647814910025,0.0463659147869672,0.1238223418573352,0.1629526462395543,0.1793785310734463,0.140710382513661,0.1133333333333332,0.1645746164574615,0.1962750716332377,0.1329715061058343,0.2556390977443608,0.3087774294670846,0.3296178343949043,0.5265082266910421,0.5607476635514019,0.410472972972973,0.3253968253968253,0.410472972972973,0.5520446096654275,0.5965583173996174,0.6245136186770428,0.7765957446808509,0.5434380776340111,0.4857651245551599,0.457242582897033,0.401006711409396,0.4649122807017543,0.5578358208955223,0.5666041275797373,0.4726631393298059,0.4297945205479452,0.5017985611510791,0.6767068273092367,0.6437007874015748,0.7728237791932058,0.7841880341880343,0.7578947368421052,0.5666041275797373,0.2767584097859326,0.3212025316455695,0.3026521060842433,0.4857651245551599,0.4152542372881354,0.3963210702341135,0.3067292644757433,0.2049062049062049
BACQ-L^J02,3.0,-0.0259960809928151,1.0105425254678986e-06,0.9187086824861732,0.1307901907356948,1.3291622750801624,0.0679629694136493,1.0,0.7858488591166005,1.646529258469557e-08,-0.0905962543842114,8.965920508164904e-07,-0.023514043109079,7.55863539445629e-07,-0.2311121821906253,1.166796665843648,0.1426813153699401,0.1419853010585053,0.0728210359288224,0.5284382421286437,-0.1428571428571428,0.0606060606060605,-0.054054054054054,-0.054054054054054,-0.0789473684210526,-0.1250000000000001,-0.1860465116279069,-0.1666666666666667,-0.1250000000000001,-0.1139240506329114,-0.0789473684210526,-0.0277777777777777,-0.0277777777777777,0.09375,0.5909090909090908,0.7499999999999998,1.1875,0.8421052631578947,0.5909090909090908,0.4583333333333332,0.4893617021276595,0.9444444444444444,0.7499999999999998,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.5217391304347825,0.5909090909090908,0.5909090909090908,1.0588235294117645,0.6666666666666665,-0.0666666666666667,-0.2783505154639175,-0.2857142857142857,-0.2857142857142857,-0.0666666666666667,-0.0909090909090909,-0.2134831460674158,0.0144927536231884,-0.0410958904109589,-0.306930693069307,-0.339622641509434,-0.4017094017094017,-0.6276595744680851,-0.5302013422818792,-0.5625,-0.6045197740112995,-0.6354166666666667,-0.6601941747572816
BALZ-L^I10,5.0,-0.1610848590473794,6.205134952637977e-07,0.5641238456884742,-0.0289321302150471,1.0359767197510896,-0.6975114020354939,1.0,-0.1088143378892277,-6.171315931602434e-08,0.0067416718369101,2.5112880284632234e-09,-0.0138437213647879,5.573584397020719e-07,-0.2300727918009632,0.105440754694433,-0.0185196227726503,-0.0597852563417209,-0.0899264238350441,1.5968025142582931,0.3333333333333335,0.0,0.0,0.0,0.0434782608695651,0.1999999999999999,0.4117647058823528,0.4117647058823528,0.846153846153846,0.714285714285714,0.714285714285714,0.846153846153846,0.846153846153846,2.428571428571428,1.4,1.6666666666666663,1.4,1.1818181818181817,1.1818181818181817,1.0,2.0,1.6666666666666663,1.4,1.6666666666666663,2.428571428571428,1.1818181818181817,0.714285714285714,0.714285714285714,0.846153846153846,0.846153846153846,0.714285714285714,0.714285714285714,0.6000000000000001,0.5,0.4117647058823528,0.5,0.4117647058823528,0.1428571428571428,0.0,-0.04,-0.1724137931034483,-0.1999999999999999,-0.2727272727272728,-0.3333333333333333,-0.2941176470588236,-0.368421052631579,-0.3333333333333333,-0.3513513513513513,-0.2941176470588236
BAMD-L^J98,5.0,0.1339936116089494,3.771890973702173e-07,0.3429117429102682,0.114341040289931,0.5642563328706993,1.544209236340829,1.0,0.0326165258015047,3.096130097906908e-08,-0.0357847362031329,5.389175932303514e-09,0.0248706423079146,4.356284227035646e-07,0.2442997469861587,0.5305096321220455,-13.107455441960903,0.2264221237580037,0.3420321129439304,0.9014597835879238,0.0575221238938055,0.0761904761904761,0.1133004926108374,0.1530612244897957,0.2282608695652173,0.2282608695652173,0.1414141414141412,0.1188118811881187,0.2486187845303866,0.3063583815028901,0.458064516129032,0.458064516129032,0.527027027027027,0.7936507936507935,0.7384615384615383,1.173076923076923,1.092592592592592,0.7936507936507935,0.6740740740740738,0.458064516129032,0.527027027027027,0.7936507936507935,0.4868421052631577,0.4213836477987418,0.547945205479452,0.6496350364963501,0.4213836477987418,0.2988505747126435,0.2840909090909089,0.1832460732984293,0.3950617283950615,0.0813397129186601,0.0272727272727271,0.0319634703196345,0.0710900473933648,0.2988505747126435,0.3865030674846625,0.2486187845303866,0.0089285714285711,-0.0044052863436124,-0.1691176470588237,-0.3046153846153847,-0.39247311827957,-0.4234693877551021,-0.3109756097560976,-0.3109756097560976,-0.2848101265822785,-0.2590163934426229,-0.2416107382550336
BAOH-L,30.0,0.145240188116116,3.259803305744408e-07,0.2963566128795885,1.376851743500242,0.6753628241517018,-0.25311772141311,1.0,0.159716632452529,6.774799241304561e-08,0.143488064135135,3.63654057513052e-08,0.1531681206328114,5.0639533451571597e-08,0.0600593516183758,2.2443628261828352,0.1269125583122745,0.0813857514095257,0.0813857514095257,0.87301975026875,-0.1106145251396647,0.1623376623376622,0.1386768447837147,0.2859195402298848,0.2971014492753621,0.0358796296296295,0.0731414868105515,0.0705741626794258,0.5325342465753424,0.5619546247818497,0.7112810707456976,0.8723849372384935,1.1514423076923077,0.9584245076586432,0.8921775898520081,0.8340163934426228,0.7412451361867705,0.6697761194029848,0.5982142857142856,0.4817880794701985,0.4891846921797005,0.3664122137404579,0.448220064724919,-0.2805466237942122,-0.2176573426573427,-0.3275732531930879,-0.2402376910016977,-0.2541666666666667,-0.1651119402985076,-0.3051242236024846,-0.2857142857142857,-0.2421676545300594,-0.0876656472986749,-0.0324324324324325,-0.1627689429373245,-0.1451766953199619,-0.1674418604651163,-0.1907775768535263,-0.1951438848920863,-0.256026600166251,-0.2996870109546166,-0.2421676545300594,-0.1476190476190476,-0.1885766092475068,-0.2343883661248931,0.2659123055162657,0.1854304635761587,-0.0829918032786886,0.0228571428571426
BBEK-L^L95,5.0,-0.231108553893364,5.148779424970677e-07,0.4680880064633153,0.0358006216185104,0.9892059122773542,-3.093416306058461,1.0,-0.0530346544131723,-2.3734769690523943e-08,-0.0273229968556868,4.388197011036034e-07,0.021544559519243,7.29948267850675e-07,-0.3232966608762787,1.3276990873039782,0.0403125442838882,-0.0564091301315478,0.0313035352748793,1.5968025142582931,0.0373134328358206,-0.0289855072463767,-0.1572327044025157,-0.1927710843373493,-0.2513966480446927,-0.2254335260115606,-0.2429378531073446,-0.1728395061728395,-0.1829268292682926,-0.3366336633663366,-0.4148471615720523,-0.3881278538812784,-0.4530612244897959,-0.3881278538812784,-0.4070796460176989,-0.2910052910052909,-0.2254335260115606,-0.2637362637362637,-0.3738317757009346,-0.6308539944903582,-0.6564102564102564,-0.5889570552147239,-0.6590330788804071,-0.6537467700258398,-0.5889570552147239,-0.6492146596858639,-0.7074235807860262,-0.7124463519313304,-0.7314629258517034,-0.7298387096774193,-0.726530612244898,-0.7276422764227641,-0.7208333333333333,-0.7124463519313304,-0.6890951276102087,-0.6445623342175066,-0.6368563685636857,-0.6501305483028721,-0.6127167630057804,-0.6225352112676056,-0.6023738872403561,-0.646437994722955,-0.6378378378378378,-0.6426666666666667,-0.5902140672782874,-0.6,-0.58125,-0.5939393939393939,-0.6081871345029239
BBIO-L^E18,5.0,-0.0262373634079354,4.112106160947221e-07,0.3738415294910917,0.1345065996228787,1.1695626753098736,-0.1750686704987147,1.0,0.0015274171376202,2.420730483644391e-08,-0.0599224324244294,1.0231491242012458e-06,-0.0319640039735873,5.353828015251857e-07,-0.0476349843819722,2.2038939723852726,0.152276864619397,0.0144469525959367,0.0144469525959367,1.712632748453195,0.1439393939393938,0.0775510204081633,0.104602510460251,0.1428571428571428,0.0731707317073171,0.0775510204081633,0.1707317073170733,0.1379310344827586,0.0954356846473027,0.1428571428571428,0.1282051282051284,0.1282051282051284,0.1785714285714286,0.306930693069307,0.3134328358208957,0.3714285714285714,0.5529411764705883,0.3435114503816794,0.4957507082152976,0.2307692307692308,0.3367088607594937,0.5621301775147931,0.5808383233532937,0.6499999999999999,0.783783783783784,0.8461538461538463,0.5855855855855856,0.4155495978552279,0.3714285714285714,0.5393586005830904,0.5304347826086957,0.512893982808023,0.4386920980926432,0.4080000000000001,0.4505494505494505,0.6761904761904762,0.6048632218844985,0.6097560975609757,0.8020477815699658,0.6869009584664538,0.5304347826086957,0.4042553191489364,0.290953545232274,0.3573264781491003,0.367875647668394,0.3469387755102042,0.3821989528795813,0.2307692307692308,0.1972789115646258
BBNH-L^L97,5.0,0.0584214461176973,3.720254540559113e-07,0.3382173497238775,0.1082509376065462,0.8005608763430264,-0.944027839609716,1.0,-0.0117427275153456,4.149244194574437e-08,0.0347636590048205,1.6495285306246863e-05,0.0290505179963686,6.184684567021847e-07,0.1040172166427546,13.757226521055024,0.0551240028576519,0.0261594843927713,0.0261594843927713,0.815799831739709,0.0063025210084033,0.1414868105515587,0.1666666666666665,0.1442307692307691,0.0461538461538462,0.1387559808612439,0.1069767441860465,0.1753086419753087,0.1609756097560977,0.1018518518518516,0.0484581497797356,0.0793650793650793,0.0236559139784944,0.0648769574944072,0.1553398058252426,0.1840796019900499,0.2268041237113403,0.1279620853080569,0.0461538461538462,-0.0703125000000001,-0.0185567010309277,-0.4633596392333708,-0.4803493449781659,-0.4919957310565634,-0.4603174603174603,-0.4202192448233862,-0.4413145539906103,-0.4278846153846154,-0.4333333333333333,-0.3944020356234097,-0.3567567567567568,-0.3802083333333333,-0.4137931034482758,-0.4072229140722291,-0.3497267759562842,-0.2809667673716012,-0.2948148148148148,-0.2093023255813952,-0.1376811594202898,-0.1201478743068392,-0.1469534050179212,-0.2765957446808511,-0.2699386503067484,-0.2503937007874015,-0.1282051282051282,-0.184931506849315,-0.15,-0.2171052631578948,-0.2420382165605096
BBOU-L,5.0,-0.0267022696929239,3.513681592039801e-07,0.3194373027106565,0.1302463503649635,0.4266358072536601,-1.3231182340335554,1.0,0.0442453094371324,4.079978893411729e-08,-0.007627014392912,2.958776255374755e-06,0.0033984706881903,3.939582391074929e-07,-0.0885110093743187,14.668300942034431,0.0751568911311976,0.0817867253853413,0.0817867253853413,0.9108781085953772,0.104602510460251,0.0063157894736842,0.1013824884792626,0.1300236406619384,-0.0609037328094301,0.0257510729613734,0.0042016806722691,0.0170212765957447,-0.006237006237006,-0.0401606425702811,0.0598669623059868,0.0391304347826089,-0.0736434108527132,-0.1433691756272401,-0.1048689138576778,-0.1098696461824952,-0.0842911877394635,-0.1213235294117647,-0.1229357798165137,-0.2072968490878938,-0.2125205930807249,-0.1340579710144926,-0.1898305084745762,-0.1643356643356642,-0.0590551181102362,-0.0343434343434343,-0.0877862595419847,-0.537270087124879,-0.5350194552529182,-0.513733468972533,-0.5067079463364292,-0.5067079463364292,-0.473568281938326,-0.4659217877094971,-0.4062111801242236,-0.3677248677248677,-0.3718791064388962,-0.3540540540540541,-0.3239038189533239,-0.2939438700147709,-0.3286516853932584,-0.4076827757125154,-0.3979848866498741,-0.384020618556701,-0.2855007473841554,-0.2865671641791044,-0.2691131498470948,-0.281203007518797,-0.3032069970845481
BBQS-L^G99,5.0,-0.0744361882414288,5.119220323304683e-07,0.465400716946779,0.1319426528581432,2.145624745151316,-0.0320620704388377,1.0,0.0015847860538827,7.638330324171388e-08,-0.0297880983007211,5.282478124778238e-06,-0.0365445617694346,1.0407731318693335e-06,-0.1004620554466536,1.7063302442240365,0.1755020154803306,-0.1300877093075514,0.0507889320832381,0.7518349059710309,0.1257861635220125,0.0324675324675325,-0.0304878048780486,0.0063291139240506,-0.059171597633136,0.0743243243243243,0.1041666666666667,0.06,0.0127388535031847,-0.0062499999999999,-0.0124223602484472,0.0965517241379312,0.1954887218045113,0.358974358974359,0.5,0.8705882352941179,0.5900000000000001,0.2519685039370078,0.0,-0.1117318435754189,-0.1887755102040815,-0.0245398773006133,0.0324675324675325,-0.042168674698795,-0.0479041916167664,-0.0479041916167664,-0.1928934010152283,-0.2672811059907833,-0.3319327731092436,-0.3291139240506329,-0.2428571428571428,-0.3402489626556016,-0.364,-0.364,-0.2869955156950672,-0.0535714285714284,-0.3510204081632653,-0.3588709677419355,-0.376470588235294,-0.3536585365853658,-0.386100386100386,-0.4341637010676156,-0.4361702127659573,-0.3977272727272727,-0.3234042553191489,-0.2933333333333333,-0.3884615384615384,-0.4089219330855018,-0.4479166666666666
