firms,absacc,acc,age,agr,chpmia,currat,depr,egr,herf,invest,pchcurrat,pchdepr,pchquick,pchsale_pchinvt,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,0.1764841917473322,-0.1764841917473322,6.0,0.0298417381974248,0.1454731605930207,1.4365733113673806,0.0888360531719442,-0.0172312741765327,7.713441724280884e-06,0.0129425965665234,-0.0515684362707191,-0.0226952104153464,-0.0404549296561423,-0.0159622487175585,0.0293202584748197,-8.844370860927153,0.7622970110614262,0.0087158628704241,0.1327433628318586,-0.0131004366812228,-0.0087719298245614,0.0366972477064218,0.0180180180180178,0.0272727272727271,-0.0661157024793389,-0.1870503597122302,-0.143939393939394,-0.2416107382550336,-0.2312925170068027,-0.2516556291390729,-0.298136645962733,-0.3468208092485549,-0.3313609467455621,-0.29375,-0.2848101265822785,-0.2516556291390729,-0.2206896551724138,-0.1811594202898551,-0.0850202429149799,0.3139534883720929,0.4819672131147541,0.8600823045267487,0.5586206896551724,0.3139534883720929,0.2053333333333331,0.2451790633608814,0.6258992805755395,0.4440894568690094,0.5426621160409555,0.5586206896551724,0.5218855218855216,0.2590529247910862,0.3294117647058823,0.3452380952380951,0.7186311787072241,0.6200716845878134,-0.0941883767535071,-0.2992248062015504,-0.3067484662576687,-0.3067484662576687,-0.0941883767535071,-0.1171875000000001,-0.2364864864864865,-0.0152505446623094,-0.0699588477366256,-0.3273809523809524,-0.3588652482269504
BALZ_07-L^I10,0.0668336944745395,-0.0668336944745395,6.0,-0.1022670079136459,0.6212652770159212,2.3278688524590168,0.2589292880648527,-0.0356373315306941,2.1751145298638923e-08,-0.0727220157844575,0.1186658019492333,0.3885810181134252,0.1460388588031494,0.1269110353010389,0.0812437596989196,-5.403284671532846,1.6461688452372356,0.0121269587783212,-0.0333333333333333,-0.0625,-0.1176470588235295,-0.1428571428571428,-0.0909090909090909,-0.0625,-0.0625,0.25,0.25,0.25,0.25,0.3043478260869563,0.4999999999999998,0.7647058823529409,0.7647058823529409,1.3076923076923077,1.1428571428571428,1.1428571428571428,1.3076923076923077,1.3076923076923077,3.2857142857142856,2.0,2.333333333333333,2.0,1.727272727272727,1.727272727272727,1.5,2.75,2.333333333333333,2.0,2.333333333333333,3.2857142857142856,1.727272727272727,1.1428571428571428,1.1428571428571428,1.3076923076923077,1.3076923076923077,1.1428571428571428,1.1428571428571428,1.0,0.875,0.7647058823529409,0.875,0.7647058823529409,0.4285714285714286,0.25,0.1999999999999999,0.0344827586206897,0.0
BAMD_17-L^J98,0.0680238474602387,0.0680238474602387,5.0,0.1339936116089494,0.7862982857092474,1.3074417638287992,0.0554916886748485,0.0326165258015047,4.556569294152047e-08,0.0248706423079146,0.0155553291634754,0.0545495691693824,-0.0312887060005279,-13.107455441960903,-0.0284328806501611,1.6902558061258834,1.2471340226344994,0.3420321129439304,0.0282485875706215,0.0792682926829269,0.1493506493506493,-0.1280788177339901,-0.1767441860465115,-0.2202643171806168,-0.2594142259414226,-0.2168141592920353,-0.1571428571428571,-0.1280788177339901,-0.096938775510204,-0.0380434782608696,-0.0380434782608696,-0.106060606060606,-0.1237623762376237,-0.0220994475138122,0.0231213872832369,0.1419354838709676,0.1419354838709676,0.195945945945946,0.4047619047619046,0.3615384615384616,0.7019230769230769,0.6388888888888888,0.4047619047619046,0.3111111111111111,0.1419354838709676,0.195945945945946,0.4047619047619046,0.1644736842105263,0.1132075471698113,0.2123287671232876,0.2919708029197079,0.1132075471698113,0.0172413793103447,0.0056818181818181,-0.0732984293193717,0.0925925925925925,-0.1531100478468898,-0.1954545454545455,-0.1917808219178082,-0.1611374407582937,0.0172413793103447,0.0858895705521474,-0.0220994475138122,-0.2098214285714286,-0.2202643171806168,-0.349264705882353,-0.4553846153846154
BBEK_99-L^L95,0.1040153240088185,-0.1040153240088185,5.0,-0.231108553893364,-1.5751414259135714,1.5036918778686887,0.1199910952804986,-0.0530346544131723,3.710237707647076e-06,0.021544559519243,0.2790221516200738,0.0940661761259783,0.0868836333859889,0.0403125442838882,0.4473868543802234,-6.31140350877193,0.9768509279584912,0.0313035352748793,0.1102941176470586,0.0303030303030302,-0.0144927536231882,-0.1168831168831168,0.0625,0.0708661417322835,-0.0215827338129495,0.0149253731343284,-0.0144927536231882,-0.1446540880503144,-0.1807228915662649,-0.2402234636871507,-0.2138728323699421,-0.231638418079096,-0.1604938271604938,-0.1707317073170731,-0.3267326732673267,-0.4061135371179039,-0.3789954337899542,-0.4448979591836735,-0.3789954337899542,-0.3982300884955752,-0.2804232804232803,-0.2138728323699421,-0.2527472527472527,-0.3644859813084112,-0.6253443526170799,-0.6512820512820512,-0.5828220858895705,-0.6539440203562341,-0.648578811369509,-0.5828220858895705,-0.643979057591623,-0.7030567685589519,-0.7081545064377682,-0.7274549098196392,-0.7258064516129032,-0.7224489795918367,-0.7235772357723578,-0.7166666666666666,-0.7081545064377682,-0.6844547563805103,-0.6392572944297081,-0.6314363143631436,-0.6449086161879896,-0.6069364161849711,-0.6169014084507042,-0.5964391691394659,-0.6411609498680739
BBNH_32-L^L97,0.0756767738331047,-0.0756767738331047,8.0,-0.0132189707366296,0.1198236970904006,1.2995363214837712,0.1142061281337047,-0.0472589792060491,0.0001280331954445,-0.1063572149344097,-0.1441459510406489,0.3792190519210018,-0.0348461180251325,0.0371735672591955,-0.0597986553989456,-1.6555555555555554,0.917774343122102,-0.041871921182266,0.072289156626506,0.0072815533980583,-0.0235294117647058,-0.1281512605042015,-0.0818584070796458,-0.113247863247863,-0.1336116910229644,-0.1281512605042015,-0.0047961630695442,0.0171568627450982,-0.0024038461538461,-0.0879120879120878,-0.0071770334928228,-0.0348837209302324,0.0246913580246914,0.0121951219512197,-0.0393518518518518,-0.0859030837004404,-0.0589569160997731,-0.1075268817204301,-0.0715883668903801,0.0072815533980583,0.0323383084577115,0.0695876288659795,-0.0165876777251183,-0.0879120879120878,-0.189453125,-0.1443298969072163,-0.0632054176072233,-0.093886462882096,-0.113247863247863,-0.0589569160997731,0.0097323600973235,-0.0258215962441312,-0.0024038461538461,-0.0119047619047618,0.0559796437659032,0.1216216216216217,0.0807291666666667,0.0221674876847293,0.0349127182044888,0.133879781420765,0.2537764350453173,0.2278106508875741,0.3787375415282394,0.5036231884057973,0.537037037037037,0.4874551971326166,0.2613981762917934
BBOU_00-L,0.0623692951162504,-0.0623692951162504,5.0,-0.0267022696929239,-0.6737206168229446,1.4648602878916173,0.08,0.0442453094371324,2.50165687720352e-05,0.0033984706881903,0.0149587681894751,0.0828346456692913,-0.0566603833357592,0.0751568911311976,0.1611255683605479,-1.170900692840647,0.6934801016088061,0.0817867253853413,0.0930232558139534,0.0177514792899406,-0.0549450549450548,-0.0719424460431653,-0.0462107208872458,-0.1428571428571428,-0.1554828150572831,-0.0669077757685352,-0.0618181818181817,0.0278884462151396,0.0530612244897958,-0.1239388794567062,-0.0426716141001854,-0.0635208711433755,-0.0514705882352941,-0.0736086175942549,-0.1041666666666666,-0.011494252873563,-0.0300751879699248,-0.1356783919597989,-0.2012383900928792,-0.1650485436893203,-0.1704180064308681,-0.1456953642384105,-0.1809523809523808,-0.1822503961965134,-0.2607449856733524,-0.2660028449502134,-0.192488262910798,-0.2445095168374816,-0.2205438066465256,-0.1224489795918366,-0.0994764397905759,-0.1485148514851484,-0.137123745819398,-0.1327731092436974,-0.0931458699472759,-0.0802139037433155,-0.0802139037433155,-0.0171428571428571,-0.0038610038610037,0.1072961373390557,0.1780821917808219,0.1727272727272726,0.205607476635514,0.2616136919315404,0.3163265306122449,0.2524271844660195,0.1049250535331907
BBQS_26-L^G99,0.1019565364565703,-0.1019565364565703,5.0,-0.0744361882414288,-0.0163257351588479,1.816738019610551,0.1171183628318584,0.0015847860538827,4.466355881261068e-05,-0.0365445617694346,0.025850483753081,0.1145323901568079,0.045695334047718,0.1755020154803306,0.1335075005968153,-2.395546129374337,1.1847811075818258,0.0507889320832381,0.0529411764705882,0.1111111111111111,0.0559006211180124,0.0059171597633136,0.0059171597633136,-0.0285714285714285,-0.0502793296089385,0.0691823899371069,0.1038961038961039,0.0365853658536585,0.0759493670886075,0.0059171597633136,0.1486486486486486,0.1805555555555555,0.1333333333333333,0.0828025477707006,0.0625,0.0559006211180124,0.1724137931034481,0.2781954887218043,0.4529914529914529,0.6037735849056602,1.0,0.7,0.3385826771653542,0.0691823899371069,-0.0502793296089385,-0.1326530612244898,0.0429447852760735,0.1038961038961039,0.0240963855421687,0.0179640718562874,0.0179640718562874,-0.1370558375634517,-0.216589861751152,-0.2750533049040512,-0.271948608137045,-0.1787439613526569,-0.2842105263157894,-0.3089430894308943,-0.3089430894308943,-0.2255125284738041,0.0271903323262838,-0.2946058091286307,-0.3032786885245901,-0.3227091633466135,-0.2975206611570248,-0.3333333333333332,-0.3851717902350814
BBTU_63-L^C18,0.0756665564763413,-0.0756665564763413,5.0,-0.1071698276048071,0.0993351420313865,1.0427051057523913,0.0386104538610453,-0.1388092964024196,3.817269775528067e-05,-0.0570479211167928,-0.2786642388578921,0.2608089382980883,-0.2913626079774886,0.0785722427503697,0.1877490966134152,-12.864341085271317,0.7697696349184966,0.0195847833913357,-0.0289156626506024,0.1126005361930295,0.0559796437659032,-0.0757238307349665,-0.115138592750533,-0.1862745098039214,-0.1565040650406503,0.0586734693877553,0.1401098901098902,0.0,-0.0859030837004404,-0.1478439425051334,-0.093886462882096,-0.0899122807017542,-0.0393518518518518,0.0559796437659032,-0.0235294117647058,-0.1170212765957446,-0.1765873015873015,-0.0589569160997731,-0.113247863247863,-0.0119047619047618,0.0,0.2028985507246377,-0.0281030444964869,-0.1649899396378268,-0.2680776014109346,-0.3174342105263157,-0.1878669275929549,-0.2589285714285713,-0.1814595660749506,-0.2589285714285713,-0.2706502636203866,-0.3117744610281924,-0.3359999999999999,-0.3833580980683506,-0.3381180223285486,-0.2495479204339963,-0.3230016313213703,-0.3664122137404579,-0.3796711509715994,-0.3306451612903225,-0.2169811320754716,-0.2680776014109346,-0.3185550082101805,-0.3230016313213703,-0.2562724014336917,-0.3615384615384615,-0.4391891891891891
BBVN_02-L^I99,0.5245763898613639,-0.5245763898613639,6.0,-0.2393984220907298,-8.291957289118786,0.9021636876763875,0.2511415525114155,-1.0881612090680102,3.32712264709779e-07,-0.2583826429980275,-0.291266323325414,0.9954648526077096,-0.3162074908422503,0.0743217840527967,0.036698717948718,-1.0782959124928038,0.6081843838193792,-0.0466346153846153,0.1046511627906976,0.0617283950617282,-0.0549450549450549,-0.0652173913043479,-0.328125,-0.362962962962963,-0.4027777777777778,-0.2950819672131147,-0.3333333333333333,-0.4068965517241379,-0.3768115942028985,-0.572139303482587,-0.5028901734104047,-0.4556962025316455,-0.5,-0.5141242937853108,-0.5028901734104047,-0.5567010309278351,-0.6073059360730594,-0.6160714285714286,-0.5763546798029556,-0.5376344086021505,-0.5113636363636364,-0.4970760233918129,-0.4819277108433735,-0.5656565656565656,-0.6653696498054474,-0.684981684981685,-0.6518218623481782,-0.6573705179282868,-0.6730038022813688,-0.6704980842911877,-0.6614173228346456,-0.6692307692307693,-0.6416666666666666,-0.656,-0.6504065040650406,-0.6036866359447004,-0.6194690265486725,-0.6055045871559633,-0.5904761904761905,-0.5804878048780487,-0.5376344086021505,-0.6143497757847534,-0.5804878048780487,-0.5473684210526315,-0.5274725274725275,-0.5274725274725275,-0.5784313725490196
BCPS_48-L^C06,0.0259555980708677,-0.0259555980708677,5.0,0.0568800419754705,0.6091381430757565,1.5186807685086674,0.0438803930842398,0.1984865576236135,6.983845675627257e-05,0.0084442841214666,0.2858855215332211,-0.1159215178167079,0.4173323524505438,0.2062359531384034,0.0289317894324944,-0.4036697247706422,1.2274860754740595,0.0393603936039361,0.0365296803652968,0.0265625,0.0545746388443018,-0.0733427362482368,-0.0519480519480518,-0.0338235294117645,-0.0680851063829787,0.0170278637770897,0.0478468899521531,0.1628318584070796,0.181654676258993,0.0138888888888888,-0.0120300751879699,0.063106796116505,0.1042016806722689,0.1628318584070796,0.1465968586387434,0.1690391459074733,0.1837837837837839,0.3035714285714286,0.3380855397148676,0.4535398230088496,0.6846153846153846,1.053125,0.9437869822485208,0.5717703349282299,0.2933070866141734,0.300990099009901,0.5831325301204819,0.7853260869565217,0.5068807339449541,0.5350467289719627,0.5605700712589075,0.3061630218687872,0.2634615384615384,0.1945454545454545,0.1753130590339893,0.2538167938931297,0.2490494296577947,0.1711229946524064,0.1526315789473684,0.1607773851590106,0.3890063424947145,0.300990099009901,0.3245967741935485,0.4567627494456763,0.4730941704035876,0.2882352941176471,0.0805921052631579
