firms,age,agr,bm,bm_ia,cashdebt,chpmia,convind,depr,egr,ep,grltnoa,herf,lev,lgr,mve_ia,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BABJ-L^I00,9.0,-0.1055900621118012,3.3714443523888426e-07,0.0345868885534229,0.161536093581653,0.0090892502349296,1.0,0.1578563616478308,0.0205992509363295,5.4482187241093616e-08,-0.0523185011709543,1.02016404792216e-06,5.266611433305717e-07,-0.1528182528964389,2.886445257227792,0.0108982153007041,-0.077291012355039,-0.0403660728877267,1.2731846947319525,9.757575757575758,-0.9008016032064128,-0.9034146341463416,0.1511627906976744,-0.9057142857142856,-0.9048076923076924,0.1511627906976744,-0.9040697674418604,-0.9025590551181102,-0.9014925373134328,-0.9037900874635568,0.0421052631578948,-0.9100817438692098,-0.9051724137931034,0.2374999999999998,0.2692307692307691,0.2222222222222221,-0.8997975708502024,-0.9032258064516128,0.2692307692307691,0.1927710843373493,0.1647058823529412,0.2374999999999998,-0.8989795918367347,0.2374999999999998,0.2531645569620253,0.1647058823529412,-0.8986693961105425,-0.8962264150943396,-0.8970893970893971,-0.891566265060241,-0.8937768240343348,-0.8864678899082569,-0.8867276887871853,-0.8827014218009479,-0.8788249694002448,-0.8785276073619632,-0.8789731051344744,-0.8848837209302326,-0.882282996432818,-0.8903654485049833,-0.8850174216027874,-0.8836662749706228,-0.8854166666666666,-0.8818615751789977,-0.8789731051344744,-0.8810096153846154,-0.8825622775800712,-0.881437125748503
BACQ-L^J02,7.0,-0.038750655556203,1.160256266381372e-06,0.1190280781301023,0.2335152192492275,0.0189641889353285,1.0,0.0809958223207434,0.0179411442949348,1.0299534401193049e-07,-0.0610274237157165,5.894791631346501e-07,8.966580130627025e-07,-0.1033665835411471,1.0228624554547494,0.0274655057653525,-0.2496387463251781,0.1120633813343963,0.8018499727237207,2.2205882352941173,-0.081081081081081,0.0625,0.0303030303030302,0.0967741935483872,0.0708661417322835,0.1525423728813559,0.0303030303030302,-0.111111111111111,-0.0993377483443708,-0.1392405063291139,-0.081081081081081,-0.1337579617834394,-0.0993377483443708,-0.081081081081081,-0.0620689655172412,-0.111111111111111,-0.0933333333333332,-0.1225806451612903,-0.0933333333333332,-0.1168831168831168,-0.0555555555555554,0.0149253731343284,0.0461538461538462,0.0149253731343284,0.0708661417322835,0.3600000000000001,0.2363636363636363,0.3076923076923077,0.3877551020408165,0.6000000000000001,0.5111111111111111,0.7662337662337664,0.7435897435897436,1.0,0.9428571428571432,1.0,0.9710144927536236,1.0923076923076924,1.3448275862068968,1.125,1.4285714285714284,1.385964912280702,1.385964912280702,1.4727272727272729,1.4285714285714284,1.4727272727272729,1.266666666666667,0.9428571428571432
BALZ-L^I10,9.0,-0.0781461604052766,4.6528357612955443e-07,0.0477323945208482,0.2523551577955723,-0.0399931176016397,1.0,0.3029322984044847,0.1988909892879648,9.828804971933237e-08,-0.0649545881616034,1.878521955629603e-09,4.330132461112347e-07,-0.231969047660357,0.1303868195261447,0.2326420577144838,-0.0489752880156331,-0.0158417697787775,0.2346895281301843,0.0769230769230768,-0.025,-0.025,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.3,0.3,0.21875,0.1470588235294117,-0.0487804878048779,-0.409090909090909,0.0263157894736842,0.0833333333333334,0.1818181818181818,0.1470588235294117,0.0833333333333334,0.21875,0.3448275862068968,0.3448275862068968,0.3928571428571428,0.2580645161290322,0.4444444444444444,0.5,0.6956521739130435,0.6956521739130435,0.6250000000000002,0.56,0.5,0.6250000000000002,0.95,0.95,0.95,0.95,0.8571428571428572,0.7727272727272727,0.6956521739130435,0.6956521739130435,0.5,0.4444444444444444,0.3448275862068968,0.3,0.21875,0.1470588235294117,0.1142857142857143,0.1818181818181818,0.21875,0.21875,0.6250000000000002
BAMD-L^J98,9.0,0.2759953027639453,3.926779112248693e-07,0.0402839428249861,0.0986578295405205,0.0114212318890603,1.0,0.070531720444922,0.0885401189833655,5.0803964034915e-08,0.010325235692532,8.075030300469704e-09,7.991096235041892e-07,0.3986491402053094,0.5830093306960049,-0.6329725441464642,0.0308760953709526,0.1509468879156127,0.8617691222235857,-0.028776978417266,0.2034632034632033,0.103174603174603,0.103174603174603,-0.0733333333333333,0.0145985401459851,-0.0855263157894737,-0.0974025974025974,-0.0794701986754967,-0.0380622837370243,-0.1257861635220126,-0.0106761565836299,0.188034188034188,0.1209677419354837,0.1209677419354837,0.1209677419354837,0.2410714285714283,0.257918552036199,0.3175355450236967,0.2636363636363634,0.2990654205607475,0.3051643192488262,0.3899999999999999,0.3365384615384614,0.3175355450236967,0.3694581280788178,0.3495145631067959,0.3627450980392155,0.3560975609756098,0.3762376237623761,0.7160493827160492,0.6746987951807228,0.770700636942675,0.9172413793103448,0.8783783783783783,0.7160493827160492,0.5706214689265536,0.6848484848484848,0.7594936708860758,0.6547619047619047,0.5274725274725274,0.5706214689265536,0.6951219512195121,0.805194805194805,0.3694581280788178,0.2930232558139534,0.224669603524229,0.1631799163179914,0.2300884955752213
BBIO-L^E18,9.0,-0.0167079702614118,1.2723347572458776e-07,0.0130525958170803,0.2022552849583021,-0.1170373241744011,1.0,0.1057007125890736,-0.236072807501379,6.338707454871158e-08,0.0235801523640559,9.505119989468232e-07,4.301593863396261e-07,0.0787306341070091,5.553453715115714,-0.155822604587185,-0.0135746606334841,-0.0135746606334841,0.7649554935197493,-0.0136327185244586,-0.0340821068938806,-0.0666167664670658,-0.1035226455787202,0.0322847682119205,0.185361216730038,0.2225490196078432,0.1719924812030075,0.3071278825995809,0.2595959595959596,0.3181818181818181,0.2583249243188699,0.2457542457542458,0.1264679313459802,0.0862369337979094,0.0852915578764144,0.185361216730038,0.239562624254473,0.2621457489878542,0.2685656154628688,0.2724489795918368,0.2895553257497416,0.4739952718676121,0.4898446833930707,0.6007702182284982,0.5414091470951794,0.5471464019851116,0.5078597339782347,0.590561224489796,0.7271468144044322,0.9273570324574962,0.9762282091917592,0.921417565485362,0.998397435897436,1.1800699300699304,1.2672727272727276,1.120748299319728,0.9920127795527158,1.064569536423841,1.034257748776509,0.9856687898089171,1.004823151125402,1.2387791741472172,1.127986348122867,1.004823151125402,1.3178438661710037,1.3221601489757917,1.064569536423841,1.3617424242424243
BBOU-L,8.0,-0.0521654737352905,1.4539866467532565e-06,0.1491612165385075,0.2277388019427954,0.0270237651274564,1.0,0.0908571428571428,-0.0312645823611759,2.398797815573171e-07,-0.018684603886395,2.647769610426345e-06,1.2487756219465589e-06,-0.0728029121164846,3.642098692207607,0.373706969607158,0.3568559954102123,0.3568559954102123,0.6437729985727073,-0.0892857142857143,0.0256410256410255,0.0218978102189779,-0.0476190476190476,0.0218978102189779,-0.0344827586206897,-0.0651085141903172,-0.0158172231985941,0.1155378486055778,0.1199999999999998,0.2253829321663019,0.2903225806451612,0.222707423580786,0.261261261261261,0.275626423690205,0.2121212121212119,0.1715481171548116,0.2095032397408207,0.1839323467230442,0.2095032397408207,0.1594202898550722,0.204301075268817,0.2200435729847494,0.2200435729847494,0.1814345991561179,0.2173913043478261,0.1067193675889328,0.0810810810810811,0.1244979919678712,0.129032258064516,0.1594202898550722,0.1691022964509394,0.1965811965811965,0.2307692307692308,0.3301662707838479,0.3301662707838479,0.2444444444444444,0.238938053097345,0.1940298507462685,0.2362030905077261,0.1498973305954825,0.2556053811659191,0.278538812785388,0.1864406779661016,0.1666666666666667,0.1991434689507494,0.0769230769230768,0.0606060606060605,0.1715481171548116
BBQS-L^G99,9.0,-0.0462548492987168,5.128542247831588e-07,0.0526125602641459,0.1215626864986457,0.0069842473080067,1.0,0.1156758803483528,-0.0216284987277355,6.792960473163518e-08,-0.0581029479150742,1.1329913740600424e-06,1.0065585890458986e-06,-0.0582100196113388,1.3387060481018087,-0.0063231887698314,0.0375047657381329,-0.0358355925337322,0.9098273975994522,-0.027027027027027,-0.0389610389610389,-0.1294117647058823,-0.119047619047619,-0.0864197530864198,-0.069182389937107,-0.097560975609756,-0.159090909090909,-0.1868131868131868,-0.2291666666666666,-0.2448979591836735,-0.2043010752688172,-0.26,-0.1868131868131868,-0.159090909090909,-0.1823204419889502,-0.2043010752688172,-0.1823204419889502,-0.1542857142857142,-0.1868131868131868,-0.1731843575418994,-0.2,-0.1395348837209302,-0.1685393258426966,-0.1242603550295857,-0.0451612903225806,-0.108433734939759,-0.1638418079096045,-0.2291666666666666,-0.248730964467005,-0.1731843575418994,-0.1956521739130435,-0.2,-0.2043010752688172,-0.1731843575418994,-0.1542857142857142,-0.1731843575418994,-0.0864197530864198,-0.1137724550898203,-0.1445086705202312,-0.1731843575418994,-0.1294117647058823,-0.0326797385620915,-0.0807453416149068,-0.1242603550295857,-0.1242603550295857,-0.1542857142857142,-0.1731843575418994,-0.069182389937107
BBTK-L^C11,9.0,0.1416139240506329,0.0005185368632004,53.19552934530087,0.1980542043085476,0.0240020842656885,1.0,0.1200607902735562,0.0098743267504488,2.2124239496551867e-05,0.014407092722568,6.169249107632389e-08,0.0007420838664468,0.2697160883280757,0.0027671179362992,-0.1789052069425901,-0.1789052069425901,-0.0360480640854472,3.760003010486188,-0.8555555555555556,5.75,5.75,4.869565217391305,5.428571428571429,5.585365853658537,5.428571428571429,5.428571428571429,5.428571428571429,5.428571428571429,5.428571428571429,5.428571428571429,5.136363636363637,5.136363636363637,5.136363636363637,4.4,5.279069767441861,5.585365853658537,5.585365853658537,5.585365853658537,5.585365853658537,5.585365853658537,5.923076923076923,5.923076923076923,5.75,5.75,0.7647058823529413,0.6265060240963858,0.5340909090909092,0.5428571428571429,0.5697674418604652,0.6265060240963858,0.5517241379310347,0.6564417177914113,0.7532467532467533,0.8493150684931507,0.8367346938775513,0.8367346938775513,0.8367346938775513,0.8,0.8120805369127517,0.7880794701986755,0.9852941176470588,0.8620689655172415,0.8,1.231404958677686,1.0930232558139537,1.109375,1.327586206896552
BBTU-L^C18,9.0,0.1005559506108991,4.898768889666842e-07,0.0502553671146404,0.127089215590822,-0.0357168844326756,1.0,0.0233869283775318,-0.0284094196609384,4.4051578271777814e-08,0.0828165633126624,1.7235352345761463e-06,5.024213781434156e-07,0.2671620925612539,4.3719003823144655,-0.0138922145434006,-0.0439385948620132,-0.0021963081106521,0.5863405919138774,0.0984848484848484,-0.0399999999999999,-0.0075187969924812,-0.043478260869565,0.0038022813688214,0.090909090909091,0.0645161290322582,0.104602510460251,0.1330472103004292,0.189189189189189,0.1528384279475982,0.1330472103004292,0.1428571428571428,0.2941176470588236,0.3333333333333335,0.2571428571428571,0.2692307692307691,0.3894736842105264,0.4585635359116022,0.3750000000000002,0.367875647668394,0.3968253968253969,0.4193548387096775,0.5621301775147931,0.8082191780821919,0.8461538461538463,0.619631901840491,0.5621301775147931,0.5903614457831328,0.5438596491228072,0.5438596491228072,0.4585635359116022,0.4831460674157304,0.5438596491228072,0.5,0.5714285714285716,0.5438596491228072,0.6815286624203822,0.76,0.736842105263158,0.5808383233532937,0.5348837209302326,0.7142857142857144,0.619631901840491,0.4193548387096775,0.3608247422680413,0.2452830188679244,0.2941176470588236,0.6296296296296295
BBVN-L^I99,9.0,0.0049784268171257,1.714975845410628e-07,0.0175935510829361,0.1613832853025936,0.0075913920463649,1.0,0.1833590138674884,-0.2844961240310077,3.5117056856187296e-08,-0.0066214202946532,1.361662881744272e-08,3.896321070234114e-07,0.2191860465116278,0.6864335100535752,-0.0550776963647304,0.042302331090946,0.0956072351421187,0.8918605523525189,-0.0429447852760734,0.0723684210526314,0.0723684210526314,-0.0297619047619047,-0.0060975609756097,-0.0297619047619047,-0.0632183908045977,-0.0632183908045977,-0.0944444444444445,-0.0790960451977401,-0.0297619047619047,-0.0239520958083833,-0.0180722891566265,-0.0180722891566265,0.0448717948717947,0.0584415584415582,0.0316455696202531,0.0723684210526314,0.0723684210526314,0.0723684210526314,0.1164383561643835,0.3039999999999998,0.4424778761061947,0.314516129032258,0.2734375,0.2442748091603053,0.2442748091603053,0.2348484848484846,0.263565891472868,0.3360655737704918,0.4818181818181817,0.4553571428571425,0.4954128440366969,0.6299999999999999,0.6979166666666665,0.7717391304347825,0.7912087912087911,0.963855421686747,0.8953488372093021,0.8953488372093021,0.7157894736842105,0.8953488372093021,0.7717391304347825,0.5825242718446602,0.5673076923076921,0.1241379310344827,0.065359477124183,-0.0060975609756097,0.181159420289855
