firms,age,agr,cash,cashdebt,chcsho,che,egr,lgr,mve_ia,pchsale_pchxsga,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,21.0,0.2936037466713539,0.0854038536916877,0.2116650390477371,0.0001571963293514,-1.777,0.4124598002708191,0.1625355519958155,0.2097381308090879,0.0031861692338015,0.2208223579741823,0.0277777777777779,0.0526315789473683,0.1111111111111111,0.0055865921787709,0.2413793103448276,0.2162162162162162,0.1688311688311687,0.1538461538461537,0.1042944785276074,0.40625,0.3846153846153846,0.3846153846153846,0.25,0.3235294117647058,0.2244897959183673,-0.0624999999999998,-0.2682926829268293,-0.2857142857142857,-0.28,-0.3594306049822063,-0.1304347826086955,-0.0816326530612244,0.0,0.0169491525423728,0.0169491525423728,-0.005524861878453,-0.1428571428571429,0.0,0.1464968152866241,0.0714285714285714,0.0588235294117647,0.125,0.1464968152866241,0.1111111111111111,0.1688311688311687,0.125,0.139240506329114,0.1999999999999999,0.3138686131386861,0.40625,0.5929203539823011,0.6981132075471699,0.7821782178217822,0.8181818181818183,0.7821782178217822,0.7142857142857142,0.6363636363636362,0.7142857142857142,0.8556701030927836
BBOU_00-L,21.0,0.1290946527734448,0.0809640273107102,0.1443180070736583,4.502938380064989e-05,142.0,-0.0791881074899942,0.1947350658116773,11.445752125689696,0.0528549832821661,0.1509270704573547,-0.0267527675276751,0.0423076923076921,0.0732673267326733,0.1350785340314135,0.126819126819127,0.1655913978494623,0.2084726867335562,0.2858837485172005,0.3300613496932514,0.3721518987341772,0.3482587064676619,0.1846994535519124,0.1279916753381893,0.2248587570621469,0.0982776089159067,0.1303441084462981,0.0732673267326733,0.2346241457858771,0.2057842046718576,0.1083844580777095,0.0413064361191162,0.0245746691871455,0.0493707647628267,0.0503875968992246,0.0037037037037035,0.004633920296571,-0.0045913682277319,-0.0045913682277319,0.0353390639923589,0.0861723446893787,0.0403071017274472,0.0,0.0245746691871455,0.0503875968992246,0.0883534136546184,0.0829170829170828,0.0818363273453093,0.1106557377049179,0.1106557377049179,0.1519659936238044,0.1531914893617021,0.1693635382955771,0.1769815418023885,0.2207207207207207,0.1977900552486187,0.1912087912087912,0.2234762979683973,0.2813238770685577,0.2858837485172005
BBTU_63-L^C18,21.0,-0.1637964321569234,0.0229035833025489,0.1445356277791836,1.4928948432666012e-05,-63.1,-0.8158536585365854,-0.2955819828701707,0.6135908269775767,-0.1131005942395145,-0.1193584165173619,0.13768115942029,0.0,0.1039999999999998,-0.1533742331288343,-0.1585365853658537,-0.0980392156862746,-0.1210191082802548,-0.206896551724138,-0.31,-0.1481481481481482,-0.0281690140845071,-0.0612244897959184,-0.1265822784810127,-0.0860927152317881,-0.034965034965035,-0.142857142857143,-0.2923076923076924,-0.3428571428571429,-0.3397129186602871,-0.4712643678160919,-0.5018050541516246,-0.5035971223021583,-0.4588235294117647,-0.4712643678160919,-0.4981818181818181,-0.4712643678160919,-0.6000000000000001,-0.6300268096514745,-0.6208791208791209,-0.591715976331361,-0.6300268096514745,-0.6023054755043229,-0.6023054755043229,-0.5953079178885631,-0.6000000000000001,-0.6434108527131783,-0.6123595505617978,-0.6011560693641619,-0.6057142857142858,-0.5855855855855856,-0.5818181818181818,-0.5818181818181818,-0.6045845272206305,-0.5880597014925373,-0.6134453781512605,-0.8539682539682539,-0.8444193912063134,-0.8438914027149321,-0.8426453819840365
BCQE_67-L^A14,21.0,0.117937465715853,0.1829145728643216,0.1362162162162162,0.0002606657825329,-25.0,0.4668435013262599,0.0152505446623093,1.0770098014412604,-0.1658658653775798,0.0834914611005692,0.0294117647058822,0.050561797752809,0.0163043478260869,0.0417827298050139,0.1,0.1367781155015197,0.3262411347517733,0.2635135135135136,0.4496124031007753,0.7314814814814814,1.0437158469945356,1.0662983425414367,0.7235023041474655,0.9684210526315792,0.8700000000000001,0.4496124031007753,0.0655270655270656,0.0594900849858357,0.1798107255520504,-0.0649999999999999,0.0080862533692722,0.1948881789137382,0.1873015873015873,0.2222222222222223,0.3169014084507044,0.2262295081967213,-0.0878048780487803,-0.0310880829015542,-0.1179245283018868,-0.2126315789473684,-0.2382892057026476,-0.2272727272727271,-0.0944309927360773,0.0246575342465753,0.0840579710144928,-0.0053191489361701,0.0872093023255815,0.1367781155015197,0.3031358885017421,0.375,0.4841269841269842,0.5982905982905984,0.5327868852459017,0.375,0.3501805054151625,0.3600000000000001,0.5648535564853556,0.4552529182879379,0.7314814814814814
BDAJ_H9-L,15.0,-0.1529062663641123,0.1320832474757881,0.1237393328161365,7.021289194119165e-06,19.7,-8.136363636363638,-0.21375368092846,0.1556699536655319,-0.0922042447410448,-0.0032554576790502,0.108433734939759,0.0641025641025641,-0.0568181818181818,-0.0674157303370787,0.0641025641025641,0.1216216216216214,0.2769230769230768,0.296875,0.2769230769230768,0.1369863013698629,0.4310344827586208,0.4067796610169492,0.2205882352941175,0.5090909090909088,0.4067796610169492,0.1527777777777776,0.0921052631578946,0.1216216216216214,0.0641025641025641,-0.0568181818181818,-0.1263157894736841,-0.1443298969072165,-0.1170212765957446,-0.0978260869565218,-0.0879120879120879,-0.2385321100917432,-0.1443298969072165,-0.4907975460122699,-0.5146198830409356,-0.5059523809523809,-0.5414364640883979,-0.5870646766169154,-0.576530612244898,-0.5970873786407767,-0.7260726072607261,-0.7398119122257054,-0.7446153846153847,-0.7786666666666666,-0.7621776504297995,-0.7469512195121951,-0.7365079365079366,-0.6914498141263941,-0.6981818181818182,-0.710801393728223,-0.7381703470031546,-0.7492447129909365,-0.7621776504297995,-0.7768817204301075,-0.8047058823529412
BEAL_25-L^C19,8.0,-0.5321413651627099,1.9395939900798586e-05,-9.924687768038323,-0.0227208732605345,30.2445,-0.4760173694728759,-0.8983457093998184,0.0258297477151671,28.89242804506859,28.89242804506859,0.0206185567010308,0.0319148936170212,0.0104166666666667,-0.1709401709401709,-0.1637931034482758,-0.1261261261261262,-0.1491228070175437,-0.1491228070175437,-0.2301587301587302,-0.2301587301587302,-0.2301587301587302,-0.2301587301587302,-0.2301587301587302,-0.2113821138211382,-0.2421875,-0.436046511627907,-0.5610859728506787,-0.5446009389671361,-0.5650224215246638,-0.616600790513834,-0.612,-0.5800865800865801,-0.6040816326530613,-0.5467289719626169,-0.594142259414226,-0.5889830508474576,-0.6325757575757576,-0.622568093385214,-0.6008230452674898,-0.5872340425531914,-0.5889830508474576,-0.594142259414226,-0.5836909871244635,-0.5610859728506787,-0.5800865800865801,-0.5745614035087718,-0.5669642857142858,-0.5529953917050692,-0.5570776255707763,-0.5467289719626169,-0.5402843601895735,-0.5402843601895735,-0.5467289719626169,-0.5669642857142858,-0.5958333333333333,-0.6056910569105691,-0.6008230452674898,-0.5800865800865801,-0.5488372093023256
BJJT_37-L,20.0,0.2966239476576951,0.0868636001360495,0.0028794949808802,0.0007937754528209,-12.999999999999998,0.0625984251968503,0.2654423807366624,0.5350859767003961,0.2155497534087612,0.2155497534087612,0.0406504065040651,-0.0080645161290322,-0.057471264367816,-0.0989010989010988,0.0933333333333332,0.3155080213903742,0.2299999999999999,0.455621301775148,0.3977272727272727,0.4642857142857144,0.4219653179190752,0.3820224719101124,0.3820224719101124,0.28125,0.3898305084745763,0.1181818181818181,0.088495575221239,0.1884057971014494,0.1388888888888888,-0.031496062992126,-0.1021897810218979,-0.1021897810218979,-0.0465116279069768,-0.0610687022900764,-0.1086956521739129,-0.1772575250836121,-0.344,-0.344,-0.3819095477386934,-0.4357798165137615,-0.419811320754717,-0.4421768707482993,-0.4652173913043478,-0.4508928571428572,-0.4508928571428572,-0.4292343387470997,-0.427906976744186,-0.3910891089108911,-0.4029126213592233,-0.3031161473087819,-0.2807017543859649,-0.25,-0.2590361445783132,-0.25,-0.3223140495867769,-0.2545454545454545,-0.2288401253918495,-0.1689189189189189,-0.0820895522388059
BLNT_37-L^D19,13.0,0.0745263601599495,0.0510667209738539,0.1003973775880908,0.0005319502089939,8.605500000000001,0.024246586196878,0.0871870404820469,0.4349560846679378,-0.0510838811503228,0.1221160919082076,-0.0330578512396694,0.1282051282051282,0.0731707317073171,0.0020703933747412,0.0041493775933609,0.1152073732718894,0.189189189189189,0.1469194312796209,0.0852017937219731,0.1523809523809522,0.09009009009009,0.0276008492569002,0.1050228310502283,-0.032,0.0852017937219731,0.1442080378250589,0.0755555555555556,0.1980198019801979,0.237851662404092,0.2703412073490814,0.2906666666666666,0.2906666666666666,0.3444444444444443,0.4028985507246376,0.4578313253012047,0.4319526627218935,0.3224043715846993,0.2975871313672922,0.241025641025641,0.2941176470588234,0.1690821256038648,0.0521739130434784,0.1282051282051282,0.0755555555555556,0.136150234741784,0.2191435768261964,0.1523809523809522,0.1862745098039215,0.1719128329297821,0.2346938775510203,0.2284263959390862,0.3557422969187676,0.2099999999999999,0.3672316384180789,0.2670157068062828,0.3260273972602741,0.0168067226890755,0.0637362637362637,-0.0300601202404809
BLNV_40-L^F19,12.0,-0.2298447561083179,0.0436055449935256,-1.0537296167388812,0.0254202269336289,15.488,-0.282674690138315,0.0222231342211644,0.0839593431231542,1.201816299642387,1.201816299642387,0.0,-0.0454545454545454,0.05,0.05,0.0161290322580645,0.351931330472103,0.290983606557377,0.25,0.3125,0.4062499999999998,0.3577586206896552,0.4449541284403668,0.4253393665158371,0.5144230769230769,0.4318181818181816,0.0096153846153845,0.3577586206896552,0.4788732394366197,0.129032258064516,-0.0597014925373134,-0.0680473372781065,-0.0999999999999999,-0.0568862275449101,-0.009433962264151,-0.0735294117647058,0.125,-0.0680473372781065,-0.0307692307692307,-0.0999999999999999,-0.1225626740947075,-0.2588235294117647,-0.2921348314606742,-0.3269230769230768,-0.3396226415094339,-0.3368421052631579,-0.3571428571428572,-0.384765625,-0.37,-0.37,-0.3871595330739299,-0.3152173913043478,-0.34375,-0.3,-0.2125,-0.2808219178082192,-0.2758620689655172,-0.3076923076923077,-0.2317073170731707,-0.2482100238663485
BPVK_29-L,14.0,0.0472031816739817,0.2076110707534767,0.2667918095735633,0.0012271060295104,95.36379999999996,0.1582526977887568,-0.0099396664117311,18.480213732764422,0.0782364746655965,-0.0739727790558924,0.00893470790378,0.0570286959680348,0.0694597574421169,0.0524412296564196,0.0189075630252102,0.0460100647016534,0.0745937961595275,0.1296583850931676,0.2516129032258065,0.1999999999999999,0.299107142857143,0.0801781737193763,0.0366939793373708,0.2024793388429753,0.0761834319526628,0.1515631183221211,0.0635964912280702,0.1940910956093557,0.3661971830985915,0.334862385321101,0.3837375178316691,0.4448857994041708,0.549520766773163,0.39568345323741,0.344731977818854,0.2696335078534031,0.2489270386266093,0.1757575757575757,0.1965460526315789,0.150197628458498,0.0948081264108353,0.0846067834513606,0.0726133431625508,0.0706401766004416,0.0355871886120997,0.002411298656562,0.0604956268221574,0.0069204152249136,-0.0767766497461928,-0.1274362818590704,-0.1528384279475982,-0.1004636785162287,-0.1084558823529411,0.0160614525139664,-0.0396039603960395,0.0010319917440659,0.0989425981873111,0.0643745427944404,0.0286320254506893
