firms,absacc,acc,age,agr,chpmia,convind,currat,egr,grltnoa,herf,invest,pchcurrat,pchquick,pchsale_pchrect,pctacc,ps,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BABJ-L^I00,0.0676604245790432,-0.0676604245790432,8.0,-0.0204684716005388,-0.0254720122960725,1.0,1.4640008740303727,0.0557830814856658,-0.031964172026958,1.2695839038656988e-06,-0.0094737299552387,-0.0278619252726101,0.0131057078014376,0.0253368871797727,-0.993552546744036,7.0,1.148585163334426,0.0036083319665409,-0.026341463414634,10.918604651162791,-0.0238095238095238,-0.0144230769230769,10.918604651162791,-0.0067829457364341,0.0088582677165354,0.0199004975124377,-0.0038872691933915,9.789473684210527,-0.0690281562216167,-0.018199233716475,11.8125,12.14102564102564,11.65432098765432,0.0374493927125505,0.0019550342130987,12.14102564102564,11.349397590361448,11.058823529411764,11.8125,0.0459183673469387,11.8125,11.974683544303796,11.058823529411764,0.0491299897645856,0.0744234800838574,0.0654885654885655,0.1226725082146769,0.0997854077253219,0.17545871559633,0.1727688787185355,0.2144549763033176,0.2545899632802937,0.2576687116564415,0.2530562347188265,0.1918604651162792,0.2187871581450653,0.1351052048726468,0.1904761904761904,0.2044653349001175,0.1863425925925925,0.2231503579952265,0.2530562347188265,0.2319711538461537,0.2158956109134044,0.2275449101796407,0.3225806451612902,0.327720207253886
BACQ-L^J02,0.1114775529607511,-0.1114775529607511,7.0,-0.038750655556203,0.0721157751015902,1.0,0.909863609408974,0.0179411442949348,-0.0610274237157165,6.755710631729636e-07,0.066196608589243,0.012144494643547,-0.2789975781603455,0.1102965968820995,-2.2711864406779663,7.0,0.3447321605060289,0.1120633813343963,0.15625,-0.0303030303030302,0.032258064516129,0.0078740157480314,0.0847457627118644,-0.0303030303030302,-0.1633986928104575,-0.152317880794702,-0.189873417721519,-0.1351351351351351,-0.1847133757961784,-0.152317880794702,-0.1351351351351351,-0.1172413793103447,-0.1633986928104575,-0.1466666666666666,-0.1741935483870967,-0.1466666666666666,-0.1688311688311689,-0.111111111111111,-0.044776119402985,-0.0153846153846154,-0.044776119402985,0.0078740157480314,0.28,0.1636363636363635,0.2307692307692308,0.3061224489795919,0.5058823529411764,0.4222222222222223,0.6623376623376622,0.641025641025641,0.8823529411764706,0.8285714285714287,0.8823529411764706,0.8550724637681162,0.9692307692307692,1.2068965517241383,1.0,1.2857142857142856,1.2456140350877196,1.2456140350877196,1.3272727272727272,1.2857142857142856,1.3272727272727272,1.1333333333333333,0.8285714285714287,0.9393939393939394,0.7297297297297298
BALZ-L^I10,0.0399728572919929,0.0399728572919929,9.0,-0.0781461604052766,-0.1520832071651861,1.0,2.179195852407479,0.1988909892879648,-0.0649545881616034,2.1528752059868155e-09,-0.1352058985805286,0.1864200722710116,0.2928500062155283,0.0911540034953092,0.3810708598726114,7.0,1.687110473774199,-0.0158417697787775,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333335,0.3333333333333335,0.25,0.1764705882352941,-0.0243902439024389,-0.3939393939393939,0.0526315789473683,0.1111111111111111,0.2121212121212121,0.1764705882352941,0.1111111111111111,0.25,0.3793103448275863,0.3793103448275863,0.4285714285714286,0.2903225806451615,0.4814814814814814,0.5384615384615385,0.7391304347826086,0.7391304347826086,0.6666666666666667,0.6000000000000001,0.5384615384615385,0.6666666666666667,1.0,1.0,1.0,1.0,0.9047619047619048,0.8181818181818183,0.7391304347826086,0.7391304347826086,0.5384615384615385,0.4814814814814814,0.3793103448275863,0.3333333333333335,0.25,0.1764705882352941,0.142857142857143,0.2121212121212121,0.25,0.25,0.6666666666666667,0.6666666666666667,0.6666666666666667
BAMD-L^J98,0.1365149081328005,-0.1365149081328005,8.0,0.0378543010413991,-0.1040897819181434,1.0,1.3085600372435031,0.0024438432779111,-0.0260198251949045,6.9861221608963035e-09,0.0250391312143517,-0.0121334256342019,-0.0383710071443663,0.2771323626389654,-2.5336746403036456,7.0,1.188055817506834,0.1828653032293035,-0.0833333333333333,0.0,-0.16,-0.0802919708029197,-0.1710526315789473,-0.1818181818181818,-0.1655629139072847,-0.1280276816608997,-0.2075471698113208,-0.1032028469750889,0.0769230769230771,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.125,0.1402714932126696,0.1943127962085309,0.1454545454545452,0.1775700934579438,0.1830985915492957,0.26,0.2115384615384614,0.1943127962085309,0.2413793103448276,0.2233009708737863,0.2352941176470588,0.229268292682927,0.2475247524752475,0.5555555555555554,0.5180722891566265,0.6050955414012738,0.7379310344827588,0.7027027027027026,0.5555555555555554,0.423728813559322,0.5272727272727273,0.5949367088607593,0.5,0.3846153846153846,0.423728813559322,0.5365853658536586,0.6363636363636362,0.2413793103448276,0.172093023255814,0.1101321585903083,0.0543933054393304,0.1150442477876108,0.1999999999999999,0.2413793103448276
BAOH-L,0.0719936695539558,0.0719936695539558,16.0,-0.0197232329480895,0.1288084507786343,1.0,0.5872953466820185,-0.0040233581530486,0.0215723627825382,1.4684617450378506e-08,0.020061435337291,-0.2857891477688943,-0.3422953232052952,-0.0422544716521879,0.449974992758424,3.0,0.464491186685014,-0.0626230685081361,-0.076036866359447,-0.020316027088036,-0.0334075723830735,0.0069605568445476,0.0559610705596105,-0.160541586073501,-0.1621621621621621,-0.218018018018018,-0.3764367816091954,-0.2399299474605954,-0.2908496732026144,-0.3579881656804734,-0.4575,-0.4575,-0.4575,-0.485781990521327,-0.485781990521327,-0.5460251046025105,-0.591337099811676,-0.5765853658536586,-0.5575942915392458,-0.5488565488565489,-0.4575,-0.3746397694524496,-0.38,-0.5005753739930955,-0.5431578947368421,-0.5112612612612613,-0.5005753739930955,-0.504,-0.5112612612612613,-0.5177777777777778,-0.4821002386634845,-0.44,-0.5548717948717949,-0.5241228070175439,-0.5402542372881356,-0.5633802816901408,-0.555327868852459,-0.5343347639484979,-0.5204419889502763,-0.4213333333333333,-0.4435897435897435,-0.4296977660972405,-0.4111261872455902,-0.4547738693467337,-0.5150837988826815,-0.4363636363636364,-0.4478371501272264
BBIO-L^E18,0.1267289946085657,-0.1267289946085657,8.0,0.0209345031626199,0.3154257322050546,1.0,1.6393342804952304,-0.2170157633340531,-0.1390868889202917,1.1195197113575875e-06,-0.0560293817588247,0.1023904775511264,0.1853786469479944,0.0844576134844833,-7.4714285714285715,4.0,1.3061700832149383,-0.0071191595244677,-0.0336826347305388,-0.0395398993529835,0.1059602649006621,0.2699619771863117,0.3098039215686274,0.2556390977443608,0.40041928721174,0.3494949494949493,0.4122621564482027,0.3481331987891018,0.3346653346653345,0.206865401987353,0.1637630662020905,0.1627502175805046,0.2699619771863117,0.3280318091451291,0.3522267206477731,0.3591047812817904,0.3632653061224489,0.3815925542916234,0.5791962174940897,0.5961768219832737,0.7150192554557124,0.6514215080346106,0.6575682382133994,0.6154776299879081,0.7040816326530612,0.8504155124653741,1.064914992272025,1.117274167987322,1.0585516178736518,1.141025641025641,1.3356643356643358,1.4290909090909092,1.2721088435374148,1.1341853035143772,1.2119205298013245,1.1794453507340945,1.127388535031847,1.147909967845659,1.3985637342908437,1.2798634812286689,1.147909967845659,1.483271375464684,1.4878957169459963,1.2119205298013245,1.5303030303030305,1.7265306122448978,1.7949790794979077
BBNH-L^L97,0.0959706632082643,-0.0959706632082643,8.0,0.0067306829399623,0.2718975810187794,1.0,1.847747093023256,0.0349401488191523,-0.0160994588792987,1.0922765829123107e-05,0.0015256214663914,0.4662176499046814,0.5086150674962413,0.3035061891765225,-18.5,5.0,1.4269622093023255,0.1182554517133956,0.0073529411764705,-0.0872483221476508,-0.0388692579505299,-0.081081081081081,-0.0903010033444816,-0.0422535211267603,0.0625,4.3861386138613865,0.198237885462555,4.44,0.1851851851851853,8.714285714285714,0.1826086956521742,8.714285714285714,0.1623931623931624,0.2391799544419135,9.074074074074074,9.074074074074074,0.2534562211981568,8.714285714285714,8.714285714285714,0.2448512585812357,0.1724137931034484,8.89090909090909,0.2477064220183487,0.2224719101123595,0.3300733496332519,0.4278215223097112,0.4056847545219639,0.363408521303258,0.3668341708542715,0.3772151898734177,0.4353562005277045,0.4904109589041097,0.3366093366093365,0.4391534391534393,0.3045563549160672,0.3532338308457714,0.2224719101123595,0.3108433734939759,0.3203883495145632,0.28,0.142857142857143,0.2035398230088496,0.1623931623931624,0.1356993736951983,0.142857142857143,0.3045563549160672,0.3333333333333335
BBOU-L,0.0417289486796213,-0.0417289486796213,8.0,-0.0521654737352905,0.1027642033611751,1.0,1.3946345256609642,-0.0312645823611759,-0.018684603886395,3.034469481908044e-06,-0.0093412592502729,-0.0493759992445892,-0.1013909384160723,0.2885935840626945,-0.4890510948905109,7.0,0.6687402799377916,0.3568559954102123,-0.0036496350364964,-0.0680272108843537,0.0,-0.0551724137931033,-0.0851419031719532,-0.0369068541300526,0.0916334661354583,0.096,0.1991247264770241,0.2626728110599079,0.1965065502183407,0.2342342342342342,0.2482915717539864,0.1861471861471861,0.1464435146443514,0.183585313174946,0.1585623678646934,0.183585313174946,0.134575569358178,0.1784946236559139,0.1938997821350763,0.1938997821350763,0.1561181434599157,0.1913043478260871,0.0830039525691701,0.057915057915058,0.1004016064257027,0.1048387096774194,0.134575569358178,0.1440501043841338,0.170940170940171,0.2043956043956045,0.3016627078384799,0.3016627078384799,0.2177777777777778,0.2123893805309735,0.1684434968017056,0.2097130242825606,0.1252566735112936,0.2286995515695069,0.2511415525114155,0.1610169491525426,0.1416666666666668,0.1734475374732336,0.0538461538461538,0.0378787878787878,0.1464435146443514,0.1536842105263158,0.2626728110599079
BBQS-L^G99,0.0552963647180386,-0.0552963647180386,8.0,0.1036095376103279,-0.1705943874814933,1.0,1.708792060784618,-0.1617915904936013,-0.0152174593731401,1.396776738008148e-06,0.0957713081280463,0.0641043848380007,0.0713216290119495,-0.1416223135093191,-0.9255765199161424,6.0,0.9837184059544116,-0.0706880574539557,-0.0941176470588235,0.0119047619047618,0.0493827160493827,0.0691823899371069,0.0365853658536585,-0.0340909090909091,-0.065934065934066,-0.1145833333333333,-0.1326530612244898,-0.0860215053763441,-0.15,-0.065934065934066,-0.0340909090909091,-0.0607734806629834,-0.0860215053763441,-0.0607734806629834,-0.0285714285714285,-0.065934065934066,-0.0502793296089385,-0.0810810810810811,-0.0116279069767442,-0.0449438202247191,0.0059171597633136,0.096774193548387,0.0240963855421687,-0.0395480225988701,-0.1145833333333333,-0.1370558375634517,-0.0502793296089385,-0.0760869565217392,-0.0810810810810811,-0.0860215053763441,-0.0502793296089385,-0.0285714285714285,-0.0502793296089385,0.0493827160493827,0.0179640718562874,-0.0173410404624277,-0.0502793296089385,0.0,0.1111111111111111,0.0559006211180124,0.0059171597633136,0.0059171597633136,-0.0285714285714285,-0.0502793296089385,0.0691823899371069,0.1038961038961039,0.0365853658536585
BBTK-L^C11,0.1419922949917446,-0.1419922949917446,8.0,-0.1351351351351351,-0.1433533239527534,1.0,2.2118959107806693,0.0324374420759962,-0.12841680425609,7.608939448260598e-08,-0.0195005131713992,0.2478188301342843,0.258828996282528,0.1652421652421652,-5.776119402985074,6.0,2.159851301115242,0.1758241758241758,0.0,-0.1304347826086956,-0.0476190476190475,-0.0243902439024389,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,-0.0909090909090908,-0.0909090909090908,-0.0909090909090908,-0.1999999999999999,-0.069767441860465,-0.0243902439024389,-0.0243902439024389,-0.0243902439024389,-0.0243902439024389,-0.0243902439024389,0.0256410256410257,0.0256410256410257,0.0,0.0,-0.738562091503268,-0.7590361445783133,-0.7727272727272727,-0.7714285714285714,-0.7674418604651163,-0.7590361445783133,-0.7701149425287356,-0.754601226993865,-0.7402597402597402,-0.726027397260274,-0.727891156462585,-0.727891156462585,-0.727891156462585,-0.7333333333333334,-0.7315436241610738,-0.7350993377483444,-0.7058823529411764,-0.7241379310344828,-0.7333333333333334,-0.6694214876033058,-0.689922480620155,-0.6875,-0.6551724137931034,-0.6491228070175439,-0.7202797202797202
