firms,absacc,acc,age,agr,bm,bm_ia,chpmia,convind,currat,egr,ep,herf,invest,mve_ia,pchcapx_ia,pchcurrat,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pctacc,ps,quick,roic,salerec,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BABJ-L^I00,0.0384875324582933,-0.0384875324582933,2.0,0.4040533606977937,5.652298852978058e-07,0.3502373798990252,-0.004517861129844,1.0,1.1029371770465053,-0.0580303806110257,9.92403984152154e-08,1.2373595674094326e-06,0.4485206088592441,2.1118753391841127,0.880106989759567,-0.1773507241730069,-0.1748476712829036,-0.445430094070902,-0.3420575088326967,0.744984786630636,-0.558307533539732,2.0,0.7247756323089475,0.1146785928843201,4.288523773960668,0.1213304693093797,0.9771432744883908,0.0056285178236397,-0.0599647266313932,-0.0873287671232876,-0.0413669064748201,0.0702811244979919,0.0492125984251967,0.1316348195329086,0.138888888888889,0.1221052631578947,0.0,-0.1850152905198776,-0.1566455696202532,-0.1684867394695788,-0.0516014234875444,-0.0966101694915254,-0.108695652173913,-0.1658841940532081,-0.2308802308802308,-0.2252906976744185,-0.2150220913107511,-0.14446227929374,-0.1911987860394537,-0.1593059936908517,-0.1347402597402597,-0.0981387478849408,-0.0566371681415929,-0.0147874306839186,-0.0074487895716945,-0.0273722627737227,0.1104166666666668,0.0767676767676768,-0.0238095238095238,0.009469696969697,0.0430528375733854,-0.0202205882352941,-0.012962962962963,-0.012962962962963,-0.0482142857142856,0.041015625,0.0745967741935484,0.1127348643006262,0.2281105990783409,0.3916449086161879,0.3880208333333335,-0.0810344827586206,-0.0904436860068259,-0.0966101694915254,-0.0532859680284191,0.0617529880478089
BACQ-L^J02,0.0364670251560665,0.0364670251560665,13.0,-0.0214014919897272,3.143748025888223e-06,1.9479827593859511,-0.0220484485961712,1.0,0.9886275120735316,-0.0005420788724759,4.104988947702181e-07,1.3528470883948826e-06,0.0710529534058945,0.5073962999552827,-1.2112895020367698,-0.0239324690231623,-0.0490482891448421,-0.0490903334662364,-0.037555407369483,-0.1135840815283652,0.6126687435098657,3.0,0.5309238199096433,0.0589946553007238,22.376397515527948,-0.0094583447896618,0.5883400865121095,-0.44,-0.2268041237113401,-0.2346938775510204,-0.2346938775510204,0.0,-0.0259740259740259,-0.1573033707865169,0.0869565217391306,0.0273972602739727,-0.2574257425742574,-0.2924528301886793,-0.3589743589743589,-0.6010638297872339,-0.4966442953020133,-0.53125,-0.576271186440678,-0.609375,-0.6359223300970873,-0.6173469387755102,-0.6173469387755102,-0.6808510638297873,-0.7191011235955056,-0.7115384615384616,-0.6724890829694323,-0.6428571428571428,-0.6462264150943396,-0.6462264150943396,-0.6323529411764706,-0.6287128712871287,-0.5562130177514792,-0.5614035087719298,-0.6394230769230769,-0.6052631578947368,-0.6212121212121212,-0.668141592920354,-0.6753246753246753,-0.6835443037974684,-0.6938775510204083,-0.6861924686192469,-0.691358024691358,-0.6900826446280992,-0.663677130044843,-0.6710526315789473,-0.6926229508196722,-0.7413793103448276,-0.7466216216216216,-0.7626582278481013,-0.7670807453416149,-0.7670807453416149
BALZ-L^I10,0.057648401826484,-0.057648401826484,3.0,-0.3456090651558074,1.816804235082548e-06,1.125759220515219,-0.0123983370329516,1.0,2.148373983739837,-0.0146571335716607,-6.591525639337718e-08,1.9380908280963347e-08,-0.3663833805476864,0.072188785623693,5.030667579029811,0.5795129220205545,0.8485382703567967,0.2389352912673187,0.2874065367159695,-0.0069539091509325,-4.59090909090909,5.0,1.6686991869918697,0.1367515993649695,6.056179775280898,-0.2784471218206158,1.5395964763890255,0.0,-0.0666666666666665,-0.1249999999999998,-0.176470588235294,-0.1249999999999998,-0.176470588235294,-0.3333333333333332,-0.4166666666666666,-0.4399999999999999,-0.5172413793103448,-0.5333333333333332,-0.5757575757575757,-0.611111111111111,-0.588235294117647,-0.631578947368421,-0.611111111111111,-0.6216216216216216,-0.588235294117647,-0.5999999999999999,-0.5757575757575757,-0.6216216216216216,-0.5999999999999999,-0.631578947368421,-0.6499999999999999,-0.6499999999999999,-0.7021276595744681,-0.75,-0.7627118644067796,-0.78125,-0.7543859649122806,-0.7586206896551724,-0.7666666666666666,-0.7358490566037736,-0.7407407407407407,-0.7704918032786885,-0.7627118644067796,-0.7083333333333333,-0.7254901960784313,-0.7083333333333333,-0.7307692307692307,-0.7666666666666666,-0.7543859649122806,-0.7254901960784313,-0.7666666666666666,-0.8541666666666666,-0.8461538461538461,-0.86,-0.8541666666666666,-0.8556701030927835
BBEK-L^L95,0.0715290147182902,0.0715290147182902,2.0,0.1881025641025642,1.2265601892931084e-07,0.0760022139947769,0.0146215677109872,1.0,1.2113502935420746,0.1189962223421477,5.288376220053239e-08,5.649143071035339e-07,0.1209230769230769,7.31270698210572,-1.167671239065856,-0.1305661043733276,-0.1374161694793008,-0.0775669951964783,-0.1312287939240664,-0.2711312654696758,0.4267337807606272,5.0,0.8818304982688546,0.2149340825588934,3.533697632058288,0.1884827445374719,0.4365634303854787,-0.0040650406504064,0.0250000000000001,0.055793991416309,0.1415313225058005,0.3050397877984085,0.3333333333333332,0.2845953002610966,0.4219653179190752,0.3859154929577466,0.4599406528189911,0.2981530343007914,0.3297297297297297,0.312,0.5045871559633026,0.4686567164179103,0.5374999999999999,0.4909090909090909,0.4385964912280702,0.4057142857142857,0.5045871559633026,0.55205047318612,0.3516483516483515,0.430232558139535,0.6237623762376239,0.6454849498327757,0.6078431372549018,0.6565656565656564,0.726315789473684,0.835820895522388,1.1298701298701297,1.1206896551724137,0.921875,0.9838709677419356,1.148471615720524,0.9294117647058824,0.870722433460076,0.8923076923076922,0.870722433460076,1.0585774058577404,0.9919028340080972,0.8496240601503757,0.9919028340080972,1.2162162162162158,0.7956204379562042,0.3820224719101124,0.3516483516483515,0.4385964912280702,0.3628808864265929,0.3820224719101124
BBIO-L^E18,0.0188766916419817,0.0188766916419817,2.0,-0.0457434733257661,7.609702804899798e-07,0.4715253813577353,-0.0113804751915996,1.0,1.3150136487716106,0.02255299954894,1.0417046480461273e-07,1.735489936580546e-06,-0.0199205448354143,1.933027711233908,-0.9285066025716924,0.0520743925854686,0.0674068232221226,0.1075902599495932,0.1444704701694206,-0.0352295833924432,0.3490870032223412,5.0,0.7175614194722475,0.0418392990558989,6.660790075089781,-0.0352295833924432,0.995528548642528,-0.0114613180515759,-0.0490463215258855,-0.0693333333333332,-0.0412087912087911,0.107936507936508,0.0607902735562311,0.0640243902439026,0.1911262798634811,0.1150159744408947,0.0115942028985507,-0.0718085106382977,-0.1466992665036673,-0.1028277634961439,-0.0958549222797926,-0.1096938775510203,-0.0863874345549737,-0.1864801864801863,-0.2086167800453514,-0.1296758104738153,-0.0911458333333332,-0.1921296296296296,-0.2346491228070174,-0.1977011494252872,-0.1164556962025316,-0.105128205128205,-0.0935064935064934,-0.043835616438356,-0.0196629213483146,-0.0113314447592066,0.1750841750841751,0.1294498381877022,0.0512048192771086,0.1405228758169934,0.1405228758169934,0.0417910447761193,0.1150159744408947,0.1009463722397476,0.1294498381877022,0.1952054794520548,0.0804953560371517,0.1114649681528663,0.2508960573476704,0.3849206349206349,0.2925925925925925,-0.1529126213592232,-0.1096938775510203,-0.1403940886699506,-0.0412087912087911,0.0417910447761193
BBNH-L^L97,0.0380200105318588,0.0380200105318588,2.0,-0.0156739811912225,4.602743446964552e-07,0.2852030381165925,0.0098208311680426,1.0,1.229109454688113,0.2112223016440314,8.610620670922178e-08,3.679406107829828e-05,0.0096133751306165,15.925306568838923,-1.5959300836492665,0.1214838567818624,0.1250208989048739,-0.0527169641369446,-0.1341994359513619,0.0103248010324801,0.5694006309148265,6.0,0.6998823067869753,0.0920231972863551,7.367843137254902,0.0103248010324801,0.6775195850355491,-0.0364583333333332,-0.0541871921182265,-0.0435865504358654,0.0491803278688522,0.16012084592145,0.1377777777777777,0.275747508305648,0.3913043478260869,0.4195933456561922,0.3763440860215052,0.1671732522796352,0.1779141104294479,0.2094488188976377,0.4065934065934065,0.3150684931506848,0.3714285714285714,0.263157894736842,0.2229299363057324,0.3473684210526315,0.4912621359223299,0.3287197231833909,0.2132701421800946,0.2907563025210082,0.3887884267631101,0.4328358208955223,0.3379790940766549,0.4014598540145984,0.4883720930232558,0.5029354207436398,0.786046511627907,0.7104677060133628,0.7066666666666666,0.5802469135802468,0.5737704918032787,0.5546558704453439,0.5088408644400786,0.5088408644400786,0.5705521472392638,0.6375266524520253,0.6375266524520253,0.6916299559471364,0.7104677060133628,1.0371352785145889,0.9057071960297765,0.3497363796133566,0.4382022471910112,0.3788150807899459,0.4355140186915889,0.3473684210526315
BBOU-L,0.0082929119073697,0.0082929119073697,2.0,0.0626109407777957,3.6093195324324354e-07,0.2236468115254518,0.0051109852251284,1.0,1.5523809523809524,0.1128188358404185,5.9077019675723376e-08,2.633065061729252e-06,0.0164595772147813,20.39245996121742,-1.260025278133303,0.1863064098878988,0.3256023457090976,0.1657890470951523,0.2128012157174904,0.1820319849482596,0.0951526032315978,5.0,0.746218487394958,0.1028215336679937,3.068376068376069,0.1820319849482596,0.7435394113979316,0.0,0.0671806167400881,0.08268156424581,0.2037267080745339,0.2817460317460318,0.2733245729303546,0.3094594594594593,0.3705799151343705,0.431314623338257,0.3609550561797752,0.2007434944237918,0.2204030226700251,0.2487113402061855,0.4484304932735423,0.4462686567164178,0.4816513761467889,0.4571428571428571,0.412536443148688,0.4907692307692306,0.6231155778894473,0.7089947089947088,0.631313131313131,0.7911275415896486,0.9226190476190474,0.985655737704918,1.0838709677419351,1.2123287671232874,1.4408060453400502,1.491002570694087,1.9011976047904195,1.954268292682927,1.85,2.0186915887850465,2.1875,1.9633027522935775,1.927492447129909,1.9907407407407405,2.076190476190476,2.284745762711864,2.2086092715231787,2.364583333333333,2.364583333333333,2.9390243902439024,2.78515625,1.584,1.7372881355932202,1.647540983606557,1.6991643454038998,1.7142857142857144
BBQS-L^G99,0.0908950855030041,0.0908950855030041,2.0,0.1978555304740406,4.732696052398655e-07,0.2932553830513107,-0.0061477664897644,1.0,1.3128398159765788,0.0400700252869092,1.209063551070986e-07,7.408204876122468e-06,0.1992099322799096,2.4436250660701098,-0.8627291186576965,-0.0938294733828112,-0.1440016843354568,-0.0882925358991724,-0.0910158972965051,-0.0763696922633203,1.2957540263543186,3.0,0.6630071099958176,0.1253616200578592,8.237639241743208,0.1428881297109701,0.4688668625020751,-0.1286307053941908,-0.0359999999999999,-0.0359999999999999,0.0807174887892376,0.4345238095238097,-0.0163265306122448,-0.0282258064516128,-0.0549019607843136,-0.0203252032520324,-0.0694980694980693,-0.1423487544483985,-0.1453900709219857,-0.0871212121212121,0.025531914893617,0.0711111111111111,-0.073076923076923,-0.1040892193308549,-0.1631944444444443,-0.0973782771535579,-0.1299638989169674,-0.1912751677852349,-0.2225806451612902,-0.1453900709219857,-0.11070110701107,-0.11070110701107,-0.1040892193308549,-0.11070110701107,-0.1268115942028984,-0.1236363636363635,0.0083682008368199,-0.05859375,-0.093984962406015,-0.0836501901140683,-0.0694980694980693,-0.1362007168458781,-0.1689655172413792,-0.1204379562043795,-0.1330935251798559,-0.1139705882352941,-0.1602787456445993,-0.1885521885521885,-0.1484098939929328,0.0570175438596491,-0.0549019607843136,-0.3034682080924855,-0.2538699690402476,-0.2561728395061728,-0.1993355481727573,-0.1689655172413792
BBTK-L^C11,0.078929135604024,0.078929135604024,2.0,0.2504053885493326,7.009667376699984e-07,0.4343449629676909,0.0001369673933603,1.0,2.7671353251318105,0.0462215700660309,6.677044076683599e-08,5.346693087081887e-08,0.1534863415242608,2.640014830629471,-1.138387665927411,0.0495322586491923,0.055220714303352,0.2181679765610405,-0.2007955928805357,0.2549540697068504,1.7472392638036818,5.0,2.703280609256005,-0.0214343928280358,2.6624535315985134,0.3595292331055431,0.5213848189980014,0.0559006211180124,-0.0747126436781608,-0.0903954802259886,-0.1344086021505376,-0.0639534883720929,-0.1458885941644562,-0.2369668246445496,-0.2681818181818182,-0.2891832229580574,-0.356,-0.2747747747747747,-0.2203389830508474,-0.2127139364303177,-0.1080332409972298,-0.4569983136593591,-0.4755700325732899,-0.4929133858267716,-0.4495726495726495,-0.4156079854809437,-0.3795761078998073,-0.3623762376237623,-0.3901515151515151,-0.3783783783783783,-0.3415132924335378,-0.303030303030303,-0.3104925053533189,-0.2844444444444444,-0.2665148063781321,-0.3494949494949495,-0.3347107438016529,-0.3060344827586205,-0.3585657370517927,-0.4239713774597495,-0.157068062827225,-0.3104925053533189,-0.2876106194690264,-0.2184466019417476,-0.2029702970297029,-0.0473372781065087,0.0989761092150169,0.0320512820512821,0.1881918819188193,0.5480769230769231,0.3360995850622406,-0.1503957783641161,-0.125,-0.1701030927835051,0.0287539936102236,0.2432432432432434
BBTU-L^C18,0.0138618936756444,0.0138618936756444,2.0,0.0044096241116532,1.2049980665119877e-06,0.7466614497501134,0.0027983804086195,1.0,1.4236011477761834,0.0242409301943383,1.1069218870843001e-07,6.022240386103877e-06,0.0457444986728315,4.47457208062121,-1.3026066417867226,-0.0050267590210379,-0.0850543795483027,-0.1819425871397172,0.3305408730889111,0.0534552269394929,0.2834061135371173,3.0,1.090028694404591,0.0574990736502539,21.12562534741523,0.0385298538051646,0.5123024083006278,-0.0977443609022556,-0.0633802816901407,-0.0827586206896551,-0.0111524163568772,0.156521739130435,0.08130081300813,0.0075757575757575,0.0,0.0991735537190083,-0.0567375886524821,-0.1713395638629282,-0.2035928143712574,-0.1661442006269592,0.0114068441064638,-0.1043771043771043,-0.0921501706484642,-0.1661442006269592,-0.219941348973607,-0.1363636363636363,-0.0567375886524821,-0.1939393939393938,-0.2012012012012012,-0.1914893617021276,-0.0859106529209622,-0.5413793103448276,-0.5258467023172906,-0.5137111517367459,-0.5018726591760299,-0.465863453815261,-0.3870967741935484,-0.3755868544600939,-0.4166666666666666,-0.40625,-0.3755868544600939,-0.3913043478260869,-0.3813953488372092,-0.3543689320388349,-0.3448275862068964,-0.3282828282828283,-0.2771739130434782,-0.2651933701657458,-0.1739130434782608,-0.0890410958904108,-0.2443181818181817,-0.4153846153846153,-0.3995485327313769,-0.4153846153846153,-0.3726415094339622,-0.3870967741935484
