firms,absacc,acc,age,agr,bm,bm_ia,chpmia,convind,currat,egr,ep,grltnoa,herf,invest,mve_ia,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pctacc,ps,quick,salerec,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ-L^J02,0.2119296316657504,-0.2119296316657504,10.0,-0.1277982674328845,2.275528914114649e-06,0.0852190359751464,-0.0461809287162485,1.0,0.8492574257425743,-0.2810199317651284,-8.644054641279673e-07,-0.2166025288619949,3.172740661197365e-07,0.0156102581696542,0.188659227073022,-0.1053407060169926,-0.1239376824518478,-0.1728980040861228,0.2633459029459828,-1.5207100591715978,4.0,0.3888613861386139,19.50852557673019,0.2775880189174986,0.9375000000000002,0.0909090909090908,0.0909090909090908,0.1707317073170731,0.1162790697674418,-0.0204081632653061,0.1999999999999999,-0.0588235294117647,-0.1111111111111111,-0.0943396226415095,-0.4606741573033708,-0.4606741573033708,-0.6883116883116883,-0.7209302325581395,-0.7913043478260869,-0.799163179916318,-0.7735849056603774,-0.8016528925619835,-0.8285714285714285,-0.7714285714285715,-0.7828054298642534,-0.7142857142857143,-0.728813559322034,-0.8333333333333334,-0.8117647058823529,-0.7983193277310925,-0.8490566037735849,-0.8674033149171271,-0.8843373493975903,-0.896551724137931,-0.899581589958159,-0.896551724137931,-0.9036144578313252,-0.8904109589041096,-0.6470588235294118,-0.6756756756756757,-0.625,-0.6363636363636365,-0.6129032258064516,-0.6220472440944882,-0.5932203389830508,-0.6363636363636365,-0.6862745098039216,-0.6821192052980132,-0.6962025316455697,-0.6756756756756757,-0.694267515923567,-0.6821192052980132,-0.6756756756756757
BALZ-L^I10,0.0294049469320129,-0.0294049469320129,12.0,0.3156111683077707,1.413858916040763e-07,0.005294931349037,-0.0053621764640774,1.0,1.4770915619389586,0.0960329392469078,2.1622324482527592e-08,0.0690320839967619,1.9254634827544183e-09,0.114182131763505,0.4864937167318244,0.3316714115900282,-0.1212290955011075,-0.1994008363330129,0.008764850732915,-0.3943532769340536,4.0,0.9758168761220826,3.2428730416916363,0.2342481040704447,-0.089108910891089,0.063157894736842,0.0,0.074468085106383,0.0575916230366493,0.2624999999999999,0.565891472868217,0.5905511811023623,0.3116883116883115,0.8035714285714284,1.0612244897959182,1.0612244897959182,1.4938271604938271,1.525,1.376470588235294,1.58974358974359,1.5569620253164556,1.7297297297297298,2.060606060606061,1.9705882352941173,2.4827586206896552,2.4237288135593222,2.3666666666666667,3.04,3.391304347826087,3.809523809523809,3.391304347826087,3.208333333333334,3.208333333333334,2.9607843137254903,3.809523809523809,3.697674418604652,4.17948717948718,3.809523809523809,4.17948717948718,4.05,4.05,4.611111111111112,4.611111111111112,4.611111111111112,5.733333333333333,5.733333333333333,5.3125,4.941176470588235,3.926829268292683,2.060606060606061,4.315789473684211,4.611111111111112,5.121212121212121
BAOH-L,0.0212821157799463,-0.0212821157799463,19.0,-0.2733488616400161,7.677100644032489e-07,0.0287509032256428,-0.0132772711277469,1.0,0.9418996854481492,-0.5247674532048731,6.081384855871677e-08,-0.4092860175617582,3.9740359217501976e-08,-0.0339027298382086,1.117718808660081,-0.2530977644742287,0.3669275517639495,0.2902116703078658,0.5443755456983875,-0.5354228118049751,7.0,0.6623917580789146,28.90877135513784,0.1424570913125415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2123287671232877,-0.0836653386454183,-0.2255892255892256,-0.1901408450704225,-0.1756272401433692,-0.1958041958041958,0.0454545454545451,0.1979166666666665,0.0313901345291478,-0.0725806451612903,-0.0873015873015873,-0.0612244897959185,0.0,-0.1605839416058395,-0.0212765957446809,-0.2698412698412699,-0.352112676056338,-0.2721518987341773,0.0648148148148146,-0.1958041958041958,-0.2789968652037617,-0.4056847545219638,-0.4306930693069307,-0.3994778067885118,-0.4191919191919192,-0.4320987654320988,-0.4278606965174129,-0.42643391521197,-0.4700460829493088,-0.4808126410835214,-0.4877505567928731,-0.4663573085846867,-0.4403892944038931,-0.5551257253384914,-0.555984555984556,-0.5855855855855856,-0.6695402298850575,-0.5971978984238179,-0.6241830065359477,-0.6597633136094675,-0.7125
BBIO-L^E18,0.0110460251046025,-0.0110460251046025,11.0,0.2963105303612606,2.4806167465447244e-07,0.0092899618393376,-0.044657861223554,1.0,1.0653495440729484,0.3339901477832512,6.558794647437308e-08,0.1275313807531368,1.153120821415061e-06,0.2009992313604919,5.852283190326818,0.0459805996033284,0.0895052413193248,0.0243590707465603,-0.0072191295149017,-0.0921787709497206,5.0,0.6648936170212766,5.748837209302326,0.2476446837146702,-0.0608695652173914,0.2160120845921451,-0.0934684684684684,-0.0507075471698112,-0.0693641618497109,-0.1297297297297296,-0.0934684684684684,0.0228716645489199,-0.0098400984009839,0.0509138381201044,-0.1743589743589743,-0.1876892028254287,-0.1835699797160241,-0.1735112936344969,-0.1876892028254287,-0.2546296296296296,-0.2721518987341772,-0.2021803766105053,-0.2419962335216571,-0.1445270988310307,-0.0405244338498211,0.0509138381201044,0.0087719298245614,0.2442040185471408,0.1180555555555555,0.3879310344827589,0.2014925373134328,0.0690571049136787,-0.0061728395061727,-0.1192560175054704,-0.5368239355581127,-0.4952978056426331,-0.4520081688223281,-0.3455284552845528,-0.3544506816359262,-0.3764523625096824,-0.3974550898203591,-0.4212796549245147,-0.3336092715231787,-0.2347908745247147,-0.2107843137254901,-0.2434210526315788,-0.1561844863731655,-0.1868686868686868,-0.1490486257928118,-0.1876892028254287,-0.1958041958041957,-0.2728093947606143,-0.298780487804878
BBOU-L,0.0658357499845745,-0.0658357499845745,12.0,-0.0087234303968546,1.9018989922478745e-07,0.0071226516892898,0.0011183088510811,1.0,0.9892761394101875,0.1701440635866865,3.9402534842579614e-08,-0.0172764854692416,1.1816716084790846e-05,-0.0175697260105664,26.55779389605804,0.0086648140603581,0.121873535955103,0.1130703893459981,0.0198653799133564,-1.0932377049180328,7.0,0.6519476423277085,6.019269776876268,0.006358626536668,0.0987841945288754,0.0840197693574957,0.1403812824956674,0.1305841924398625,0.0930232558139536,0.1443478260869566,0.2653846153846153,0.302970297029703,0.3765690376569037,0.4622222222222223,0.321285140562249,0.1646017699115043,0.0858085808580859,0.0894039735099336,0.0362204724409449,0.0527999999999999,-0.0380116959064327,-0.0208333333333332,-0.0835654596100278,-0.0266272189349111,-0.0463768115942029,-0.0640113798008534,-0.0380116959064327,0.0378548895899053,-0.0251851851851852,0.2207792207792209,0.0362204724409449,-0.0758426966292135,0.28515625,0.28515625,0.323943661971831,0.2751937984496124,0.2727272727272727,0.2901960784313726,0.175,0.205128205128205,0.200729927007299,0.119047619047619,0.200729927007299,0.1344827586206898,0.0984974958263773,0.1564147627416519,0.3107569721115539,0.316,0.4398249452954048,0.5161290322580645,0.4366812227074235,0.4819819819819819,0.4988610478359909
BBTK-L^C11,0.1134510869565217,-0.1134510869565217,11.0,0.1364296081277213,0.0008037815224238,30.10178690796615,0.5175739250214405,1.0,1.8613333333333333,0.8411764705882353,9.501570712358436e-05,0.1253396739130146,2.9591586731100992e-08,0.2216981132075471,0.0016700622173466,-0.0694216895971822,-0.2328427255985267,-0.2464646464646464,0.6064997804128239,-2.256756756756757,7.0,1.8,2.311284046692607,0.2272727272727272,0.0,0.0,0.1200000000000001,0.1200000000000001,0.4000000000000001,0.0370370370370369,0.2727272727272729,-0.1249999999999998,0.7500000000000002,0.7500000000000002,0.2727272727272729,-0.2999999999999999,-0.2999999999999999,-0.2999999999999999,-0.2222222222222221,-0.176470588235294,-0.0344827586206895,-0.0344827586206895,0.0,-0.0344827586206895,0.0769230769230771,0.2727272727272729,0.2727272727272729,0.2173913043478261,0.2173913043478261,0.0769230769230771,0.0,-0.096774193548387,-0.176470588235294,-0.282051282051282,-0.282051282051282,-0.282051282051282,-0.263157894736842,-0.282051282051282,-0.8962962962962963,-0.2999999999999999,-0.2999999999999999,-0.3913043478260869,-0.3333333333333332,-0.3170731707317072,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3636363636363635,-0.3636363636363635,-0.3636363636363635
BBTU-L^C18,0.0679275981289404,-0.0679275981289404,11.0,0.422913458577148,8.259760912480807e-07,0.0309329781740292,-0.0110152798395992,1.0,0.532481250660188,0.6470749043193001,3.2901952182496164e-08,0.3101484645107941,1.550283295138523e-06,0.2840468124422544,3.1283541092145524,0.1601072151696918,0.0416389424071611,0.0309110227533977,-0.2368906455862979,-2.783333333333333,5.0,0.509031372134784,16.341315089319647,-0.0814229249011858,0.0104166666666667,-0.0103092783505154,-0.1152073732718894,-0.1312217194570135,-0.1390134529147982,-0.2319999999999999,-0.288888888888889,-0.3167259786476869,-0.2615384615384616,0.1294117647058823,-0.0303030303030302,-0.0769230769230769,-0.005181347150259,-0.0857142857142857,-0.2066115702479338,-0.222672064777328,-0.2380952380952381,-0.2967032967032967,-0.3663366336633663,-0.3191489361702128,-0.3263157894736842,-0.1272727272727274,-0.2066115702479338,-0.1794871794871795,-0.1504424778761061,-0.0769230769230769,-0.1864406779661016,-0.2992700729927008,-0.3962264150943396,-0.4251497005988024,-0.4352941176470588,-0.4319526627218935,-0.3766233766233766,-0.3379310344827586,-0.2727272727272728,-0.3018181818181819,-0.2781954887218045,-0.3043478260869565,-0.2699619771863117,-0.2066115702479338,-0.2258064516129032,-0.1966527196652721,-0.1759656652360515,-0.1351351351351352,-0.1615720524017467,-0.1759656652360515,-0.1688311688311689,-0.0588235294117647,-0.0303030303030302
BBXK-L,0.0483941315162356,-0.0483941315162356,12.0,0.0270225251774594,8.705057675244011e-07,0.0326006239072982,-0.0064828729648568,1.0,1.718651747734418,0.0043817440979546,4.59094942324756e-08,-0.0575091181471498,5.633084583002036e-06,-0.0041642108500116,6.041715358845143,-0.1156886886673433,0.0395182566677558,0.0711291853930543,-0.1012841775416784,-1.4797062234248164,6.0,1.499306454595894,3.618641822677499,-0.00346546692607,0.0103092783505154,-0.0348258706467661,-0.0805687203791468,-0.1181818181818182,-0.1882845188284519,-0.2567049808429118,-0.174468085106383,-0.2567049808429118,-0.2538461538461539,-0.3144876325088339,-0.3423728813559322,-0.2113821138211382,-0.3144876325088339,-0.3841269841269841,-0.5198019801980198,-0.4921465968586387,-0.4699453551912569,-0.5025641025641026,-0.5424528301886793,-0.5221674876847291,-0.5279805352798055,-0.4611111111111111,-0.529126213592233,-0.5325301204819277,-0.5679287305122495,-0.5679287305122495,-0.6414048059149723,-0.6233009708737864,-0.6479128856624319,-0.6466302367941712,-0.6631944444444444,-0.6711864406779662,-0.662020905923345,-0.662608695652174,-0.676126878130217,-0.692063492063492,-0.6819672131147541,-0.7015384615384616,-0.6766666666666667,-0.6734006734006734,-0.6181102362204725,-0.614314115308151,-0.6064908722109533,-0.5991735537190083,-0.6096579476861167,-0.6040816326530613,-0.6048879837067209,-0.6127744510978044,-0.6203522504892368
BCPS-L^C06,0.0373177478082855,-0.0373177478082855,11.0,-0.0135038648992642,1.0566907229209798e-05,0.3957328960868982,0.0092403777917037,1.0,1.1022825772898006,0.1642317908569831,1.2752234115284255e-06,-0.0167992373927488,3.1582826505157087e-06,0.0032905969639586,0.3379917627331217,-0.1857575301176881,0.2001378224861739,0.2016176210842064,0.2299143515278785,-0.5940298507462686,8.0,1.0242704420687665,8.208400214018193,0.0380432024629126,62.69594594594594,-0.9831722569641842,-0.9836301294104636,-0.983835736129314,-0.9839025451381336,0.1044776119402983,0.2649572649572651,-0.9836210712704736,0.15625,-0.0389610389610389,-0.159090909090909,-0.0632911392405063,-0.0451612903225806,-0.075,-0.1494252873563218,-0.1445086705202312,-0.1294117647058823,-0.103030303030303,-0.8362831858407079,-0.8348214285714286,0.0882352941176469,0.1746031746031746,-0.7915492957746479,0.1127819548872179,0.2436974789915966,0.2542372881355932,0.15625,-0.119047619047619,-0.0326797385620915,-0.0573248407643313,-0.0864197530864198,-0.0573248407643313,0.0571428571428571,-0.7885714285714286,-0.9802666666666666,0.2231404958677685,0.2982456140350877,0.2333333333333334,-0.7740458015267175,0.3214285714285714,0.3454545454545452,0.2542372881355932,0.2758620689655173,0.2982456140350877,0.2032520325203253,0.4509803921568627,-0.7491525423728813,-0.7491525423728813,0.1935483870967742
BCQE-L^A14,0.1653059932915638,-0.1653059932915638,12.0,-0.1560275411366553,1.721500260578653e-07,0.0064470546485916,-0.0071993309354581,1.0,0.926620004515692,-0.5203747072599532,-4.001143183766792e-08,-0.1293589013353308,6.844717614338886e-06,-0.2408682460030342,6.3776282997371005,-0.0593206501055287,-0.1656111920453584,-0.1513293665077805,0.0490491818137057,-5.487394957983193,5.0,0.6877398961390833,3.9779832672831352,-0.0403654132143615,0.0493827160493827,0.1020408163265307,-0.381679389312977,-0.3414634146341463,-0.352,-0.3135593220338982,-0.474025974025974,-0.3863636363636363,-0.4234875444839857,-0.4355400696864111,-0.5192878338278932,-0.4563758389261745,-0.4563758389261745,-0.4234875444839857,-0.5164179104477612,-0.509090909090909,-0.4671052631578947,-0.431578947368421,-0.4889589905362775,-0.4172661870503596,-0.3793103448275862,-0.2956521739130433,-0.3164556962025316,-0.2285714285714285,-0.3596837944664031,-0.1290322580645161,-0.2285714285714285,-0.8513761467889909,-0.8655601659751038,-0.8922155688622755,-0.8814923189465984,-0.8745158791634392,-0.8734375,-0.85,-0.8644351464435146,-0.856,-0.8630600169061707,-0.8749034749034749,-0.8516483516483516,-0.8516483516483516,-0.8414872798434443,-0.83125,-0.8235294117647058,-0.8389662027833003,-0.8329896907216494,-0.8431752178121975,-0.8502772643253235,-0.8276595744680851,-0.83125
