firms,age,agr,bm,bm_ia,cash,cashdebt,chatoia,chpmia,convind,egr,ep,herf,lev,lgr,ms,mve_ia,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,grltnoa,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ-L^I10,16.0,-0.1126112171305359,3.7241816316642514e-07,0.1164306559755809,0.0699696469314623,0.0988162853654652,1.2791157268762636,0.003185960604799,1.0,-0.2276462205512265,2.1762039644848425e-08,8.512770096778621e-10,6.779566149755382e-07,-0.030361642288833,5.0,0.0902900208511963,0.1734047945160472,-0.0235932482505288,0.0713731140752759,1.0518954531043556,-0.1112807230062656,-0.0178571428571429,0.1200000000000001,0.0769230769230771,0.1666666666666667,0.1666666666666667,0.2727272727272729,0.2173913043478261,0.1666666666666667,0.1200000000000001,0.1666666666666667,0.1666666666666667,-0.0508474576271185,-0.0344827586206895,0.0980392156862746,0.1200000000000001,0.2173913043478261,0.1914893617021278,0.0769230769230771,0.3658536585365854,0.3333333333333335,0.4736842105263159,0.6470588235294119,0.931034482758621,0.7500000000000002,0.931034482758621,0.806451612903226,0.4358974358974359,0.6470588235294119,1.1538461538461542,0.6470588235294119,0.696969696969697,0.5555555555555558,0.1914893617021278,0.1200000000000001,0.1200000000000001,0.0980392156862746,0.0,-0.2112676056338027,-0.263157894736842,0.0181818181818183,0.0566037735849056,-0.2222222222222221,-0.2222222222222221,-0.4509803921568627,-0.4509803921568627,-0.5130434782608695,-0.4563106796116504,-0.631578947368421,-0.6989247311827957
BAOH-L,23.0,0.3288185334381539,1.0066166790043644e-06,0.3147028041166308,0.1760232019422607,0.231502052557094,0.4136504790780746,-0.0968969504363611,1.0,0.1516126596675626,6.53754867345945e-08,3.964324657038894e-08,9.130929283026716e-07,0.6265718212544018,4.0,0.6880606711275042,0.0973544636321318,-0.0891277990068229,-0.0673525713081415,0.1082053260886743,0.0382354046631017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBIO-L^E18,16.0,0.1639139918977874,7.603429291440144e-07,0.2377092063768959,0.2302543507362784,0.3368794326241134,1.093020712883204,0.0889832524556431,1.0,0.5766738660907127,3.0049169186034e-07,4.404271690293002e-07,1.1691574492659674e-06,-0.0097044552271724,3.0,1.2673712762763574,0.0039232399926585,0.04499100179964,0.04499100179964,0.1165859978335778,-0.1255760368663492,0.069672131147541,0.0295358649789028,0.0990990990990989,0.1296296296296295,0.1401869158878503,0.0892857142857141,0.0701754385964912,-0.008130081300813,0.0796460176991151,0.0655021834061135,-0.0040816326530612,-0.0757575757575758,-0.0542635658914729,-0.0861423220973782,-0.0895522388059701,-0.1127272727272727,0.0,-0.0827067669172932,0.0517241379310344,0.1296296296296295,0.1563981042654028,0.2199999999999999,0.5249999999999999,0.4269005847953215,0.2577319587628865,0.2139303482587065,0.0295358649789028,0.1348837209302325,0.0209205020920502,-0.099630996309963,-0.0393700787401575,-0.2204472843450479,-0.2694610778443114,-0.2560975609756097,-0.2927536231884058,-0.1784511784511785,-0.1094890510948906,-0.0792452830188679,-0.1468531468531468,-0.1094890510948906,-0.0542635658914729,-0.1973684210526316,-0.6529160739687055,-0.6484149855907781,-0.6814621409921671,-0.6781002638522428,-0.6620498614958449,-0.6965174129353233,-0.7063778580024067
BBOU-L,16.0,-0.1300858183614249,1.650283311418058e-07,0.0515935009346184,0.1142980375242613,0.1569274041026138,0.7031210894173637,0.0976577681112254,1.0,-0.2547436415018167,6.222086591262016e-08,2.8682633898092995e-06,4.428319817502357e-07,-0.0753220085868956,3.0,14.766028431192693,-0.0504048416765208,-0.0581567796610169,-0.0581567796610169,0.4803036125562623,-0.0924561032786344,0.0205761316872428,-0.0188425302826379,-0.0068119891008173,-0.0095108695652174,0.0474137931034481,0.0657894736842106,0.0642335766423358,-0.0040983606557377,0.0210084033613446,-0.0357142857142857,0.0325779036827196,-0.03315649867374,0.0124999999999999,-0.0081632653061224,-0.0095108695652174,0.0444126074498567,0.1146788990825689,0.0784023668639053,0.1498422712933753,0.1319875776397514,0.1079027355623101,0.0673499267935577,0.111280487804878,0.1498422712933753,0.1319875776397514,0.08,0.1095890410958904,-0.0013698630136985,-0.0864661654135339,-0.0701530612244897,-0.0108548168249661,-0.1433607520564042,-0.1523255813953488,-0.194475138121547,-0.2058823529411764,-0.1620689655172412,-0.1403301886792453,-0.0713375796178343,-0.0214765100671141,0.0414285714285713,0.0414285714285713,0.0611353711790392,-0.0108548168249661,-0.0864661654135339,-0.0495436766623207,0.0055172413793103,0.0181564245810055,0.0181564245810055,0.1146788990825689
BBTK-L^C11,11.0,0.1364296081277213,0.0006082670980504,190.16509998394187,0.1020806241872561,0.1818181818181818,0.25889152408484,0.7181597320343363,1.0,0.8411764705882353,7.190377836379356e-05,1.2802379568499973e-08,0.0008084316702523,-0.108730583824317,3.0,0.0013585340224083,-0.4155844155844156,0.3563049853372434,0.2272727272727272,0.5287364703183317,0.1253396739130146,-0.075,0.0526315789473683,-0.111111111111111,0.0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,-0.111111111111111,0.142857142857143,0.142857142857143,-0.111111111111111,0.142857142857143,0.142857142857143,0.0,0.0,-0.111111111111111,0.142857142857143,0.142857142857143,0.0,0.0,0.0,-0.1999999999999999,-0.2727272727272727,-0.1999999999999999,-0.0476190476190475,0.0810810810810811,0.0810810810810811,0.0,0.5384615384615385,0.5384615384615385,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,0.0,0.0,0.6666666666666667,0.0,0.0,0.0526315789473683,0.142857142857143,0.3333333333333335
BBTU-L^C18,16.0,-0.0325240234263945,5.089423366830209e-07,0.159112782281966,0.0946811636791066,0.1724048185603807,3.188790021027417,0.0061725500654871,1.0,0.0439906698858288,5.202734454646121e-08,5.132510658165026e-06,5.0878274360159e-07,-0.0984162895927602,3.0,3.3085404038659734,0.396861894398857,0.474251013108602,0.3317731370024074,0.2653072246931506,-0.045739167292819,0.063973063973064,0.0457746478873239,0.1511627906976744,0.1379310344827586,0.0607142857142859,0.1423076923076922,0.1379310344827586,0.1,0.1040892193308551,0.1975806451612904,0.3026315789473686,0.296943231441048,0.3141592920353984,0.32,0.3813953488372095,0.5153061224489797,0.6318681318681318,0.5000000000000002,0.5000000000000002,0.6141304347826086,0.6408839779005526,0.9285714285714286,1.1521739130434785,0.9539473684210528,0.84472049689441,0.7784431137724552,0.6500000000000001,0.6971428571428573,0.879746835443038,0.5309278350515465,0.5631578947368423,0.3500000000000001,0.2073170731707319,0.1692913385826773,0.1927710843373493,0.3258928571428572,0.4142857142857143,0.4075829383886258,0.441747572815534,0.6685393258426968,0.6141304347826086,0.2375,0.2024291497975707,0.2073170731707319,0.2272727272727273,0.3378378378378377,0.441747572815534,0.291304347826087,0.2323651452282158
BBXK-L,16.0,0.0919815859200379,3.276518040287185e-05,10.24351609231218,0.1517048262230275,0.1838340817554742,1.3296845629525924,0.0046304519939588,1.0,-0.2202804107424961,7.638431951587573e-06,2.500523576195663e-06,6.808756896770014e-05,0.3243752185726199,3.0,0.0477233964971884,-0.0722857550672494,1.027769524092507,0.0277695240925073,0.5699741226104246,-0.0945601720819517,-0.0142857142857143,-0.7959183673469388,0.0,0.0,0.0,0.0,0.0,0.0,0.0144927536231884,-0.7463768115942029,0.0144927536231884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144927536231884,0.0144927536231884,0.0,0.0144927536231884,0.0144927536231884,-0.8153034300791557,-0.8209718670076727,-0.8181818181818182,-0.8186528497409327,-0.8128342245989305,-0.8060941828254847,-0.7965116279069767,-0.7619047619047619,-0.7254901960784313,-0.7426470588235294,-0.717741935483871,-0.7307692307692308,-0.7188755020080322,-0.7348484848484849,-0.7407407407407407,-0.7021276595744681,-0.6875
BCPS-L^C06,16.0,-0.2266599303321189,3.588675116893253e-06,1.12194258838124,0.0174672489082969,0.0361847473829008,0.9083778733140956,-0.0830023787497225,1.0,-0.2767315671879988,-9.910032896716477e-07,2.085619318170769e-07,7.470731551264208e-06,-0.2145116976105235,3.0,0.1667040954199153,0.3276842538734003,-0.5423988029580112,0.0464862505456132,1.3728596071423351,-0.2550907182485772,-0.029426882549473,-0.0025634452704434,-0.0023076923076923,0.0173878938423324,56.64444444444444,57.954545454545446,57.954545454545446,0.0370469083155649,0.0543286817504402,35.02777777777777,0.0333289071836409,49.20645161290322,49.20645161290322,0.0333289071836409,0.0615195744100394,26.595744680851062,0.0462489916644259,48.25316455696202,0.0437231759656651,0.0175209205020918,-0.0674655482324746,-0.0311254980079681,43.46857142857142,47.94339622641509,-0.004604758250192,0.0216620716817643,-0.0587808417997098,-0.077962085308057,-0.0982618771726535,-0.1029394812680115,-0.0513226868218945,-0.0402072027627036,0.0075090626618332,0.0019312475859403,0.0006429214350005,-0.0607121303560651,33.43362831858407,31.69747899159664,-0.0908878504672897,45.32142857142857,-0.0938518863530507,-0.1462424574876578,-0.1162843515784692,55.391304347826086,-0.0720248032435011,-0.0838238756769484,61.25599999999999,-0.1723037651563497,-0.1725677830940989
BCQE-L^A14,16.0,-0.2252906976744186,-4.850982513284306e-07,-0.1516583056383763,0.2799145299145299,-0.0463760434609778,1.3135203728564837,0.133532709417085,1.0,3.5533980582524274,-3.39258478540992e-07,5.493387953154467e-07,3.622204853202908e-06,-0.1342398022249691,3.0,0.6381218997047099,0.0064923738753167,-0.0231672591083087,-0.2245914707054603,1.3728596071423351,-0.2705432705431982,-0.15,0.25,0.0526315789473683,0.25,0.6666666666666667,0.4285714285714286,0.25,0.1111111111111111,0.25,0.0,0.0526315789473683,-0.0909090909090908,-0.2307692307692307,0.1111111111111111,-0.0476190476190475,-0.375,-0.2857142857142857,-0.4285714285714285,-0.2307692307692307,0.0,0.1111111111111111,0.4285714285714286,1.0,0.3333333333333335,-0.6153846153846154,-0.6226415094339622,-0.696969696969697,-0.6774193548387096,-0.6666666666666666,-0.7297297297297297,-0.7014925373134329,-0.7777777777777778,-0.8113207547169812,-0.8148148148148149,-0.8387096774193548,-0.8,-0.8275862068965517,-0.8319327731092436,-0.8058252427184466,-0.6875,-0.4871794871794871,-0.7727272727272727,-0.7752808988764045,-0.8529411764705882,-0.8639455782312925,-0.8648648648648649,-0.8529411764705882,-0.8742138364779874,-0.8907103825136612
BCYN-L,16.0,-0.0043288780643247,3.394903440459283e-07,0.1061362934572537,0.018202326187613,0.3069310728080435,0.5411479536748,0.0556024466726906,1.0,0.1691931041576131,7.588893507100537e-08,1.2667561787686502e-06,3.288880183802113e-07,-0.1282340601543645,4.0,12.743044136123007,0.0867409255285704,0.1463839420444338,0.1463839420444338,0.4104425117637139,-0.0521820609764871,0.0616559013505577,0.1108936725375082,0.1058441558441558,0.1793628808864267,0.121132323897301,0.2242990654205607,0.2078014184397163,0.2921092564491654,0.2950570342205323,0.3767178658043655,0.2568265682656827,0.1600817438692099,0.1959269662921348,0.1036941023979263,0.1785467128027682,0.1712517193947731,0.3201550387596898,0.2199140401146131,0.3160741885625968,0.5004405286343614,0.3902040816326531,0.4359190556492414,0.3959016393442625,0.3120184899845917,0.4543125533731853,0.3733870967741937,0.2862537764350454,0.4860383944153577,0.640655105973025,0.5004405286343614,0.6454106280193239,0.4004934210526316,0.3079877112135178,-0.6618347895154885,-0.6871210729377182,-0.7017513134851139,-0.6990102509720749,-0.6752479023646072,-0.6764202926087783,-0.6198660714285713,-0.5944272445820433,-0.6490830414176798,-0.6391949152542373,-0.6710450067606721,-0.6883235724743777,-0.7004397537379068,-0.6401098901098901,-0.6661438933542443,-0.6480677825997107
