firms,age,agr,bm,bm_ia,cashdebt,chpmia,convind,depr,egr,ep,grltnoa,herf,invest,lev,lgr,mve_ia,pchdepr,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BABJ-L^I00,9.0,-0.1055900621118012,5.138047138047138e-05,4.7155982836197206,0.161536093581653,0.009390848143868,1.0,0.1578563616478308,0.0205992509363295,8.303030303030303e-06,-0.0523185011709543,1.0120424424824835e-06,-0.055678793256433,8.026262626262627e-05,-0.1528182528964389,0.0224115525491311,0.3111917302184321,0.0108982153007041,-0.077291012355039,-0.0403660728877267,1.215483471240242,-0.1391304347826086,0.2499999999999997,-0.892018779342723,0.1616161616161615,-0.8847695390781564,-0.8878048780487805,0.3372093023255813,-0.8904761904761905,-0.889423076923077,0.3372093023255813,-0.8885658914728682,-0.8868110236220472,-0.8855721393034826,-0.8882410106899903,0.2105263157894736,-0.8955495004541326,-0.8898467432950191,0.4374999999999998,0.4743589743589742,0.4197530864197529,-0.8836032388663968,-0.8875855327468231,0.4743589743589742,0.3855421686746987,0.3529411764705881,0.4374999999999998,-0.8826530612244898,0.4374999999999998,0.4556962025316453,0.3529411764705881,-0.8822927328556807,-0.8794549266247379,-0.8804573804573804,-0.8740416210295728,-0.8766094420600858,-0.8681192660550459,-0.868421052631579,-0.863744075829384,-0.8592411260709915,-0.8588957055214724,-0.8594132029339854,-0.8662790697674418,-0.8632580261593341,-0.8726467331118494,-0.8664343786295006,-0.8648648648648649,-0.8668981481481481,-0.8627684964200477,-0.8594132029339854
BACQ-L^J02,7.0,-0.038750655556203,1.0305202327502764e-06,0.0945791136248625,0.2335152192492275,0.0195934553302208,1.0,0.0809958223207434,0.0179411442949348,9.147874392818145e-08,-0.0610274237157165,5.847862736061069e-07,0.066196608589243,7.963966677815408e-07,-0.1033665835411471,1.3627159651055578,0.1136925569102225,0.0274655057653525,-0.2496387463251781,0.1120633813343963,0.7655098213895153,0.0301724137931036,-0.0682730923694781,0.0593607305936072,2.4117647058823524,2.135135135135135,2.625,2.5151515151515147,2.7419354838709675,2.653543307086614,2.932203389830508,2.5151515151515147,2.0326797385620914,2.072847682119205,1.936708860759493,2.135135135135135,1.9554140127388533,2.072847682119205,2.135135135135135,2.2,2.0326797385620914,2.0933333333333333,1.9935483870967736,2.0933333333333333,2.0129870129870127,2.2222222222222223,2.4626865671641784,2.569230769230769,2.4626865671641784,2.653543307086614,3.64,3.218181818181818,3.461538461538461,3.73469387755102,4.458823529411765,4.155555555555555,5.025974025974025,4.948717948717948,5.823529411764705,5.628571428571428,5.823529411764705,5.72463768115942,6.138461538461538,7.0,6.249999999999999,7.285714285714285,7.140350877192983,7.140350877192983,7.436363636363636,7.285714285714285
BALZ-L^I10,10.0,0.0219924914304369,4.965761001127773e-07,0.0455747746656213,0.2327529002585635,0.0141215351736222,1.0,0.2932646212847555,0.0675062019089265,7.554700697897089e-08,-0.0113125702999283,1.5760996004726754e-09,-0.0196855106371401,4.218799137949289e-07,-0.0254817358303024,0.1543215989372945,-0.0319136558585792,-0.0239793655479703,-0.0413290896241814,-0.0803568593834333,0.4791216056735113,-0.0232558139534884,0.1025641025641024,0.0238095238095237,0.1025641025641024,0.0749999999999999,0.0749999999999999,0.1944444444444444,0.1944444444444444,0.1944444444444444,0.4333333333333333,0.4333333333333333,0.34375,0.2647058823529411,0.048780487804878,-0.3484848484848485,0.131578947368421,0.1944444444444444,0.303030303030303,0.2647058823529411,0.1944444444444444,0.34375,0.4827586206896552,0.4827586206896552,0.5357142857142856,0.3870967741935482,0.5925925925925926,0.6538461538461537,0.8695652173913042,0.8695652173913042,0.7916666666666667,0.72,0.6538461538461537,0.7916666666666667,1.15,1.15,1.15,1.15,1.0476190476190474,0.9545454545454546,0.8695652173913042,0.8695652173913042,0.6538461538461537,0.5925925925925926,0.4827586206896552,0.4333333333333333,0.34375,0.2647058823529411,0.2285714285714286,0.303030303030303
BAMD-L^J98,9.0,0.2759953027639453,3.739801318432216e-07,0.0343231585940267,0.0986578295405205,0.0118002092047033,1.0,0.070531720444922,0.0885401189833655,4.8384878865914946e-08,0.010325235692532,8.010744355334291e-09,0.0991182176650628,7.610591627705411e-07,0.3986491402053094,0.7243594887334114,-0.0504828825837672,-0.6329725441464642,0.0308760953709526,0.1509468879156127,0.8227134118263232,0.1848739495798319,-0.081081081081081,-0.1185185185185185,-0.1438848920863309,0.0303030303030302,-0.0555555555555555,-0.0555555555555555,-0.2066666666666666,-0.1313868613138686,-0.2171052631578948,-0.2272727272727273,-0.2119205298013246,-0.1764705882352941,-0.2515723270440252,-0.1530249110320285,0.017094017094017,-0.0403225806451613,-0.0403225806451613,-0.0403225806451613,0.0624999999999997,0.0769230769230768,0.1279620853080569,0.0818181818181817,0.1121495327102801,0.1173708920187792,0.1899999999999999,0.1442307692307691,0.1279620853080569,0.1724137931034484,0.1553398058252426,0.1666666666666665,0.1609756097560977,0.1782178217821781,0.4691358024691356,0.4337349397590362,0.5159235668789808,0.6413793103448275,0.6081081081081081,0.4691358024691356,0.3446327683615817,0.4424242424242424,0.5063291139240504,0.4166666666666667,0.3076923076923075,0.3446327683615817,0.4512195121951219,0.5454545454545454,0.1724137931034484,0.1069767441860465
BBIO-L^E18,9.0,-0.0167079702614118,9.004440456918468e-08,0.0082640977832171,0.2022552849583021,-0.1209208361612419,1.0,0.1057007125890736,-0.236072807501379,4.485966725829416e-08,0.0235801523640559,9.429448988937996e-07,0.105364137820769,3.044281042564673e-07,0.0787306341070091,9.28535523835556,-0.1495289040013775,-0.155822604587185,-0.0135746606334841,-0.0135746606334841,0.730287414272938,0.089655172413793,0.0857726344452007,0.2967479674796747,0.2790697674418603,0.2354763749031758,0.1938622754491017,0.1466570812365204,0.320364238410596,0.5161596958174905,0.5637254901960784,0.4990601503759397,0.6719077568134173,0.6111111111111109,0.6860465116279066,0.6094853683148334,0.5934065934065933,0.4408310749774162,0.3893728222996515,0.3881636205395995,0.5161596958174905,0.5854870775347911,0.6143724696356274,0.6225839267548321,0.6275510204081631,0.6494312306101344,0.8853427895981085,0.9056152927120672,1.0474967907573811,0.9715698393077874,0.9789081885856076,0.9286577992744862,1.0344387755102042,1.209141274238227,1.465224111282844,1.5277337559429478,1.4576271186440677,1.5560897435897432,1.7884615384615383,1.9,1.7125850340136055,1.547923322683706,1.640728476821192,1.6019575856443715,1.539808917197452,1.5643086816720255,1.8635547576301608,1.7218430034129688,1.5643086816720255,1.9646840148698883
BBOU-L,8.0,-0.0521654737352905,1.4921983525556232e-06,0.1369510205156649,0.2277388019427954,0.0279204629675887,1.0,0.0908571428571428,-0.0312645823611759,2.461839767583338e-07,-0.018684603886395,2.626690510339602e-06,-0.0093412592502729,1.2815942498105376e-06,-0.0728029121164846,4.199293968042366,0.1117722007722007,0.373706969607158,0.3568559954102123,0.3568559954102123,0.6145969569329727,-0.0368217054263566,-0.0019342359767891,0.0117647058823531,-0.0785714285714285,-0.0549450549450548,-0.0583941605839416,-0.1224489795918366,-0.0583941605839416,-0.1103448275862069,-0.1385642737896494,-0.0931458699472759,0.0278884462151396,0.032,0.1291028446389497,0.1889400921658988,0.1266375545851528,0.162162162162162,0.1753986332574033,0.1168831168831168,0.0794979079497908,0.1144708423326135,0.0909090909090908,0.1144708423326135,0.0683229813664596,0.1096774193548386,0.1241830065359477,0.1241830065359477,0.0886075949367088,0.1217391304347828,0.0197628458498024,-0.0038610038610037,0.036144578313253,0.0403225806451612,0.0683229813664596,0.0772442588726514,0.1025641025641026,0.134065934065934,0.2256532066508314,0.2256532066508314,0.1466666666666667,0.1415929203539825,0.1002132196162046,0.1390728476821192,0.0595482546201231,0.1569506726457399,0.1780821917808219,0.093220338983051,0.0750000000000001,0.1049250535331907
BBQS-L^G99,9.0,-0.0462548492987168,4.0955293831218233e-07,0.0375879605824399,0.1215626864986457,0.0072159973786021,1.0,0.1156758803483528,-0.0216284987277355,5.4246933868955236e-08,-0.0581029479150742,1.1239715414895706e-06,-0.0475678901820352,8.038132627286284e-07,-0.0582100196113388,1.9836261419849128,-0.0058222356646134,-0.0063231887698314,0.0375047657381329,-0.0358355925337322,0.868593667548354,-0.0109890109890109,0.0963855421686747,0.263888888888889,0.2297297297297298,0.1818181818181818,0.0705882352941176,0.0833333333333334,0.1234567901234566,0.1446540880503144,0.1097560975609757,0.0340909090909091,0.0,-0.0520833333333332,-0.0714285714285714,-0.021505376344086,-0.0899999999999999,0.0,0.0340909090909091,0.0055248618784531,-0.021505376344086,0.0055248618784531,0.04,0.0,0.0167597765363127,-0.0162162162162162,0.058139534883721,0.0224719101123596,0.0769230769230771,0.1741935483870968,0.0963855421686747,0.0282485875706215,-0.0520833333333332,-0.0761421319796954,0.0167597765363127,-0.0108695652173913,-0.0162162162162162,-0.021505376344086,0.0167597765363127,0.04,0.0167597765363127,0.1234567901234566,0.0898203592814372,0.0520231213872832,0.0167597765363127,0.0705882352941176,0.1895424836601307,0.1304347826086955,0.0769230769230771,0.0769230769230771
BBTK-L^C11,9.0,0.1416139240506329,0.0005185368632004,47.590290170652175,0.1980542043085476,0.0247985172208377,1.0,0.1200607902735562,0.0098743267504488,2.2124239496551867e-05,0.014407092722568,6.120135235002474e-08,0.1922468354430379,0.0007420838664468,0.2697160883280757,0.0032742993036339,-0.1535209828612296,-0.1789052069425901,-0.1789052069425901,-0.0360480640854472,3.58959821773674,0.0,0.0263157894736842,0.0,-0.8555555555555556,-0.025,-0.025,-0.1521739130434782,-0.0714285714285714,-0.0487804878048779,-0.0714285714285714,-0.0714285714285714,-0.0714285714285714,-0.0714285714285714,-0.0714285714285714,-0.0714285714285714,-0.1136363636363636,-0.1136363636363636,-0.1136363636363636,-0.2199999999999999,-0.0930232558139534,-0.0487804878048779,-0.0487804878048779,-0.0487804878048779,-0.0487804878048779,-0.0487804878048779,0.0,0.0,-0.025,-0.025,-0.7450980392156863,-0.7650602409638554,-0.7784090909090909,-0.7771428571428571,-0.7732558139534884,-0.7650602409638554,-0.7758620689655172,-0.7607361963190183,-0.7467532467532467,-0.7328767123287672,-0.7346938775510203,-0.7346938775510203,-0.7346938775510203,-0.74,-0.738255033557047,-0.7417218543046358,-0.7132352941176471,-0.7310344827586206,-0.74,-0.6776859504132231
BBTU-L^C18,9.0,0.1005559506108991,4.1748296951916875e-07,0.0383157631997379,0.127089215590822,-0.0369020358346353,1.0,0.0233869283775318,-0.0284094196609384,3.7541643876485515e-08,0.0828165633126624,1.7098140363383556e-06,0.0565324196780658,4.281736363184328e-07,0.2671620925612539,6.070285970580142,-0.1654510686266151,-0.0138922145434006,-0.0439385948620132,-0.0021963081106521,0.5597674091884857,0.0059171597633136,0.0974025974025973,0.1655172413793104,0.2803030303030303,0.229090909090909,0.2706766917293233,0.2246376811594204,0.285171102661597,0.396694214876033,0.3629032258064515,0.4142259414225939,0.4506437768240343,0.5225225225225223,0.4759825327510916,0.4506437768240343,0.4632034632034632,0.6568627450980391,0.707070707070707,0.6095238095238094,0.625,0.7789473684210526,0.867403314917127,0.7604166666666667,0.7512953367875648,0.7883597883597884,0.8172043010752688,1.0,1.3150684931506849,1.3636363636363638,1.0736196319018405,1.0,1.036144578313253,0.9766081871345028,0.9766081871345028,0.867403314917127,0.898876404494382,0.9766081871345028,0.9204545454545454,1.011904761904762,0.9766081871345028,1.1528662420382163,1.2533333333333334,1.2236842105263157,1.0239520958083834,0.9651162790697674,1.1948051948051948,1.0736196319018405,0.8172043010752688,0.7422680412371134
BBVN-L^I99,10.0,-0.0498678996036988,1.2656048213517004e-07,0.011615471331731,0.144223693892568,0.0056734982287058,1.0,0.2065404475043029,-0.0444203683640302,2.4967714162720618e-08,-0.0413209144792546,1.3957933918730461e-08,-0.0260898282694847,2.8411536805854497e-07,-0.0557939914163089,1.051758314578415,0.1264264742041395,-0.0294089333846746,0.0057132126397269,0.0165094339622642,0.9528666706809304,0.0918918918918918,0.0335195530726257,0.1858974358974359,0.1349693251533743,0.2171052631578947,0.2171052631578947,0.1011904761904762,0.128048780487805,0.1011904761904762,0.0632183908045977,0.0632183908045977,0.0277777777777779,0.0451977401129943,0.1011904761904762,0.1077844311377247,0.1144578313253013,0.1144578313253013,0.1858974358974359,0.2012987012987013,0.1708860759493671,0.2171052631578947,0.2171052631578947,0.2171052631578947,0.267123287671233,0.48,0.6371681415929207,0.4919354838709677,0.4453125,0.4122137404580153,0.4122137404580153,0.4015151515151516,0.434108527131783,0.5163934426229508,0.6818181818181817,0.6517857142857142,0.6972477064220184,0.8500000000000001,0.9270833333333336,1.0108695652173911,1.0329670329670328,1.2289156626506026,1.151162790697675,1.151162790697675,0.947368421052632,1.151162790697675,1.0108695652173911,0.796116504854369,0.778846153846154,0.2758620689655173
