,K_mean,DBSCAN,Agglomerative,OPTICS,HDBSCAN,Meanshift,BIRCH,Bisecting,GMM,Cointegration,Reversal,FTSE 100,metric
03/1990-12/1991,0.9288439512148037,0.9154149876660287,0.9331584102359717,0.8838899684361677,0.9778055326474445,0.90664135035954,0.9364192967144788,0.7299815720660984,1.3555647111314064,0.9168168345331186,0.8222915275970721,0.9879113830436117,Profit_factor
01/1992-12/1994(Black_Wednesday),1.9910790945768821,1.225226001402623,1.6491132858680912,1.2261496480445337,1.5514992648517614,1.1614021302094466,1.4087336122557033,2.181549784324282,1.046500904268101,1.568640749679298,1.178896922200131,1.4730806895023763,Profit_factor
01/1995-12/2001(Dotcom_Bubble),2.6431994891142034,2.4970505500463416,3.1071587365674733,2.4902893814965235,3.017214445007143,2.199832165283837,2.481323840539693,2.2637282299212176,1.9640182804957396,2.418295376630725,2.2932252973709795,1.47499061590264,Profit_factor
01/2002-12/2006,3.028508938509721,3.5386385646715577,4.357220365038876,3.5455132038530937,2.07779900927005,3.054368870082729,2.4877771576410814,2.603595368029587,1.50423302677534,2.318050755648528,2.44909133270921,1.2919979741144405,Profit_factor
01/2007-12/2009(GFC),3.766208870682977,3.4595433238476385,5.723535687411292,3.3986382247237623,2.704692763345685,3.634809299707398,4.789219558612833,3.8030399774492114,3.9007342088284287,4.879889415082746,2.9844472151846095,0.8560285795459981,Profit_factor
01/2010-12/2013(eurozone_crisis),7.236259133879077,8.279078666572245,9.463990069106147,8.279078666572245,4.089948093241621,6.279652322557604,6.918344502365318,10.378444831727938,4.665948558128956,3.260452154639068,5.008081066128836,1.422948236063248,Profit_factor
01/2014-12/2015,11.415896212750154,5.158210875529617,4.171861404312298,5.158210875529617,4.014599091897257,6.224813871162758,13.881467583308797,8.595854013930385,3.546383448460969,21.306773646318547,2.632822087886999,0.9935933679626563,Profit_factor
01/2016-12/2019(Brexit),15.706407780543412,15.334447139286185,6.632276314282783,15.34052237050308,12.362892172581248,15.882107877293528,20.79899904835168,17.2621060031712,3.4935057726214147,5.859691250519831,11.026199943443496,1.3040961596333949,Profit_factor
01/2020-12/2022(Covid-19),6.20800968755915,8.816389185821636,7.054718147878165,8.739239609297394,9.395038780252497,17.879911052151105,8.92249364617022,6.739560478271591,9.140870165587291,74.46735541412193,9.471700995967863,1.0393575252338167,Profit_factor
Overall,3.8107626746729935,3.587284757558705,4.084347940979452,3.561245119020084,3.225715338646659,3.433334457081018,3.7226988210623633,3.740593880359365,2.550463395595437,3.3684821313331605,2.843278054763157,1.219795845864946,Profit_factor
03/1990-12/1991,-0.0988727035460209,-0.11079551789876982,-0.08581767654101473,-0.15690635769833827,-0.029397435406711223,-0.12197708362356138,-0.08564134231949581,-0.3990477177970875,0.4178635848516827,-0.11098805243468045,-0.2570066355069465,-0.014315428848311726,Sharpe
01/1992-12/1994(Black_Wednesday),0.8166072045700223,0.2528817658791646,0.6607025634333541,0.25385632571043526,0.5631039844353494,0.18726760491956204,0.46085460926210403,0.9547665223431355,0.05858078833304857,0.5097214737114585,0.20432034047738729,0.5200416451891805,Sharpe
01/1995-12/2001(Dotcom_Bubble),1.2360849976015493,1.210262344197901,1.4969812026686828,1.2070231138478453,1.4256545855505178,1.0245497094703273,1.1860693572721621,1.039952796034807,0.8188012906497214,0.9307638789210232,1.0384729631147254,0.49291915180861606,Sharpe
01/2002-12/2006,1.5317776006781714,1.817493004367157,1.9331132810932201,1.8191034309930738,0.9734395249512208,1.5771438631085806,1.2850544031783737,1.3431264463371775,0.521997973674422,1.0308145856427156,1.2240138130548215,0.3148249119088223,Sharpe
01/2007-12/2009(GFC),1.707855136394501,1.6760466566291727,2.091444561250318,1.6453785589421606,1.2725377666946396,1.756419433301093,2.047301806283896,1.730277227457642,1.7686123297944887,2.0565420338639715,1.4417886792443,-0.18725458228133302,Sharpe
01/2010-12/2013(eurozone_crisis),1.4167369675885542,1.5218336492758795,1.935231264763732,1.5218336492758795,1.4546413264641356,2.441405530262024,2.2576165268253487,1.1449580780735042,2.2015669240976297,1.4411468300208599,2.2814254276277643,0.4419135153577931,Sharpe
01/2014-12/2015,3.541034189573016,2.3816230243441447,2.1373170307079885,2.3816230243441447,1.9078627547068774,2.584413247345724,3.467252894621298,2.979073628738107,1.7706282370156694,4.00075060154033,1.3225337333407137,-0.008031419792753196,Sharpe
01/2016-12/2019(Brexit),3.6133392322980655,3.524938303949166,2.4125945768316575,3.5275975692172734,3.4203462680816332,3.796251211206794,4.225823003690877,3.895526059439017,1.705275562866795,2.55500575104717,3.38197028888415,0.3551869538702805,Sharpe
01/2020-12/2022(Covid-19),2.3545666857092122,2.70370618801134,2.309344126661693,2.698422737289632,2.6994162301252915,3.2344581865241815,2.715368420158137,2.3323715323034713,2.3476189392227704,2.743739997588452,2.7459366974109605,0.04096835020873366,Sharpe
Overall,1.5711959914468048,1.5281453303944934,1.6831915145895802,1.5214954298102326,1.4186354203438942,1.651900663679929,1.741462279622952,1.3158530919995657,1.2044797477751297,1.3872380309049155,1.3740237228656718,0.24263190308673008,Sharpe
03/1990-12/1991,-0.2376253911199413,-0.19210086507190002,-0.14843187956440487,-0.28646989958295194,-0.051239511559162,-0.2329016326160993,-0.18813130116704813,-0.7546452194357175,0.587995804724687,-0.18971793778462925,-0.4680736244660562,-0.02677923618168947,Sortino
01/1992-12/1994(Black_Wednesday),1.2544435352400738,0.3845255882774712,0.9163281525869563,0.386118343885964,1.2743200600176507,0.25505925535807206,0.7085605432482471,1.834517115726373,0.09529457094801358,0.6600627386670196,0.24811466586850017,0.9762108700642711,Sortino
01/1995-12/2001(Dotcom_Bubble),2.496451744416033,2.396020304033275,2.6480281334301923,2.387410396286328,2.367200337967165,1.7379074812242676,2.4078006715435967,2.1227457097442683,0.8839667964292113,1.0110811864461686,2.0247945381145014,0.6192979093412859,Sortino
