,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
Number of clusters,3,3,3,3,3,3,3,3,3
Number of stock in clusters,68.98%,68.94%,69.34%,69.62%,69.46%,69.57%,69.70%,70.02%,70.05%
Number of outliers,31.02%,31.06%,30.66%,30.38%,30.54%,30.43%,30.30%,29.98%,29.95%
Number of stock traded,11.56%,11.60%,11.66%,11.71%,11.69%,11.71%,11.74%,11.79%,11.79%
