Momentum Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
NTOG-L,-0.2735042735042735,1.5693361039718952,-2.721088169969832,-3.5272198141331796,1.4546163612603318,-2.0291845269647437,0.2431681302854236,-2.019691755591068,1.581827654844761,0.950023941693596,-0.9266649417700447,-1.600206498947325,-1.3417930349098623,-0.3508244974144226,0.5726038801896826,0.2127108919572678,0.26781664452523984,0.9839210740602546,0.04649928937206574,0.6972760581609934,0.0345211405024936,-0.4285723474480367,0.39299822093140235,-0.5430374825352153
SWGS-L,-0.1739130434782612,-5.810524945202035,-0.8188521920303573,-1.3778550822489273,-0.5337694265580571,-0.7500904852591969,1.4529947178284726,0.2607179673595097,-0.3746983118267077,-0.4555821911937501,0.8710365199856092,0.3322175906142207,-0.28639563658192063,-0.15970766404625092,-0.3111154733768336,0.4679358223158517,0.06142376336015646,-0.05850840091905933,0.3579594747381557,-0.15169849681733663,0.09480438118770819,-0.1276671551337807,-0.1470789317805345,0.027959289374594864
ANEA-L,0.0433884297520661,2.228202692096422,0.5297970392697448,0.021331207383091206,0.005206031971682302,0.5965596996745713,0.42374754991110497,-0.488606157621853,-0.5902865866951387,0.016184184093997227,-0.08839654823727015,0.10296509085135137,0.1896063053764659,-0.4320755576769445,0.2420728455037335,-0.08045269094956024,0.03090031472759699,0.2581533452021615,0.11565620633467197,0.165741269604015,0.03532211480986568,-0.16512460749649616,-0.005845250685578271,-0.22421354486730344
CPI-L,0.10250569476082,-1.8756931930388878,-0.8380558472765969,0.04880895751546815,0.22324393136042653,0.1817289082716292,-0.4019926037602864,0.7867529684037609,-0.17584361124060313,0.10497953528167861,-0.4803854186571784,0.4015963208634618,-0.24379291544320766,0.1938183267790075,0.010604083087888067,0.371527017126319,0.14018324206746843,0.02949462394473268,-0.01867168101886874,-0.09629046919891535,0.3906268712025557,0.04845783610806253,0.08665771237729937,0.015370144950236437
KWG-L,0.2857142857142858,-8.98740017913116,4.868557462589453,1.5314373850460892,0.13921967571216784,1.1953168116249309,-0.5105195370699899,-0.16343241799661,-1.2712287228306294,0.8254360679332466,-0.6749842482859136,0.2525440571854501,-0.20774095398375758,-0.27605157133728975,-0.04907690077176633,-0.2076752531966333,0.0038097246386543738,-0.08905133475376183,0.11858142954253933,0.2518671034999504,0.14725569842292063,0.24286431540459708,0.04291983912528419,0.07798182224796689
BKIRx-L,0.0491329479768785,2.2148297296610164,-6.668061761062547,-0.6421183283724486,-4.644653093695212,3.4260200912509085,2.990252488666483,2.7146994601940455,0.0885384839035807,0.4769970291968511,1.3149983187382703,-1.0959198587539136,0.6255373844233066,-0.38356985406794475,-0.8321190263692849,-0.5012134217673989,3.010636435515724,1.5333945076623896,-1.0400390664655546,-0.061460777849757287,0.5416831098092219,0.46415177954191733,-0.5298403901178507,0.6018804329120158
LLOY-L,-0.0249325075432744,-4.3569055028153585,-0.7390324821098465,-1.9792560334907094,1.0381731983810871,0.28446561094067024,1.009485040170435,1.221117126680936,1.3380177868081995,0.135633039659976,-0.734491494127517,0.5043445045220339,-0.09525627624306669,0.08738523649678259,-0.39419583031898775,-0.23814572130001685,0.11952594454200198,0.09342244126485165,-0.15778976332464614,-0.45915317338076167,0.23707570789992652,0.13595305146001685,-0.14102254919588594,-0.13414693247754933
HSX-L,0.0462264150943394,0.9608433894201753,-1.636809859463388,-0.5103060741525273,0.5215627755347291,-0.13052272047301,-0.6707233380823175,0.38375192345662085,-0.37948764636077037,-0.5273843264625679,-0.23983654080460065,-0.1391109249390063,0.019041341289002017,0.3822024607445105,0.23371808336653227,-0.04107040624451677,0.09059825698708979,-0.4039436809064619,0.009992428743298228,-0.060136510018352164,-0.05509397423267303,-0.011323626510397597,0.1674336874527087,0.10009108488362076
LIO-L,0.0324324324324323,-0.7440672293330383,-2.6737439281271436,0.7467266908768077,-1.0976789204097752,1.7260084864637075,1.1788800082808006,-0.5386215720850731,0.29839167635502684,0.30083480494574605,-0.19207814728869632,0.3548840368435248,-0.0311867163290285,0.09243126020264596,-0.2436166605680228,0.21130354723941006,-0.20800873663251399,-0.3552128258754913,0.6116030759887524,0.4424454398135464,0.0029114895300053002,-0.5166347449730513,-0.7098965578025431,0.04458322503944841
OXB-L,-0.1099999999999999,-7.359572717691772,2.550047967545829,0.6431042050494664,-0.7134614898265088,-0.5931490627231719,0.6750701070473148,-1.406194485685579,-0.5998795351407528,-0.3912622098428426,-0.2525331316745418,0.7242824826965567,-0.2819646517423016,0.05342600754871459,-0.46355293643017687,-0.8699297370317423,-0.19375317341898132,0.10811700811654328,0.2686782094762023,0.16366871195397836,0.1839934010243037,0.30574428644496376,0.0842621689720146,-0.1836181648191093
