Momentum Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
SWGS-L,-0.6515151515151516,-2.3835129235321086,2.073968161831163,0.6901098037516611,-1.4088002858820503,-3.136534249578073,-0.1792959639012112,-0.07445741780532016,-0.33184535483825106,0.372596341728004,-0.22864321054216813,0.8107037156223607,-0.9337839033168234,-0.3797284759490149,0.24066102058505828,-0.31045239697822374,-0.3915837367568862,-0.669045323067598
ANEA-L,0.3043478260869565,1.9253156899618615,-1.7839682499988525,-0.5076453205281114,-1.9019501781448311,1.4960927534631725,-0.1344242456349157,0.45344633824393704,-0.34580852667328593,-0.2472817682536995,-0.2530351716669503,0.0262471401678968,-0.11367038879754193,0.12258251449422967,-0.02892134048014395,0.10946143358355585,0.2997185568210721,0.047181764754509
CPI-L,0.1030209140201396,-1.9242850721510552,-1.7943420388269347,-0.15837550136542256,-0.35107803580450586,0.28719179422203217,-1.0007897198935833,0.21796802668140608,0.1519075189288003,-0.09145754838150444,-0.07093292677288447,-0.0024313451964985246,0.07921450614052197,-0.06215444191737543,-0.20383767872293715,0.06854919977325824,-0.15585176981081655,0.07775379195192228
KWG-L,0.0769230769230768,-2.782764249451406,3.0503059747510766,3.0428497087333586,-1.850902403511702,-0.28949719304785243,-1.026311973362231,-0.021968260934503377,0.22890362730420288,-0.5961255989177228,-0.23533016004054666,0.8338594365151935,-0.02691316894616152,0.26523146422100785,0.024633855157543984,0.15527118644485666,-0.18613402364780404,-0.4698947818378059
BKIRx-L,0.0,-4.687812740538889,-0.5099590463949761,1.8610299321062675,-0.3473990952604746,-0.25814219688736717,-1.7412069422370786,0.8011442341763387,0.19531652374434136,-0.36999139984289775,-0.17498473176645746,0.1370335919249859,-0.22110130799183259,0.12265131027608932,-0.02789021956122651,0.14390701120641305,-0.07074489419931719,-0.055662665496640944
LLOY-L,0.0591725214676035,-3.731089041165092,1.7670114739548994,0.9311439011310351,-0.4485149772918727,-0.3424540608264434,-0.5459908515335271,0.45064306341654753,0.10588903287588489,-0.6092557499076532,0.09381707970015378,-0.20418049683534764,-0.09410075995766766,-0.22892860626831643,-0.26819588782759596,-0.17214078602965138,0.07558496009200652,0.14899211634922863
HSX-L,0.0993508326277166,0.5649815851360911,-2.3260750999960074,-0.9935164140220644,-0.14028959411254888,0.19030910797338046,-0.311761891436471,-0.5005442870353626,0.12654399639674438,0.08737063919073894,0.06288781294371314,-0.43345070589287854,0.4321487087037085,-0.06601280741554226,0.11205491576974752,-0.06667414029752919,-0.11247058385933613,-0.1378047336286733
LIO-L,-0.0469613259668508,-4.416482097074304,1.350214807284221,-0.09643062083047313,0.030420836878164936,-0.691325359184174,0.21268869209774754,0.2215544516904423,-0.03591334137938023,0.17845337678905454,0.032489054175482784,0.30300118589810165,0.0706409764702627,0.028142540503650823,-0.11688057862792638,0.10293973557148249,-0.05756464134151362,0.09784419121632046
OXB-L,-0.3227740097110133,-4.198012430912554,0.5627122622427212,0.8477578221072973,0.5171481255463808,-1.6792991652905351,-0.31495636137773164,0.5107291258112182,-0.4478832563913782,-0.0024976037902493886,-0.6093661546776603,0.059193169224231824,-0.3169046777559038,0.1066865639534778,0.11784281767438241,-0.022482308928466397,0.28076989410903436,-0.10268314340891778
COA-L,0.1384615384615384,-2.4077262958640224,0.23530889888732964,0.2348346855200903,-0.03291944240489015,0.18033552786587792,-0.14823959917319177,0.09583654377290549,0.32768187623840855,-0.08952844154340982,-0.05423777009848559,0.03769286513810931,-0.2420091711304782,0.1467183098738772,0.21128387253566094,0.00869659774868988,-0.06348857382838341,0.111138354405636
SOM-L,0.0,-4.9848208148698765,1.4556205708896708,0.5951142826099612,-0.14080125107568153,-0.5553476438650099,0.05398773004321366,-0.2697830827957219,-0.008423740805192245,-0.2837720681815038,-0.5724134239681021,0.26436408847399284,-0.016533411276857705,0.08029094973589283,-0.14554259477710246,-0.07270635062123176,0.3261291553461763,0.025286090479868236
BPM-L,-0.0358974358974358,-1.5059780473048598,0.22942880426186457,-0.1491953354434094,-0.19605522745679407,-0.5901833705047599,0.6109630152422998,-0.14153054257414752,0.11544122504951475,0.0009494538050896556,0.03886845921894939,-0.13744073012462033,0.054170792859461345,0.2733085897127918,-0.1665828666058421,0.13214591879462734,0.18217436948008808,0.06513860800342401
CYAN-L,0.1028571428571429,-5.507866203408213,1.0287988551837732,0.5620677548787203,1.0765356291407673,0.019094188797009654,0.08970053766792115,0.8131583683630048,-0.22730948161378114,-0.18796634745892715,-0.30855337952215084,-0.09321089346508976,-0.3422328670710603,0.06251389696785238,0.007767696059439782,-0.17455132353386763,-0.4513658057644049,0.19527999158115433
HVT-L,0.0,-4.076280439473513,1.124516355022316,0.3830599408487289,-0.33851373469293067,-0.4646175506466658,0.05431600262097525,0.0819157351181497,0.08261062343231233,-0.05877292051115263,-0.1513654829111714,0.16012052192018544,-0.1135465432865864,0.05037043860266196,-0.09896975258835909,0.07479825613427293,0.20732814926043047,-0.07406622057670417
JMG-L,0.0426579163248563,2.3076034791649738,-2.14867520684158,-0.8923545801057428,-0.9624855680671497,0.27732032025891995,0.1320795906853547,0.3443156426249426,-0.3370487407977409,0.0669992303218811,-0.0611047499714638,-0.10881358449796684,0.0812020420677021,-0.2366876655902593,0.07469707306332157,0.09914013912628256,-0.03499331884349742,0.10148717960871005
MUL-L,0.3753623188405797,25.751525977293355,2.7331170609640583,4.196759146261658,-2.9013636862809666,0.5919688969230174,0.7184389718338839,-0.8022290625266547,1.5411575517703722,0.827951668261529,0.5184481284621338,1.4949861472948893,-0.9212990663168662,-2.1932165734945466,1.3094353572390418,-1.0806179725654341,-0.634229414410627,-0.8073417204704811
CHLV-L,0.0,-2.440295033951709,1.007112877640045,0.0009455470506140063,-0.34594728298841654,-0.4812135624182073,-0.06021805640249141,-0.12026291155325422,0.12075449507701484,0.11545010019342052,-0.1981738546293803,-0.0007540139931196815,0.06961428000875441,-0.06522254108647554,-0.07507070711473915,0.06813920535986959,0.05075858665932487,-0.10128510096820836
SMDS-L,0.0701298701298702,2.4526086757429924,1.5833925885070035,0.6861000838286676,0.15033631027973884,-0.3107734107826683,0.46461493953805194,-0.24982424929507094,0.08281444922287609,0.5249881093402385,-0.09166457998582558,-0.18414812380144144,-0.06814880191715256,-0.44599939145584994,0.49111605269271047,-0.16228641253169024,0.1576027265850109,-0.0962751320391275
JD-L,0.1167929292929292,5.354563968984895,-3.8735211732356696,0.06125303266355232,0.38086001445621953,0.429788340342014,-0.0767511089285187,-0.3756238503125614,-0.49204063099098905,-0.13039637712023397,-0.39529997764296243,-0.20185093192171474,0.645962264249483,0.35177621399945747,-0.32306178485720893,0.2428730543900187,-0.14141541968034008,0.18285244524739763
CCC-L,0.0883644346871572,5.165245981695194,-2.6572569658499785,0.23112296232830282,2.059743040423846,0.07434223026731143,0.3150171033898702,-0.5779520477806371,-1.094016826835806,-0.008695618407357154,0.08341490861129587,-0.08697780896239472,0.04004463052030645,0.5452460928002049,1.1339972503149722,-0.16262627285132597,-0.02138062223695918,-0.19958465051371835
SRC-L,0.0,-0.8875425085600754,0.34888930436865695,-0.5784566686785818,0.08666164782580377,-0.5405940105460258,0.4443148497051488,0.17429688260566079,0.12246742714748068,-0.2514823520213913,0.8791698642906106,-0.16943958945840806,0.03104419050335632,0.5030587715724985,0.2969590823717894,-0.053650634236622974,-0.21636264253120374,-0.4885380184903077
CNKS-L,0.0738916256157635,-3.659579506760571,-0.023186590786862346,0.12837322046513094,0.26697946679552603,-0.023890281770353673,-0.07403867997791161,0.2510883732691627,-0.20021778357871467,0.0017015015532400794,-0.2579231758280795,-0.20330756632188723,0.12597272867536735,-0.127697778520661,-0.1047625604535965,-0.018577208109323076,-0.037374247113360674,0.08852552320178703
BWS_p-L,0.0071942446043165,-3.265103781562693,-0.8077869484440422,1.2301462618928198,-0.2534242061052187,-0.21304462867957946,-1.5646015927698913,0.7493309521198692,0.019140679482970553,-0.5277488514069335,-0.11113275434577533,0.031988736487492016,-0.25770670808558194,-0.06339658948109202,-0.043679755397959055,0.010711098937232882,-0.013371056587485166,-0.10936701426518713
MVCT-L,0.0,-1.5228187241468927,-0.02888724470430349,-1.0457379451637816,-0.723474314869914,-0.2775619120988513,-0.14041298152291792,-0.044187005884917745,0.5461394425850779,0.0641199996861541,-0.27366293148558785,0.05534507890171726,-0.11464401647890754,0.06597086503745966,0.21619335881329785,0.025112406196720605,0.05844846643480103,0.0054427536316885615
ACCS-L,0.0375,-5.12827653839138,2.2915701181526456,-1.4559131936753626,0.2637974457104853,-0.35702468903478335,0.8867024944530084,-0.012638950955076507,0.5963954670027679,0.2535917642318006,-0.46547774303633627,0.09401794921832038,-0.1657643711694736,0.26333423155709845,0.5018072598480295,0.22582804523748648,-0.290732642108825,0.41335360955351286
TERNT-L,-0.0462962962962962,-5.998517671079055,3.0591335732234874,-3.4547086769834645,1.7800876199902327,-0.7046659167639245,1.2932538671916847,1.3837594122494947,0.920724395332523,0.2910639083682207,-0.6325806178246411,0.5084521483446857,-0.6087503262892173,-0.10787962945182553,1.1717993182504687,-0.5050653226638165,-0.2877859042213994,-1.1244344386979293
NWB_pa-L,0.0098280098280099,-1.452520184775048,-0.19653588280201867,0.8328337234965303,-0.3598898285816559,-0.3528490071978626,-0.5430348888727188,0.33840989107582214,0.20458762083537163,-0.36453912347377343,0.12858173086906904,-0.024142401342215722,-0.05966252972561624,-0.010872937162657463,-0.17804921982640376,0.11179467700275096,0.03576277704566839,0.011096036143635461
HASE-L,0.1873239436619718,0.604164110491409,-1.8542211422945054,-0.9987221069233446,-0.4244228544267151,0.6347129427243732,0.04942961157176784,0.1848938432720826,0.4943221013858711,0.2747077156538983,0.20999267580127148,0.1781785940745545,-0.06381692302598513,-0.2535711450996177,-0.1432350496218228,0.21134079517650062,-0.11745150842757413,0.07746146620906098
BRK-L,0.0425311203319502,13.707441494180504,-8.485384058171702,-1.2917261694711177,-1.0235846706317244,0.7619334840744693,-0.3396913763607153,-0.4457985342026635,-0.016292715595587648,0.9494678753063346,-0.3340403841952743,-0.923094079784549,0.8807821428449926,-0.2020386440219236,0.09197001375214092,0.012616170437999346,-0.35777713499599495,-0.02289341328374142
ANTO-L,0.1917707567964732,6.587668386213878,-3.608835963986022,-1.4272997583554585,-1.2053733941410358,1.362963126559206,0.1910353102983561,0.8455514620650552,-1.0442540952487869,0.5814269176330082,-0.6869212843750091,-0.4295762295857483,0.2968494437265283,-0.9632784812048942,0.3831107829148145,-0.12716188723873595,-0.046551831952413164,0.21170775147214296
CEY-L,-0.0286817429674572,12.713228820818383,-9.44385631220226,-2.6322147603893784,-2.9266351059455213,1.757045034564073,1.057298463618732,1.459156122241471,-2.4647175710478653,1.3029594763298744,-1.823993241647935,-0.6229744064118876,0.5144935962699283,-1.3419552755296336,0.6168363388015752,0.4753822023154944,0.3492924340831843,0.00672345044272954
GRG-L,0.0769929593459004,-1.072855773301139,-1.0742883153153029,-0.1890696602974085,-0.14830021918354647,0.045500160719376466,-0.3403494372979075,-0.2169540176537542,-0.04566325660402106,0.15976599991287116,-0.0800521166003924,-0.1313216746827704,0.16071601123496154,-0.01260094878823929,-0.05775153900280842,0.019255874711534476,-0.043910802871414835,0.05683117758326684
DLAR-L,0.3147566718995291,-2.9523739859997673,-1.5081493166231479,-0.5885526864576228,-0.40227412233682636,1.1359027257155934,0.17243745315407413,-0.14529505953993482,0.2811102339441095,0.11941736168792312,-0.07031520437099016,0.05824718442068679,0.23507520574447757,0.06793395857641917,-0.09280971450680324,0.14566390238500576,0.0024923389050291464,-0.06880050382721874
FTF-L,0.0,-0.43346664523520156,-1.1117004314692234,-0.8652797901115827,-0.6838569345353878,-0.22781601015105554,-0.13075835572929254,-0.04834981804986576,0.27051625783544136,-0.07587798707639286,0.06983917742642233,0.003986696464185845,-0.005214547777235753,-0.024707737641647506,0.016724836868530983,-0.020278715808341587,0.00639545239939419,-0.12995270743316698
BLUS-L,0.1578947368421053,-5.114451397816719,0.5608913837465114,-0.08660816066792075,0.24799605438528668,0.1882897612237542,0.23340255193729476,0.005050394475778436,0.24092891524793555,0.17875754429610263,0.10832698092143715,0.2995254353292383,-0.014268821692368497,0.1968698452902862,0.06631158126041085,0.09017328963154526,-0.12288511024592398,-0.14729988189613694
CMX-L,-0.0294117647058823,3.308860262400512,-3.462600959847762,0.4014839300573882,1.5138428704800269,-0.6604734873127461,-0.3862852030588969,-0.8998977205077919,0.04906461409891193,-0.2789988785612626,1.2161086473055487,-0.05522858781455632,-0.11039980708577785,0.7817118072564649,0.17891249117754135,0.010497578148212481,0.02931773580822416,0.1280068243880949
GLEG-L,0.1395348837209302,-2.9327357197481967,1.525450676299476,0.8552924916742023,0.12599208924254382,-0.0384203517802809,0.6759831719841369,-0.3193405183390997,0.08593170391687886,0.4754359295778667,-0.005089086317875868,0.2450924298570928,-0.03864271099097454,0.020125142901531987,-0.0871401166355707,-0.11721751166182875,-0.0750514621169783,-0.1941069393349527
EDIN-L,0.067769354468183,-0.5307926021286399,-0.510078286951273,-0.3577142935463231,-0.2620647033083196,-0.07644158644513191,-0.3217702082309378,-0.15744685661150767,0.18683246937666773,0.00846692372093505,0.013312387974670553,-0.027399375711189555,0.048920689273757,-0.01571585264186136,0.058288805110097174,-0.07353318909780134,-0.012025701657604575,-0.07618219792441898
HBR-L,0.0734042553191489,5.025315442085369,-2.529012351426143,-1.8894918904763245,-1.2537199350871464,0.4816772772326967,0.6783196391451306,0.13412402956890215,-1.0982730897979183,-0.6981062041195095,0.3659556428548682,-0.17202979995358175,-0.21574648404706964,0.21262395378712348,-0.04344589824119891,0.06908642943909968,0.47810827725611377,0.061983029987060644
BIDS-L,-0.0571428571428571,-7.886075524312117,-0.997257971681736,1.2352210870653058,-0.06119936537155398,-0.4714534363015575,-0.7974252496193336,0.445164438553977,-0.4290522264936518,0.04170691359327343,0.009695710579129282,0.2516356408162609,0.16836199945613464,-0.13813478374247828,-0.8462609582884236,0.17033459154066108,-0.09566356828964731,0.028497007547166154
ALUG-L,0.0318725099601593,-1.5666915085390398,1.1881519098047733,-0.051467520379690296,-0.1952306843617156,-0.35008702304676936,-0.07271004016737524,0.2860091439633099,0.15707607183552144,-0.2540057595567117,-0.14169005462046086,0.020747369544632358,-0.09827913814886498,0.03467116534207328,-0.20993517071536671,-0.10822746323767735,0.035364893134374256,0.005689268120173958
CNN-L,0.0,-3.2619936705016124,0.6018779858298461,0.29269910936210974,-0.0769060865075712,-0.4316843053784306,0.06509951462113328,0.26453186658623984,0.2040573544424159,0.02044836718358064,-0.033340366993466555,0.23394932111470015,-0.21933821803160863,-0.05398687962067836,-0.007870474833849783,-0.08047514524097076,-0.05823688190264333,-0.11066417189988385
SNXS-L,-0.0140056022408963,-1.2219740263750911,0.5583621283053161,0.42540599983687755,0.7597543013531162,-0.7238417636726843,-0.2543878844589582,-0.3755132049771142,0.04377969877542768,-0.10523855022055818,-0.2621721300461295,-0.15183171582902458,0.19247429828421753,-0.2390212600918031,-0.20365035232885478,-0.12531983669695881,-0.07178881570317415,0.025513465608333927
IQE-L,-0.0486486486486485,15.127628683297576,-0.6406601405966823,1.2436928519131534,-1.2475981319930227,-0.23930007327950598,1.422086801114615,3.3580102099683873,-0.9652247689690125,-2.2168350689869456,1.4021136975220134,-1.0407077203866615,-0.10148032600328197,-0.8613018719159518,-0.12265499026626343,-0.6190828489104002,-0.40940391672641513,0.21231147320057217
BRBY-L,0.1065891472868216,6.041398648719358,-1.6082713579578551,0.8163691259882646,0.5248519911882173,0.09852732301473754,0.07202457393827172,-0.17728686906632396,-0.5973284751179263,-0.41049988692934086,0.18302622494437384,0.18450707203331665,-0.07302594378865408,-0.27833898209096697,-0.23695087505256468,-0.2948375053941065,-0.01127134878634017,0.2998654169818112
BEZG-L,0.0381882770870338,-1.9299169121787356,-0.40334094471514176,-0.16395191080215335,-0.2849985552412023,-0.1421625110934387,-0.5945387631868905,-0.09299501586764175,0.030298903594786902,-0.04447302761974499,-0.2561334683390515,-0.2433431322983272,0.11369807037843166,-0.14499144428624108,0.1887200008005156,0.031019444672494095,-0.07680157815852479,-0.1128070719366422
AFN-L,0.0703517587939697,5.2353520611891415,-3.7087590821141494,0.7721895981716281,0.6827078324879322,0.4896255603910827,0.5788338187224029,0.4735960826055372,-1.2840242082666076,0.2004544375211906,-0.3455425809677435,0.6528369569395529,-0.2822619069640483,0.3341987611798107,-0.26905899248134185,0.18203469125278304,0.13652290818392576,0.18181010743473436
BAG-L,-0.0652173913043477,3.8297120461722254,-3.6769115073855345,-0.8784254690541089,-0.6533249624478801,-0.32565760186548026,-0.5575156475019301,-0.3005646900156799,0.1410465724643784,0.009409022517382619,0.2677218185067154,-0.18669206229627644,-0.11390855926159812,0.10322826548014079,-0.24743916293245974,-0.07363863826538138,0.21180174311418404,-0.12156403407522365
ANP-L,0.0467836257309941,0.18957364765650353,-1.093555237547781,0.8957130596695976,0.9431535614083375,0.07897268508043585,-0.2735466688673443,0.3461234897275062,-1.151169174604016,0.28494930861621787,-0.6563469050165689,0.6901900015422623,-0.4476285496629265,0.18526204680516697,0.21250188615088333,0.16116646695494094,0.39916459239486324,0.03090035144765528
