Momentum Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NTOG-L,0.0526315789473683,-2.0981522410331683,0.4146243390464521,2.0906744767154186,-0.6449571508976525,0.05337972065138751,0.041490084069223436,0.3962341438049219,0.35750568677333755,-0.19951599478313628,-0.5998499550208353,-0.3039218172355739,0.3926164877941672,0.16188181432827917,0.453209029039695,0.1985918269035006,0.11975428642647257
SWGS-L,0.0864197530864199,2.4216996443279464,-3.513494747567575,-0.8304526344598324,0.9763172039529291,0.4888340236995208,-0.3330379863387498,-0.08576784999645463,-0.7797799020061841,-1.2445559592763107,-0.12888942341640028,0.3795798621275277,0.21509887147187912,0.09174385681503121,0.8267618123215106,-0.19220800111112585,-0.33480302308028864
ANEA-L,-0.0372670807453415,-1.571877767916268,-0.5654325702008356,0.5423381089761102,0.4392384398571917,-0.10601417172077991,0.0917001946533461,-0.14890430047390257,-0.1592270660822387,-0.08733323114291208,-0.04571431797288456,0.03851390397811054,-0.11661898293375499,-0.02137423679175945,0.2035662574968901,-0.030951764889888288,-0.15780356187982994
GWMO-L,-0.0412371134020618,-0.4206817903899427,-0.6836444110335511,0.4749190710793056,0.37548404075652825,0.08402273553008775,1.665339290673277,0.19134161083912674,-0.5921750468436646,0.20521626750735225,1.0510492879222548,0.06108239592973563,-0.0011415007493959268,-0.28814879388441755,-0.24534588121811018,0.013446881681334654,-0.10590409331620977
CPI-L,0.2703204830469112,-4.779435199229923,0.029676343158637694,-0.1407589518846468,0.6380137588219654,-0.1797494038074703,-0.3755831385800518,-0.034505453839251674,-0.011937314696751087,0.08678086173597081,0.21943458810591898,-0.04704986493693009,0.2277446087711836,0.212329735037246,-0.16424508920275424,0.31415980769633267,-0.027705438562360407
KWG-L,0.1379310344827586,-5.153970592811576,-1.2711461139839657,0.7862248239451541,0.14310861185112053,-0.06971533714976799,-0.23348963978805337,-0.10545284994791441,0.028093071651802623,0.12463629185009946,-0.2642236395866663,-0.0334590110356798,0.14741312427912873,0.001801616629703204,0.011594460248261778,0.05700232582816537,0.009593995314229196
INOV-L,-0.1490909090909091,-3.0560800075225196,-0.46174214519905715,0.5004186607456055,0.0788886279327442,0.03832297534543228,-0.5679410550839944,-0.13918223411246763,-0.012844581180822255,0.2319066725062445,-0.14993661372843733,-0.03813610125263969,-0.07192918254526186,0.21676608788398313,0.11810614097417199,-0.07653653861962066,-0.024911809198954728
BKIRx-L,0.0244498777506112,-0.5671454046458138,0.37288743186743845,0.02192641318748841,-0.13782754016075163,0.0023410318535365,0.11869159615383365,0.04069518769714208,-0.020086237582529014,0.10677698969027992,-0.0715800106205042,-0.002239661345402169,0.007533113067713125,-0.058013569518234005,-0.009734604133746065,-0.0028138382311148095,0.0032310966743565217
DXDX-L,-0.0289017341040462,-2.0222310756385244,2.8671887813486325,-0.6390160652488113,-0.5859612701209579,0.9398940852097671,-0.02367202188096917,0.2533078511598515,-0.094228133091504,-0.09942031202664361,0.07892911502313249,0.0987506452124733,-0.05231952426745656,0.27147576715443394,0.37250559655119214,0.032199005523549845,-0.009939290358750049
LLOY-L,-0.0767080202690895,-1.4576939272704108,0.4768169691484651,0.3183122511699107,0.1177609247118951,-0.013297846683085984,0.024385894206717846,0.06486217519614483,0.034529390520827,0.022894053842406194,-0.12182020247593928,-0.03777512370039954,-0.11231658792665308,0.03118789347201411,0.17081114054646696,0.01992826963310726,-0.006474792738414751
EDENE-L,-0.0999999999999999,-0.9882749188530696,1.236044207788402,0.18224633182931596,-0.12393944448238714,0.24854693818973214,-0.3388045586844982,-0.2998261748567203,-0.15835623427927562,-0.42348954236159686,0.35830427313899665,0.2269810895557527,-0.1337700414972748,-0.10195884562132865,0.11599496971722441,-0.10604557932736412,-0.0862349619372182
HSX-L,-0.0209545983701978,2.6957696880150857,0.7960687998221843,-0.11963903591562848,-0.4988088651633948,-0.11246459384759828,-0.02392315589718144,-0.13376472250602908,-0.059723573308840726,0.1336342119088525,0.049920936989308926,0.0038402911798623746,0.09931691514839891,-0.014922980877841503,-0.2433469821658551,-0.031160158964585856,-0.0004710049036009285
SEPL-L,0.0021551724137931,1.2924913169668937,0.3831724470936053,0.5620377885151376,-0.6275702790906573,-0.0860557283791009,-0.09427546216941325,0.43563964685458284,-0.1633850737591709,0.37731913119490057,0.23515903801927912,-0.12944729913709344,-0.05662191810316856,0.03802244691551937,0.1974582177363829,0.06805454604769484,-0.26913709765136584
APAX-L,0.0608108108108107,0.08226599172873589,0.49372328401256527,-0.349845880145727,0.08100870059081546,0.05686428070251625,-0.01621021416196771,-0.01817440148561847,-0.010409367557178738,0.023195725626907228,-0.14281849942585037,0.04657460882222465,-0.06496580454880026,-0.06105784394868131,0.042465183328702714,0.02865889065779347,0.007260983925550934
GWI-L,0.0564971751412428,1.8018908274543823,0.4377146144542958,0.3815865143740489,-0.11098401854418236,0.06569987065618435,0.11938874822071469,-0.05729142313415363,-0.05139406850265929,-0.10064948517454103,-0.17653880540467293,0.09769832681148344,0.05145817041810221,0.026123894127192283,-0.08466883416029958,0.07522594357676128,-0.060780931407164694
LIO-L,0.0788043478260869,5.843405814945635,0.6735960166732663,-0.21791295100189062,-0.09869591042255967,0.5551846725373584,0.1574234439173019,-0.06766523783422282,-0.32920947891384106,-0.08797473960806042,0.1581381747571174,0.3849273640093518,-0.1399610376337227,-0.09993323727231837,-0.10558512765313588,0.1706984871596888,-0.15845369663501285
OXB-L,0.0101010101010101,7.055432382218173,2.7525792317803397,3.6088855270128337,-0.45503341434935923,-0.4126366225815443,-0.016337614149356063,0.5688699207756659,-0.7752402303971263,0.9847821201922112,0.7252300350948322,0.020592247577485526,0.16692519699135971,0.08763317875910513,-0.003531673548650569,0.2924769665065995,-0.27943977724444324
COA-L,-0.0216584158415841,6.534247222875935,-1.3952446744500742,-0.2910035097276531,0.9871199786598759,0.01313766838330903,-0.04726569306815609,-0.25904649581958833,-0.31616970815193424,-0.2657991829599328,-0.21969967294060885,-0.1836067312751657,0.12771542487128285,-0.1062061612621433,0.4600799605816114,-0.01018813480345683,-0.09361788214658365
SOM-L,-0.0175438596491228,2.8889794700436378,-1.287428677665552,-0.025197633677642783,0.1256663973294078,-0.1458687103177109,-0.3395314883963186,0.22167355031634978,-0.19569778912967678,-0.38430987185524823,-0.22531113655295784,-0.047589066304776995,-0.0836209929091411,0.18013487146655469,0.08275744333301217,-0.11044887708595381,0.06272099522551587
BPM-L,-0.0434782608695651,3.098701035525488,0.27039036571055297,-0.49189091426981113,-0.5648625444869311,-0.05377253141979185,-0.04307889419582407,-0.19650613667064443,-0.12753023976620467,0.10728130660136166,0.014824264752397726,0.0821332827521333,0.05081520859539474,-0.0006947049303190993,-0.11649910750180278,-0.025748336371438748,0.023859310094915154
CYAN-L,-0.1391304347826086,-5.187358537023304,-1.1782254351319312,0.348285902541177,0.4730525279311601,-0.1691911466465566,-0.24255154348823735,-0.08570937080652635,0.01560848978632706,0.19102690091678567,-0.041086245046711725,-0.014758548623786281,0.20665512820741883,-0.06545568103719107,0.056540385829957136,-0.1863126781306449,-0.06970673085691179
PRTC-L,0.2345132743362832,2.5293814103583725,2.5281613344636087,-0.4069643430669909,-1.192094172347191,0.14242560232744184,0.2711657860935743,-0.07673417179201976,-0.11027118640504655,0.2819445608536755,-0.03757739742845811,-0.009807794725432502,0.03529402348520107,-0.3577600925068846,-0.2727811934730936,0.24019782054271172,-0.04755479643515554
SYNCS-L,0.1013215859030836,2.6644181608362283,0.5210349131183069,0.4768552992221995,-0.5888808342413951,-0.038424075868785976,-0.44510038936491536,-0.06582284801994118,-0.13222075026294974,0.2150760464784234,-0.023879590838238592,-0.048572586611980426,0.16964434734500747,0.10241530513713855,-0.1179768207923413,0.0680076104978501,-0.04161752046819732
AA4A-L,-0.0326086956521737,-1.3954627868535947,0.15232040385328524,0.13704258900449778,-0.18339186507342314,0.026734073336938995,-0.1695427084747714,-0.029764983937366478,-0.005305059990671201,0.07329430239699707,-0.05408848977669147,0.0031153085438625485,0.0128542866084379,-0.020704227701879952,0.019401127584750794,-0.0786880611511924,-0.004822830779416937
HVT-L,-0.0561797752808989,-0.8097823564259683,0.7398508398727277,0.15480593186176653,-0.4954008100160983,0.082558902404655,-0.1259987344275447,0.02548525045956693,0.027824749957336626,0.10928953035897168,0.11092490424361072,-0.007221212535933143,0.04946529567032843,0.002263048021805712,-0.02870260175029287,-0.04707855264912312,0.00589962379873672
KEFI-L,0.0476190476190476,-4.981440926600553,-0.9115795030828265,0.3277667346677417,0.34511275287835635,-0.034034177973082745,-0.012871358370267054,0.09076442640628014,0.04608058961669079,0.13688023388367498,0.028797084801995276,-0.08164844187913806,-0.178002096259848,0.02847488947658273,0.019596424787388548,0.09062210823138687,0.10103939443662244
JMG-L,0.0353634577603143,2.4554045360598393,0.503167187155606,-0.7153531804513846,-0.21660839276816535,0.1044061985646468,0.12492817114973567,0.01791023682088377,-0.05382589630104989,0.07683186948553179,-0.07403506436839234,-0.042746478493320576,-0.08301223746095743,-0.15052769855340492,-0.15356584739465903,0.044944847944869276,0.03653859707975588
HVO-L,-0.0147058823529412,-4.030982843558609,1.5095211675432478,-1.895444956952886,1.2198946374954767,-0.30308090788165293,3.841970725438325,0.9532827897718555,0.20194316928649456,-0.8765641538411728,1.4396238656233102,0.13543858793414618,0.5763290888576211,-0.36998352361789233,-0.25823932641325265,0.09433824421945565,-0.037271823386120104
PREM-L,-0.3333333333333332,-5.5862638155118285,-1.6937425722541652,0.9498118219473131,0.3308154758961648,-0.11299673842328656,-0.48763780420636094,-0.05788907710670106,0.060294891074693886,0.2337682085182186,-0.1520369028240734,-0.13892057092659077,0.001330247933106901,0.4049532139375762,0.12569674092610353,-0.21543890929484952,-0.004303837351592838
MUL-L,0.0128913443830571,-4.671807715861518,-1.2226186072626335,0.4027315883633198,0.3728515751755221,-0.21432666234258724,0.31786721860185596,0.033081454303120685,0.011164898037260505,0.058715218186086146,-0.02098863119637237,-0.04479893096190577,-0.09485758011420933,-0.019333271289608298,0.024872680454414483,0.038114321020759664,0.014193393096413966
CHLV-L,-0.1263157894736841,-1.797801844548138,-0.6698311819275994,-0.49190832865811834,-0.14910053543419766,-0.08756899032915806,0.036388614689400196,-0.03410718858085057,0.17398655752747524,0.14373500350026897,0.017058607430589175,-0.06819799142817028,-0.026144485456801224,-0.00889951794921968,-0.11606184069597532,-0.22015859865762388,0.11444857141063947
PERE-L,0.0,-2.5874245303459094,0.437427610000887,-0.20093050541116544,0.4950668762987206,-0.053973974086241994,-0.24457418222229108,0.05595277672608268,0.1523398713774929,-0.5142105613140747,-0.24635477028267555,0.12465710378814583,-0.03919432953078279,-0.06841423952639193,0.29173254720021785,-0.11799122375732018,-0.2088727376038488
HAYD-L,-0.2368421052631579,-5.956192066690441,-2.2625694692969436,1.1936514539802958,0.18853114776716692,-0.20825721221750343,-0.2718786215287849,-0.1573668378176164,0.0030953083970410855,0.12435723112879504,0.07104351208077775,-0.013596431942470845,0.23622050242917625,-0.1594739478111033,0.028745541718376972,-0.3532878411417669,-0.11089920333402277
MYXM-L,-0.2311111111111111,10.947552517469665,-1.9614835496317762,1.303828967444994,2.2187116204482806,2.9352173488824262,-0.998649124528554,-0.47595211726537456,-0.8409617001138183,0.06183729536248125,0.008046514435316912,-0.8437307547708311,-0.2506806819393995,0.46477500332377375,-0.2147799020105733,-0.5092117689373067,0.17174247519074304
SMDS-L,-0.0484931506849314,-1.032990403752228,-0.08750629754866777,0.18733875309509435,0.007902860587489126,-0.06512194889823339,0.3021298881928025,0.04394751929653609,-0.034257267618441126,-0.04398078230209638,0.19446806949572762,-0.0534660814866741,0.09156945877291901,0.029519531473177922,-0.008844951671406184,0.04745360270980365,-0.0017956754932606834
JD-L,0.0695187165775399,6.559761555375005,0.5408023751070274,-1.9150135537338655,-0.4181716013759227,-0.750499318171646,-0.1033092408669056,-0.1708270784215573,0.19568769002125763,-0.7118474109344577,0.003040086616585549,0.03212024786429143,-0.1442132796395114,0.2897797657841594,-0.11486592239673156,-0.16755105941632978,0.259918722087978
DNA3-L,-0.0146198830409356,-1.694703022973406,0.09698669954438716,0.15827100354307005,-0.14188980175216537,0.0035547922833368746,-0.24451300569386344,-0.0027681464197696257,0.037357739337059465,0.08941187084915245,0.002627966281645365,0.027486167207791276,0.016952784430256017,-0.07187801759763152,-0.02873080428805803,-0.0748175045771451,-0.009402452830966744
