Momentum Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
NTOG-L,-0.2249999999999999,-1.842759502923735,-1.9500446158269356,-1.636152358939426,-1.5982902443867233,0.11673546576541098,-0.4173180309704697,-0.45285665811437376,-1.0602161535432066,-0.31277786148407394,0.17828969267359224,0.7107430975475575,0.33586113516713806,0.4813988344558633,0.47336466738298544,-0.04519339218666506,-0.22665289834386274,0.14367150357883626,0.7374582125200821,0.013098747534310399,-0.028198449212770205
SWGS-L,-0.1250000000000001,-0.6318612667419915,-2.9373632837123083,2.9156035801103233,1.5799604197719257,-0.449454067529962,-0.46410077277820944,-0.4462017023377411,0.9978682693562014,-0.8486116956634939,0.19952809452452339,0.48977546800371474,0.3300657355839159,-1.1790242866701528,-0.494791233929454,-1.004415032702265,-0.034411666332229834,-0.19185840497529946,0.7730330437578625,-0.9511663908014332,0.27701990493244555
ANEA-L,-0.0161290322580645,-2.626183385922684,-0.8320961496171941,0.23194562240070257,0.32699651682449077,0.5123521183403456,-0.13967559686456982,0.00568501123780327,-0.09459131628917199,0.124351007349589,-0.048888594783195516,-0.2122490174499041,-0.11251394948617033,-0.08860043480593575,-0.25772191603262806,-0.049359987614621736,-0.08432577126206019,0.11786343556211668,0.08735549167822408,-0.10185676357559134,0.045266794456134046
GWMO-L,-0.2150537634408602,-1.1747010177839028,0.28783016832496666,2.85870469920792,-2.3532154706823123,1.3852704965318328,-2.1109974455021527,0.4941273065081573,1.0377838457143604,0.6299094032801318,-0.48209819867747794,-1.7923743951016742,-0.0157459339490584,0.7357191805721123,0.39773902054222005,-0.942464272111781,0.7114907301705751,-0.5206706845088314,-0.5849290534261532,-0.3458856689440644,0.28771923604647853
CPI-L,-0.0661791590493601,-2.9668358360450746,3.191710320273168,1.2475908629580488,-0.2879862673765025,0.7461505328557152,0.8901158949001872,-0.9163829056669612,0.03702840949417341,-0.02847288273155057,0.8888302539893977,-0.08685685087838192,0.1258506442870478,0.26441532572622345,0.132232491020389,-0.33521332974440776,0.8843976266616546,0.792659588625646,0.06894510589419921,0.2637747211832415,0.9461982373204972
KWG-L,-0.0303030303030302,-5.856251638030066,-0.9914836927348059,0.5433312776653628,-0.2970629518284892,0.23053394833641552,0.4763276795269919,-0.579877711885062,-0.43570637397938733,0.31369834025774285,-0.2660434885236193,0.3779227609605488,0.20070932702211677,-0.06312902245748832,0.8408130774737376,0.4009509488938396,-0.2673396280860578,0.240683997168119,-0.12640625350018475,0.1686074177620372,-0.03755007020759304
INOV-L,-0.0950854700854699,-4.684861742334255,-1.8161105477863093,-1.713000452975005,1.7375761941138215,-0.059180378894215735,0.07580123110952093,-0.34430864274090467,-0.2510745885858183,-0.0045773626659178866,0.17649261885885395,0.17593266108095812,0.24981386801829444,-0.19564441712196473,0.16555163605893586,0.00855069108740436,0.0624389000306632,-0.007518355091506286,-0.09434102801640758,-0.008167848198687508,-0.018310889013215082
BKIRx-L,-0.0023866348448687,0.08525939385547304,0.6526873675264238,-0.13977338817370477,-0.3727430374758443,-0.009303098230733923,-0.08361337646239068,0.11040412514556448,-0.15741284107576609,0.22054034525553845,-0.09738870320269893,0.03930314595382286,-0.01614177516258527,-0.05004441589106204,-0.026938279985199612,0.14495034738049126,-0.022542598918907097,0.0005925117571720668,-0.00968068377977145,0.02269505076447326,-0.011864413741566075
DXDX-L,-0.0357142857142857,1.2802971023111318,3.737246668443319,-2.2722829365973904,-0.3086568269654807,-0.7603350846579109,-0.1055652514476838,0.14928912462887947,-0.5185014586187771,-0.5533884994336481,0.31094393737589177,-0.4866344631576528,0.31853769067760146,-0.31337940318034174,0.21436245236077395,0.21519916021952962,0.28432991760733956,0.05178259199180798,0.13499808626791615,-0.174685431833167,0.28521984517096743
LLOY-L,-0.0476911430734292,-1.7415543472165254,0.002386296515758412,-0.8267290521573308,0.4437033174454635,0.1923870745610068,-0.15184337782535232,0.0195871328513758,-0.41548039994914243,-0.03863161618633715,0.06337434076334403,-0.16880939824308594,-0.08508907575906724,0.22792843250683942,-0.01270240117085105,-0.03547025535810685,-0.10277187313683547,-0.02340908406919559,0.03283080097547519,-0.040015452650244414,-0.0440687319587858
EDENE-L,-0.0434782608695653,-0.6638397695201623,0.5629381130152527,-1.2608066731892822,0.037629791117476476,-0.15667135584131847,0.3866367085892408,-0.5595021679524973,0.8294422164074026,-0.42980936119802854,-0.2632926299233026,-0.2540676892948641,0.11661548353321731,-0.44827773365095874,-0.45668427250386434,0.16466205804327586,-0.281500980645939,0.01502300816737214,0.1199697613310329,-0.15066699764375588,-0.12010308859397228
HSX-L,-0.0731272294887038,2.8775188571359744,0.006738867429013836,-0.747001821984481,-0.16028212885041618,-0.257058604931242,-0.04785842571812514,-0.13224195602289587,0.28228963755248865,0.20172624078171775,0.06058654707328144,0.08028088476923342,0.19211447113851765,0.08979218143253855,-0.231604112004415,0.22136341296328127,-0.09572569867253213,-0.01555519578591275,-0.06600177358868427,0.03625659483731139,0.21929755318822558
SEPL-L,-0.1139784946236558,1.3078615609252748,-0.9961210164279135,-1.0377112471470742,-0.36214264651699707,-0.09473758926759374,-0.25906749755200187,-0.12383523108029647,0.23701889433135745,0.4374082601345416,0.4963795321468881,-0.17478322316548173,0.04968934327236937,0.06365699827480864,0.12602959420560508,0.23410772323909365,0.1412883374547401,-0.385793560793283,-0.18576894242919523,-0.11234469340940163,-0.019795400704448553
APAX-L,-0.0222929936305732,1.2535706001237612,1.3723800264669277,0.046395738258536726,-0.019882370334904493,-0.08954106506156036,0.12201811757796309,-0.05950745461520884,-0.3414629339488104,0.2054331635375407,-0.015240221129157672,0.0041072034068127,-0.18877199871786254,-0.09971672692323018,-0.16954059115118267,0.02562185360206926,-0.03578103396816015,0.03242648449287512,0.1340092175650178,-0.00680325245182664,0.08477445278117707
