Momentum Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
ANEA-L,0.0,-4.618325989981472,-2.1361516751291054,-0.4254821882060048,-1.6798999618331811,-0.4503637323913448,1.8237586472514613,-0.18655459484581408,-0.15167460598647636,0.1621815888536915,-0.3505522135611842,-0.13672612857798627,-0.06912991154207634,-0.3240432241370772,0.11930718752361995
CPI-L,-0.0771929824561403,30.52107797325015,13.495698128387758,-4.010016516896508,1.105743517261058,0.9748421253725759,2.5193742325251445,0.12296532096783791,1.3368633377330712,-0.6396692686466441,-1.3544837117853679,-0.13306639484353394,1.297766646887566,-0.06675728127403444,0.4919969614251953
LLOY-L,0.0509453781512605,9.030974611257784,3.36604870998049,-2.001842445403832,-1.2789122461516311,-0.034173671536797796,-0.45634717491054605,-0.06693944122130716,-0.3679495753448124,-0.28358635449753494,-0.25297656576567285,-0.6847233635641842,-0.4079309159070913,-0.3879493462457481,-0.57586188420159
COA-L,0.0,-9.104750493177956,1.1807368954368531,-0.6241926724248363,0.7236113236147215,-0.9778687758937548,0.39888896825143805,0.15531748424270783,-0.6210644075872072,0.17935189048863193,-0.4647283524134861,0.30731969660042274,-0.15101054641775852,-0.10855144721776078,0.04068776486676067
HVT-L,0.0,4.799348248801921,5.167154736101435,0.2519241148605929,0.038895437728698336,0.3036822017644211,2.7063994778175045,0.5754046302415942,-0.42515860993821075,0.8228488112233099,2.667942386495833,0.02812127459630022,-0.556821895358051,-0.06929080449471245,-0.46008644973506363
JMG-L,0.2425876010781671,-3.1516495603025176,-1.7333691940306593,-1.6362890073971235,-0.3322445943371242,0.944079128089584,-0.3097416569833262,-0.5046894305087671,-0.5474299097072676,0.6283973092413432,-0.5165541103264013,-0.4775483488067277,-0.30418315773017357,-0.2612751533767609,0.17427282521224408
SMDS-L,0.2429906542056077,-6.698030826079277,0.664828476870393,0.1729659778359283,0.7561172783381813,0.7103865769356508,-0.10619341013139799,-0.8785642223006103,-0.16221420573014758,0.3084856283371382,0.08911406034714617,-0.04142131594176039,0.18633659174442604,-0.13271694097822892,0.1124092963621555
NWB_pa-L,0.0015873015873015,1.6014356301067803,0.5670343550763751,1.5329099130508086,-0.43056982876146227,-0.6074761187535301,-0.5610955226123326,0.26832680773950124,0.40631631760657994,-0.42213117451219445,0.20822778402451536,-0.017257325753840726,0.03261341019829386,-0.13006503994337687,-0.01740226371295353
ANTO-L,0.1712598425196849,-2.2529565050638767,-3.1936267526399327,-4.7873408106358,0.8537902811020602,0.6923529280313996,-0.6468874484304652,1.304467461785152,-0.41486247681545246,-0.3419745182189734,0.04911240325964851,0.12671445787976868,-0.23170842043228237,0.41325726809855995,-0.1886554709704034
GRG-L,-0.0093023255813954,5.662609805095345,1.4901955450096678,0.5329639818477705,-0.2111516145071414,-0.49058128768518783,-0.8715712389537674,0.6424441110837747,0.49752245976288584,-0.15890521306784677,0.3601411106110081,-0.0680570423688822,-0.09343756869150609,0.5514851500478051,0.4387893844860565
