Momentum Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
ANEA-L,0.0,-2.235781474681554,-1.7279784549885275,1.0545565836194717,0.6452807301289082,1.0466084806770366,-0.06436956719343191,0.5995343319124087,-0.7162905893174557,-0.23567951838992654,0.01804804879229575,-0.7948369252299067,-0.5299068914388062,-0.25152159778483185,-0.3193082531169611,-0.08769450902313469,0.08628234536568992,0.3362135208047138,0.28946430470292045,-0.09235347050038176
CPI-L,0.0307692307692308,6.529251168399315,4.072645697600007,2.4559238404337758,0.41303459564243333,0.42545750769262186,-0.47307476323614195,0.9549640207449888,0.9768990178220176,0.1732008254662583,-0.9988095280883774,-0.1867848200615726,0.5108150998902847,0.2460848216812214,-0.6064486152216004,0.030824169900748908,0.0624744072023794,0.46740768180294784,-1.1229726916685236,-0.15601603931265684
LLOY-L,0.0433526011560694,-0.3237319094126437,-2.5280343453490763,0.551292338799145,0.19781825189880758,-0.38087713301929543,-0.07405779293054715,0.1842583159224576,0.08265493951914778,-0.18089290132609576,0.045624038183367494,-0.12382182471036061,-0.050756773432287385,-0.09690450194927248,0.01966051803132027,0.08036231947956671,0.11751025744083972,0.3231279181939257,-0.18982835126435954,-0.30756334854647877
HSX-L,0.1647616931323083,-1.2443546606036509,-1.613220829530923,-1.738511002735724,-0.5502429940429417,-2.120863956784767,0.18229538409369486,-0.3956174142627043,1.1546906648548134,0.14830482486761448,-0.05054009041830572,-0.20467844833853593,0.37477883651374216,0.1663010552287106,-0.5825034157755141,0.20984369237569392,0.05603796185693702,0.227050379297102,0.7418705818567872,-0.055531217978604906
OXB-L,0.0599999999999998,-0.703863786491375,6.819088536238544,-1.1579769336722792,-0.45559190679764683,-0.099608648402363,-0.28283976251821613,-0.4434666807220224,-1.6953189354465383,-1.2425519516608372,-0.8742975684509217,0.20461246280927128,-0.2895539163168141,0.6092120215280032,0.31077815975757334,0.12648177222027107,-0.31465218814711937,-0.3347182870012715,0.20234786291865547,0.678564549729074
COA-L,0.1013513513513517,-3.8532658825811255,-4.4995893233617235,3.0940058007583513,-0.1360156527280095,3.321271094192058,1.0603742298754733,-1.0010429222203947,0.1273979541081103,0.8351359727981394,-0.9816014788624065,0.1777119669301953,0.8754962043810236,0.1319687388007014,0.05790599364350541,0.6181991702222741,-0.35849832651047,-0.2660117294410843,0.44916370151511,-0.14886905185495317
HVT-L,0.0,-1.2726281578585947,-1.9014648172603112,1.043620118060472,0.015645042194466937,0.738591462617935,-0.3868110935117819,0.5466649952395743,0.08052892743450114,0.28884141034663174,-0.12805759929836247,-0.19070361186529555,-0.16466884713990124,0.02560934949219345,0.1353112863553004,0.061095126238275115,-0.04414134556654177,0.14074287416496128,-0.1717748741015294,0.028279461357446654
JMG-L,0.1891891891891892,-2.43124050374763,1.413657079379077,-0.15071748000197502,-0.06992972803743383,0.44716170236033925,0.7843015036680979,-0.2653563871268365,-0.23712401197870944,-0.3437297811433202,-0.29437025522813787,-0.09808789237589396,0.34249542775322844,-0.18093736342066313,-0.2625319372265612,-0.12050719157874248,0.1396569486362552,-0.2678951236623843,0.03111437208822537,-0.21360766936844114
MUL-L,0.0,2.3444551056989047,-4.040121175086002,0.4628397037887675,0.5071272071282651,0.6821428966120545,-0.14301602239300085,0.17174159435680775,0.32878756885143556,0.10974798019415342,1.2928330141709283,-0.11378871011454875,-0.23751414879769017,0.9522171771061706,1.3219537443941407,-0.1330173863721536,1.192185652676366,-0.7948140580046934,0.3332652871871656,0.19516429136652938
SMDS-L,0.1393728222996515,-0.35994116221536226,-1.3804771253960852,0.1591720097862929,-0.08857310302218752,0.6484129439499691,0.7626120650336291,-0.23328171366723732,-0.323493607093081,0.049126724055626125,0.5039372762581155,-0.6303865575487493,0.39137806121372887,-0.0411529770022042,0.12912188913065586,0.012452458824685946,-0.15013866560779474,0.1570028191276513,0.4442334167755977,-0.17822864152816736
