Momentum Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
NTOG-L,0.3157894736842106,-2.4512344167560856,-3.931599445325272,-0.647629947918771,-1.9841081528922233,-1.8803131549986534,1.2242376399923232,0.7676414047622739,-0.8762779796713119,0.21420568641390614,0.7843572275482124,-0.05458350030831825,-0.6202633267082558,0.7026427687679295,-0.1182944451067635,-0.5926909052882828,-0.4151248454209229,0.42119681267834247,-0.6082890222504777,-0.263943698357212,0.04541795762877157,0.08544163374284444,-0.7108835383672192,0.22937221440429809,0.14538427748303986,0.17675729111633137
SWGS-L,0.2662721893491124,-5.483067886344639,1.4107460253403799,0.5999515493057295,0.13246205824644475,-0.3768177428694814,1.3507120984906338,0.924729000585668,-0.18947438451905746,0.24744190982385242,-0.08613596417674038,-0.262257348940871,-0.033344835271196936,-0.05844227577566863,0.11324875762206396,0.048337167281813996,-0.10643949988192693,-0.02985749797242956,0.09744833131679295,-0.1526933326923499,0.0010069716339161812,-0.017462365439267744,0.04303634392035958,0.07122194424731547,-0.07445390324943199,-0.15831746230422056
ANEA-L,0.0468319559228649,1.0325337815344104,-1.3592785411548716,-0.8266082977864351,-0.328434805340066,0.26425484411532757,0.4036751037414625,0.1366908181480865,0.30571344300464626,0.09642987903650888,-0.05455973081160212,-0.3796596782393793,-0.23964271547784627,-0.31239404045416524,0.0882861373190194,-0.19174761401965423,-0.08657785946068346,0.04580014380245335,-0.20019968944750516,-0.08204070629309637,-0.08567213136089773,0.15653961485859957,-0.0023832759727904704,-0.057373589967779595,-0.37873099592178927,-0.08195833091816165
GWMO-L,0.0,-3.6526084030582457,-0.6459233438630804,0.4973293723964684,-2.2545551097035483,-0.27377456522188365,-0.09834957626259261,-0.2636536423848425,-0.16356909417271978,0.24329362690924075,-0.11375992913073277,0.5512297688504202,0.5222830097430974,0.01970453392052329,-0.39612570134914715,0.14047779093108115,-0.2195061175230323,-0.1554885784912927,0.42896971567214737,-0.04522219831379206,-0.021300276727432264,-0.1267904284450027,-0.11837369494791197,-0.01824724446726712,-0.5719431973080775,-0.13549334435827629
OSIO-L,0.394736842105263,-7.9953704748376975,4.593300135233426,2.986190490322601,2.6167753654765114,0.3411334358364334,2.6353550438105877,-0.31612272382390966,0.015047258182179378,0.4777568118187684,0.10833138965926893,0.2495895044044975,0.08801107356898655,0.5111655007558574,0.23240409307326898,-0.07797069207033523,-0.13005095444873163,-0.06799629014623851,-0.03703606592022091,-0.11236387448519287,0.22330564373061584,-0.15425650235410893,-0.051174038091604916,0.13110783139010457,0.03326283733758659,0.1193668387883611
YU-L,-0.0707070707070707,4.449680069737146,-2.5211522180782633,3.677771809763309,-1.3303388595860333,-0.4379399220789709,-0.5261678381234387,-0.059221857521348314,1.4685727132011264,1.6461904131283096,0.16352314497844353,0.6139534390861626,-0.3444077338675289,0.7006059591562216,-0.5189917272289156,-0.29408389013441566,-0.17146489985717434,0.41920090433690055,0.411898281820747,0.27863088544887576,-0.07454270536637538,-0.13135523359600407,-0.9286292783925678,-0.18886131351024413,0.8413120465668695,-0.03435598081039537
SOHO-L,0.0813287514318443,-2.092101698054971,0.3652783944420917,-0.587215990458175,-0.23510589814309754,0.2533318236403985,0.5336845460326688,0.22226134309050896,-0.015150848102911497,-0.006893425002171909,-0.12641653947623796,0.19448322503972923,0.07624049970267253,-0.09619213246496033,-0.03817652981963172,-0.036815638325134965,-0.14342724795290787,0.0008650706047301942,-0.007002830674016515,0.009466419659085049,-0.08308035183699808,-0.10232410575891279,-0.06382607255790723,-0.022289121616592588,-0.0777271800272433,-0.0012477184913111973
CCJI-L,0.0402684563758388,-0.6963575557592855,-1.0705462157589845,-0.8404813254719631,0.025260465550609713,0.09114931768288026,0.2705559030509097,-0.08406850921867311,-0.0547714268049835,0.053252947569255776,-0.009051693343389983,-0.24537157735231246,-0.09303227465927703,0.016676826706564774,0.1154315652971891,-0.04756168727266079,-0.02790675630467332,-0.002306292671357905,-0.03457491697286047,0.07996740681069206,0.0661770557764475,0.035390977370179266,-0.04127129401469621,-0.01404387730368605,-0.04328092493829458,-0.005128825662774961
GYM-L,-0.048780487804878,-1.986711100524114,0.3402259469329243,0.9533862192865186,0.8809269002545966,-0.36681798321168035,-0.43311730257424663,-0.2228779390156245,0.2978989230608529,0.04996788299883766,0.43459938893485683,-0.06444841494464874,-0.0636732674739035,0.412921842652067,-0.2252765187781094,0.048675471432262314,0.08757609488992679,0.17280401674762325,0.17580191720141738,0.0422054764784602,-0.09641820125030794,0.11083622206000762,0.222496154470622,0.028932490371484647,0.18647911291105002,0.0933880985791408
CPI-L,-0.1987883377508519,-5.3362771375657685,0.8938112632174977,1.16663927665531,1.2962057790057009,0.34288291853173514,-1.2605167099567998,-0.22973901305267017,0.4056333141831656,-0.0615252145008316,0.18465899370170902,-0.4370715732381971,-0.46964347068082885,0.20182675640497505,0.20581505529009717,-0.25400181880734873,-0.09096283248992447,-0.04827186827483548,-0.00606591226370633,-0.2011742927049642,0.1924423481002561,0.2054982049823119,0.13953285529354817,-0.011471416674172194,0.3115314155766903,0.08422425143563438
KWG-L,-0.0344827586206896,3.803330527182534,0.742393177950445,-2.290251996720183,-1.213130259250084,1.3604652969785358,-0.20653375938715507,1.977742968970962,0.8013477979493554,0.0036108645140038014,1.2265967507255402,-0.852615192754457,-0.07195989959062059,-0.26768220227091827,-0.275492590658847,-0.18698176426136537,0.08492983014423708,-0.33329351933061463,-0.7674745679583517,-0.4283614763826979,-0.11807352259032589,-0.8371354236424263,0.03559078655500728,-0.29545171146101845,-0.17748730115423805,0.35070110639191576
