Momentum Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ANEA-L,-0.0833333333333333,-2.1919912880055747,-0.6976952473183204,0.07131296091463786,0.18709696782660368,-0.12459481772577784,0.008327888797678706,-0.16591661521035733,0.022838991761905035,0.007639524762722702,-0.04303878245465099,0.058405442116686794,0.021678701020564736,-0.04827845804522926
LLOY-L,0.0972222222222221,1.3113943994689736,0.13330026985853616,-0.7632417387816753,0.09853229122994689,-0.11668876900806405,0.18096719879460113,0.10960187342672344,-0.286490932506821,-0.13863696393091737,0.14538858884415734,0.153452074716769,0.049975785771186124,0.01687792184732142
COA-L,0.0815709969788518,3.404045680537583,-0.11230340832227986,-0.012142699634943941,-0.01018850458968324,0.11358954793457669,-0.10394850606121969,0.10015377002245875,0.08711731001790653,-0.11575122908461026,0.0898297107772739,-0.21738610721132567,0.15231287703990232,-0.11833198367340196
HVT-L,0.0,0.3821599249719514,-1.3069375440030846,-0.3791232707059649,0.2422115664752153,-0.20587776610186373,0.15386963160853606,-0.0885657792976936,-0.08741457317478205,0.17281558448058212,0.36201934062454677,-0.08535615275257295,0.022128901699365187,-0.08131729679382996
SMDS-L,0.0418994413407822,0.5223613415593266,1.025519453466327,-0.18662842364623103,-0.3489045287751644,0.05374935891164794,0.10840890163357708,-0.02187744965948269,-0.04239493239758486,-0.14919379836111965,-0.01223196467103715,-0.06676653861764617,0.046431683850549396,-0.06433039112496787
ANTO-L,0.0056603773584906,3.845712254307166,-1.815209230753242,0.7020653281773112,-0.5121293159967991,0.6993772231903843,-0.27573113095022345,-0.13052964884837912,-0.20159344652942837,-0.2534640248185724,-0.03512687439488262,-0.12384546794818509,0.15323022780080842,-0.07316911515818816
GRG-L,-0.0516431924882631,-0.3601986872262869,-0.032674387792271935,-0.24832969247202388,0.0845877701759671,0.003218553406344944,-0.045286995983122774,-0.11877586149832275,0.042858968112832505,0.07195245625112746,0.1976412978119044,-0.0947399264939324,-0.11051506560039223,-0.05770276653037071
DLAR-L,0.0090090090090091,1.2548415768989376,2.3049432636840046,0.29670157312808465,0.1917280490836452,-0.3806356223433123,0.20956684126119723,-0.3896365588338945,0.07095354764961899,-0.27473817346379814,-0.2744912493872881,-0.20168080146213868,0.08174304705980814,0.09844467070275505
GLEG-L,0.0310478654592496,1.8598749334539506,-0.6601294462167657,0.5664236658578751,0.16553908355236827,0.09742516075296641,-0.09508415071300763,0.08972261219875291,-0.052620780858493685,0.17306932677632225,0.1514468625610992,-0.015189280288438089,0.06907458447735919,-0.08596197494250783
EDIN-L,0.0041493775933609,2.192670898592972,-0.40873136673810184,-0.13646400779242335,-0.17194475993496064,-0.07220039808282783,0.01235654550181285,0.0855599037392557,-0.056315295235926974,0.008168628942910431,-0.12364034006882109,0.07913031254714939,-0.028522089562292612,-0.013865472839981548
HBR-L,-0.2272727272727274,-1.4009371165678297,-1.5452637306807946,-0.22746612814443132,-0.055360019943997266,0.03153026736431309,0.09509845758959803,-0.18881606158449027,0.13831001034503113,0.3626405379282082,-0.1248922257215513,0.20332140834528156,0.01155402272707874,-0.07079292241347006
ALUG-L,0.0465116279069768,0.16878797870603277,1.3221333965471522,-0.33860721078712297,-0.10806779952477895,-0.21983142977439601,-0.3052828974881472,0.16987936193950823,-0.29739416688516124,0.0952943172121279,-0.08196474241394916,-0.26575922110877576,0.005736053805833374,-0.1723077962335296
SNXS-L,-0.1176470588235293,-3.391936830047347,-0.11676870142273497,0.4509744427831972,0.18368499121875878,-0.17468190938925382,0.13497589871360363,-0.1281389904802251,0.22847666121710888,0.1092834378777417,-0.26365436280048155,-0.07577093625290408,-0.03839678750912452,-0.03977894214985593
BAG-L,-0.0151515151515151,-0.24843129882789608,0.8411034031853488,0.227201845709017,0.3243996291261804,-0.13360608244313482,0.04586519445914764,-0.0966182893056594,0.10105795269802959,-0.10803532944323348,0.0944522927487592,-0.010890750579928351,0.1420480601764665,-0.12539840355408213
CDFF-L,-0.1111111111111111,-3.0412761431395974,-0.5015385805806166,-0.28045612810926085,0.17042682066497158,0.03425274108463576,-0.07923541088226183,-0.1016080133988164,0.002053216573426931,-0.04924693487427657,-0.10018406367973996,0.04158015802127833,-0.03154594000415441,-0.1674770100575944
PZC-L,0.0305555555555554,0.4234346087314535,0.462100648997105,-0.3045387637640692,-0.03293218126287643,0.07890737517835644,0.11864158988454504,-0.10562168758841214,-0.11754682959990168,-0.1441682074227311,0.08575584000762906,0.017699432011144507,-0.03615916438124547,0.04405544047533585
GPEG-L,0.0248756218905472,-1.8198338065238198,-0.27763734766508275,0.14820936966375142,0.23332889945912683,-0.07790086299007284,0.3562088924323359,0.05841590308264038,-0.033467954773442166,0.028331638477714756,-0.06596853780749924,0.019848519033085592,0.034967597193792,0.018815427621157642
PSON-L,0.023936170212766,0.10806550106216481,0.3498034338140469,-0.22765963259973218,-0.0016186792697313675,-0.0003511628942057882,0.12412395887291361,-0.07798072504393748,-0.03663888386093528,-0.0411508116598392,-0.06537259055912463,-0.04899800023419502,-0.0008621091533436966,0.09800753451381777
HRN-L,-0.03125,-0.07679519086170083,-0.8699588136462902,-0.14037355043954156,0.6262680008588312,-0.03475523457227548,-0.06854148309421891,-0.1846910177240829,-0.11037964545841197,-0.31467732007597243,0.0884474618847443,-0.08285257263315743,-0.16151880249618208,-0.015755126806350783
