Momentum Index,0,1,2,3,4,5,6,7
ANEA-L,-0.054054054054054,-5.226271561849737,1.7002555546538818,0.3318486436056062,-0.5534612728354803,-0.06808775384871328,0.14776420861124318,0.08269577357663173
CPI-L,0.0649606299212599,32.63612069792264,2.5330666739304073,0.7178536400400248,1.7886577264672685,-1.5926545988084189,-0.16494856879717235,-0.14644238628534453
LLOY-L,-0.0299334811529931,10.927335362953066,0.025974189235228325,-0.5153007488553968,-1.2129000863765413,-0.4694152606264985,0.5830093846361271,-0.32575120695287435
COA-L,0.1891891891891894,-6.225233265989856,1.3501250949039991,0.1732909432047532,-0.36016867751167614,-0.04865237915431686,-0.25067628173027195,-0.2466802893973356
HVT-L,0.0,10.507263035070581,-0.41365648857131815,2.354538763818996,-1.1256820025961836,2.219558773033599,0.28551449485848557,-0.45774391620592053
JMG-L,-0.1606118546845123,-3.145253813797027,-0.10871540322436633,0.03612113799196055,0.09619811534231107,-0.2665853489629155,0.1821744868293074,0.27288056820549195
SMDS-L,0.0659340659340659,-3.4788796251360266,0.5121045089463986,-0.34349549645529753,0.21153095867993324,0.4197521132755665,-0.08118269156516046,-0.06784954902121802
NWB_pa-L,0.0210355987055015,-0.34935663698752834,-0.6821530933837712,-0.3100176493902675,-0.16044791071528341,-0.12205623308484372,-0.044952459697645455,-0.0732669329473385
ANTO-L,-0.0781010719754976,-2.498020175765128,0.47147329232149904,0.42687004898256126,-0.19071077715482895,-0.21860095479197042,0.06125285604950726,0.2768412128905158
GRG-L,0.0603015075376887,4.1536606551581485,-0.685590564000501,-0.6323431688095551,-0.6044253390352915,0.1237294870551842,-0.03854091122853797,0.4805890468210392
DLAR-L,0.0051546391752574,-6.141526625460639,1.136246495941423,0.2508745804256456,-0.25693193884016924,-0.049205004362789705,-0.03772453117357244,-0.06737837483508498
GLEG-L,-0.0048780487804878,-1.2150838679267373,-0.43282769559029977,0.22395386639924783,-0.21508962367082235,0.0575673521840638,-0.10995435757195995,0.01605658724230235
EDIN-L,-0.0060301507537688,0.7751214201409601,-0.6792424649441472,-0.34602851552699165,-0.10893135178741437,-0.12434638094090104,0.03902474201186358,0.016725714602252664
HBR-L,0.0734463276836159,0.9769136464900476,-0.1631487916190838,0.5690241174893571,-0.4647378294788887,-0.4180202574463623,-0.20476233138064034,0.11040958441286568
ALUG-L,0.2222222222222223,-5.204032295505551,1.5445419262838282,0.18218947521212722,-0.2191793482665094,-0.11987353957554218,-0.21030508092314582,-0.11650996922379007
SNXS-L,-0.1234567901234567,-7.432344845669693,1.7001153674795324,0.39588208263424046,-0.09657629603091239,0.06911259734122861,0.19196301239224273,-0.06260398754509114
BAG-L,0.0140562248995983,-0.16455986348845422,-1.0901466602683574,-0.2304003680234395,-0.3960944196440193,-0.08504487454600901,0.10346839472883633,0.12562671852099655
CDFF-L,0.0547945205479452,1.6362821304036903,-2.4514606950085427,1.3681733925074493,0.10902715966043441,-0.2068459698510033,-0.07456592105063874,0.0062037988833985825
PZC-L,0.0,-2.396801041492119,0.03894675514518711,0.1514196960430341,0.06160744183443562,-0.08574501399486407,0.09963847192898119,-0.04240652518876738
GPEG-L,-0.0789946140035908,0.6567583135538628,-1.1201904991165563,0.10494513908506573,-0.19127505066038264,-0.05257490348051147,-0.017256203623245866,-0.13355847084171274
IPU-L,0.1118508655126497,0.11760964543478451,0.530392629473168,-0.35430668587944314,0.3333356616838398,0.14627991843457724,-0.07360923244044386,0.02796803282069348
PSON-L,0.2157894736842105,0.44460801926507376,-0.5325374956055321,-0.2172163020270894,0.16785759970068062,-0.04148612184396139,-0.039914225051264615,-0.1533148078723481
HRN-L,0.0368663594470044,-0.3649923137417921,0.3303521502581631,1.0728754106328677,0.9435009668537557,0.061767895890618575,0.2060400237817203,-0.08961933319914865
OVB-L,-0.0888888888888889,-0.14741025963894305,-3.32868490371034,0.653759214376082,-0.03446448619065723,1.4916814011917385,-0.6736048384583433,1.0184948323421892
ATRAS-L,-0.1538461538461538,-5.166083092494194,1.415743290579214,0.40493954994772285,-0.19381086690970156,-0.1133125251694965,0.269686180134424,0.17734790286396632
CRDA-L,0.0418079096045196,-0.869745326760427,-1.0107679623703627,-0.5719961793926629,-0.007958626942965327,0.11564605560709337,-0.3278024009588409,-0.22100564732844027
BOOT-L,-0.0689655172413793,-1.0687170460568478,-0.6055980518632043,0.9121017533448864,-0.191948168680469,-0.29921660084216134,-0.04091201132586394,0.17507404966690712
CFYN-L,-0.0273972602739726,-0.6169059563445499,-0.6382452470717307,0.5260729654485004,0.14094658220816567,-0.18427109807615247,-0.14771902842306972,-0.03955503510818724
BAB-L,0.2408759124087593,-5.060135451796105,0.1233333489172221,-0.3205685602379847,-0.2853847168733267,-0.8373147049663597,0.003534592199232768,0.23618176397263171
UBGU-L,0.0540540540540541,2.0775520139090227,-0.4737564800004408,-0.37444945097541876,-0.11932698325528183,0.0915167799700487,0.1052473692032487,0.039242947383287805
HRI-L,0.0691056910569105,1.7754277480983862,0.34471633196023327,-0.5596373901507413,0.7249319013217153,0.004121626727232271,-0.03664797003279125,-0.007693171974220162
GNC-L,-0.0905405405405401,0.8758703695735482,0.8574341382857295,-0.5977129110341195,0.13807996863901695,0.5716475079195369,0.22042954499005676,0.011191166513556132
HSBA-L,-0.1875658587987354,4.602752607984147,0.627708251817663,0.12216879308803422,-0.34927929868732555,-0.3998540189087006,0.4367088308283269,0.13445631480756576
