Momentum Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
SWGS-L,0.0222222222222221,-6.5216648045674885,-0.4732988011131047,1.7760241736475322,-1.731070940355954,0.7366356493568789,0.717606794922983,0.2671146265013671,4.302427321802891,1.749923165935786,0.21256256542907906,-0.992000435290733,-0.435324961472373,-1.0949749967051041,-0.3029775680900217,-0.032756088084951895,-0.00703940314647064,0.7046489414006932,0.23660145632055993,-0.3753738715762751,0.3427475943478507,0.10543007409068597,0.23090960152161114
ANEA-L,0.0172661870503596,4.053196798156914,-3.801365308706532,1.5940389252595326,0.3211904095889972,-0.9125480817774043,-0.9319962899778232,-0.10253822481541182,-0.3795568586029242,0.5186445246136016,-0.13489991667573525,-0.14348278126051872,-0.18242933972604133,0.09876197979106129,0.22362911031939908,-0.005619608103452681,0.08325840096677763,0.412472693829842,0.5776716838575877,-0.22461073116277563,-0.3150260632360859,-0.03205333762256156,-0.11574494193541361
CPI-L,0.0664179104477613,5.792707286667454,-3.7316973403382065,0.4252115774745793,0.7158383925745084,0.758913853383256,0.2463939069117896,-0.14416690835434143,-0.30902531116300935,-0.008437016485930067,0.029030393943942207,0.3605147379718339,-0.05820608299393417,0.15503469582548746,-0.20835447476119634,-0.11314102679513173,0.23788959074164193,0.0348364916315539,0.06273316052187093,-0.08768237791541976,-0.3011838407216524,0.06764133199000522,0.012621516494407457
KWG-L,0.0,-10.235269385055156,-1.9879211485235087,-0.6934028893709648,1.0414856442434317,-0.4582817400192991,-0.999073205133247,-0.35403462420662807,0.6442841585062024,0.15230661175004584,-0.024061680651081573,0.024288987190240717,0.014967215243893115,0.14211493580742315,0.06860582713257357,0.10732849229232921,0.205398613155256,-0.07950727263280026,0.12593086642470896,-0.10494645744791062,-0.016213670178267105,-0.026567897328846665,-0.03570348988893906
BKIRx-L,-0.0176056338028168,-5.577155996830214,-0.5679165256516435,-0.2583247716442366,-0.36801771005745515,-0.17923204207619553,-0.5543370052625843,-0.34458572091930495,0.13614499467953656,-0.39370261839600207,-0.5062267391867395,0.2623846566488904,-0.33493378718257477,0.2999125316480421,0.37754494134439226,-0.3724435540849974,-0.23074465299311817,0.045278255230147606,-0.32660652585562394,0.20159123730662026,-0.25805142319182917,0.10285673017989118,-0.24113800992369416
LLOY-L,-0.0639562305442883,-6.446182988061798,1.0700775370311788,1.992630726417703,-1.8655147561007406,-0.05231743663236125,-0.44130635172457333,-0.3787597202840948,0.06407197486773437,-0.5185730192302255,-0.2585284991807065,-0.6561636022538149,-0.4254118446701801,0.4551194154307878,0.30223804225905804,0.09375665066541124,-0.025570410727853574,0.5411398084038386,-0.020761134348495996,0.09747751879653893,0.21184465234001162,0.3722598079199608,0.10476751086870809
HSX-L,0.0306456411782207,8.686393135178468,-1.8222503670157033,-0.8629645706858882,-0.18628598725871462,1.0630552619685225,0.20214742217748394,0.20139564837047616,-0.5861506682748261,-0.8479321780596935,-0.19132721989887957,-0.49973309638687524,-0.1546356128475213,-0.41679124025135605,0.16588934668589972,-0.1916091203896998,0.14658066782387705,0.29504862972409057,0.2701757446322345,0.10757723571371493,-0.031440844209191805,-0.005205644917013595,-0.01957571813410605
LIO-L,0.0089285714285713,-5.927017222454909,-0.7484650094205783,-0.05194425726194414,0.13681074905742116,-0.051931388608595745,-0.4796472212443918,-0.1551024139703321,0.48479569823016494,0.10020177765233165,0.04079814600276162,0.016746168017102114,0.17600608930920664,0.24558431193161806,-0.025573665744004413,0.10338895185700277,0.18024544670133444,0.19064485555999575,0.03720503417258598,-0.09260213037330908,0.07528605289225566,0.06151300991585712,0.013379333776927342
OXB-L,-0.0851063829787234,-4.427620881854736,1.5134128420688242,0.4904092515204409,1.283176790605782,0.19738226745061738,-1.2610284303871826,-0.07458875470983568,0.11209533804935,-0.1096067248715237,0.2767232957167369,0.5493308398509736,-0.790325187821866,-0.030189582228126344,0.5381022476832624,0.5718640956009785,-0.1966878829218977,0.21816542424649554,-0.18375422019005375,-0.06983999808058831,0.09366168513329573,-0.38518591168239846,0.43167777196554086
COA-L,0.1718749999999997,-2.7529356419154594,-0.5301559962402881,-0.39152030868812704,-0.2503313332258905,-0.46553505502175957,0.4775719890842222,0.2435524405447647,-0.23778156965851197,0.12995918924560357,-0.20139929054756733,0.054245831881731335,-0.009645104313397556,0.14950583815939253,0.001931053364163108,-0.46996093922504034,-0.1595180351087063,0.01505572056358643,-0.14090979003656426,-0.05126676646126442,-0.050740232046880565,0.025554497584711695,-0.04779363975727032
