Momentum Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
NTOG-L,0.0,0.142333239330387,-1.6139976474743092,2.1178328071514065,-0.9476666741800357,1.5145920162826851,0.0749520971475813,0.3920785139509757,-0.461020126038434,-1.6945720647280194,-1.468060450953343,0.7425342086711402,0.4645826932299776,-0.3332489322111931,1.0071888358509986,-0.3230713908763411,0.6601886646032317,0.19655350673127459,0.6437208014826067,0.10450971436860165,-0.15792244028727606,-0.15843877231143533
SWGS-L,-0.1428571428571428,-3.307971816161636,-2.8178809182451876,1.8773477110617152,-0.06947408148893812,-0.7043282963229408,-1.3683063549515442,-0.25712807152392664,0.9466462374650016,0.9671620598592133,-0.6774058406080302,-0.518617985598367,-0.33530835743376614,-0.05449291926286749,0.36494941077758364,0.7705507746210618,-0.17527454911598103,0.08987478697651503,-0.027016076268063773,0.19470923109589042,-0.1823753984213248,0.06339253465993466
ANEA-L,-0.0356145251396647,-0.4985367092367649,1.4900612686148855,-0.4216409370167721,-0.2901960476417804,0.23238328210424467,-0.4191920785562617,0.6205750229535023,0.2338595263624221,-0.06132131028806356,0.012586163751603074,-0.019951997145209385,0.004600974099342567,0.23019669013107322,0.011011592071893273,-0.10210685605075019,0.11586728430414575,-0.05158359940243424,-0.13155143840718742,-0.10841193132437063,-0.027919858475229046,0.024527916705863552
CPI-L,0.0853350189633377,-0.8817091842418635,-0.9841079427618097,-0.4630907320801123,0.28434046038597016,-0.24098566116044737,0.4447699325938706,-0.20322399499282945,0.21643121993413764,-0.09613614347037941,0.3396002611761252,-0.16409062405279906,0.058873171982395237,-0.15819511437005226,-0.2523975408324991,-0.28900048723456845,0.18819309763781675,0.07168549430763267,-0.12161910046725335,-0.1593546442804345,-0.30811578327987504,-0.16880849959763933
KWG-L,0.1458333333333332,-2.6139451322670193,-3.4669788844132197,7.429443045790741,0.7123465113157351,0.07980904908485288,1.4801008769774369,-1.8797629045971487,1.5194321222095726,-1.001941560603717,-0.43071831011344985,-0.2886893319342016,1.0948523142845312,0.019692774255133137,0.31758156608955634,0.04905644673367721,0.6146055591559023,0.323119071642868,-0.7492375018136891,0.19807548034766068,-0.427453538316464,0.2567511936547923
BKIRx-L,-0.0053859964093356,8.853454867691624,-7.381274056439362,-3.9305159914070793,-2.5042696017013,-1.3139502235879592,-0.42202144810179865,1.8315863728566821,0.7556171805350343,6.52795979333516,-1.389081093197356,-0.3709247188577994,0.36846634561089336,-0.105923256659566,-1.1187037112112108,-1.3039949378550482,0.4860667734647788,2.427575855680931,1.2521156542307235,1.446873633656755,-0.11175889050392651,0.4335832217523896
LLOY-L,0.0311773818745157,0.6574767202623171,-4.046292170116037,2.5728985121536425,0.2899562758169769,-2.451753857142486,0.27681008631304754,0.4081920681605014,0.2843963169929643,0.08476533665995087,0.24424753477578234,0.4063488192742604,-0.02756062911811036,0.16082851770666032,-0.6246600940044394,0.05471968043038611,0.06933312346772524,0.17773369735545297,0.08052235277083813,0.10233811449640409,-0.1308812055885244,-0.34178305721391816
HSX-L,0.110406091370558,0.24322288169955855,-0.3607119844650457,-1.2425723142204488,0.3113498408768429,-0.42906575508478656,0.5952027685011599,-0.008200735899435147,0.07505955532850675,-0.29055818007823825,0.557867950754138,-0.05968709686632168,-0.0750274054617169,-0.06120390626998961,0.08847667904651592,-0.015175133300181382,-0.021448699280658894,-0.05539025747888606,0.11962873406988371,-0.057523948938471986,0.015836201695419383,-0.0516804455516566
LIO-L,0.2047781569965869,4.705485247786134,-4.648417759067921,-0.47799007665669063,0.10260580331137222,0.7970419292762551,1.625332659151008,0.7706765685150533,-0.2148636925737381,0.6838496353971041,-0.33153141075168674,0.17675908386866063,-0.18934599789213158,0.18026422329385192,-0.42133903922306165,0.5725816147513421,0.0408084012065887,-0.33276954612707305,-0.43764237805110473,-0.18174571602908754,-0.13015909790150004,-0.01568424375612832
OXB-L,-0.0222222222222222,-7.138389968830601,1.0169557789007115,0.4702953534086751,0.35219608204962144,-0.28624257163611994,-0.3344034577314792,-0.3425668542936156,0.14481109115002558,-0.09841695132119795,0.007485805210162076,0.11735702247837032,-0.5273615189041161,0.047616954267002805,-0.31522695585712046,0.12040823547450383,0.3155326571941183,0.08928485999929964,-0.37210993097850753,-0.05127687879469239,0.24434935777594152,0.4372973713301293
COA-L,-0.0078125,-1.3976735392658557,-1.17816502153472,1.5284956927009195,0.4454157845915896,-0.5273267251976762,-0.26816502305098544,-0.6121126925641173,0.09694573235593731,-0.5011149103151319,0.3314757487791604,0.013377458657453007,-0.06886237363316434,-0.09693755973862198,-0.027119023736145612,-0.09297832022733268,0.08780185765526763,0.03586319391211566,0.12720115300840373,0.13737806594595092,0.015822904207611663,-0.04724797995890051
