Momentum Index,0,1,2
ANEA-L,-0.0941176470588234,-9.402118983765606,2.5676901121220577
CPI-L,0.0613207547169811,-3.61374479277471,-4.251668418816004
LLOY-L,-0.0987654320987653,-9.926267651568367,-0.26202767315387093
COA-L,-0.0914634146341464,-18.920009003921127,0.10179706381863789
HVT-L,0.0,-16.701528142775558,-0.2595539206112617
SMDS-L,0.0222222222222219,-9.955220651340197,-0.06626006408464441
ANTO-L,-0.1954707985697258,-1.1519595973164651,-1.0849277762665295
GRG-L,0.0248275862068967,-10.326549830199102,-0.11675568337016073
DLAR-L,-0.0230607966457022,-4.9420812526596,-4.300202450281495
GLEG-L,-0.0392927308447936,-12.181104452014496,-0.6985795901227123
EDIN-L,-0.0519083969465649,-11.52624290286979,-0.7885048597203793
HBR-L,-0.06,-15.575350621127807,1.3584486700751843
ALUG-L,-0.0369230769230769,-6.6891813628817385,-3.3625915760950327
SNXS-L,-0.075,-15.633793821466517,3.184152660157669
BAG-L,-0.0794117647058822,-10.330049961813108,-2.486003767980858
CDFF-L,0.0714285714285714,-12.84314855107274,2.914380350477275
PZC-L,-0.0897226753670472,-10.21441589319685,-0.7729224324725563
GPEG-L,-0.1557377049180328,-12.139084024851433,1.9542561356939252
IPU-L,-0.024793388429752,-9.76198522005071,-0.1920855478410192
PSON-L,-0.0576070901033972,-9.04931825508768,-0.08252599174803733
HRN-L,-0.1069767441860464,-14.442429371066284,-0.1298466580695711
OVB-L,-0.25,-5.403420758648521,16.540053595276735
ATRAS-L,-0.1609756097560976,-4.935397293104653,-0.9213552571003956
CRDA-L,-0.0447368421052631,-7.309030409747563,-0.6548450748598545
BOOT-L,-0.0441176470588234,-3.562141738351705,-3.8850100787403496
CFYN-L,-0.0909090909090909,-13.44786154114052,0.06139931504494916
BAB-L,-0.114864864864865,-15.746523220949314,-0.966862672599815
UBGU-L,-0.0691244239631342,-11.59319714824117,0.9074683932616808
ECORE-L,0.0819672131147539,-7.7717451689179695,3.7626148936981365
SHEL-L,-0.0603811198823938,-11.030789431008143,-0.9155999383388133
HID-L,0.0,1075.995774248137,0.13810662589631115
SBRY-L,0.0277392510402219,-14.154203560962578,-2.286708662643626
RCH-L,-0.042735042735043,-7.861094380845228,-1.904888825790325
DSCV-L,0.0325771334125797,-12.482424159439478,-1.1615407944793867
HILS-L,-0.0614121048903657,-10.546509015173609,-0.2952021142304395
HDT-L,-0.0366492146596859,-6.6916507712200435,0.17052291278737192
C1Y-L,-0.0732600732600732,-8.065699446455955,-1.084025417526668
ATST-L,-0.0695876288659791,-11.065516532905077,-1.2725186876917483
JET2-L,-0.0955414012738853,-10.191809188749648,1.8748179443781532
ADIG-L,-0.0714285714285714,-12.094025449320652,-1.1420755610333517
BATS-L,0.0172413793103447,-12.132625582653416,-1.5582002374982558
CTID-L,0.0,-14.164380057060791,0.45464744185802985
BGFD-L,-0.0417209908735333,-11.382421887829155,0.377507484685708
BOY-L,-0.0309597523219817,-7.065103340144447,-3.5728461237977007
CRGT-L,-0.0472727272727272,-10.562195416264885,-1.9332239419083754
RIICi-L,0.0,-11.781944495847194,-0.7778297982435923
MKS-L,-0.0319148936170213,-10.81861285980731,-1.700490840129236
BWY-L,-0.148014440433213,-4.6701183075173835,-1.541835081853153
TPK-L,-0.0030303030303032,-10.18335368530231,1.0506031833719864
LPA-L,0.0,-14.739361591079392,-0.8603063397387782
BRSC-L,-0.0743243243243243,-10.356163500550343,-1.1680416166550907
TW-L,-0.0571428571428569,-13.092466644410347,4.081362139022838
CGT-L,-0.089108910891089,-11.436643140854562,-0.615604123287674
ABF-L,0.0377697841726618,-12.855257735697311,-0.7086683117265936
ACRM-L,-0.0046948356807511,-8.012917315803719,-1.290757242613923
CKT-L,-0.0588235294117648,-15.154423041207997,0.16153008250115083
BIOM-L,0.0,-14.727422822360197,3.0337777326324256
RNWH-L,-0.1258741258741258,-16.274784406130514,3.0770953374029024
VIP-L,-0.0806451612903226,-8.847136696046805,-0.7485647814914363
GFRD-L,-0.1724137931034484,-15.464209924857032,0.11556495745429199
DLN-L,-0.1383125864453666,-12.125770795030933,2.6191996154019446
CML-L,0.0037037037037037,-12.154604659650058,-1.9528467634166307
C3U-L,-0.0823529411764706,-8.388246716389366,4.3077280442945
RFGR-L,-0.0250000000000001,-10.237648227000376,0.21806735995033144
BAES-L,-0.036,-12.199898036872437,3.6355760949909923
NAIT-L,-0.0524475524475523,-9.89739763347142,-1.3399044438951213
ARBB-L,0.0,-7.833551150873321,-3.155014990302295
ABD-L,-0.0765864332603938,-6.324310338883626,-0.27074869989876155
AIEA-L,-0.1134751773049645,-7.4410955494751905,-1.4749852065384281
CNE-L,-0.0163934426229506,-15.018926214993472,3.5259658036755863
NICL-L,-0.0528455284552845,-7.208613974039042,-3.4783902214918605
DPLM-L,-0.0528109028960818,-6.239244122675979,-2.416102951479447
MRCH-L,-0.0456140350877193,-11.772612281427424,-0.90187713511807
CMH-L,-0.0789473684210526,-9.445286755565983,-0.7353765603232896
BARC-L,-0.0055970149253729,-11.944191548431665,-0.13100630108593367
BWNG-L,0.0111358574610247,-8.266202381324494,-2.5098519700404003
IMI-L,-0.0317002881844379,-11.602033742174228,-0.7742922591137569
LOOK-L,-0.1021897810218978,-2.4243812497381647,1.0363934037422515
CEPS-L,0.0249999999999999,-5.1758206444377715,0.6204445537349816
DGE-L,-0.0769230769230769,-13.508939450254315,-1.7154780867788266
REDD-L,-0.0645161290322581,-8.120577840827693,2.085817450336181
LSC-L,-0.1481481481481481,-10.42126335310176,9.544986908655456
RTN-L,-0.1123595505617977,-9.816700625988094,-2.32924184011924
TET-L,0.0095238095238097,-5.635840994067896,-2.4675749343367555
BNZL-L,0.0355029585798818,-8.789513450877275,-1.169159841312553
PAGPA-L,-0.175,-5.987162434252097,17.57012591931087
MNKS-L,-0.0486486486486487,-10.4921465340033,-0.6604318281096828
KMR-L,-0.0701754385964912,-9.068481309044786,7.481897625855558
GHT-L,-0.0886075949367088,8.006856637019801,-1.14955877972181
CTY-L,-0.0967741935483871,-11.309177645562023,-1.0357062208781822
BUT-L,-0.0625,-10.531539531256943,-0.486217336731093
KPCK-L,-0.0591900311526482,-10.572891593909988,-0.38552475155191746
N4P-L,-0.12,-9.418498962825147,-1.4591395219672576
CFX-L,-0.0384615384615384,-12.736901908096801,3.1785893805840564
DIG-L,-0.0776439089692101,-11.66858056170964,-0.9068380060072889
RS1R-L,-0.0115163147792706,-7.663620776844787,-1.671382070272917
HAYS-L,-0.0739549839228292,-7.354301904127953,-2.7917401150758154
BMT-L,0.0307017543859648,-15.701726170366,-0.6014122954238856
BKGH-L,-0.1104972375690607,-6.529294702970538,-1.0709621991789866
CHG-L,-0.1043478260869567,-6.464255803285346,-3.121377965919936
CGS-L,-0.0199203187250995,-7.284534296609171,-2.4965700442602055
JGGI-L,-0.0790697674418603,-10.140939493653978,-0.4500288132868064
CRPR-L,-0.02073732718894,-3.0839333610069044,-0.4372632448444387
ELM-L,-0.0392156862745101,-11.734538645264667,-0.1677247060675242
BT-L,-0.0881670533642692,-12.4662436114941,-1.3934758534738165
TITN-L,0.0,-3.1389152819986315,-5.122887299211843
CLDN-L,-0.0249999999999999,-8.860491230271021,-0.12562798341503542
NWG-L,-0.092920353982301,-4.945081804271709,0.2259809750403467
HTG-L,-0.0555555555555554,-11.6509320116208,-0.6703973084677498
HAN-L,-0.0120481927710842,-10.20560356271215,0.909006316539756
