Momentum Index,0,1,2,3,4,5,6,7,8,9,10,11
NTOG-L,0.1538461538461537,-2.5299437579417114,-0.471478322935068,0.8381564651636377,0.18989856925061574,-0.4892176858578007,0.16561189618162617,-0.47479568553921797,-0.7431012042641468,-0.5219930552849753,-0.1771905415163659,0.16017948001231053
SWGS-L,0.0072202166064982,-1.9173288756397737,-1.1915354664278712,-0.4558646602584815,-0.08058811178842729,-0.8283072413614435,-0.0014489984056848724,-0.30401916392718614,-0.09659458834105182,0.01266995958207376,-0.25638974782355933,-0.09665904096667097
ANEA-L,0.2557651991614256,-0.885847553150473,-0.45788375605180626,-0.0686449536832164,0.49419501431609797,0.17332223675854067,-0.1231002075784667,-0.025259464705075597,-0.050460620128738844,-0.03562535953005154,-0.1518563892355091,-0.06705143075051867
GWMO-L,0.0512820512820511,-1.1641674572283238,2.11133965960854,-0.1765071681947058,-0.21197814814492075,-0.05502026531864511,0.6155134234848855,-0.9530353389453827,-1.2380506237340883,-0.3848707204638078,-0.2530957315496984,-0.02206858510595107
OSIO-L,0.0512820512820513,-2.3191144413297544,-0.3168417702007124,0.04477698826417209,-0.16877515935966844,-0.5614658949586322,-0.23477735394978966,-0.24253001090240106,0.20071955672681085,0.14253236137238695,-0.06088011181058761,-0.034091009579107906
YU-L,0.2529411764705882,-1.7564468246748681,0.08744548233181687,-0.04086715526161142,0.5736624016215359,0.1256392641919717,-0.2152666107309227,-0.12098454493584401,-0.24810095509913543,-0.3293157261820022,-0.3546142010987437,0.0552462502404809
CCJI-L,0.1337448559670782,-0.7116292519212649,-0.49901464957617947,0.19652580056267227,-0.13537036197418997,-0.0920921486886686,-0.013107161176310677,-0.010691526788946467,-0.10816496827712545,0.031007731989565433,-0.058676516158604065,-0.0352560101236381
GYM-L,0.772,-1.6320836189164927,-1.4354564573359994,0.9028005689241668,1.773111908741017,1.7494641571072669,-0.33307946174052727,0.05948006289962582,-0.09882489705892532,0.1599782665898716,-0.08655282679534665,-0.11032391892963464
CPI-L,0.8765784114052952,-2.7781443997337654,-1.865248191003607,0.8883874127226555,2.42743991189785,1.7144519674028917,-0.39091681421301805,-0.14050263640603752,-0.2597015383750787,0.12521726103624364,0.014698920774759257,-0.05423588679249851
KWG-L,-0.0952380952380952,2.554550279879147,1.4827035004086466,-0.9342821124632334,0.6047076013511086,-1.4417472523631472,0.039518676814673574,0.37366731937004827,0.214171288048258,-0.9023635873109709,-0.8520431117273248,0.352950311649587
INOV-L,-0.0545454545454545,-1.8136597116708977,0.03155587335678242,-0.1189282520375242,-0.37079157453673106,-0.8398543556594452,0.11183440400327434,-0.3269423269083329,0.19110798567066126,-0.01022927412714792,0.06725214193256508,-0.06225310273682008
BKIRx-L,0.0335917312661497,-0.42520735119230074,-0.28232913052834996,-0.004297684727687175,-0.341895811055669,-0.42680016132650483,-0.02384061483354971,0.08168163137084511,0.03891912420286417,-0.03199133522983135,0.028578112957126662,0.026413341002828484
DXDX-L,0.358904109589041,1.9119286457177787,0.763901143201336,0.31302226875363104,0.6706157389500794,0.7388754279698723,-0.04279679082292715,-0.06666535740669613,-0.06755905742606534,0.4132532909146504,0.6777618069346392,0.23915786655773155
LLOY-L,0.3753144089112468,-1.7915921424638728,-0.7646980453192784,0.7847932969432181,0.7776202983778294,0.2942031931603544,-0.40814419417723585,0.07403043412504798,0.0003592983743661296,-0.011197724792852219,0.0014234539500779715,-0.07697790829978712
EDENE-L,0.0161290322580645,-0.8794522886605836,0.18081599020931188,0.21941576969020732,-0.4368159423097751,-0.5442542782280185,-0.43618584447687536,-0.07258269378249872,0.17713053095873735,-0.010620527126731946,0.02146283514917683,-0.04376042892177091
HSX-L,0.3018979833926454,-1.3269833311729387,-0.5046512213255941,0.7452709157432738,0.3938138694229863,0.3167595616253174,0.07850984068092998,-0.04692591220964404,-0.17030477418242085,-0.19746868672189452,0.03905141972503906,0.044357898518819154
