Momentum Index,0,1,2,3
ANEA-L,-0.0394736842105263,-5.988776164284311,-0.5469435763901361,-1.1570902717519584
CPI-L,-0.1227786752827141,24.645379867759345,-4.220629567819357,12.810170014826062
LLOY-L,0.1059654631083202,-3.8094185932851543,-1.7804411143963748,0.745540842033073
HSX-L,0.0188679245283018,-5.441991277821143,-1.8027102118145846,0.3116629581008327
COA-L,0.0624999999999997,-8.355482040604825,-2.069470152954173,-1.0904015538649883
HVT-L,0.0,-3.7420209770803776,-1.2989358704045806,0.319838783353372
JMG-L,-0.1296296296296296,-1.5237357333232573,1.0474820829814773,-0.9025293792907758
MUL-L,-0.0729166666666666,-5.458239651283161,0.9666996185041311,-0.9744334497789773
SMDS-L,0.0307167235494878,-4.649419436119193,0.1193219776461901,-0.949478887563391
NWB_pa-L,0.0104821802935011,-4.250777301269731,-1.5028229626500345,0.24183285878056832
ANTO-L,-0.131856540084388,-0.09987147793038066,2.3332727360922183,-1.4116170812588442
GRG-L,-0.0074309978768578,-2.43355716001005,-1.3253169144305348,1.215906189092832
DLAR-L,0.0419790104947528,-3.294814907887387,0.8460256159329431,-1.7173254499055626
GLEG-L,0.1396226415094339,-5.071434822654945,-0.9447012094371309,-0.12117304575602328
EDIN-L,0.0287303058387395,-1.7765344733232515,-0.6987457311773307,0.5308902871703358
HBR-L,-0.0363636363636364,-6.740416589918289,-0.6443862384217288,-0.30292193324546257
ALUG-L,-0.2195121951219512,-4.865456113364239,1.0916381505139672,-0.7016474284714052
CNN-L,0.0194174757281553,-3.8598878990705323,0.15519853650894175,-0.5858387588532338
SNXS-L,0.0,-0.5574037090498651,1.8250945273217933,-2.8451742766768513
BAG-L,-0.0148247978436659,-4.154855086043594,-1.2707724254239015,0.21309928091424965
CDFF-L,0.0157068062827225,1.2670333141943435,0.061843224502790846,1.351481576062738
PZC-L,0.0977653631284916,-4.457688585365474,-0.23941787974827758,-0.12491203427161159
GPEG-L,-0.0173076923076921,-3.0997270452039007,-0.24670870206281864,0.4248765546526657
IPU-L,-0.0081466395112016,-0.7166584800100921,0.17847412105703866,0.0786137080342842
PSON-L,0.0037234042553191,4.440372050561927,-0.8289201354837925,1.603365128830153
HRN-L,-0.1987179487179488,-4.912932714774622,-0.9813004773132158,-0.4028606402710542
IBT-L,0.0044182621502208,18.595661036418072,20.432149774016644,-2.773350783560879
OVB-L,0.2564102564102564,-2.3718088344417603,-2.1551418844164507,0.2560619919251396
ATRAS-L,-0.0773480662983425,-1.8198043221283293,1.0796831879761353,-2.0754589657519653
CRDA-L,-0.0388768898488119,-5.048938921835806,-0.7900746904102705,-0.3318033302786735
BOOT-L,0.024390243902439,-4.52066783746446,-0.3171221787532676,-0.3143451681476297
CFYN-L,-0.0808823529411765,-3.1862792138747813,-0.47644099219906944,0.1632228252497859
BAB-L,0.0695352589575222,-1.0210334916786632,-0.37974039244650587,0.011354031945714738
UBGU-L,0.0038740920096853,1.9874679461341944,-0.6773464012664313,0.8147012343514958
FGP-L,0.1177170035671819,-4.5123528102088155,-2.1190701439218613,0.6469107152786658
HRI-L,-0.0976,13.620418645136148,1.4945634461172126,1.8554246346289844
GNC-L,-0.0247678018575853,-6.061544395244174,-0.9800032198605039,-0.3684528670756112
HSBA-L,0.0406249999999999,0.8989859019866652,0.19736540162931923,0.09881382008017561
AV-L,0.0084210526315788,-2.68507088555873,-1.0261887229185644,0.8486307461503141
CRU-L,-0.0442477876106194,-1.8581031218212058,-1.0038608521557575,-0.9699051345241104
KLR-L,-0.0512820512820513,-3.9505536723292924,-1.3310238572848856,-0.5599519691373044
ECORE-L,-0.0571428571428572,-3.526880408292254,-0.48331188686699644,-0.8934498183379741
SHEL-L,0.0105517162395096,-1.4330771111854759,-0.268669326462259,0.3944609404166925
BTW_pa-L,0.0110619469026549,-4.330453425322386,-1.5275171140153518,0.09771455433276093
BZT-L,-0.1944444444444443,-6.538947421530338,-0.4973168241848121,-1.2850322610451972
AZN-L,-0.0715328467153284,-0.03818078892859604,-0.40978172349668773,1.3122633477174488
TOME-L,0.0,-3.0685849349079173,1.7933071130192373,-0.8952904513173429
TV1-L,0.0,0.2247750103041492,1.637907703093641,0.4515705800077699
HID-L,0.0,-5.660988864690442,-0.9703328333344394,0.10340525264854866
SBRY-L,0.0583501006036217,-4.240011375808197,-0.9220831324053849,0.7069221428580197
KBT-L,-0.0606060606060605,-5.861808000934727,0.3369095302866186,-0.8603688594572182
BRLA-L,-0.0800970873786407,-2.343073475204586,1.1104511078417356,-0.6800383549123118
RCH-L,-0.081383519837233,-3.365163300474898,-0.9848610113271749,-0.23451389963966
DSCV-L,0.0836363636363635,1.1407488298371797,1.3784276698711406,-1.1665995048898035
HILS-L,-0.1031746031746031,-3.0190455660828737,0.00675401929589717,-0.8976777272466369
HDT-L,0.0042372881355932,-4.28178166357518,0.21258650742871577,-0.2258722786611303
C1Y-L,-0.0946969696969697,-4.775563480762064,-0.12781441159501833,-0.6912823846408721
GBGP-L,-0.3739837398373984,-0.7981548349068627,1.8542005084514679,-0.7510999971316631
ATST-L,0.0161042944785274,-2.0138183206456852,-0.9030781168794968,0.37534343356116356
JET2-L,-0.0335097001763669,1.6249650829929374,-0.5890804875744147,1.7838296969092349
HWDN-L,-0.070539419087137,-4.82621660536174,2.2951699494888933,-0.8375313591470462
ADIG-L,-0.012718600953895,-1.600538888660819,-0.6855532036480515,0.5454620354741904
BATS-L,0.0782997762863535,-3.3092035287564467,-1.230553290040622,0.4532195267923476
