Momentum Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ANEA-L,-0.0808080808080807,-5.512501842472348,-1.318153629787307,0.292093475638507,-1.233948495081042,-0.7654441326852153,-2.250187473374156,0.01560708660138641,0.01158499725587621,-0.09413250242613444,-0.1384493178922001,-0.19008480941449685,-0.01151447241302318,0.14694740578229498,-0.05881617576838337,0.26021608637258004
CPI-L,-0.038022813688213,26.200599340829644,12.247292963528757,-5.267112072015035,-0.2790497304630293,1.285532121022943,-0.7289807031951279,2.7825720176096924,-1.2815978760715878,0.36248169046886175,-0.39221535041322064,-1.3433723534840087,-1.0300288531548483,0.8394290668560006,0.22908899663948668,0.24703843830217112
LLOY-L,-0.1639180409795103,9.406567348851619,3.2462924747608786,-2.9356207813323527,-0.6012040963460138,-0.9733779063344551,-0.6419289488148244,-0.8886655839342777,-0.11303668272894205,0.017635551659488578,-0.8127022160350026,0.2992626934188922,0.0924868942964129,0.2546584657257805,-0.5904960243662495,-0.024234446208136248
COA-L,0.1523808371428689,-9.919839644314631,1.949770001151518,0.0703234888030501,-0.6572284965446519,0.6720879838647094,0.29952807429687467,0.38072501857216523,0.5488314376034135,-0.09343749297175377,-0.16646853518678542,-0.2670890820515282,-0.3250642694257076,-0.4137934649965796,-0.024920062398378708,-0.030879361237438813
HVT-L,0.0,4.189409288036363,5.434443625287677,-0.836650156727854,0.1476754967995698,-0.04245495622355439,-1.7955739423301018,2.60570796776289,0.7554605648048435,0.36847108881013957,1.3484215096812004,1.8561836715513471,0.8549787496317475,-0.46466031229898597,-0.3033920356847056,-0.16281930931458327
JMG-L,-0.0542299349240781,-1.6778562302731654,-3.7171710256791766,-2.249830913808416,-0.3874482896095445,0.044946271572712124,-0.0387859670032981,-0.521307759085962,0.943719152810944,-0.233217089267849,-0.36713403346600954,-0.5013698031355814,0.3429609706394576,0.20005859986097269,-0.3434653089817893,0.59957091874938
SMDS-L,-0.0037593984962407,-5.85277131359004,-0.8450487670364252,-1.0169492432394505,0.8351338438365115,0.5718283803741545,0.32390846648189187,-0.1263627662750203,0.4159832291362395,0.4949527995236362,0.3746915626799864,-0.06748502736340488,-0.012159494700661924,0.16256450256982477,-0.03215870637417269,0.3086474037044907
NWB_pa-L,-0.0047543581616481,0.971016180175351,1.3902740815378727,1.5198920128095081,0.16530526153692837,-0.6883528456804141,0.23293037047104878,-0.4977281658074486,-0.5244527982700223,-0.035745740347585944,-0.0731056688086302,0.28675908849131265,-0.02683199986534458,-0.0050354299140799585,-0.030454898027679048,0.010451383018401723
ANTO-L,-0.1058823529411764,-1.6281547853446283,-4.551995522343527,-4.142891801162283,-0.08486746790133833,0.7116481407772977,0.10709621522965039,-0.1091982355168273,-0.1187048748101732,-0.9879744382522025,-0.5219525757320538,0.5551448285732486,-0.004173658497298061,-0.12741681818133055,0.20842071054910952,-0.49623173712701835
GRG-L,-0.0657276995305164,4.825382369716187,2.2603323040131915,0.4300016680926817,0.3902252855223225,-0.6555233996138163,0.2364978677234817,-0.5335816933020091,-0.5426732739927538,-0.40216122825826583,0.02176428361918289,0.2800008654529034,0.4242001863689076,0.10125350167091235,0.6908166569756693,-0.10337471688319808
DLAR-L,0.1292035398230091,-4.456161027824015,-4.266601334400566,-1.4515418806705351,-1.4563160082275541,0.7755363612648769,0.5634827305947046,0.34483499035612214,0.4492164576704919,1.3835786493317008,0.22110706323012447,0.22629492631168052,-0.3190828114888356,0.5375649396013895,-0.20891450115225046,-0.22317024797159302
GLEG-L,0.0030303030303029,-2.429623666912565,1.137088570935978,0.4527536109667791,-0.02381118975769407,-0.2459559758878965,-0.1984637707174617,-0.11126987927198874,-0.040068211552194685,0.1495737752679361,0.05404739794434386,0.11240508649850495,0.045145362592234374,-0.03992957176110909,0.06802268915467427,0.052473558889769505
EDIN-L,-0.0532128514056224,1.8423208572622591,0.3464777734390762,0.22939832989741304,0.061659517258843125,-0.44445794499861974,-0.021097493032796323,-0.84479272496496,-0.012962648355701828,0.11230484562109701,-0.13400698329943891,0.02088738996616223,0.05625868339532675,-0.08133895829137824,-0.10033607996395567,-0.014348609065529896
HBR-L,-0.1444444444444446,-5.340017669490219,-0.7662363590449006,-5.5659219545631435,4.624283737256048,-0.71841303419723,2.4137797905955907,0.8533928134770629,0.7118443859251117,-0.6927950279204468,-0.6400918974598632,0.3609197569842533,-0.18825345476300157,0.14211514165199612,0.06363454149447957,-0.33772377146025845
ALUG-L,-0.0816326530612244,-6.835091388527768,-1.1289067680997673,-1.3419103516458153,0.721730470122118,0.26558943570694127,-0.5332569169519561,-0.08389595484050938,-0.6697618107184535,-0.22464529108109252,0.6013469772884966,-0.5187442123214485,0.20596400538775098,-0.2833871760188048,0.34843483028081285,-0.36097699664517935
