Momentum Index,0,1,2,3,4,5,6,7,8,9,10,11,12
NTOG-L,-0.1779661016949152,-0.25971053966693763,1.1971939904808786,1.8881881524128548,1.1804093872047867,-0.9119907449826253,0.8214748128529866,-2.314966342685314,0.07985991272437949,0.6696125524867123,-0.09749063265786781,-0.5197869367608686,-0.2863940378206248
SWGS-L,-0.1379310344827586,-7.620320002729857,1.0514967519975809,0.5934965001566272,1.197607071761871,-0.7663490046255211,0.24684111475733364,0.8136954783497973,0.48125472284636256,0.5772744422034144,-0.10408116855701434,0.005680934196577271,0.4515858603828298
ANEA-L,-0.0014164305949008,1.8943348235809458,-0.3408858133234157,-0.3661456578924943,0.2474720644558569,-0.2678067159927212,-0.23268444062616353,0.25030924226531037,-0.693785250905984,-0.6944693578415171,-0.8369577565021031,-0.7832832345442614,-0.07305398025521269
CPI-L,-0.0083102493074791,-3.334207493436221,-0.22573641570969186,-1.0235836603161923,0.30853018441912833,0.3272106384772724,0.04107612799596865,0.19847270991339658,-0.10588365416065913,-0.06368863942443417,-0.027465032813110357,0.024329810706957417,0.05258624686034195
KWG-L,0.0,-1.3297657609120452,-0.43168824515487997,3.197597564005632,1.9975180272531254,-0.9477066197511674,-0.08827162411823541,1.1566757641615317,0.6958064995324996,-0.02405901052700211,0.24078200097268612,-0.5894428634919204,-0.3613382683929344
BKIRx-L,-0.140625,-5.940958794634742,0.9969032856322546,0.7785812821270275,1.105222535889853,-0.07393810024080709,0.3041806202439171,0.6596300531361218,0.09960506850358565,0.2793758168264749,0.10383063537769427,-0.08794550210340929,0.23167908986048755
LLOY-L,-0.1341344986647243,-5.485149667862992,0.7514411225534662,1.520475895042403,0.6746443846303377,0.0025517455254367456,0.056561472933434616,0.9392791770637109,0.14959891723189309,0.39603073505648456,-0.26670361404917636,0.14373463532716324,0.007550882650561257
HSX-L,-0.0941624365482235,-1.6006133517676924,-0.5530056080633544,-2.2194409617825666,0.04535106971066122,0.5956862071956349,-0.0350708629184155,0.14139553682619377,-0.6621146256983567,0.08216798238221605,0.13611641733634372,0.2713774622449209,-0.04900983829904182
LIO-L,0.0565068493150684,-5.7615623949263055,0.2709262700170322,1.0178713160580826,0.2549942384268655,-0.2007187510586545,0.18879685135404828,0.2527268413759351,0.38625965740588586,0.24821599479577564,-0.13846046050832847,0.02205652059097577,0.12420876228483094
OXB-L,-0.1615875265768958,-4.824055257534766,0.9346831732680806,0.7302777574019073,0.05090530614100017,-0.4496859177813884,0.18856660231074196,-0.18676131565432114,0.06979149340372046,-0.17821051484749897,0.493319096733638,0.09084195973389866,0.1917992128806505
COA-L,-0.125,-1.962563069177658,-0.2429769119694882,0.48097264660323247,0.3500163738738152,0.21549914056383376,-0.09652317114257168,-0.19055537983839893,-0.04009044085021851,-0.16700657307101005,-0.120794711091295,0.10342703855025939,-0.03121150500968145
SOM-L,-0.3333333333333333,-5.104481925406679,-0.0016340121001291444,1.2927657002147586,0.17138806583684218,-0.7821518555788465,0.17667343670228505,0.5207476375697491,0.683128471460865,0.03745990961390281,0.23587453100330566,-0.18081660697623117,-0.023442029354463562
BPM-L,-0.0552486187845303,-2.8786492637377417,0.3821676104037058,0.37270718989771723,0.18754818105002125,0.29166524393433996,0.21720753294090697,0.33544237707311225,0.12593658597619398,-0.2581694660206151,-0.017309866855791167,-0.03510873544656759,0.18396835281446486
